frame1 #0,01907429#0,279753#3,485096#0,006539468#0,1199649#3,566684# 0,1697599#-0,2986884#3,363831#0,2349112#-0,04211513#3,024475#0,1656546#-0,3696635#3,414343#0,1596847#-0,09086808#3,122113#0,1477605#-0,2211722#3,665012#-0,05496789#-0,136971#3,301837#0,160301#0,06111546#3,680894#-0,1016716#0,02472068#3,446911#0,02916271#-0,1535457#3,608903#0,03368736#-0,2082478#3,620004#0,09839895#-0,2697898#3,666912#-0,01948874#-0,2861675#3,591134#0,1100496#-0,4786576#3,355411#-0,1375351#-0,3293995#3,236263#0,004369271#-0,61773#3,669893#-0,09788581#-0,6013564#3,384233#-0,02289593#-0,6906549#3,649134#-0,06269228#-0,6732588#3,39339#1  
frame38 #0,02876427#0,7606394#3,500403#0,01572133#0,5343488#3,567074# 0,2757448#0,01273137#3,33862#-0,1150128#0,3032253#3,292951#0,2579572#0,07596758#3,390429#-0,1495508#0,3372497#3,340705#0,2173944#0,2787708#3,520776#-0,3183568#0,4530861#3,496037#0,1777627#0,4968085#3,54577#-0,1523925#0,5273624#3,552593#-0,009527022#0,2870062#3,62063#-0,01455526#0,2390358#3,63467#0,04744034#0,1585837#3,64963#-0,09148157#0,1734466#3,650073#0,04611045#-0,226693#3,54187#-0,09543877#-0,18614#3,470406#0,01201187#-0,5286387#3,684835#-0,09901308#-0,5787724#3,398132#0,043722#-0,6007646#3,73264#-0,1013808#-0,6228804#3,331268#1  
frame39 #0,04248489#0,8260595#3,524068#0,02541872#0,5875266#3,559574# 0,2313333#0,09720433#3,312989#-0,1548854#0,3446031#3,345649#0,225523#0,1561378#3,372437#-0,1645253#0,361283#3,382542#0,210919#0,3291985#3,533488#-0,3494794#0,4702049#3,523472#0,1890096#0,5508439#3,550997#-0,1456072#0,5833024#3,566062#0,0001734745#0,329817#3,613256#-0,005339781#0,2766156#3,627053#0,05978943#0,1985995#3,638907#-0,08484522#0,2058017#3,642689#0,04867873#-0,1988909#3,553961#-0,0954233#-0,1697952#3,482129#0,01391145#-0,5058697#3,689884#-0,09833132#-0,5767684#3,404243#0,015304#-0,5978028#3,678812#-0,08916622#-0,6512997#3,350046#1  
frame40 #0,04277243#0,8428382#3,541025#0,02570407#0,5994484#3,563554# 0,1851498#0,155408#3,281544#-0,1340793#0,3427025#3,397985#0,1919108#0,2114752#3,358283#-0,1908319#0,3856886#3,442056#0,2162052#0,3658632#3,520229#-0,3610899#0,5146468#3,585023#0,1898553#0,5702365#3,553543#-0,1416531#0,6034792#3,577157#-0,000870866#0,3374691#3,614663#-0,006486944#0,284806#3,627969#0,05777615#0,2083639#3,638863#-0,08593886#0,214035#3,643073#0,04711083#-0,1982211#3,566688#-0,09489244#-0,1732186#3,493928#0,01271741#-0,5121363#3,691538#-0,09804414#-0,5762243#3,405252#0,04388205#-0,5749201#3,752636#-0,09181371#-0,6495757#3,348447#1  
frame41 #0,04281598#0,8723485#3,556366#0,02471681#0,6255526#3,569633# 0,140053#0,2242823#3,2419#-0,224035#0,431197#3,437926#0,1830504#0,2678885#3,370531#-0,2155109#0,441117#3,455036#0,2258203#0,3889056#3,514456#-0,3019015#0,5581321#3,653554#0,1901211#0,5847173#3,558179#-0,1467801#0,6283919#3,602484#-0,004829551#0,359659#3,622473#-0,01081097#0,3065329#3,635821#0,05501697#0,2209767#3,644223#-0,09376115#0,243676#3,653977#0,04253424#-0,1927198#3,577741#-0,09368116#-0,1522047#3,51024#0,008766171#-0,5096976#3,698865#-0,1055259#-0,5648263#3,442672#0,02626881#-0,6014756#3,699794#-0,09978367#-0,6286622#3,374684#1  
frame42 #0,03410546#0,9122638#3,563444#0,02607947#0,6652322#3,583735# 0,1244661#0,2736419#3,329973#-0,2569922#0,4581737#3,445677#0,1198201#0,3047639#3,383277#-0,2324926#0,4866857#3,494853#0,2255286#0,3994922#3,51167#-0,2813922#0,6174991#3,712265#0,1857811#0,6200817#3,568196#-0,1396244#0,6595839#3,62331#-0,007318243#0,388667#3,629566#-0,01385759#0,3335983#3,641622#0,04957451#0,2478224#3,643339#-0,09546847#0,2747293#3,663347#0,04173682#-0,1742951#3,589731#-0,09562611#-0,1295908#3,523724#0,01166483#-0,4970719#3,701568#-0,115826#-0,5625817#3,470894#0,02405946#-0,5899296#3,69519#-0,1075975#-0,6231844#3,399645#1  
frame43 #0,03464897#0,9197236#3,594553#0,02462051#0,6666414#3,58878# 0,03720541#0,3757313#3,313506#-0,2522853#0,4714014#3,460738#0,1103892#0,3606898#3,393779#-0,2557493#0,507231#3,522087#0,2263928#0,4451631#3,518838#-0,2661414#0,6147198#3,716898#0,1874253#0,6300591#3,57333#-0,1343202#0,6850735#3,631594#-0,00848134#0,4012287#3,631417#-0,01502122#0,3501866#3,642239#0,04546412#0,265354#3,640707#-0,09392571#0,2881514#3,662741#0,04192505#-0,1639838#3,60373#-0,0978031#-0,126517#3,537669#0,01118735#-0,4894689#3,712621#-0,1148995#-0,5664617#3,52548#0,02298448#-0,5818183#3,70028#-0,1006977#-0,6418143#3,471256#1  
frame44 #0,0359815#0,9337047#3,591883#0,02208285#0,6802197#3,596576# 0,0009826259#0,4342938#3,362521#-0,1849743#0,4358675#3,479149#0,0774335#0,4154001#3,405271#-0,1943595#0,4818272#3,543456#0,2264608#0,4495196#3,516614#-0,2225152#0,6197065#3,747146#0,1860791#0,650081#3,584061#-0,1286246#0,706284#3,637223#-0,008674788#0,4205744#3,635193#-0,01474615#0,3685498#3,645159#0,04386403#0,2889634#3,642466#-0,09053573#0,3058846#3,664902#0,04043326#-0,1466731#3,622283#-0,1014602#-0,1201374#3,563218#0,01077355#-0,4811578#3,711543#-0,1171069#-0,5676352#3,528756#0,01277316#-0,5733711#3,695948#-0,1300187#-0,6095186#3,460231#1  
frame45 #0,0331733#0,9552903#3,594507#0,01870599#0,7012752#3,605366# -0,02933417#0,4883486#3,39418#-0,1842189#0,4462375#3,481958#0,0511623#0,4737895#3,41619#-0,193326#0,4924506#3,545877#0,2108801#0,4725226#3,515302#-0,2206473#0,6310899#3,748408#0,1844576#0,6660831#3,591787#-0,1287921#0,7216495#3,640418#-0,01028815#0,4371233#3,637691#-0,01612323#0,3845344#3,646848#0,04249941#0,3014871#3,643122#-0,09090604#0,3237122#3,66509#0,03980979#-0,139789#3,638536#-0,1043484#-0,1097577#3,572504#0,01029377#-0,5757558#3,718731#-0,1198381#-0,4639224#3,573577#0,02199806#-0,6453378#3,696203#-0,1315789#-0,5051028#3,504666#1  
frame46 #0,02959885#0,970725#3,59655#0,01687872#0,7180106#3,621338# -0,1189998#0,5362874#3,411641#-0,07421451#0,5362879#3,407582#-0,03830683#0,5216928#3,433705#-0,1942757#0,4885938#3,530569#0,1961155#0,4834051#3,509713#-0,2256681#0,6230401#3,738057#0,1807139#0,6798228#3,602825#-0,1290773#0,7223732#3,641106#-0,01276815#0,4437766#3,640791#-0,01854417#0,3897763#3,648482#0,03941859#0,3093026#3,641889#-0,09311508#0,3273368#3,666013#0,04066008#-0,1368943#3,651764#-0,1052921#-0,1140372#3,587701#0,01208647#-0,4805803#3,722141#-0,1174893#-0,553435#3,63834#0,003090149#-0,5206547#3,652091#-0,1048612#-0,6317917#3,594773#1  
frame47 #0,02182388#0,9803329#3,6122#0,01619807#0,7242973#3,629482# -0,0662294#0,5345321#3,454659#-0,1081863#0,5638786#3,445598#0,01440474#0,5199481#3,476707#-0,1275567#0,5691743#3,492149#0,1926149#0,4950662#3,511416#-0,2318155#0,6067222#3,722103#0,1724003#0,6863746#3,61007#-0,1340432#0,7276675#3,649665#-0,01431608#0,4470086#3,643698#-0,02007635#0,3921273#3,650217#0,03761834#0,3135498#3,642087#-0,09437189#0,3286765#3,66684#0,04015106#-0,1372507#3,660423#-0,1085763#-0,1195357#3,601467#0,02198256#-0,5681853#3,728895#-0,1192092#-0,4555965#3,704551#0,01275598#-0,607718#3,658636#-0,1175691#-0,545742#3,68049#1  
frame48 #0,01470423#0,9908345#3,655132#0,01251242#0,7293407#3,647586# -0,0744051#0,5363522#3,454703#-0,09410003#0,5869285#3,446993#0,006172061#0,5217785#3,476735#-0,1135144#0,5885152#3,506565#0,1852322#0,5194308#3,51362#-0,2114755#0,5905195#3,669507#0,1632047#0,6965342#3,617515#-0,1415786#0,7563199#3,671378#-0,01728714#0,4524468#3,653827#-0,02458491#0,3979914#3,651564#0,03150843#0,3216849#3,641457#-0,09900577#0,3359444#3,663889#0,03630888#-0,1322748#3,672508#-0,1156011#-0,1194126#3,637988#0,006034526#-0,5608509#3,743272#-0,1159813#-0,4663913#3,712316#0,01146606#-0,6290121#3,697881#-0,1279734#-0,5046476#3,641924#1  
frame49 #0,01344743#0,9953821#3,656574#0,00754202#0,7331039#3,65777# -0,0821674#0,5538985#3,463423#-0,1061853#0,5345019#3,468228#-0,001646668#0,539335#3,48544#-0,125586#0,5360875#3,527759#0,1778662#0,5345286#3,51572#-0,2202398#0,5497013#3,691806#0,1610458#0,7052906#3,627393#-0,147927#0,7157491#3,638955#-0,02000503#0,452741#3,657612#-0,02582732#0,3979504#3,652889#0,03119899#0,3220328#3,642093#-0,09987053#0,3354532#3,663658#0,03420649#-0,1357106#3,677408#-0,1187207#-0,1241674#3,645183#-0,002009798#-0,4907075#3,712709#-0,1208151#-0,4747666#3,711171#-0,004302509#-0,5285414#3,641577#-0,1231078#-0,5126005#3,640039#1  
frame50 #0,001855952#1,001958#3,655186#-0,0102762#0,7405744#3,669893# -0,06207757#0,639697#3,472636#-0,152094#0,5363725#3,434112#0,01838852#0,6251434#3,494638#-0,1714815#0,5379571#3,493602#0,1817618#0,5485147#3,513669#-0,2661398#0,5515715#3,657667#0,1451022#0,7271124#3,652931#-0,1483636#0,7199155#3,641602#-0,02779034#0,4481009#3,663704#-0,03219606#0,3913168#3,65579#0,02891183#0,3192165#3,647471#-0,1060751#0,3286177#3,658331#0,02585253#-0,1422594#3,685289#-0,1350953#-0,1335171#3,677913#-0,001530312#-0,5713125#3,721644#-0,1179015#-0,4913876#3,71309#0,001531943#-0,6085835#3,650737#-0,1148393#-0,5286586#3,642183#1  
frame51 #-0,007322233#1,009071#3,671352#-0,01434051#0,7440521#3,67319# -0,02647304#0,6559349#3,477955#-0,1678984#0,5597798#3,418258#0,03462641#0,6449968#3,469896#-0,1872866#0,5613644#3,477751#0,1866878#0,5523092#3,510149#-0,2818711#0,5749682#3,641706#0,1418639#0,7284179#3,651638#-0,1711096#0,731434#3,666152#-0,03035227#0,4486665#3,667904#-0,03472126#0,3913963#3,657359#0,02821987#0,3195521#3,648912#-0,109263#0,3273804#3,658314#0,02267592#-0,1453879#3,689596#-0,1367041#-0,1384561#3,680602#0,00447926#-0,5607008#3,724944#-0,1158886#-0,4974844#3,715257#0,001481416#-0,5977391#3,654217#-0,1188865#-0,5345227#3,64453#1  
frame52 #-0,01657387#1,016335#3,693103#-0,02180349#0,7482734#3,676414# -0,0320283#0,7018856#3,522334#-0,2040928#0,5851172#3,340816#0,02908145#0,6909456#3,514274#-0,2234843#0,586702#3,400319#0,1902369#0,6030298#3,504027#-0,3180424#0,600302#3,564241#0,1288371#0,7420245#3,659802#-0,1742713#0,7370578#3,668576#-0,03816015#0,4481363#3,673199#-0,04215889#0,38976#3,660699#0,02410605#0,3187793#3,650973#-0,1174395#0,32524#3,661526#0,02081041#-0,1497666#3,691802#-0,1402427#-0,144282#3,685968#0,002055329#-0,5605692#3,723516#-0,1121602#-0,504849#3,714914#0,000189702#-0,5976161#3,652811#-0,1140258#-0,5418958#3,644209#1  
frame53 #-0,02086156#1,02183#3,697143#-0,027938#0,7528586#3,681489# -0,08471556#0,7199726#3,511478#-0,208499#0,5977862#3,334532#-0,02356939#0,7090261#3,503414#-0,2279021#0,599372#3,394069#0,1997181#0,6107193#3,507022#-0,322438#0,6129688#3,557965#0,1252314#0,7492855#3,663151#-0,1765092#0,7374885#3,669167#-0,04235355#0,4486333#3,677803#-0,04581096#0,3897632#3,663073#0,02144703#0,319052#3,653773#-0,1210176#0,324588#3,662531#0,01928451#-0,152882#3,694313#-0,1422864#-0,1481849#3,689106#-0,01085527#-0,5701616#3,71843#-0,1122173#-0,5646195#3,725906#-0,01219859#-0,607012#3,647862#-0,1265318#-0,6318591#3,70426#1  
frame54 #-0,03519567#1,027988#3,708955#-0,03263784#0,7574813#3,684598# -0,08109902#0,7257205#3,504993#-0,1555651#0,6824281#3,4162#-0,01993941#0,7147716#3,496926#-0,1749725#0,6840143#3,475751#0,2043184#0,6189001#3,503993#-0,3348314#0,6245512#3,545033#0,1189117#0,7521089#3,658406#-0,2030302#0,7306209#3,675741#-0,04671647#0,4513712#3,681967#-0,0506365#0,3921023#3,665367#0,01891538#0,3202542#3,655722#-0,1278939#0,3247019#3,663945#0,01748039#-0,1551488#3,695725#-0,1434409#-0,1517071#3,690365#-0,01167075#-0,5665767#3,716665#-0,1128475#-0,5658525#3,728127#-0,01566515#-0,6033#3,646348#-0,1252613#-0,6322188#3,707376#1  
frame55 #-0,05125414#1,031796#3,71914#-0,0386936#0,7605784#3,690804# -0,02232293#0,721621#3,480285#-0,1851242#0,7023097#3,36766#0,03888671#0,7106631#3,472212#-0,2045474#0,7038972#3,427259#0,2094692#0,6236345#3,502598#-0,3407313#0,6271678#3,528087#0,1181568#0,7592517#3,66378#-0,2199934#0,7635937#3,676671#-0,05239695#0,4618093#3,688229#-0,05595641#0,4046948#3,669552#0,01610902#0,3287328#3,659455#-0,1324603#0,3305187#3,664829#0,01505862#-0,149808#3,695421#-0,1450212#-0,1485977#3,692502#-0,01100044#-0,5607762#3,717322#-0,1061316#-0,5127211#3,711265#-0,01334062#-0,5972903#3,647082#-0,1084717#-0,5492352#3,641025#1  
frame56 #-0,05250377#1,028352#3,721377#-0,05130088#0,7560272#3,694225# -0,0201221#0,7316499#3,486479#-0,1758002#0,7089988#3,34875#0,04115234#0,7206805#3,478397#-0,195244#0,7105879#3,408413#0,2180687#0,642173#3,509357#-0,3346557#0,631274#3,501947#0,1022094#0,7559326#3,657773#-0,2174408#0,7657898#3,679951#-0,05613698#0,4601941#3,690783#-0,05921534#0,4036235#3,670074#0,009451239#0,3289697#3,660665#-0,1330951#0,3313202#3,665032#0,009298416#-0,1518244#3,698127#-0,1468327#-0,1499844#3,694858#-0,02080326#-0,5655755#3,713557#-0,115161#-0,5601866#3,71911#-0,02526914#-0,601918#3,643496#-0,1196269#-0,5965292#3,649049#1  
frame57 #-0,0626909#1,029893#3,728904#-0,08169854#0,7576472#3,699973# -0,0191325#0,73378#3,48485#-0,1162951#0,732956#3,328678#0,04225761#0,7227898#3,476753#-0,1357756#0,7345481#3,388453#0,2199999#0,6444757#3,506572#-0,3350405#0,6312373#3,496065#0,07264291#0,7589027#3,65781#-0,2289369#0,7717696#3,686182#-0,06682502#0,4588845#3,695855#-0,06737986#0,4022422#3,672678#0,002741341#0,3306215#3,663527#-0,1365002#0,3314035#3,666647#0,00956683#-0,1525902#3,698317#-0,149273#-0,1521715#3,69599#-0,02072963#-0,5613509#3,719069#-0,1193821#-0,5569799#3,718458#-0,0268787#-0,597617#3,649212#-0,1260938#-0,6256715#3,696274#1  
frame58 #-0,06694709#1,030165#3,73541#-0,08584674#0,7573301#3,704336# -0,02453514#0,7399216#3,490424#-0,07811742#0,7638634#3,368696#0,03697086#0,7289106#3,482312#-0,1351255#0,7371347#3,371081#0,2157794#0,6496046#3,510871#-0,3280087#0,6351971#3,492769#0,06847008#0,7587459#3,661488#-0,2348658#0,7734246#3,693277#-0,07071554#0,460074#3,700091#-0,07106317#0,4038727#3,674535#-0,001570547#0,3328657#3,665531#-0,1384649#0,3345211#3,667818#0,008990328#-0,1526082#3,698713#-0,1499973#-0,151326#3,696403#-0,007029552#-0,5578877#3,724678#-0,121959#-0,5622982#3,728345#-0,01387786#-0,594033#3,654922#-0,1270216#-0,6258184#3,698485#1  
frame59 #-0,07204395#1,053839#3,736933#-0,09582783#0,7898443#3,716936# -0,03252028#0,7379436#3,360069#-0,07732037#0,7621421#3,325874#0,02910438#0,7269115#3,351941#-0,1306174#0,7327164#3,309173#0,2122102#0,6619272#3,512334#-0,3111906#0,6489699#3,463177#0,05800249#0,791592#3,673388#-0,2263145#0,759218#3,686407#-0,07269648#0,4608978#3,70356#-0,071526#0,4039029#3,675407#-0,002479035#0,3366404#3,667868#-0,1382811#0,3348615#3,668339#0,008953078#-0,1513366#3,698656#-0,1510602#-0,1532986#3,696509#-0,01266257#-0,5588381#3,725807#-0,116721#-0,5622835#3,730213#0,001439141#-0,6328539#3,70094#-0,1279355#-0,6251997#3,699186#1  
frame60 #-0,07680278#1,054251#3,740269#-0,09611084#0,7860104#3,716395# -0,02769445#0,7336907#3,334365#-0,05353365#0,7284347#3,280272#0,03404699#0,7226377#3,326222#-0,1161768#0,7197563#3,281278#0,2112849#0,6758769#3,500342#-0,2988588#0,6419634#3,436456#0,05834074#0,7412199#3,682306#-0,2187451#0,6501803#3,68971#-0,07448002#0,4566831#3,707969#-0,07376589#0,3965338#3,679247#-0,003493186#0,3338708#3,669189#-0,1394372#0,3258716#3,67509#0,008514479#-0,1563179#3,6992#-0,1517943#-0,1648458#3,698053#-0,01132246#-0,5593672#3,723981#-0,1171023#-0,5633003#3,732117#-0,01575698#-0,5953727#3,654052#-0,1442266#-0,6353613#3,724352#1  
frame61 #-0,07820381#1,055484#3,752705#-0,09696269#0,781547#3,716564# -0,02545597#0,7329468#3,260301#-0,06047087#0,7244962#3,274915#0,03641382#0,7218708#3,252141#-0,1230971#0,7148304#3,273627#0,1848588#0,6907418#3,45645#-0,3001939#0,640518#3,437906#0,05783005#0,7411054#3,682163#-0,2204237#0,6489623#3,691649#-0,0747264#0,4518565#3,710876#-0,0737081#0,3905535#3,680632#-0,002706748#0,3272738#3,670342#-0,1387941#0,3214055#3,676306#0,008430788#-0,1649617#3,6995#-0,152542#-0,1712734#3,698621#-0,01490986#-0,5701473#3,719543#-0,1166953#-0,5623582#3,733057#0,001749957#-0,6361864#3,701046#-0,1399563#-0,6226721#3,710706#1  
frame62 #-0,08057259#1,054475#3,754704#-0,09541687#0,7798157#3,716759# -0,005149286#0,7344604#3,345557#-0,07033807#0,7209289#3,285012#0,05661279#0,7234036#3,337411#-0,1328357#0,7112548#3,283108#0,2168054#0,7118826#3,534488#-0,3099563#0,6373956#3,447721#0,05832607#0,7412436#3,682084#-0,2199533#0,6489046#3,691316#-0,07459483#0,4496239#3,713664#-0,07368068#0,3879249#3,682235#-0,002625638#0,3253891#3,673065#-0,1389538#0,3178938#3,677143#0,007664878#-0,1689978#3,69902#-0,1540865#-0,1766793#3,698665#-0,009246934#-0,5686175#3,721161#-0,1156344#-0,5603415#3,731925#-0,01400237#-0,6047597#3,651186#-0,1344369#-0,6191775#3,704134#1  
frame63 #-0,08423007#1,06179#3,767006#-0,09846248#0,8109899#3,727493# 0,009535115#0,7190615#3,327771#-0,07960796#0,7173987#3,27362#0,07141583#0,7079835#3,319609#-0,1421098#0,7072682#3,270547#0,2204545#0,6990684#3,526151#-0,3110606#0,6373321#3,446159#0,05353313#0,7847778#3,693057#-0,218868#0,6447507#3,690821#-0,07467607#0,450943#3,717632#-0,07313927#0,3879974#3,684084#-0,001569472#0,3253292#3,675737#-0,1381788#0,3170992#3,678231#0,006318401#-0,1711834#3,699241#-0,1543569#-0,1793714#3,699363#-0,008309953#-0,566568#3,722486#-0,1139984#-0,5618865#3,735659#-0,01202474#-0,6025017#3,652513#-0,1343149#-0,6216457#3,702333#1  
frame64 #-0,08372407#1,059821#3,767785#-0,0956455#0,7849165#3,718129# -0,009382382#0,7202366#3,33846#-0,07032067#0,7425616#3,283877#0,05260919#0,7091388#3,330284#-0,127574#0,7150875#3,28432#0,2235187#0,6495652#3,508436#-0,3102622#0,637366#3,441216#0,05712447#0,7509178#3,68078#-0,2216736#0,6447058#3,692519#-0,07391569#0,4514183#3,718902#-0,07335016#0,3883864#3,684605#-0,001730661#0,3256339#3,675884#-0,1384#0,3171557#3,679577#0,005095507#-0,1726253#3,70046#-0,15481#-0,1811282#3,700482#-0,008709923#-0,5662583#3,722551#-0,1098857#-0,5637163#3,730059#-0,01435986#-0,6023207#3,652936#-0,1336803#-0,6225317#3,699873#1  
frame65 #-0,0845876#1,058139#3,767992#-0,0946596#0,7825997#3,718926# -0,02111479#0,7301975#3,334236#-0,06952801#0,743294#3,282754#0,04101105#0,7190755#3,326042#-0,1267692#0,715479#3,283227#0,2200755#0,6697221#3,499352#-0,3097972#0,6413335#3,44204#0,0578607#0,7495872#3,681627#-0,2284802#0,6526026#3,696182#-0,07421486#0,4518734#3,720673#-0,0742049#0,3897524#3,685823#-0,002439418#0,3265301#3,676373#-0,1395346#0,317944#3,681124#0,005125539#-0,1733371#3,702259#-0,1552112#-0,1821269#3,701235#-0,01355795#-0,5719457#3,722171#-0,1006645#-0,5738146#3,725461#-0,01953396#-0,608142#3,652322#-0,1289317#-0,6316674#3,706714#1  
frame66 #-0,0845162#1,05874#3,769053#-0,09328958#0,7827219#3,718904# -0,02524103#0,7323888#3,329021#-0,06783114#0,7407969#3,2809#0,03680134#0,7212818#3,320838#-0,1261756#0,715676#3,283006#0,2167727#0,6766722#3,494886#-0,3110727#0,6408809#3,439553#0,0606763#0,7416121#3,684399#-0,2324059#0,6569625#3,694592#-0,07484559#0,4518608#3,721826#-0,07429329#0,3898859#3,686154#-0,002367907#0,3265391#3,676592#-0,140389#0,3177751#3,681763#0,004907839#-0,1750971#3,703888#-0,1551171#-0,1841506#3,702569#0,008667123#-0,5402551#3,730997#-0,1013285#-0,5544386#3,7232#0,00422409#-0,576475#3,660959#-0,1387507#-0,6359149#3,729901#1  
frame67 #-0,08423125#1,061172#3,76646#-0,0964022#0,7933979#3,725507# -0,01144952#0,7142358#3,304067#-0,06377144#0,739892#3,27136#0,05046637#0,7031515#3,295901#-0,1230103#0,7184517#3,278722#0,1823554#0,6869103#3,462539#-0,3072521#0,6453344#3,437876#0,05013015#0,7447813#3,685135#-0,2312409#0,6573888#3,694649#-0,07323381#0,4482973#3,724349#-0,07233498#0,3846315#3,686793#-0,0004067731#0,3225706#3,678287#-0,1381174#0,315224#3,680776#0,007349526#-0,1824668#3,707171#-0,1544373#-0,1900786#3,703189#-0,02115611#-0,5758387#3,737473#-0,1042284#-0,5629683#3,718714#0,0008345681#-0,6391978#3,718515#-0,1261288#-0,6274254#3,702018#1  
frame68 #-0,07991506#1,057211#3,768383#-0,09464616#0,7882311#3,725056# -0,07423873#0,7391761#3,298793#-0,07243843#0,7342867#3,284971#-0,01239364#0,7281045#3,290636#-0,1328054#0,7150687#3,284319#0,1719857#0,6942127#3,463489#-0,3135422#0,6440384#3,449038#0,04815873#0,738433#3,680097#-0,2235993#0,6578761#3,695396#-0,07134799#0,443636#3,725762#-0,07095904#0,3795988#3,687596#-0,0004533282#0,3210447#3,679333#-0,1355027#0,3122379#3,680994#0,01128565#-0,1854776#3,70821#-0,1540021#-0,1945573#3,703297#-0,01154#-0,5644634#3,720066#-0,1114228#-0,5685681#3,73102#0,007306461#-0,6364622#3,695455#-0,1259254#-0,6276426#3,70177#1  
frame69 #-0,08673061#1,059309#3,764898#-0,0934137#0,7875879#3,724461# -0,04881037#0,7453642#3,261347#-0,07111597#0,7301676#3,302186#0,004536867#0,7234407#3,276387#-0,1298036#0,7171053#3,281997#0,1761158#0,6900827#3,463566#-0,3114702#0,6423375#3,444645#0,0468161#0,7394686#3,684809#-0,2215137#0,6552672#3,697196#-0,07081272#0,4434776#3,727515#-0,07011645#0,3794667#3,688296#4,481239E-05#0,3216227#3,679823#-0,1335882#0,3115694#3,682395#0,01329501#-0,188139#3,707356#-0,1511068#-0,1985356#3,703071#-0,01500824#-0,5693741#3,721143#-0,1087808#-0,5758283#3,725777#0,002166772#-0,637445#3,699156#-0,1351452#-0,6340518#3,703703#1  
frame70 #-0,08501559#1,055648#3,76637#-0,09301111#0,7873904#3,72509# -0,0557775#0,754518#3,27232#-0,05385366#0,7440386#3,276025#-0,0001555085#0,7239175#3,275264#-0,133712#0,7127359#3,280925#0,1728546#0,688225#3,460974#-0,3092296#0,6414018#3,452655#0,04590086#0,7397496#3,689862#-0,2181172#0,653923#3,698847#-0,07080234#0,4431387#3,728597#-0,06974007#0,3792058#3,688817#-4,241071E-05#0,3215638#3,680172#-0,1321199#0,311928#3,683337#0,01417966#-0,1897467#3,707025#-0,1505035#-0,1997602#3,702523#-0,0151621#-0,5679644#3,718454#-0,1086718#-0,5760225#3,727078#0,002142436#-0,6373648#3,699204#-0,131528#-0,6342835#3,700905#1  
frame71 #-0,08293924#1,055833#3,760211#-0,09978361#0,812507#3,743886# -0,04780069#0,7546148#3,278766#-0,05010436#0,7439766#3,273391#0,007029116#0,7225817#3,28456#-0,1219775#0,7165792#3,276845#0,1829735#0,680617#3,466694#-0,3017416#0,6430366#3,443663#0,06037435#0,7282711#3,697845#-0,2185487#0,6537534#3,699403#-0,07089231#0,4430237#3,73225#-0,06842192#0,3786812#3,690206#0,00233075#0,3215685#3,681832#-0,1302682#0,3101071#3,6836#0,01463515#-0,19273#3,706909#-0,150184#-0,204346#3,702565#0,02563845#-0,5652668#3,742717#-0,1297123#-0,5479073#3,716938#-0,008508102#-0,6380203#3,701029#-0,1326373#-0,5842947#3,645609#1  
frame72 #-0,08173241#1,05574#3,759167#-0,09548164#0,8042405#3,736744# -0,04482476#0,7444908#3,269611#-0,06321608#0,7424544#3,245223#0,005441606#0,7227668#3,28433#-0,1328433#0,7128181#3,264564#0,1836328#0,6787503#3,46386#-0,3022409#0,6429137#3,444413#0,07482855#0,7069514#3,687286#-0,216918#0,6475694#3,693146#-0,07052702#0,4437073#3,732928#-0,06806112#0,3790253#3,690685#0,003699007#0,3212854#3,682173#-0,1305488#0,3100068#3,684341#0,01559646#-0,1946287#3,706326#-0,1496365#-0,2060852#3,702153#0,02560308#-0,5652321#3,742836#-0,09305152#-0,5818323#3,72382#-0,008048607#-0,6362455#3,694888#-0,1309626#-0,6317546#3,69736#1  
frame73 #-0,08222155#1,058704#3,761449#-0,09553164#0,7978469#3,737622# -0,04488492#0,7446#3,270282#-0,06219448#0,7421502#3,24615#0,03611855#0,7112789#3,320757#-0,1361206#0,7108461#3,269691#0,1996846#0,6548975#3,511136#-0,2991226#0,6429117#3,456544#0,07490126#0,7012652#3,689549#-0,221359#0,6531996#3,698721#-0,0713941#0,4451819#3,734614#-0,06959359#0,3819136#3,692421#0,003202797#0,3218483#3,682441#-0,1331393#0,3122814#3,686511#0,01637734#-0,1954192#3,706157#-0,1491017#-0,2053927#3,702054#0,006437378#-0,5406697#3,714553#-0,1005226#-0,583328#3,717624#0,002939472#-0,5771046#3,643431#-0,1337432#-0,638234#3,695167#1  
frame74 #-0,0798086#1,058521#3,7642#-0,09397845#0,8124322#3,746317# -0,0447262#0,7437595#3,2703#-0,05351799#0,7429492#3,258158#0,05307232#0,7045884#3,311347#-0,1295277#0,7156833#3,272856#0,2054145#0,6632959#3,509177#-0,300467#0,6421404#3,449842#0,07670793#0,7174214#3,700528#-0,2145318#0,6438688#3,702941#-0,06997581#0,4472248#3,737559#-0,06797273#0,382917#3,694092#0,004514294#0,3223689#3,68301#-0,1316275#0,3127592#3,688259#0,01643197#-0,1963137#3,706263#-0,1482687#-0,2062989#3,702761#-0,02167194#-0,5838662#3,711809#-0,10089#-0,5853449#3,717266#-0,003151488#-0,6470833#3,694193#-0,1342777#-0,639695#3,693161#1  
