frame1 #0,02850532#0,9381776#3,364701#0,04256637#0,749653#3,417599# 0,242601#0,2297474#3,218234#-0,0730325#0,4549358#3,124388#0,2128217#0,2391829#3,278424#-0,1327211#0,4473276#3,155662#0,3148455#0,4412203#3,418009#-0,16673#0,4684257#3,356333#0,1840348#0,6264088#3,36428#-0,1299183#0,6465938#3,488037#0,03034866#0,4002163#3,42853#0,01645519#0,3329156#3,40451#0,08235954#0,2528012#3,372402#-0,05891936#0,2618845#3,427031#0,07360701#-0,251687#3,17661#-0,05362082#-0,2606653#3,574863#0,05928602#-0,6091763#3,09311#0,02795775#-0,4906216#3,236536#0,03621952#-0,6723586#3,05565#-0,001934141#-0,5323611#3,161915#1  
frame38 #-0,1521714#0,9357301#3,765029#-0,07643898#0,7446236#3,732504# 0,06275271#0,5473902#3,332164#-0,570217#0,6924136#3,747507#0,06315836#0,5661098#3,342809#-0,501793#0,6736156#3,811992#0,1321136#0,4711627#3,497093#-0,3378846#0,6485988#3,903589#0,01478929#0,6657744#3,586945#-0,2185902#0,683542#3,79539#-0,07366973#0,4290793#3,711165#-0,1034717#0,3744333#3,67364#-0,06794637#0,2944593#3,590533#-0,1573971#0,2844114#3,722849#-0,04962619#-0,2545592#3,758955#0,03825848#-0,2127404#3,836741#-0,3109867#-0,5958229#3,698415#0,07569755#-0,6021563#3,671552#-0,31308#-0,6795543#3,698705#-0,03666402#-0,6145373#3,679486#1  
frame39 #-0,1633937#0,9291164#3,773152#-0,08131495#0,706196#3,729921# 0,005704675#0,6109716#3,271384#-0,5830852#0,6287704#3,889963#0,03100571#0,6019621#3,336196#-0,516135#0,6174567#3,907613#0,09576704#0,4831796#3,473007#-0,3347684#0,5993133#3,904225#-0,02565443#0,6496887#3,595436#-0,2234662#0,6451144#3,792808#-0,07527068#0,413428#3,705791#-0,1072192#0,3631023#3,670612#-0,07388777#0,2856629#3,578351#-0,1591101#0,2396526#3,725277#-0,05113262#-0,2555645#3,761723#-0,01731792#-0,3232395#3,88225#-0,05520422#-0,5727317#3,744526#0,07642516#-0,6013693#3,671949#0,03961512#-0,6117193#3,696853#-0,03319743#-0,6162373#3,6953#1  
frame40 #-0,1797904#0,9377421#3,770085#-0,09549982#0,7450863#3,720081# -0,0006306302#0,6629951#3,302213#-0,5363108#0,5473119#4,019645#0,02452208#0,6540384#3,366645#-0,4764546#0,5550256#3,984688#0,0579607#0,4880191#3,449294#-0,2831993#0,6029707#3,931149#-0,009653658#0,6669029#3,573046#-0,237651#0,6840047#3,782968#-0,08075318#0,4195901#3,70799#-0,1115469#0,36537#3,671087#-0,07419004#0,2867883#3,578105#-0,168829#0,2443612#3,730364#-0,05379601#-0,2616055#3,770143#-0,03158835#-0,3197375#3,879138#-0,05483468#-0,5769164#3,745663#0,07725994#-0,6010469#3,672041#0,0389187#-0,6131499#3,694487#-0,03465793#-0,6072651#3,684582#1  
frame41 #-0,1984884#0,9787863#3,776169#-0,1276418#0,8089089#3,742776# -0,02857398#0,709269#3,241274#-0,4081236#0,4942475#3,980311#-0,003446307#0,7003213#3,305641#-0,3422247#0,49334#4,00292#0,02222098#0,5448864#3,412675#-0,3141508#0,6635293#3,954674#-0,03675349#0,7316053#3,591172#-0,269793#0,7478272#3,805663#-0,08079982#0,4208844#3,708437#-0,1116157#0,3606479#3,669327#-0,04788789#0,3135512#3,629491#-0,1717646#0,2755724#3,679477#-0,05145853#-0,2628604#3,788384#-0,3365116#-0,2755048#3,701395#-0,05045594#-0,5783567#3,760094#-8,46386E-06#-0,5381309#3,674949#0,03829315#-0,6165351#3,70182#-0,1098256#-0,5598217#3,689074#1  
frame42 #-0,2193329#0,9198919#3,772862#-0,1476655#0,7521195#3,714696# -0,09335463#0,7410177#3,238844#-0,3239151#0,3520808#4,022189#-0,0683495#0,7321136#3,302897#-0,3264799#0,4157456#3,99491#-0,03696171#0,56472#3,383259#-0,3341745#0,6067399#3,926585#-0,09412938#0,6634489#3,552817#-0,2898167#0,6910379#3,777583#-0,1169725#0,3443763#3,695121#-0,1487308#0,2675729#3,660932#-0,09830634#0,2329442#3,65746#-0,1993514#0,2130425#3,652025#-0,05329787#-0,2857907#3,804525#-0,3498279#-0,2752835#3,698917#-0,01490761#-0,5965105#3,749886#-0,01000488#-0,5309719#3,675951#0,07034377#-0,628418#3,683617#-0,1188114#-0,5554487#3,691428#1  
frame43 #-0,2717025#0,9827117#3,779217#-0,1897316#0,8185492#3,731456# -0,09882982#0,7423879#3,241271#-0,3659812#0,4185104#4,038904#-0,07386798#0,7334991#3,305213#-0,368546#0,4821752#4,011625#-0,04282925#0,5664726#3,386765#-0,3762406#0,6731696#3,943315#-0,07519963#0,7232677#3,591264#-0,3318828#0,7574675#3,794343#-0,155937#0,3945702#3,704555#-0,1805688#0,3159435#3,661765#-0,1091815#0,253064#3,66422#-0,2448902#0,2498874#3,636465#-0,06461895#-0,2956356#3,812559#-0,3926551#-0,2723829#3,694668#-0,01788622#-0,6045908#3,743046#-0,03975946#-0,5121887#3,675607#0,07368359#-0,629405#3,682463#-0,1488315#-0,5379433#3,686143#1  
frame44 #-0,2336811#0,9212055#3,676323#-0,1290361#0,7701269#3,635447# -0,1956525#0,7794231#3,295834#-0,3052857#0,3700882#3,94299#-0,1707765#0,7705649#3,359557#-0,3078506#0,433753#3,915711#-0,1747668#0,5967066#3,42899#-0,3155451#0,6247473#3,847368#-0,01450418#0,6748454#3,495255#-0,2711873#0,7090452#3,698333#-0,1502343#0,3915093#3,686661#-0,179689#0,3152893#3,659398#-0,1167895#0,2541#3,669116#-0,2434879#0,2469665#3,634051#-0,06253223#-0,2796394#3,823491#-0,4265124#-0,2698534#3,689689#-0,0208335#-0,5863371#3,741419#-0,06710976#-0,4972231#3,675409#0,0684609#-0,6249292#3,684859#-0,121899#-0,5424624#3,608135#1  
frame45 #-0,2279725#0,8726311#3,60593#-0,1888301#0,7049787#3,665526# -0,2554265#0,7140491#3,326148#-0,3650797#0,30494#3,973057#-0,2306309#0,7052196#3,389665#-0,3676446#0,3686048#3,945778#-0,2342856#0,5316926#3,459131#-0,3753391#0,5595991#3,87744#-0,0742982#0,6096972#3,525335#-0,3309813#0,6438971#3,728413#-0,1715149#0,3822135#3,680353#-0,1963587#0,3154513#3,652596#-0,1587045#0,2290851#3,693561#-0,2641724#0,2357717#3,589314#-0,05734509#-0,2551245#3,839187#-0,4483156#-0,2598668#3,687831#-0,0245015#-0,5716327#3,745042#-0,08895233#-0,4849422#3,674651#0,0621006#-0,617056#3,689391#-0,1437644#-0,5298418#3,607177#1  
frame46 #-0,2506454#0,9011517#3,626633#-0,2394482#0,7636154#3,706798# -0,3060276#0,7724649#3,367635#-0,4156978#0,3635767#4,01431#-0,2813076#0,7636623#3,430958#-0,4182627#0,4272414#3,987031#-0,2846335#0,590461#3,500457#-0,4259572#0,6182358#3,9187#-0,1249163#0,6683339#3,566606#-0,3815994#0,7025337#3,769684#-0,1999577#0,4362897#3,725532#-0,2188224#0,3712867#3,698675#-0,1607151#0,2819875#3,756195#-0,267571#0,2825717#3,63134#-0,0572787#-0,2551661#3,841492#-0,4776008#-0,2563244#3,67951#-0,02357124#-0,5729551#3,746117#-0,1151458#-0,4737598#3,671159#0,0617747#-0,6181864#3,688438#-0,1698063#-0,5200221#3,604509#1  
frame47 #-0,3195931#0,9430091#3,630388#-0,2896681#0,8274959#3,729677# 0,02666585#0,4753304#3,908249#-0,4659178#0,4274572#4,037113#-0,0008619428#0,500184#3,860102#-0,4684826#0,4911219#4,009834#-0,08344533#0,5747447#3,729192#-0,4761771#0,6821163#3,941528#-0,1751362#0,7322144#3,589485#-0,4318193#0,7664142#3,792563#-0,226757#0,458104#3,727195#-0,239233#0,3842312#3,696315#-0,1867406#0,3117636#3,735326#-0,2874755#0,3043843#3,637516#-0,05724761#-0,2530052#3,842813#-0,5167297#-0,2484861#3,678248#0,06531639#-0,5100471#3,682208#-0,1470061#-0,4585953#3,673664#0,0818138#-0,6211212#3,672157#-0,2017901#-0,5049036#3,606841#1  
frame48 #-0,3346311#0,9743323#3,681081#-0,3174405#0,8172124#3,735059# 0,03476893#0,3389336#3,802057#-0,4049742#0,559141#3,362793#0,002273216#0,39542#3,779559#-0,4231106#0,6036495#3,400132#-0,09521392#0,5648794#3,725617#-0,4775198#0,737175#3,525701#-0,2029085#0,721931#3,594867#-0,4595916#0,7561308#3,797945#-0,2800078#0,4474268#3,719338#-0,299033#0,3783093#3,682946#-0,241324#0,298959#3,720278#-0,3473261#0,3024144#3,621685#-0,05485842#-0,2497536#3,838453#-0,52856#-0,2623122#3,680342#0,06739432#-0,5088118#3,676225#-0,1521411#-0,4671936#3,668042#0,07840531#-0,6210728#3,672358#-0,2071456#-0,5116899#3,600021#1  
frame49 #-0,3679914#0,9424857#3,736085#-0,3724568#0,7623449#3,729617# -0,001647161#0,3431665#3,710329#-0,5180461#0,7531735#3,285645#0,001037585#0,4108889#3,70231#-0,4847955#0,7448708#3,344665#-0,1124268#0,5542699#3,743186#-0,555838#0,716444#3,523484#-0,3026961#0,6642348#3,658121#-0,514608#0,7012632#3,792504#-0,3130049#0,4052404#3,715726#-0,3257008#0,337906#3,676069#-0,2712817#0,2790958#3,709503#-0,3575954#0,2806683#3,623157#-0,06817009#-0,2606479#3,809945#-0,5551628#-0,2483555#3,679841#0,04932837#-0,5191638#3,645931#-0,17998#-0,4517937#3,661191#0,07079004#-0,6172523#3,665425#-0,227015#-0,4967772#3,587888#1  
frame50 #-0,4911989#0,8938835#3,721832#-0,3878522#0,7547352#3,739495# -0,05068194#0,2785842#3,790466#-0,5858827#0,743018#3,294448#-0,03317035#0,3429845#3,726726#-0,5526499#0,7347198#3,353436#-0,1064109#0,5587229#3,721839#-0,6011131#0,7061#3,540203#-0,3138369#0,6818272#3,697743#-0,5300033#0,6936536#3,802381#-0,3275831#0,4037863#3,719774#-0,3370332#0,3390255#3,675961#-0,2858526#0,2773941#3,705778#-0,3742183#0,2774922#3,622908#-0,07319967#-0,2725352#3,797866#-0,5752147#-0,1748804#3,671954#0,07647572#-0,5345078#3,68135#-0,2155959#-0,4030703#3,652961#0,03782495#-0,5790045#3,603103#-0,2542467#-0,4475671#3,574713#1  
frame51 #-0,516517#0,8991896#3,727083#-0,4014895#0,8269138#3,810258# -0,03116641#0,3157511#3,684954#-0,5474331#0,7262452#3,376128#-0,03546155#0,3820274#3,667553#-0,5688282#0,7282443#3,433198#-0,1089957#0,5483867#3,700733#-0,6330132#0,7342416#3,61794#-0,2936422#0,6426042#3,713986#-0,5436406#0,7658321#3,873144#-0,3681735#0,4145205#3,742364#-0,382172#0,3431704#3,688427#-0,3132307#0,2711557#3,704612#-0,4399039#0,284385#3,636289#-0,1031445#-0,198901#3,771712#-0,58478#-0,1753095#3,666955#0,04616488#-0,4805325#3,699306#-0,223696#-0,401848#3,652249#0,00483809#-0,5247995#3,621416#-0,2650228#-0,4461151#3,57436#1  
frame52 #-0,4806705#0,8794863#3,756045#-0,3577316#0,8051252#3,830817# -0,04347892#0,2973688#3,605036#-0,6720166#0,9499152#3,665658#-0,06228816#0,3589205#3,629392#-0,6640025#0,8893447#3,662167#-0,09527113#0,5326374#3,692349#-0,6399603#0,7076333#3,665241#-0,2531568#0,6263313#3,7195#-0,4998828#0,7440436#3,893704#-0,3657788#0,402208#3,744451#-0,384474#0,3346652#3,689783#-0,3233984#0,2638713#3,701557#-0,4448231#0,273866#3,640438#-0,1150493#-0,1406248#3,758652#-0,6297947#-0,1831206#3,669621#-0,0439676#-0,4472109#3,715554#-0,258713#-0,392917#3,652203#-0,08689266#-0,4928124#3,639145#-0,3016381#-0,4385185#3,575794#1  
frame53 #-0,549847#0,8825168#3,761093#-0,4122545#0,7935856#3,805332# -0,09436297#0,2861332#3,638038#-0,7848821#0,8647375#3,622447#-0,08700286#0,3357178#3,590941#-0,7514279#0,8520622#3,681192#-0,1334787#0,505833#3,656415#-0,6797188#0,6957067#3,629923#-0,2715897#0,6229941#3,714547#-0,5544056#0,732504#3,868218#-0,3875098#0,3924701#3,737492#-0,4037673#0,324189#3,680417#-0,3468911#0,2555818#3,681165#-0,4630064#0,2614048#3,638183#-0,1768688#-0,1493952#3,70865#-0,6403496#-0,188868#3,668113#-0,03405509#-0,4766589#3,718583#-0,268395#-0,3959512#3,652606#0,02642414#-0,5655947#3,68126#-0,3046306#-0,4408352#3,572156#1  
frame54 #-0,4535556#0,9118618#3,904129#-0,381654#0,7484229#3,817667# -0,1102526#0,2734306#3,659211#-0,8515494#0,9099073#3,737727#-0,1050571#0,3223376#3,611415#-0,8205714#0,8470283#3,693368#-0,1511527#0,5001121#3,61474#-0,7276376#0,6583912#3,573863#-0,2860467#0,6243707#3,712604#-0,4957647#0,6736324#3,689579#-0,4181582#0,3330162#3,726428#-0,4161724#0,2664963#3,662345#-0,3671125#0,2209331#3,661865#-0,4684507#0,234907#3,634315#-0,1195641#-0,2072869#3,731718#-0,6787751#-0,220894#3,672848#0,0304844#-0,5566033#3,765765#-0,3007237#-0,4144475#3,658241#0,03386569#-0,6114385#3,66628#-0,2832306#-0,4607694#3,572717#1  
frame55 #-0,4649715#0,9058633#3,898003#-0,3826644#0,7447256#3,82078# -0,1476307#0,2902498#3,632536#-0,8798676#0,8388939#3,759684#-0,1420142#0,3388774#3,584622#-0,8599944#0,7728956#3,72382#-0,1734523#0,5198411#3,587961#-0,8003748#0,5749007#3,629811#-0,2891781#0,6247672#3,711778#-0,5544522#0,6123345#3,664552#-0,416842#0,3325338#3,726913#-0,4154287#0,2675261#3,66172#-0,360786#0,2207697#3,657585#-0,4737895#0,2247678#3,628508#-0,1208214#-0,2071134#3,730178#-0,6789047#-0,2211591#3,672547#0,02289973#-0,5538824#3,763085#-0,3030402#-0,4174008#3,658731#0,03271953#-0,6175955#3,669293#-0,2879361#-0,4643096#3,572907#1  
frame56 #-0,4867967#0,8930966#3,888813#-0,4126456#0,7279361#3,810329# -0,1565268#0,2449094#3,63148#-0,9579836#0,7165856#3,755082#-0,1508737#0,293513#3,583547#-0,917208#0,6757182#3,722192#-0,181033#0,4749432#3,588788#-0,7948814#0,553116#3,637114#-0,2929077#0,6253455#3,710423#-0,5545033#0,6123061#3,665259#-0,4187147#0,3310942#3,724182#-0,4158767#0,267473#3,659066#-0,3591928#0,2182563#3,651781#-0,475244#0,2205803#3,625094#-0,1223979#-0,2073169#3,72771#-0,678775#-0,2212267#3,672236#0,01291063#-0,5514495#3,758763#-0,3046809#-0,4201513#3,656313#0,01639872#-0,6186607#3,669656#-0,2901729#-0,4673111#3,570475#1  
frame57 #-0,483096#0,8948908#3,895521#-0,4398561#0,7247598#3,79513# -0,2277763#0,2235791#3,718781#-0,9776067#0,7668302#3,759066#-0,2221239#0,272191#3,670819#-0,9594924#0,6759242#3,757444#-0,1900257#0,4478515#3,579161#-0,7909055#0,5297092#3,659197#-0,3018894#0,6310685#3,706501#-0,5559427#0,6117325#3,666542#-0,4198964#0,331963#3,722303#-0,4156314#0,2683694#3,657587#-0,3582729#0,2178436#3,65163#-0,4733276#0,2196361#3,621916#-0,1240116#-0,2056128#3,723859#-0,6784417#-0,221567#3,672051#0,008784597#-0,5482529#3,755248#-0,3045177#-0,4208979#3,656405#0,01126345#-0,6196103#3,672364#-0,2920782#-0,4675274#3,569986#1  
frame58 #-0,4864608#0,8968191#3,899647#-0,4364513#0,7269777#3,802112# -0,1961622#0,2352089#3,698483#-1,003935#0,6652029#3,76339#-0,1905026#0,2838824#3,650461#-0,9726913#0,5795352#3,74603#-0,1913426#0,4483114#3,579145#-0,7866606#0,5193312#3,677433#-0,30232#0,6307647#3,705944#-0,5569152#0,6119349#3,667632#-0,419751#0,3314899#3,722613#-0,4153088#0,2689481#3,657389#-0,3562355#0,2179106#3,652489#-0,4731869#0,2185089#3,62013#-0,1413568#-0,1840782#3,707863#-0,6788671#-0,2194293#3,672524#-0,01269404#-0,5239529#3,740531#-0,3053614#-0,419792#3,65667#0,007801419#-0,6118863#3,671041#-0,2935513#-0,4669044#3,570318#1  
frame59 #-0,488165#0,8969815#3,899149#-0,4311786#0,7278608#3,804872# -0,1962819#0,2350461#3,697375#-1,086741#0,6177485#3,816573#-0,1906329#0,2836278#3,649443#-0,9702306#0,5505503#3,78352#-0,1925806#0,4485046#3,578571#-0,7536626#0,4949821#3,68381#-0,3036221#0,6297867#3,703447#-0,5570783#0,61154#3,668047#-0,4187872#0,3311371#3,723098#-0,4138121#0,2690733#3,657393#-0,3536956#0,2171631#3,653141#-0,4714607#0,217571#3,619973#-0,1379076#-0,1927671#3,710393#-0,680167#-0,2231362#3,674111#-0,007946488#-0,5326893#3,750211#-0,3063334#-0,422425#3,657367#0,006283403#-0,6124519#3,670201#-0,2954689#-0,4696769#3,571034#1  
frame60 #-0,5239232#0,9264561#3,917334#-0,4138455#0,7904907#3,810742# -0,1951945#0,2385874#3,688915#-1,022323#0,4948247#3,792066#-0,18953#0,287303#3,640851#-0,9454193#0,4622341#3,751385#-0,1967528#0,4571315#3,579612#-0,7716345#0,492912#3,701385#-0,303838#0,6290975#3,702758#-0,5564868#0,607335#3,666753#-0,4189266#0,3337665#3,723159#-0,4138237#0,2688074#3,656616#-0,3535052#0,21661#3,652698#-0,4722194#0,2162416#3,6194#-0,1405924#-0,1904213#3,707169#-0,681926#-0,2253637#3,67747#-0,00758422#-0,5334771#3,751137#-0,307364#-0,4240813#3,659297#0,006804262#-0,6126117#3,670557#-0,2964234#-0,4703004#3,572431#1  
frame61 #-0,4896135#0,8983331#3,886012#-0,4070047#0,7378176#3,794558# -0,221509#0,2038579#3,718649#-1,028355#0,4340358#3,801773#-0,2158314#0,2526863#3,670474#-0,9495002#0,4384111#3,752434#-0,1819634#0,4679728#3,570314#-0,7708609#0,4909326#3,70109#-0,304257#0,6291791#3,70203#-0,5559295#0,6074987#3,666838#-0,4191805#0,3334536#3,722313#-0,4144531#0,2688766#3,655573#-0,3547131#0,2150656#3,651613#-0,4734184#0,2170675#3,618747#-0,1376622#-0,1970478#3,709425#-0,6832592#-0,2277659#3,678559#-0,003496961#-0,5401402#3,751859#-0,3077884#-0,4253581#3,659372#0,009620909#-0,6171666#3,668993#-0,2971031#-0,4716581#3,572477#1  
frame62 #-0,4707033#0,8685719#3,872871#-0,4154112#0,6957837#3,783312# -0,222506#0,1981277#3,7174#-1,065444#0,3789624#3,815402#-0,2168331#0,2469158#3,669265#-0,9786093#0,3823033#3,782152#-0,1806857#0,4686797#3,571703#-0,7630993#0,4811179#3,708109#-0,3042977#0,6299264#3,701561#-0,5549568#0,6071601#3,666429#-0,4151145#0,3239195#3,716158#-0,410315#0,2641741#3,651121#-0,3531597#0,2107006#3,647497#-0,4639639#0,2098991#3,614732#-0,1365114#-0,1985637#3,709448#-0,6834233#-0,2281304#3,678971#-0,0008969125#-0,541755#3,753211#-0,3081146#-0,4254809#3,661863#0,009136446#-0,6168187#3,66818#-0,2976699#-0,4722208#3,575202#1  
frame63 #-0,4823524#0,8903635#3,88031#-0,4143727#0,7224628#3,788156# -0,1900083#0,2564283#3,715775#-1,033816#0,3282676#3,78022#-0,1843489#0,3051004#3,667754#-0,9521959#0,371315#3,770167#-0,1746368#0,4583505#3,574465#-0,7410131#0,4834911#3,70066#-0,3029957#0,6300632#3,700746#-0,5527398#0,6070365#3,665753#-0,4150285#0,324204#3,716485#-0,4098936#0,2637883#3,650896#-0,3516631#0,2099059#3,647335#-0,464217#0,2093789#3,614803#-0,147109#-0,1761739#3,697123#-0,6840103#-0,2255165#3,68059#0,004394166#-0,5474072#3,755368#-0,3090405#-0,4235608#3,661504#0,009710543#-0,6179109#3,666283#-0,2985652#-0,4700273#3,574712#1  
frame64 #-0,4857465#0,8901509#3,879178#-0,4121437#0,7244356#3,786855# -0,2111045#0,2402609#3,689698#-1,116888#0,2806334#3,797655#-0,2054586#0,288817#3,641791#-0,9479426#0,3236885#3,764652#-0,1601979#0,4567704#3,584101#-0,7377483#0,4462594#3,704167#-0,3024184#0,6295841#3,698303#-0,5515267#0,6066654#3,665455#-0,4108607#0,3239325#3,716576#-0,4048694#0,2623456#3,650947#-0,3454397#0,2070878#3,646215#-0,4599946#0,2092893#3,617975#-0,1326781#-0,1932732#3,711436#-0,6858879#-0,2278618#3,682422#0,008571718#-0,5481758#3,758574#-0,3105579#-0,4242218#3,662687#0,009596856#-0,6169894#3,667861#-0,300782#-0,4705773#3,575744#1  
frame65 #-0,4829669#0,8831788#3,87565#-0,3872722#0,7253852#3,794316# -0,2115485#0,2389501#3,682901#-1,007586#0,2981818#3,749824#-0,20593#0,2872702#3,635227#-0,9413975#0,3120322#3,757971#-0,160106#0,4575052#3,582284#-0,7255833#0,4309586#3,706117#-0,2984126#0,6363716#3,695413#-0,5453452#0,595922#3,660058#-0,4043279#0,3233691#3,717709#-0,4012124#0,2620315#3,651366#-0,3426577#0,2070691#3,646056#-0,458561#0,208458#3,618709#-0,1299226#-0,1955049#3,713992#-0,6834558#-0,212176#3,680211#0,01093943#-0,5539888#3,758864#-0,3119968#-0,415756#3,661492#0,008518204#-0,616838#3,665069#-0,3034674#-0,4624265#3,5746#1  
frame66 #-0,4980155#0,9188349#3,889966#-0,4030971#0,7753956#3,770028# -0,1929328#0,2276573#3,714401#-0,9950124#0,2946911#3,765242#-0,1873335#0,2758117#3,66689#-0,9158776#0,3369766#3,745664#-0,1483086#0,439532#3,584191#-0,7070454#0,4619221#3,682911#-0,2805874#0,6311712#3,683073#-0,5448846#0,5950281#3,658945#-0,4003921#0,3306636#3,716979#-0,3985831#0,263194#3,650651#-0,3351113#0,2083031#3,643391#-0,4577544#0,2076125#3,619914#-0,1267204#-0,1962669#3,716448#-0,683233#-0,2116647#3,681#0,01327343#-0,5565751#3,759075#-0,3122662#-0,4162755#3,660892#0,007486889#-0,6161159#3,663452#-0,3067435#-0,4613328#3,573023#1  
frame67 #-0,4679151#0,8832185#3,859195#-0,3705289#0,724933#3,780102# -0,1916412#0,2287451#3,712533#-1,0689#0,2464963#3,787035#-0,1860584#0,2767578#3,665163#-0,9304761#0,299228#3,759066#-0,1491896#0,4440595#3,580181#-0,7148858#0,4173535#3,702116#-0,2810768#0,6279985#3,678391#-0,541668#0,590984#3,656406#-0,3945403#0,3251389#3,717223#-0,3945669#0,26047#3,65143#-0,333863#0,2072136#3,643607#-0,4537201#0,2030084#3,62307#-0,1246156#-0,1966082#3,717585#-0,6823298#-0,2105916#3,682161#0,0152003#-0,5597875#3,759767#-0,3117074#-0,4157071#3,661404#0,006278992#-0,6147482#3,662145#-0,3075047#-0,4615625#3,573945#1  
frame68 #-0,4687242#0,886853#3,861014#-0,3694272#0,7300797#3,778859# -0,1946276#0,2090723#3,724199#-1,067685#0,2466049#3,787019#-0,1890601#0,2569532#3,676958#-0,9303792#0,2967224#3,757626#-0,1542403#0,4140043#3,589963#-0,7152875#0,4143799#3,695021#-0,2822111#0,6279899#3,678248#-0,5385845#0,5886133#3,655979#-0,3883072#0,32454#3,71686#-0,387982#0,2589924#3,65112#-0,3285747#0,207087#3,644373#-0,4483374#0,2012198#3,623393#-0,1205418#-0,1982367#3,720987#-0,6820908#-0,2100003#3,683013#0,01744145#-0,5585464#3,760494#-0,311516#-0,4151737#3,661868#0,00464235#-0,612876#3,661522#-0,3073291#-0,4608829#3,574371#1  
frame69 #-0,470102#0,8852909#3,864563#-0,3690594#0,7300286#3,779234# -0,1887928#0,2254107#3,715652#-1,067407#0,2474303#3,7917#-0,1832411#0,2731556#3,668545#-0,9282873#0,2993271#3,765458#-0,143574#0,4404615#3,575954#-0,7140852#0,4141702#3,694237#-0,2837404#0,6281136#3,677991#-0,5349116#0,5865187#3,654244#-0,3873005#0,3230907#3,717236#-0,3870902#0,2576595#3,651289#-0,3286116#0,2066184#3,644536#-0,446886#0,2001678#3,624027#-0,1160508#-0,2017332#3,723705#-0,6815917#-0,2098221#3,683348#0,0193443#-0,5610296#3,760418#-0,3114148#-0,415795#3,662055#0,004252239#-0,6125376#3,661093#-0,3068492#-0,4614467#3,574649#1  
frame70 #-0,4879409#0,9022121#3,882139#-0,35263#0,7802326#3,784039# -0,1826109#0,223359#3,689137#-1,066167#0,2565151#3,788082#-0,1770752#0,2709665#3,642166#-0,9281204#0,3004676#3,765749#-0,1432595#0,4412576#3,576827#-0,7136326#0,4152513#3,693224#-0,2724984#0,6290222#3,67757#-0,5337327#0,5879889#3,65372#-0,3853248#0,3265354#3,717747#-0,3864579#0,2580028#3,651338#-0,3270659#0,206169#3,64397#-0,4471529#0,2000416#3,624414#-0,1154784#-0,2019946#3,724855#-0,6834118#-0,235884#3,687961#0,02005817#-0,5616366#3,76#-0,3068808#-0,4304075#3,664294#0,005571953#-0,6136044#3,661017#-0,3020856#-0,4756846#3,57662#1  
frame71 #-0,4654061#0,8857122#3,862217#-0,3637076#0,7324647#3,768856# -0,1859527#0,218349#3,684372#-1,065759#0,2594562#3,785366#-0,1804318#0,2658292#3,637526#-0,927816#0,3039121#3,768415#-0,1423853#0,4370939#3,575192#-0,7131255#0,4180684#3,693775#-0,2680553#0,6241269#3,67203#-0,531803#0,5885406#3,650075#-0,3846616#0,3263139#3,717612#-0,3858736#0,258034#3,65127#-0,326355#0,2058049#3,643893#-0,4469758#0,199745#3,624509#-0,1155818#-0,2005941#3,725284#-0,6828319#-0,2358641#3,688042#0,02132335#-0,5640357#3,759956#-0,306752#-0,4309496#3,664875#0,005561762#-0,6133111#3,661269#-0,3021023#-0,4761691#3,5772#1  
frame72 #-0,5131272#0,9017035#3,857301#-0,3588547#0,7949505#3,776363# -0,1817627#0,2238376#3,727777#-1,064708#0,2607329#3,783743#-0,1762538#0,2712147#3,681034#-0,928666#0,303652#3,763014#-0,140949#0,4361821#3,572829#-0,7118993#0,418969#3,693346#-0,267679#0,6230962#3,670697#-0,5287548#0,5876564#3,647922#-0,3794862#0,3325851#3,718032#-0,3806583#0,2604313#3,651589#-0,3210671#0,2071729#3,644654#-0,4424309#0,2021992#3,625905#-0,1152475#-0,2005156#3,725499#-0,6823782#-0,2357376#3,688312#0,02765877#-0,5798255#3,75766#-0,3059356#-0,4311154#3,664936#0,003425814#-0,6129687#3,661127#-0,3007317#-0,4760557#3,577181#1  
frame73 #-0,4929126#0,9329425#3,860817#-0,4004393#0,7743579#3,762494# -0,1830316#0,2088791#3,716296#-1,065162#0,2607088#3,784931#-0,1775351#0,2561499#3,669658#-0,9282758#0,3047261#3,762784#-0,1406653#0,4365231#3,572895#-0,7108042#0,4203526#3,69364#-0,255387#0,6201374#3,663754#-0,5289104#0,591097#3,647901#-0,3815681#0,3364202#3,716809#-0,3814812#0,263399#3,650955#-0,3202377#0,2082767#3,643839#-0,4429969#0,2026994#3,626038#-0,1149093#-0,2003833#3,725703#-0,681951#-0,2357352#3,688333#0,03010976#-0,5663312#3,760388#-0,305232#-0,4313661#3,664593#0,002866737#-0,6130648#3,660911#-0,3019272#-0,4761426#3,576811#1  
frame74 #-0,497884#0,9318664#3,853286#-0,3996146#0,7738624#3,761761# -0,1824582#0,2197604#3,704879#-1,064792#0,2627428#3,782067#-0,1769731#0,2669329#3,658337#-0,9311889#0,3055165#3,758703#-0,1406596#0,4353018#3,572051#-0,7110146#0,4200315#3,693592#-0,2553976#0,6201587#3,663822#-0,5290143#0,5910833#3,646978#-0,3832031#0,3372233#3,715796#-0,3821251#0,2642461#3,650403#-0,320029#0,2087343#3,643515#-0,4441525#0,2028924#3,625739#-0,1143384#-0,1997702#3,725547#-0,6821994#-0,2361638#3,68878#0,02853619#-0,5661913#3,759468#-0,3051443#-0,4318032#3,664811#0,002735982#-0,6132215#3,662115#-0,3015191#-0,476518#3,577165#1  
