frame1 #-0,002963368#0,8887594#3,41645#0,05486475#0,7153735#3,425606# 0,2163801#0,1373426#3,239548#0,05284102#0,5319375#3,249469#0,2160089#0,1883174#3,283663#-0,001688629#0,5036902#3,266904#0,3142722#0,396375#3,415677#-0,1652776#0,4189485#3,332084#0,1771097#0,5931322#3,360345#-0,1249293#0,5770646#3,468782#0,04517552#0,3782487#3,436264#0,03319742#0,3130524#3,413906#0,09723072#0,2437791#3,382687#-0,03868682#0,2365487#3,436222#0,05270917#-0,2519759#3,137962#0,07708219#-0,2617998#3,128837#0,1080422#-0,5881634#3,072222#0,1008729#-0,5916618#3,072088#0,06921214#-0,6644965#3,03635#0,07448267#-0,6318036#3,001351#1  
frame38 #-0,2468883#0,894929#3,812566#-0,2123403#0,7240638#3,815891# -0,1385382#0,7304544#3,534903#-0,2906895#0,5878941#4,007975#-0,12752#0,6816902#3,604146#-0,3322867#0,6399539#4,023114#-0,05268006#0,5200438#3,563747#-0,5133619#0,5977286#4,029241#-0,139475#0,6145893#3,724761#-0,3252077#0,5945308#3,960198#-0,1851014#0,3315039#3,772469#-0,2042832#0,2581373#3,750247#-0,1668186#0,2193941#3,765117#-0,2455178#0,2102166#3,726563#-0,0886538#-0,192975#3,903553#-0,1042169#-0,2217904#3,905604#0,2392038#-0,4377455#3,901646#0,08198813#-0,5575284#3,801619#0,1749887#-0,5066423#3,848798#0,01444772#-0,6000898#3,752163#1  
frame39 #-0,3128489#0,9480298#3,787888#-0,2662197#0,7904645#3,821292# -0,2074014#0,7270908#3,537763#-0,3453814#0,6542742#4,013315#-0,1963362#0,6782257#3,606972#-0,3868649#0,7061918#4,028413#-0,1218781#0,5170451#3,567152#-0,5672414#0,6641294#4,034593#-0,2083382#0,6112257#3,727695#-0,3790872#0,6609316#3,965599#-0,2237097#0,3701108#3,797343#-0,2382846#0,2865997#3,779153#-0,1938752#0,2494235#3,795829#-0,2753123#0,2303441#3,750519#-0,1113885#-0,1736423#3,895144#-0,1759044#-0,2212721#3,908897#0,2157698#-0,4178906#3,893137#0,06872097#-0,5391275#3,802513#0,1608262#-0,4963727#3,843315#0,0001574159#-0,5831613#3,755854#1  
frame40 #-0,3564177#0,8934789#3,741627#-0,3192642#0,7891765#3,843875# -0,2604949#0,7178885#3,528462#-0,3992364#0,6529621#4,035821#-0,2493825#0,6689215#3,597638#-0,4406087#0,7047406#4,050879#-0,1753069#0,5082079#3,558402#-0,6202859#0,6628414#4,057117#-0,2614318#0,6020234#3,718484#-0,4321316#0,6596435#3,988182#-0,2502716#0,3636598#3,799234#-0,2612428#0,2787268#3,779511#-0,2156065#0,2447095#3,791714#-0,2980586#0,2237926#3,75461#-0,1397955#-0,1777095#3,891409#-0,4926576#-0,1750046#3,749995#-0,03984546#-0,4913552#3,882474#-0,1655488#-0,415243#3,766002#0,03006568#-0,5503983#3,825222#-0,236593#-0,4600548#3,724112#1  
frame41 #-0,4236533#0,8269649#3,747763#-0,3606585#0,7814877#3,870754# -0,2998619#0,7270816#3,547035#-0,4414156#0,6452518#4,062838#-0,2887036#0,6780152#3,616178#-0,4826792#0,6968942#4,077856#-0,2149981#0,5177541#3,577436#-0,6616802#0,6551526#4,084078#-0,3007988#0,6112165#3,736932#-0,4735259#0,6519548#4,01506#-0,3003754#0,3984035#3,814768#-0,3124757#0,3222848#3,791772#-0,2738658#0,2810765#3,801394#-0,3417954#0,2749542#3,764337#-0,1646612#-0,1391319#3,870721#-0,5005657#-0,139335#3,750547#-0,05492358#-0,4883649#3,873261#-0,1799023#-0,388586#3,749733#0,01199466#-0,5427619#3,80773#-0,2518288#-0,432601#3,707782#1  
frame42 #-0,4876137#0,820221#3,79224#-0,3679686#0,7768973#3,881055# -0,3055555#0,7326796#3,562476#-0,4494814#0,5969895#3,536702#-0,2944559#0,6837404#3,631661#-0,4906387#0,6484988#3,551681#-0,2202752#0,5228983#3,592248#-0,5419399#0,6350068#3,756839#-0,3064924#0,6168145#3,752424#-0,480836#0,6473644#4,025362#-0,3206009#0,3921938#3,820923#-0,3363447#0,3167405#3,796534#-0,2988935#0,275261#3,806011#-0,3696997#0,2670354#3,767292#-0,170333#-0,161359#3,883267#-0,5804344#-0,1571502#3,76854#-0,06659718#-0,4648179#3,859409#-0,2389527#-0,3780923#3,754948#-0,001396812#-0,5307882#3,802901#-0,3108711#-0,4212661#3,711548#1  
frame43 #-0,5865912#0,8195271#3,770928#-0,4759907#0,7724305#3,867607# -0,4583198#0,6814846#3,60461#-0,5156966#0,596728#3,548945#-0,4503946#0,6609123#3,677834#-0,5570562#0,6484906#3,563998#-0,4294849#0,4785202#3,665023#-0,642585#0,6292889#3,740851#-0,3198731#0,6025711#3,774978#-0,5888581#0,6428976#4,011914#-0,3776796#0,3999032#3,829367#-0,3735179#0,3238201#3,800725#-0,2986191#0,2699202#3,816846#-0,4300155#0,2490706#3,750359#-0,1578825#-0,2201746#3,903425#-0,6271731#-0,1588828#3,790888#-0,02667075#-0,4881585#3,834306#-0,279655#-0,372066#3,754528#-0,0005116481#-0,560905#3,758607#-0,3354085#-0,4177883#3,694089#1  
frame44 #-0,5291076#0,7850145#3,828767#-0,3630327#0,6995203#3,87162# -0,3583566#0,6731264#3,654567#-0,6260955#0,6707972#3,534641#-0,3471537#0,6239632#3,723678#-0,6245486#0,6526884#3,59392#-0,293006#0,4208#3,721449#-0,6199081#0,598362#3,785172#-0,3209952#0,6024009#3,776701#-0,4759001#0,5699874#4,015927#-0,3685013#0,3329147#3,806662#-0,3960079#0,2655209#3,780649#-0,3585542#0,2292581#3,795361#-0,4365645#0,2281407#3,747236#-0,1587683#-0,2365702#3,903177#-0,6584294#-0,1700674#3,811198#-0,02762475#-0,5174323#3,812646#-0,3060668#-0,3719094#3,760349#0,007028611#-0,5854214#3,73655#-0,3794143#-0,4128432#3,718799#1  
frame45 #-0,4607135#0,8510956#3,9624#-0,3734584#0,6957808#3,885293# -0,1860872#0,5457174#3,645351#-0,6505626#0,6638722#3,566275#-0,1536195#0,5462514#3,698183#-0,6509249#0,6445904#3,625154#-0,2236324#0,3826267#3,765197#-0,6520119#0,5867451#3,815207#-0,3176299#0,5961422#3,791449#-0,4863259#0,5662478#4,0296#-0,3750918#0,3250347#3,809192#-0,4018251#0,2566522#3,780586#-0,3636454#0,2094723#3,787285#-0,4477839#0,2171877#3,750959#-0,1585049#-0,2388939#3,904042#-0,6699224#-0,1607844#3,815677#-0,03533991#-0,50533#3,81524#-0,3189462#-0,3629882#3,761426#0,0003444552#-0,5763233#3,742837#-0,3901923#-0,4039867#3,71692#1  
frame46 #-0,4671625#0,8732862#3,960783#-0,4251104#0,7001522#3,881156# -0,18549#0,6226996#3,627435#-0,6646482#0,5483329#3,602252#-0,1938711#0,568179#3,656142#-0,7057062#0,5997181#3,617195#-0,2190143#0,404617#3,755682#-0,7091497#0,5643596#3,813751#-0,3139431#0,5677685#3,789373#-0,5379778#0,5706192#4,025463#-0,4174206#0,3205938#3,809336#-0,4378095#0,2511962#3,777039#-0,3808321#0,1967278#3,778031#-0,5031768#0,2094841#3,752819#-0,1649479#-0,2320047#3,900659#-0,724952#-0,1724212#3,840353#-0,03704225#-0,4995771#3,828261#-0,3660499#-0,3566552#3,767891#-0,02538616#-0,5551062#3,772792#-0,4283195#-0,3983045#3,712193#1  
frame47 #-0,4777978#0,8662007#3,961787#-0,4232071#0,6974615#3,876915# -0,1914287#0,6145709#3,550333#-0,5928968#0,5292146#3,708429#-0,1964508#0,5607671#3,581219#-0,6338582#0,580479#3,723337#-0,211517#0,3993558#3,687311#-0,8155624#0,5380915#3,729514#-0,316148#0,5634578#3,7869#-0,5696821#0,5951336#3,766335#-0,4382744#0,3101256#3,813254#-0,4373679#0,240757#3,770586#-0,3831797#0,1749988#3,763845#-0,4975786#0,1933133#3,74585#-0,1632795#-0,2349719#3,898107#-0,723744#-0,1728501#3,839343#-0,04663058#-0,5096453#3,810889#-0,3743781#-0,370998#3,755116#-0,03609437#-0,5527965#3,728994#-0,3638419#-0,4141491#3,673222#1  
frame48 #-0,4787523#0,869098#3,96099#-0,4247544#0,6989384#3,879549# -0,193255#0,613957#3,549545#-0,5608444#0,5057184#3,731886#-0,1982769#0,5601546#3,58043#-0,6017112#0,5568643#3,74676#-0,2133427#0,3987472#3,686517#-0,7834132#0,5144928#3,752904#-0,3225482#0,563168#3,783516#-0,5696783#0,595678#3,766887#-0,441394#0,308852#3,815189#-0,4415057#0,2397578#3,769905#-0,3840057#0,175119#3,76352#-0,5063939#0,1938889#3,745719#-0,1620524#-0,2027232#3,88803#-0,7231932#-0,1719303#3,836414#-0,04964633#-0,5002017#3,810867#-0,803718#-0,5344055#3,750349#-0,04009004#-0,5434012#3,72902#-0,7941617#-0,5776051#3,668502#1  
frame49 #-0,5153972#0,871596#3,945151#-0,4851078#0,6984922#3,854202# -0,2685904#0,2069075#3,532701#-1,017926#0,5384746#3,830196#-0,2616181#0,2583067#3,567206#-0,960119#0,5325382#3,807741#-0,2407012#0,4125041#3,684095#-0,7866983#0,514729#3,753749#-0,3888714#0,6054348#3,779345#-0,6048299#0,6033716#3,784091#-0,4492163#0,3096394#3,815378#-0,4467957#0,2397021#3,769778#-0,3871659#0,1780345#3,765527#-0,5082856#0,194475#3,746114#-0,1574176#-0,199583#3,883925#-0,7582387#-0,2175382#3,841085#-0,04823986#-0,5004028#3,809383#-0,8056228#-0,5369877#3,747005#-0,04965782#-0,5432692#3,72678#-0,8568668#-0,6235898#3,758655#1  
frame50 #-0,5102583#0,8710526#3,947194#-0,4783509#0,6982296#3,856144# -0,2790169#0,1577994#3,633116#-1,040164#0,4898095#3,767185#-0,2686816#0,218783#3,640725#-0,977965#0,4920329#3,770367#-0,2376754#0,4017339#3,67693#-0,7913693#0,4987032#3,79329#-0,3471009#0,5947616#3,778903#-0,6051116#0,6032687#3,78626#-0,4527739#0,3104859#3,816704#-0,4517362#0,2418092#3,769933#-0,3885918#0,1792784#3,764989#-0,5164183#0,1936081#3,748317#-0,153014#-0,2099918#3,874817#-0,7570212#-0,2155167#3,84311#-0,04153086#-0,5064164#3,800232#-0,8055588#-0,5335767#3,746969#-0,04271178#-0,5492224#3,717817#-0,844232#-0,6021835#3,757096#1  
frame51 #-0,5171848#0,9102173#3,942627#-0,481616#0,73039#3,893207# -0,3083117#0,1858191#3,560623#-1,05663#0,5664692#3,940589#-0,2909411#0,2399731#3,586202#-1,003633#0,5079172#3,896649#-0,2388293#0,402435#3,676331#-0,7920907#0,4873839#3,802494#-0,3472411#0,5966542#3,780053#-0,6039364#0,603707#3,787487#-0,4593812#0,3127632#3,821141#-0,4568939#0,2440194#3,771397#-0,3934586#0,1833759#3,765684#-0,5193731#0,1942807#3,749099#-0,1490668#-0,1955758#3,863874#-0,7570533#-0,214881#3,842811#-0,05220647#-0,4942972#3,801934#-0,8038286#-0,5342855#3,747893#-0,05332087#-0,5377736#3,720013#-0,841839#-0,6028712#3,75605#1  
frame52 #-0,5088362#0,8584838#3,954232#-0,4626313#0,6915855#3,852921# -0,3499053#0,533941#3,484307#-1,086734#0,495369#3,950759#-0,3220004#0,5008023#3,529223#-1,006488#0,4879738#3,910095#-0,2382858#0,401386#3,677374#-0,7915112#0,4804414#3,822003#-0,3429432#0,5838899#3,775457#-0,5964259#0,6053498#3,786729#-0,4621206#0,3074524#3,817166#-0,4614688#0,2378716#3,766862#-0,4044673#0,1795596#3,757277#-0,5207478#0,1857121#3,747957#-0,1444368#-0,1878826#3,857211#-0,7577496#-0,2143758#3,843197#-0,05364762#-0,4944543#3,802196#-0,802041#-0,5343063#3,748497#-0,05521753#-0,5371706#3,720004#-0,841109#-0,6020824#3,757504#1  
frame53 #-0,5137397#0,9140221#3,953679#-0,4837541#0,7359734#3,877931# -0,3448743#0,535129#3,482203#-1,007779#0,4058193#3,916881#-0,3181877#0,5016401#3,527676#-0,9482475#0,4161671#3,889048#-0,238128#0,4011732#3,677529#-0,7894406#0,4776794#3,820458#-0,344227#0,5890219#3,777026#-0,5956774#0,6052997#3,786682#-0,4626907#0,3095264#3,818979#-0,4613867#0,2394614#3,767194#-0,4048183#0,1817663#3,758258#-0,5178281#0,1890796#3,747991#-0,1464975#-0,1774897#3,849925#-0,764837#-0,2220443#3,84303#-0,05261435#-0,5069862#3,803367#-0,8023645#-0,5358515#3,7482#-0,05383698#-0,5499198#3,721443#-0,8391205#-0,6076028#3,754494#1  
frame54 #-0,5093209#0,8697249#3,944321#-0,4540035#0,7001587#3,858587# -0,313368#0,5392184#3,472387#-0,9891818#0,351396#3,91433#-0,2932022#0,5040426#3,520042#-0,9297813#0,3617212#3,886558#-0,2327049#0,3985154#3,676454#-0,7769624#0,4552802#3,844069#-0,3379787#0,5859431#3,774341#-0,5873905#0,6012211#3,785252#-0,4619966#0,3093168#3,820105#-0,4614269#0,2392015#3,767283#-0,404673#0,181656#3,758446#-0,5187904#0,1877854#3,748499#-0,1473736#-0,1761725#3,848648#-0,7652578#-0,2223078#3,844241#-0,0517205#-0,5069751#3,802651#-0,8031024#-0,5360873#3,747833#-0,04339325#-0,5822677#3,76193#-0,8049899#-0,5786446#3,666117#1  
frame55 #-0,4992349#0,8692724#3,947136#-0,4385188#0,7005515#3,863882# -0,3084695#0,5475568#3,484576#-1,141168#0,2431284#3,956838#-0,287203#0,5082438#3,52859#-0,9465932#0,3244306#3,901304#-0,2234035#0,3903049#3,674072#-0,7378148#0,4550325#3,850097#-0,3107181#0,5476714#3,755472#-0,5566732#0,604954#3,77883#-0,4582173#0,3064556#3,82243#-0,4604342#0,2377391#3,768542#-0,4007252#0,179372#3,761028#-0,5210482#0,18634#3,750263#-0,1466685#-0,1765172#3,84918#-0,7648535#-0,2258097#3,847446#-0,04985445#-0,5022845#3,803874#-0,8036964#-0,5272251#3,756989#-0,05529194#-0,5666263#3,759394#-0,8064375#-0,5699167#3,675264#1  
frame56 #-0,4568512#0,8860728#3,95407#-0,386579#0,7166421#3,892682# -0,3003247#0,5422153#3,472578#-1,028626#0,2753919#3,897974#-0,2815437#0,5058618#3,520073#-0,9536105#0,3224803#3,883041#-0,2252005#0,3968014#3,676019#-0,7419453#0,4483027#3,832384#-0,3090373#0,5802557#3,760016#-0,5570704#0,604399#3,780068#-0,4381965#0,3086446#3,823793#-0,4493852#0,2410098#3,7675#-0,3975677#0,1809176#3,759302#-0,5084148#0,1915844#3,74803#-0,1465529#-0,1753857#3,850217#-0,763464#-0,2310676#3,850168#-0,04925755#-0,502292#3,802639#-0,8048961#-0,5240526#3,756891#-0,05162175#-0,5667892#3,758699#-0,8085827#-0,5675677#3,676079#1  
frame57 #-0,4588476#0,8775656#3,95716#-0,4135112#0,7057136#3,86506# -0,3240391#0,5605819#3,515941#-1,03551#0,3163506#3,902339#-0,2917202#0,5187572#3,550519#-0,9546541#0,3496699#3,881921#-0,1947636#0,3932829#3,667722#-0,7346208#0,4631085#3,828759#-0,3070921#0,5947112#3,765463#-0,5375855#0,603188#3,76989#-0,4293312#0,3137921#3,826128#-0,4327216#0,2473193#3,768151#-0,3770558#0,1940695#3,761017#-0,4875324#0,1986842#3,748782#-0,1440434#-0,1750385#3,850649#-0,7150525#-0,1765583#3,830709#-0,04960186#-0,4960192#3,803306#-0,8071146#-0,538056#3,757581#-0,04979823#-0,5384741#3,722037#-0,807311#-0,5805108#3,676312#1  
frame58 #-0,4655756#0,8730005#3,955841#-0,396138#0,7072485#3,869561# -0,2983743#0,5651743#3,499954#-1,03967#0,3211693#3,906971#-0,2714342#0,5220357#3,537884#-0,9595135#0,353606#3,882578#-0,1906142#0,3926198#3,665143#-0,7349458#0,4602686#3,828907#-0,3063608#0,5967765#3,766215#-0,5340939#0,5945222#3,766181#-0,4216278#0,3137904#3,826979#-0,4262056#0,2476905#3,769037#-0,3707314#0,196157#3,763273#-0,4848042#0,1982873#3,748839#-0,1405689#-0,17396#3,852942#-0,7149926#-0,1766328#3,830896#-0,05031867#-0,4943325#3,806747#-0,7941427#-0,5278181#3,756196#-0,04490536#-0,5618107#3,768784#-0,8442711#-0,5865056#3,748026#1  
frame59 #-0,4630302#0,8706332#3,953879#-0,3909435#0,7059104#3,866703# -0,2905192#0,5533161#3,481213#-1,043226#0,3272188#3,911034#-0,2649862#0,5136883#3,524068#-0,9630042#0,3582839#3,885046#-0,1883871#0,3948051#3,666105#-0,735518#0,4590797#3,828111#-0,3057083#0,5988783#3,767203#-0,5306368#0,5876837#3,763167#-0,4186356#0,3143009#3,826789#-0,4234342#0,2483635#3,768926#-0,3701263#0,1970298#3,763424#-0,4803207#0,1988304#3,749095#-0,1390665#-0,1733857#3,852695#-0,7145902#-0,1765932#3,83077#-0,04979897#-0,4936509#3,807616#-0,7841188#-0,519249#3,762089#-0,04096555#-0,5708412#3,750114#-0,7829311#-0,5614723#3,68127#1  
