frame1 #-0,01836594#0,9125866#3,467059#0,02698838#0,7209015#3,49913# 0,1741271#0,1726052#3,295339#-0,1931642#0,6779624#3,35523#0,187716#0,2224098#3,34259#-0,1873617#0,6135381#3,36965#0,2985576#0,4087027#3,472244#-0,169954#0,4202653#3,425778#0,1522934#0,5968176#3,41116#-0,1458919#0,6053585#3,556451#0,01590458#0,3862288#3,509183#-0,002670291#0,3231879#3,480538#0,05874735#0,245179#3,43774#-0,07543603#0,2490224#3,511298#0,02968289#-0,2459087#3,201528#0,03554222#-0,3372222#3,183216#0,04846102#-0,5994621#3,101552#0,05830917#-0,5977938#3,102137#0,01889672#-0,6669079#3,05473#-0,01268773#-0,6892402#3,125296#1  
frame38 #-0,1099011#0,9489033#3,832749#-0,01096385#0,8009175#3,803956# 0,1484943#0,2505638#3,51736#-0,3378629#0,6706297#3,849104#0,134137#0,3041387#3,549898#-0,2801844#0,6734996#3,87739#0,2590703#0,5199867#3,617598#-0,1695657#0,6258842#4,037246#0,0877422#0,6625488#3,650878#-0,1457915#0,7038872#3,892809#0,02495628#0,4398168#3,776772#-0,007514229#0,3737537#3,735739#0,04362541#0,3091427#3,651906#-0,05154305#0,2742338#3,785245#-0,1041811#-0,2283739#3,712486#0,03425311#-0,2143307#3,825838#0,04846758#-0,5698142#3,687407#0,1551329#-0,4431591#3,530086#-0,05098054#-0,6388047#3,701036#0,07752161#-0,510942#3,595027#1  
frame39 #-0,08953121#0,9270752#3,846231#-0,01059984#0,7225807#3,806802# 0,1267609#0,2289873#3,505755#-0,3363124#0,6873497#3,86007#0,1345271#0,3172722#3,499347#-0,3146396#0,6721958#3,8291#0,240998#0,5219066#3,618766#-0,2464834#0,684548#4,016705#0,08787829#0,6620696#3,657212#-0,1454275#0,6255503#3,895655#0,02218324#0,4255257#3,780386#-0,009702628#0,3690634#3,739562#0,03609693#0,3009399#3,654219#-0,0547214#0,2568342#3,793728#-0,1444211#-0,2162723#3,730315#-0,01593993#-0,2029596#3,8203#0,02552494#-0,5492493#3,707774#0,1059351#-0,430863#3,524415#-0,08359182#-0,6018653#3,716396#0,03052995#-0,4928517#3,59667#1  
frame40 #-0,08527354#0,9189523#3,847746#-0,01344055#0,6875127#3,803835# 0,1083538#0,2814251#3,4278#-0,3861263#0,7077878#3,878112#0,1272152#0,3372969#3,451579#-0,3830112#0,6771486#3,884275#0,2298025#0,500158#3,619826#-0,2284342#0,6926512#4,001375#0,08641613#0,656601#3,663393#-0,1482682#0,5904823#3,892689#0,02167471#0,4052767#3,78652#-0,009737041#0,3554456#3,746889#0,03478552#0,286044#3,661139#-0,05262251#0,2419011#3,799845#-0,1554792#-0,2062991#3,748908#-0,06091724#-0,2185979#3,80014#-0,01524717#-0,5514175#3,749408#0,06082539#-0,4462537#3,504528#-0,1072522#-0,6021739#3,737453#0,0004535541#-0,4975249#3,596041#1  
frame41 #-0,09297578#0,9222203#3,860461#-0,01639973#0,7028137#3,809561# 0,1048759#0,3699473#3,388385#-0,4313922#0,7096747#3,929325#0,1326779#0,3899267#3,463183#-0,3970867#0,6753167#3,949397#0,1998717#0,4916476#3,616952#-0,2214947#0,6917372#4,022014#0,08155961#0,6543136#3,669908#-0,1512274#0,6057835#3,898414#0,01950561#0,4032069#3,787779#-0,01282759#0,3503307#3,748839#0,03109269#0,283567#3,663795#-0,05438789#0,239827#3,800194#-0,1622#-0,2041176#3,767017#-0,06264752#-0,2188882#3,80027#-0,01977746#-0,5478423#3,775449#0,05915596#-0,4466578#3,504514#-0,1293549#-0,5985298#3,771196#-0,001966916#-0,4981937#3,595082#1  
frame42 #-0,09591424#0,9192909#3,857432#-0,01617656#0,6942855#3,8086# 0,1174076#0,4540725#3,404993#-0,4048703#0,6716782#3,993201#0,1197862#0,4552115#3,410931#-0,3499411#0,6611717#3,994545#0,1961902#0,4917968#3,614824#-0,1699525#0,7037343#4,022392#0,07413443#0,6498289#3,673677#-0,1510043#0,5972551#3,897453#0,0166736#0,3942646#3,789623#-0,01604972#0,3414317#3,75177#0,02406359#0,2747577#3,664052#-0,05730515#0,218352#3,808097#-0,2209938#-0,1883359#3,778569#-0,07292426#-0,2594783#3,795626#-0,0008131564#-0,4890318#3,785369#0,04903609#-0,4875412#3,499489#-0,1106548#-0,5379172#3,7959#-0,03183937#-0,5196422#3,583122#1  
frame43 #-0,09859254#0,9169405#3,858799#-0,02104723#0,6910502#3,809183# 0,04841384#0,4054748#3,336078#-0,407877#0,5811842#3,993183#0,07200516#0,414092#3,392396#-0,3449168#0,5929574#3,993184#0,1427791#0,4399434#3,574515#-0,1817221#0,6746278#4,036688#0,06319232#0,6443487#3,676189#-0,1558749#0,5940199#3,898036#0,009665076#0,3824271#3,792245#-0,02333828#0,3270652#3,755354#0,01630738#0,2644355#3,670582#-0,06038688#0,2134218#3,808455#-0,2596453#-0,2133016#3,798973#-0,1799275#-0,2391434#3,815938#-0,01080261#-0,4923079#3,789812#-0,05793054#-0,4672748#3,519696#-0,08046933#-0,5390259#3,727063#-0,1343965#-0,5080228#3,603392#1  
frame44 #-0,09838507#0,9044885#3,865354#-0,03178215#0,6692854#3,807268# 0,03226435#0,4129802#3,315993#-0,4148868#0,5690876#3,990489#0,05579285#0,4215744#3,372161#-0,3518842#0,5808687#3,990491#0,1263784#0,447357#3,553845#-0,1852846#0,6538339#4,034684#0,02962465#0,6355614#3,668201#-0,1666098#0,5722551#3,896121#0,007095112#0,2975346#3,779271#-0,02564556#0,2305284#3,742898#0,01459351#0,2126836#3,710511#-0,06346823#0,1521762#3,758102#-0,2745886#-0,2047639#3,793656#-0,1962943#-0,275544#3,827438#-0,03665647#-0,4900521#3,814058#-0,07425526#-0,5037542#3,531073#-0,1102842#-0,536948#3,756476#-0,1478829#-0,5506502#3,473491#1  
frame45 #-0,1337904#0,8893327#3,853967#-0,05170663#0,724188#3,812209# -0,01341931#0,4688421#3,288614#-0,4308873#0,6220096#3,994463#0,01142275#0,4757199#3,344229#-0,3679079#0,6337864#3,994464#0,08594892#0,496353#3,524265#-0,2025556#0,7075722#4,039774#0,02505409#0,6279775#3,663224#-0,1865343#0,6271577#3,901062#-0,008312751#0,3282351#3,781601#-0,0386792#0,2535386#3,74317#0,01192602#0,2160305#3,715215#-0,09258507#0,2095294#3,746379#-0,2747341#-0,2048787#3,794102#-0,4792202#-0,0259697#3,697064#-0,02646369#-0,4833225#3,798548#-0,4454967#-0,3858889#3,76818#-0,09715798#-0,5300851#3,738722#-0,5161909#-0,4326516#3,708354#1  
frame46 #-0,1328577#0,8990126#3,858602#-0,06161555#0,7333537#3,8222# -0,02391957#0,4399714#3,291502#-0,4403965#0,6314263#4,004668#-6,109476E-05#0,4478084#3,347214#-0,3774975#0,6431881#4,004669#0,07151433#0,4713193#3,527547#-0,2124152#0,7164905#4,049242#0,007868472#0,6182173#3,642787#-0,1964432#0,6363235#3,911053#-0,0265823#0,3431022#3,781635#-0,0634513#0,2728991#3,743604#-0,01229354#0,2298735#3,719441#-0,1104706#0,221808#3,746551#-0,269791#-0,1895309#3,785079#-0,5047532#0,002674654#3,692825#-0,03009564#-0,4749174#3,790805#-0,4786875#-0,3583915#3,761#-0,1050353#-0,5208226#3,736144#-0,5536271#-0,4042967#3,706339#1  
frame47 #-0,1527459#0,9611101#3,867318#-0,1071567#0,7866461#3,841078# -0,05768732#0,4875154#3,234704#-0,4858751#0,684862#4,023664#-0,0343624#0,4960352#3,290386#-0,4227974#0,6966571#4,023664#0,03561234#0,5215946#3,470654#-0,2579195#0,7695975#4,067698#-0,08615152#0,5844977#3,664974#-0,2419844#0,6896157#3,929931#-0,03600345#0,3433646#3,783622#-0,07311682#0,2625414#3,749015#-0,03357778#0,2206057#3,736126#-0,1127461#0,2171812#3,747573#-0,01454843#-0,2757243#3,891776#-0,3221509#-0,2494664#3,794027#0,05862723#-0,5813509#3,798891#-0,4901867#-0,5798007#3,825072#0,1068845#-0,6303833#3,744102#-0,570069#-0,6269378#3,779218#1  
frame48 #-0,1811422#0,9325862#3,893254#-0,1420751#0,762044#3,806871# -0,09432898#0,4834034#3,226808#-0,5206437#0,6604584#3,989663#-0,07107426#0,4918976#3,282323#-0,4573989#0,6722848#3,989663#-0,001310114#0,5173801#3,462096#-0,2927899#0,7447548#4,032982#-0,1210699#0,5598957#3,630768#-0,2769028#0,6650137#3,895724#-0,08840428#0,3283614#3,787771#-0,1238997#0,2432657#3,759343#-0,08364116#0,2028618#3,752764#-0,161207#0,1994347#3,756057#-0,01882212#-0,2733469#3,900334#-0,3242821#-0,2507343#3,792619#0,06118698#-0,579482#3,79733#-0,4992799#-0,5784997#3,823138#0,1071738#-0,6323747#3,74424#-0,5791881#-0,6261351#3,777907#1  
frame49 #-0,2239151#0,8795034#3,903444#-0,113572#0,7736976#3,755747# -0,07089859#0,4945482#3,175058#-0,4919781#0,6723118#3,938717#-0,04771383#0,5030168#3,230406#-0,4285767#0,6841676#3,938717#0,02184046#0,5284227#3,409695#-0,264239#0,7561685#3,981335#-0,0925668#0,5715493#3,579644#-0,2483997#0,6766673#3,8446#-0,08258256#0,3310719#3,775647#-0,1209392#0,2446812#3,752543#-0,0818031#0,2075468#3,749251#-0,158267#0,1954201#3,747285#-0,02203652#-0,2392733#3,909065#-0,3569265#-0,2503321#3,783337#0,06158276#-0,5675038#3,798379#-0,5130216#-0,5756817#3,825399#-0,01816208#-0,6151085#3,753322#-0,6121306#-0,6165956#3,816952#1  
frame50 #-0,2600791#0,8914723#3,959857#-0,149736#0,7856666#3,812264# -0,0852389#0,5332133#3,311983#-0,5274971#0,6845419#3,995526#-0,0621123#0,5416606#3,367192#-0,4644728#0,696327#3,995526#0,007267516#0,5670027#3,546029#-0,3003633#0,7679381#4,037512#-0,1071397#0,6101293#3,715909#-0,2845637#0,6886362#3,901117#-0,1201863#0,3366042#3,793439#-0,1536499#0,2527631#3,755924#-0,1073457#0,2148283#3,761117#-0,2079921#0,2003808#3,736687#-0,02424747#-0,2271741#3,90967#-0,4004749#-0,2594834#3,775662#0,057583#-0,561362#3,807656#-0,590508#-0,5848642#3,781433#0,100237#-0,6245607#3,75644#-0,5983461#-0,6635504#3,745095#1  
frame51 #-0,3201624#0,9043045#3,97224#-0,2098194#0,7984987#3,824724# -0,1380988#0,5323038#3,311526#-0,587218#0,6975852#4,008254#-0,1150317#0,5407293#3,366593#-0,5242791#0,7093545#4,008254#-0,04583068#0,5660062#3,544978#-0,3604059#0,7805659#4,049605#-0,1602379#0,6091328#3,714807#-0,344647#0,7014684#3,913577#-0,1507483#0,3815834#3,81552#-0,1783897#0,300113#3,779408#-0,1341724#0,2555196#3,800403#-0,2134521#0,2244931#3,742893#-0,02888898#-0,2364396#3,913607#-0,4244473#-0,2547179#3,770089#0,06718151#-0,5791657#3,795812#-0,6025363#-0,5887805#3,771662#0,1075616#-0,6345816#3,742521#-0,5933064#-0,6718186#3,74798#1  
frame52 #-0,3484859#0,9598921#3,890688#-0,2576286#0,8037457#3,844299# -0,1642492#0,563135#3,332525#-0,6347196#0,7030275#4,028077#-0,1412396#0,5715397#3,387455#-0,5718191#0,7147896#4,028077#-0,07221074#0,5967537#3,565407#-0,4081759#0,785616#4,06882#-0,186618#0,6398802#3,735193#-0,3924562#0,7067154#3,933152#-0,1793827#0,4374229#3,831906#-0,2015896#0,3651616#3,792944#-0,1526442#0,2980949#3,830405#-0,2323104#0,2895941#3,7345#-0,03297048#-0,2364809#3,916064#-0,4514999#-0,24933#3,769732#0,06987353#-0,5820827#3,793357#-0,6274941#-0,587015#3,756724#0,1090375#-0,6372804#3,739178#-0,629744#-0,6701862#3,732364#1  
frame53 #-0,4126945#0,9362505#3,889117#-0,2969208#0,7982196#3,833844# -0,2024581#0,5648026#3,337464#-0,6733888#0,6977597#4,017888#-0,1795077#0,5731856#3,392253#-0,6108309#0,7094577#4,017888#-0,1106567#0,5983346#3,569753#-0,4474277#0,7798867#4,058002#-0,2250639#0,6414612#3,739486#-0,4317485#0,7011893#3,922698#-0,2158486#0,4411879#3,823513#-0,2363667#0,3707311#3,783126#-0,1862756#0,2973421#3,821897#-0,2659065#0,2991059#3,722675#-0,03527047#-0,238646#3,91502#-0,5098045#-0,2543214#3,765537#0,06960439#-0,5835131#3,791515#-0,6822239#-0,5892287#3,754854#0,1099261#-0,6378574#3,738451#-0,7423803#-0,6369707#3,688997#1  
frame54 #-0,3856638#0,9580194#3,838493#-0,3290782#0,7964572#3,858459# -0,269976#0,5878423#3,341372#-0,7106283#0,5918148#3,577686#-0,2470374#0,5962211#3,396132#-0,648141#0,6034996#3,577686#-0,1782215#0,6213573#3,573524#-0,5026711#0,6571948#3,685061#-0,2926287#0,6644838#3,743209#-0,4639059#0,6994269#3,947312#-0,2301388#0,4426487#3,823022#-0,2535726#0,3714094#3,78501#-0,2122909#0,3025514#3,820672#-0,2761947#0,3020895#3,723629#-0,03560895#-0,2428831#3,908535#-0,4733692#-0,1649545#3,761127#0,07112782#-0,5755231#3,787439#-0,6556348#-0,4998662#3,752262#0,001770772#-0,6235325#3,731926#-0,7249918#-0,5478755#3,696749#1  
frame55 #-0,3869892#0,9680274#3,862092#-0,3489841#0,7977338#3,872271# -0,3422661#0,5769764#3,32881#-0,7660086#0,5781059#3,621758#-0,3192608#0,5853794#3,38373#-0,7034855#0,5897974#3,621758#-0,2502449#0,6105886#3,561607#-0,547613#0,6459719#3,706236#-0,3646522#0,6537152#3,731307#-0,4838117#0,7007034#3,961124#-0,2531007#0,4413959#3,820612#-0,2831241#0,3681622#3,788446#-0,2472726#0,3098589#3,821426#-0,3037208#0,3080435#3,728862#-0,03789236#-0,2450411#3,898762#-0,5388939#-0,1937102#3,765865#0,0712855#-0,5773094#3,787394#-0,691644#-0,5449733#3,756151#0,1051316#-0,628287#3,727311#-0,7715639#-0,5932813#3,717969#1  
frame56 #-0,4639646#0,9285293#3,891935#-0,3526708#0,7886474#3,883847# -0,3460797#0,5330175#3,411866#-0,8134805#0,5650144#3,670925#-0,3230283#0,5414374#3,466896#-0,7509922#0,5766994#3,670925#-0,2538741#0,5666972#3,645112#-0,5851726#0,6312319#3,731007#-0,3920176#0,6686943#3,746981#-0,4874984#0,6916171#3,9727#-0,2858053#0,3815478#3,810664#-0,3225575#0,3038903#3,775662#-0,2930752#0,2784301#3,787713#-0,348051#0,2718761#3,747869#-0,04262064#-0,2511221#3,886489#-0,5495974#-0,1932194#3,767011#0,07605404#-0,5569285#3,770463#-0,6979541#-0,5479119#3,757056#-0,007015511#-0,6022718#3,737845#-0,7810236#-0,5932552#3,724437#1  
frame57 #-0,398269#0,9577976#3,907706#-0,3487487#0,7843266#3,888842# -0,09279579#0,4260095#3,532179#-0,905303#0,5659548#3,704776#-0,1145609#0,4613074#3,575858#-0,8428616#0,577631#3,704776#-0,1798563#0,5672013#3,720036#-0,6447628#0,6343656#3,775898#-0,4033102#0,6651219#3,761324#-0,4835764#0,6872963#3,977695#-0,2875425#0,3550242#3,801404#-0,328356#0,2675315#3,764468#-0,3040079#0,2552407#3,776081#-0,3491597#0,248538#3,744104#-0,04580265#-0,2515203#3,88218#-0,5631562#-0,1427704#3,774299#0,07491224#-0,540092#3,770221#-0,6898885#-0,5077144#3,758272#-0,00924091#-0,5845574#3,741434#-0,7740417#-0,5521798#3,729486#1  
frame58 #-0,3906888#0,9213732#3,917889#-0,3547245#0,743901#3,867963# -0,104862#0,2824013#3,567239#-0,9166519#0,5457157#3,721602#-0,1274977#0,3514791#3,600654#-0,8545079#0,5573366#3,721602#-0,1954049#0,5587124#3,714005#-0,6675115#0,6048632#3,769491#-0,415282#0,6609667#3,767069#-0,4895522#0,6468706#3,956816#-0,2954416#0,3351249#3,793829#-0,3340545#0,2558489#3,761047#-0,3107536#0,233199#3,768881#-0,3560999#0,2399218#3,742729#-0,06882174#-0,1925499#3,851839#-0,6327136#-0,2394537#3,79516#0,07715168#-0,5398099#3,770216#-0,7193502#-0,5831693#3,762563#-0,006047659#-0,5842071#3,740882#-0,8025495#-0,6275665#3,733229#1  
frame59 #-0,4125721#0,9137279#3,917499#-0,3597757#0,7405875#3,864882# -0,0879619#0,2824244#3,690024#-0,9727553#0,5158285#3,757096#-0,1288418#0,3502029#3,690046#-0,9106517#0,5274415#3,757096#-0,2514815#0,5535387#3,703224#-0,6965295#0,5857566#3,803957#-0,4720552#0,655601#3,749737#-0,4946033#0,6435571#3,953735#-0,3101686#0,3141853#3,767982#-0,3558651#0,2280853#3,744701#-0,3439883#0,2215174#3,746266#-0,3657455#0,2188293#3,738115#-0,07088661#-0,1986479#3,844494#-0,6343939#-0,2383322#3,797337#0,08145392#-0,5486513#3,747802#-0,7186244#-0,5725719#3,757658#-0,00584729#-0,592617#3,741114#-0,8059256#-0,6165376#3,75097#1  
frame60 #-0,4520094#0,8672394#3,915035#-0,3689396#0,7095538#3,839632# -0,1068453#0,2816139#3,68107#-0,9270458#0,4575541#3,761692#-0,1480203#0,3447328#3,679789#-0,869452#0,4749863#3,762858#-0,2715451#0,5340897#3,689059#-0,6966707#0,527283#3,779471#-0,4859018#0,646201#3,7488#-0,5037673#0,6125234#3,928485#-0,3177306#0,3001276#3,758426#-0,362115#0,2179182#3,739047#-0,3524445#0,2057778#3,739123#-0,3711486#0,2125901#3,734154#-0,06745873#-0,2103592#3,820857#-0,6452085#-0,2363857#3,801122#0,08565962#-0,5614698#3,726721#-0,7214618#-0,5757382#3,759564#-0,001610346#-0,6058194#3,721004#-0,8087318#-0,6200878#3,753847#1  
frame61 #-0,4771579#0,8969684#3,91219#-0,3904912#0,7369182#3,880663# -0,1311499#0,2453571#3,731919#-0,9257309#0,4643548#3,755468#-0,1667043#0,317567#3,719424#-0,8690487#0,4822427#3,765042#-0,2733676#0,5341967#3,695065#-0,699002#0,5359064#3,806888#-0,4836427#0,6512672#3,763127#-0,5253189#0,6398879#3,969516#-0,3283516#0,3038121#3,768124#-0,3710335#0,2204473#3,741386#-0,3557175#0,2062854#3,740577#-0,3883034#0,215844#3,736431#-0,06402533#-0,2283641#3,804279#-0,6593362#-0,2332641#3,807823#0,08276652#-0,5764189#3,712521#-0,7356999#-0,5905176#3,764617#-0,003477797#-0,6207038#3,698042#-0,7109254#-0,6699106#3,769657#1  
frame62 #-0,4789257#0,9065447#3,916827#-0,4151792#0,7357238#3,871026# -0,155829#0,2306381#3,753496#-1,003934#0,6518534#3,927285#-0,158216#0,285497#3,728378#-0,9397131#0,5815726#3,900164#-0,1653772#0,4500735#3,666161#-0,7253675#0,5173163#3,813334#-0,3024328#0,6158223#3,765853#-0,5500069#0,6386935#3,959879#-0,3711206#0,3381741#3,801972#-0,3934338#0,2698554#3,748775#-0,3385201#0,2092396#3,739671#-0,4528097#0,2166672#3,726915#-0,06227606#-0,2378791#3,785724#-0,6615862#-0,2048607#3,808045#0,08104496#-0,5825685#3,707569#-0,7208734#-0,5378104#3,759218#0,02679229#-0,6260605#3,639289#-0,775126#-0,5813025#3,690939#1  
frame63 #-0,4745401#0,8728296#3,919819#-0,3899601#0,7121864#3,859945# -0,1677129#0,2172624#3,687809#-0,9573338#0,5564609#3,840266#-0,1676617#0,2770409#3,678944#-0,9354117#0,493898#3,830194#-0,1675083#0,4563766#3,665493#-0,7636248#0,4848107#3,786108#-0,3029369#0,6130268#3,76441#-0,5544922#0,5812237#3,753081#-0,3935731#0,3198802#3,80596#-0,3914998#0,2559249#3,744495#-0,33365#0,200236#3,734455#-0,4525682#0,2010738#3,724366#-0,06013437#-0,2490412#3,768039#-0,6784298#-0,2244011#3,815022#0,07993356#-0,5826708#3,69554#-0,7306712#-0,5835798#3,75559#0,08151332#-0,6275896#3,609038#-0,7290914#-0,6284986#3,669088#1  
frame64 #-0,4761119#0,8725367#3,919108#-0,3899032#0,7123053#3,860093# -0,1803871#0,1774741#3,769505#-1,006816#0,5376974#3,913532#-0,1783751#0,2503433#3,737916#-0,9647937#0,4740713#3,896765#-0,1723393#0,468951#3,656295#-0,7538788#0,4808025#3,821414#-0,3035356#0,6130679#3,764145#-0,5510439#0,5803123#3,750624#-0,3957675#0,3162045#3,80493#-0,3952369#0,2505479#3,74251#-0,3345099#0,1948318#3,732543#-0,458979#0,1990052#3,722649#-0,07460659#-0,2404208#3,754836#-0,6767985#-0,1996968#3,813829#0,08268654#-0,5850386#3,691411#-0,7238046#-0,588522#3,768993#0,08497604#-0,6299852#3,604896#-0,7215151#-0,6334685#3,682478#1  
frame65 #-0,4723231#0,8731394#3,916473#-0,4100835#0,7037801#3,844498# -0,1701709#0,2353591#3,709776#-0,9742412#0,4098786#3,847024#-0,1704076#0,2936018#3,693008#-0,9143096#0,4203437#3,865816#-0,1711179#0,4683298#3,655846#-0,7505019#0,4713185#3,818713#-0,3066728#0,607396#3,759993#-0,5510374#0,5796674#3,749691#-0,4014248#0,3129156#3,802708#-0,3994871#0,2474772#3,741397#-0,3356716#0,1903771#3,731492#-0,4648593#0,1982336#3,722858#-0,07438977#-0,241025#3,754291#-0,6900983#-0,2178497#3,821835#0,08231329#-0,5853374#3,685325#-0,7238909#-0,594697#3,755059#0,08421367#-0,6298965#3,598498#-0,7337679#-0,6718982#3,783806#1  
frame66 #-0,4762179#0,8652033#3,880105#-0,4502779#0,6876107#3,801636# -0,1626651#0,2100873#3,729839#-1,025832#0,3922808#3,887183#-0,1639106#0,2742371#3,707579#-0,9657521#0,4027718#3,906022#-0,1676472#0,4666864#3,653935#-0,7475001#0,4676356#3,823499#-0,3078144#0,6084477#3,759135#-0,5506496#0,5788996#3,749978#-0,406535#0,31227#3,795792#-0,400726#0,2456977#3,738516#-0,3354611#0,1902002#3,729703#-0,4643807#0,1956451#3,722057#-0,08117401#-0,1852392#3,757533#-0,6901904#-0,2183958#3,821627#0,06698293#-0,5476884#3,688828#-0,738099#-0,5510211#3,76011#0,06908605#-0,5916665#3,60224#-0,7359958#-0,5949993#3,673522#1  
frame67 #-0,4795686#0,8659719#3,88082#-0,4466918#0,68808#3,807468# -0,153077#0,2355806#3,696869#-1,053635#0,369718#3,912466#-0,156142#0,2947084#3,681789#-0,9732592#0,3923375#3,889585#-0,1653373#0,4720916#3,649686#-0,7544056#0,4725649#3,81809#-0,3083905#0,6095109#3,75898#-0,5498659#0,577217#3,750563#-0,3952132#0,3090091#3,795094#-0,3827925#0,2422449#3,737679#-0,3114766#0,1919082#3,730617#-0,4317968#0,1849268#3,721589#-0,07959667#-0,1878951#3,758255#-0,6932465#-0,2229367#3,820883#0,07030974#-0,5509318#3,688215#-0,7336403#-0,6000156#3,760145#0,07182261#-0,5949342#3,601519#-0,722755#-0,6762413#3,790182#1  
frame68 #-0,4762143#0,860538#3,887551#-0,3810946#0,702378#3,84863# -0,1439056#0,2804473#3,674142#-1,031179#0,3109899#3,891506#-0,1464901#0,343429#3,662683#-0,9524201#0,3425568#3,872933#-0,1542437#0,532374#3,641439#-0,7396162#0,4507784#3,817638#-0,3056495#0,611728#3,755868#-0,5461918#0,5733792#3,747314#-0,3911214#0,3076718#3,795444#-0,382973#0,2436621#3,737431#-0,3157471#0,1997824#3,728497#-0,4365671#0,1847333#3,7202#-0,07226636#-0,1953269#3,760448#-0,6941601#-0,2263276#3,819921#0,07372576#-0,560709#3,685914#-0,7337832#-0,6003133#3,760243#0,07374133#-0,6054056#3,599423#-0,7337676#-0,6450099#3,673752#1  
frame69 #-0,4548037#0,8720896#3,889538#-0,3821211#0,701961#3,84769# -0,1455477#0,2262539#3,702054#-0,9971151#0,3098934#3,880842#-0,1446654#0,2852011#3,685608#-0,9195231#0,3434741#3,859192#-0,1420187#0,4620427#3,64941#-0,7175714#0,4562415#3,781716#-0,303553#0,6122661#3,751988#-0,546957#0,5657825#3,745002#-0,3865272#0,3078576#3,794494#-0,3815006#0,2440152#3,735839#-0,3143943#0,1985638#3,725475#-0,4369218#0,1846381#3,718671#-0,06867713#-0,1958084#3,761087#-0,6905399#-0,2284724#3,814624#0,07651963#-0,5625534#3,687211#-0,7226199#-0,5708047#3,756884#0,07510317#-0,6073692#3,60061#-0,7240363#-0,6156204#3,670283#1  
frame70 #-0,3988486#0,9087366#3,865552#-0,3803125#0,7252346#3,845921# -0,1483834#0,2115532#3,684876#-1,000512#0,2736801#3,885008#-0,1482907#0,2935643#3,673223#-0,9256173#0,3127613#3,862107#-0,1480125#0,5395973#3,651407#-0,7222947#0,4323407#3,79705#-0,3020355#0,6114354#3,750311#-0,5423127#0,5648577#3,742375#-0,37737#0,3125365#3,79574#-0,3753948#0,2453903#3,735581#-0,3101396#0,2019339#3,726877#-0,4329973#0,1836717#3,717264#-0,0493689#-0,2439179#3,777469#-0,6872694#-0,2336274#3,81136#0,08851766#-0,5906773#3,682982#-0,7292051#-0,5964075#3,759235#0,08768252#-0,6353142#3,596133#-0,7133347#-0,67269#3,787849#1  
frame71 #-0,395669#0,9482806#3,843547#-0,3828677#0,7762657#3,874485# -0,146266#0,2213479#3,734866#-0,9715349#0,2821861#3,857298#-0,1457335#0,3008586#3,711932#-0,8958447#0,3241453#3,841186#-0,144136#0,5393907#3,65629#-0,6986176#0,4500196#3,771334#-0,300755#0,6110364#3,748654#-0,5344402#0,563928#3,739908#-0,3687756#0,316967#3,79744#-0,3668896#0,2470303#3,734514#-0,3037773#0,2052785#3,726076#-0,4231915#0,1853186#3,714762#-0,04878012#-0,2439112#3,777643#-0,6793793#-0,231356#3,804249#0,08670099#-0,5887088#3,687437#-0,717002#-0,5252902#3,758791#0,08553822#-0,6340105#3,600598#-0,7181648#-0,5705919#3,671952#1  
frame72 #-0,3870005#0,9542193#3,857772#-0,3817982#0,7764236#3,875458# -0,1031122#0,2138593#3,707991#-0,9627881#0,2858032#3,854409#-0,1096713#0,2719547#3,689681#-0,8857129#0,326331#3,837108#-0,1293485#0,4462409#3,647929#-0,6860949#0,4516024#3,77096#-0,2995397#0,6117843#3,747711#-0,5212215#0,5746481#3,736192#-0,363808#0,3196613#3,798688#-0,3601279#0,2482328#3,733946#-0,2987228#0,2076582#3,727664#-0,4141837#0,1880811#3,710666#-0,05553749#-0,2095111#3,773548#-0,6667784#-0,2325282#3,796528#0,08630805#-0,5772618#3,691426#-0,7206192#-0,5549717#3,757909#0,08731394#-0,6227336#3,604411#-0,6858276#-0,6563391#3,747359#1  
frame73 #-0,3911906#0,9114037#3,906225#-0,3642487#0,7293791#3,833367# -0,1201349#0,2237476#3,69592#-0,9675781#0,2724164#3,869472#-0,1174525#0,2826869#3,679107#-0,8925903#0,3149791#3,846071#-0,1094055#0,4595051#3,641854#-0,6872029#0,4335739#3,783394#-0,2793908#0,6151346#3,743577#-0,5215593#0,5697428#3,734527#-0,3578878#0,3224659#3,796154#-0,3549861#0,2507462#3,732213#-0,2896464#0,209087#3,725586#-0,4132305#0,1876585#3,710036#-0,05412567#-0,2064754#3,774425#-0,6651365#-0,2330431#3,795172#0,08620071#-0,5753991#3,692612#-0,7193943#-0,5594701#3,756058#0,08620724#-0,6201152#3,605071#-0,7193878#-0,6041862#3,668518#1  
frame74 #-0,3838783#0,9149616#3,891535#-0,3646275#0,729602#3,832961# -0,1185641#0,268665#3,674381#-0,9549074#0,2880784#3,857454#-0,1147816#0,3316483#3,66506#-0,878062#0,3283567#3,836524#-0,1034344#0,5205982#3,650289#-0,6790062#0,4520929#3,766248#-0,2598398#0,6207509#3,742893#-0,518629#0,5666484#3,733136#-0,351939#0,3240756#3,795117#-0,3474908#0,2543897#3,732475#-0,2772314#0,2061566#3,726192#-0,4091553#0,1905307#3,710387#-0,04198718#-0,2295154#3,781054#-0,6639649#-0,2339379#3,795275#0,09121266#-0,5885693#3,690711#-0,7320049#-0,6088718#3,755953#0,07698348#-0,6659836#3,662532#-0,695065#-0,683785#3,752356#1  
