frame1 #-0,02339716#0,922067#3,436304#-0,04152276#0,7246148#3,480232# 0,2224881#0,6554378#3,33348#0,1305358#0,4595971#3,369785#0,1986345#0,6027532#3,347415#0,05168563#0,4528117#3,355145#0,1270737#0,4446992#3,402935#-0,1848648#0,4324554#3,32494#0,1238782#0,6382532#3,541655#-0,1923519#0,6161725#3,420811#-0,06419306#0,3624004#3,490625#-0,06130755#0,2904002#3,476559#0,006527565#0,2225786#3,488829#-0,135776#0,2126422#3,458458#0,009981861#-0,2547787#3,255281#-0,1681769#-0,2634711#3,45164#0,02554691#-0,6105907#3,056489#0,01089697#-0,6085504#3,057152#0,06068692#-0,661127#2,969429#0,04603697#-0,6590867#2,970091#1  
frame38 #-0,168805#0,9520969#3,517939#-0,098696#0,7831687#3,560985# 0,5200204#0,2901075#3,384265#-0,5430019#0,3580447#3,945189#0,437228#0,3527914#3,400606#-0,4831004#0,4113235#3,907421#0,2467301#0,5093505#3,461545#-0,3505954#0,5149097#3,763295#0,05136684#0,6670469#3,484571#-0,2664561#0,636223#3,677399#-0,08453672#0,423049#3,555727#-0,1082453#0,3574731#3,515392#-0,03472094#0,2847057#3,468271#-0,1844845#0,2746468#3,54205#-0,05355998#-0,1246917#3,103398#-0,181372#-0,2437691#3,499497#-0,002564171#-0,4685936#2,965891#-0,08731753#-0,5429239#3,53528#-0,01355448#-0,5200996#2,916868#-0,1512194#-0,5731586#3,54867#1  
frame39 #-0,1953508#0,9515222#3,517247#-0,1016704#0,7843277#3,562549# 0,5423576#0,3434561#3,3307#-0,5132779#0,4749527#3,97408#0,4495589#0,4013742#3,3572#-0,4665833#0,4943635#3,9279#0,2428431#0,5314435#3,429357#-0,3462942#0,5305014#3,764143#0,04090251#0,6775762#3,486767#-0,262781#0,6436076#3,669428#-0,08814405#0,4251906#3,561311#-0,1123882#0,3596822#3,521076#-0,04254367#0,2929361#3,480462#-0,1873873#0,277884#3,546192#-0,07739078#-0,06190623#3,10171#-0,2099833#-0,1747007#3,502825#-0,05613128#-0,4120688#2,932923#0,01400669#-0,5416671#3,533855#-0,08270293#-0,4711508#2,860423#-0,02648612#-0,5808414#3,47082#1  
frame40 #-0,2005707#0,9538906#3,518481#-0,1080711#0,7901964#3,564312# 0,5541498#0,4061241#3,278304#-0,5229238#0,5541376#3,954287#0,4345019#0,4617371#3,321551#-0,476472#0,5734475#3,908347#0,2218166#0,5707507#3,410638#-0,3548147#0,5617164#3,782598#0,03527453#0,6805072#3,486786#-0,2623644#0,6428602#3,670539#-0,08886015#0,4307588#3,566205#-0,1130998#0,3648034#3,526206#-0,0434879#0,2982942#3,482275#-0,1849755#0,2821217#3,555906#-0,08744549#-0,03887648#3,100827#-0,2325476#-0,1346026#3,499781#-0,1253035#-0,3602316#2,909796#-0,04810676#-0,5250196#3,526375#-0,1466777#-0,4106487#2,82883#-0,08951332#-0,5645303#3,463536#1  
frame41 #-0,2046144#0,9414027#3,526732#-0,1112455#0,7911738#3,565251# 0,5520722#0,4731487#3,219238#-0,3985979#0,7478083#3,926483#0,4520092#0,5062668#3,268641#-0,387963#0,7011825#3,887503#0,2439717#0,578941#3,401038#-0,3560585#0,5613052#3,784018#0,03243587#0,6842661#3,486388#-0,2626256#0,6411016#3,672006#-0,08750351#0,4394499#3,573042#-0,110283#0,3749481#3,535243#-0,03523465#0,3068168#3,491038#-0,1835606#0,3009217#3,568712#-0,08930148#0,03487593#3,134625#-0,1939898#-0,1055064#3,446859#-0,1617082#-0,3137262#2,896103#-0,06971936#-0,5169917#3,482676#-0,1967817#-0,3576783#2,816112#-0,1115153#-0,556784#3,420236#1  
frame42 #-0,2092293#0,9450479#3,53351#-0,1165388#0,7970611#3,569597# 0,5450733#0,5523694#3,186066#-0,424197#0,7392757#3,917457#0,436906#0,5634354#3,228828#-0,3775687#0,7221025#3,871498#0,2345449#0,611239#3,381296#-0,3589354#0,5656408#3,788192#0,02058529#0,6902791#3,486109#-0,2639676#0,642547#3,675789#-0,09249753#0,4559687#3,582573#-0,1160075#0,3919019#3,546257#-0,04086776#0,3149127#3,491544#-0,187451#0,3198387#3,59168#-0,1207586#0,03453375#3,102161#-0,1958714#-0,08481303#3,465004#-0,1942746#-0,2516252#2,922153#-0,0683722#-0,4958613#3,493717#-0,2398964#-0,2917249#2,844745#-0,1120641#-0,5360407#3,432097#1  
frame43 #-0,2191533#0,9411327#3,540294#-0,1298384#0,7985479#3,577641# 0,4646642#0,6428778#3,174199#-0,4141049#0,7595086#3,902948#0,404856#0,6344123#3,204556#-0,3696741#0,7355593#3,857975#0,208223#0,6420379#3,371487#-0,3709126#0,5666095#3,797276#0,01297704#0,6911745#3,484417#-0,2745711#0,641566#3,685227#-0,09297773#0,4568242#3,583954#-0,1164786#0,3923195#3,547365#-0,04092798#0,3175979#3,494819#-0,1875479#0,3196884#3,591266#-0,09836711#0,07338884#3,145351#-0,1948795#-0,08513996#3,468573#-0,2174975#-0,2060255#2,933835#-0,06544429#-0,4951093#3,495471#-0,27719#-0,2424912#2,863806#-0,1107161#-0,535582#3,434476#1  
frame44 #-0,2219577#0,9405553#3,54639#-0,129913#0,7987056#3,577634# 0,473707#0,7076201#3,099274#-0,4362785#0,7872714#3,923717#0,384393#0,6768537#3,161088#-0,3856025#0,7698832#3,848656#0,2137614#0,6519759#3,354468#-0,3709055#0,566857#3,797337#0,006469447#0,698486#3,484013#-0,274559#0,6415901#3,685412#-0,09206338#0,4571229#3,584533#-0,1156161#0,392305#3,548454#-0,03920309#0,3195764#3,499146#-0,1865111#0,3199826#3,590456#-0,1047758#0,08243531#3,147113#-0,1933866#-0,0850673#3,47162#-0,2312149#-0,1622437#2,976412#-0,06096919#-0,4956514#3,497037#-0,2965356#-0,1960082#2,909557#-0,1072223#-0,5363437#3,436434#1  
frame45 #-0,235245#0,9331737#3,559082#-0,1367508#0,7928096#3,581979# 0,4180185#0,78185#3,087185#-0,4424558#0,8129393#3,918149#0,3522303#0,7321796#3,137073#-0,3863238#0,7787297#3,853291#0,2085117#0,6626664#3,33433#-0,3780559#0,5606559#3,802765#-0,001692725#0,7016422#3,482384#-0,2812229#0,6344817#3,690805#-0,09182231#0,4569349#3,586236#-0,1155171#0,3923044#3,550048#-0,03867829#0,3198633#3,50001#-0,1861987#0,3198725#3,590623#-0,1719455#-0,001411066#3,130812#-0,1928932#-0,08607084#3,476502#-0,3527015#-0,2268286#2,963449#-0,0596385#-0,4976162#3,497149#-0,4192213#-0,2304753#2,888521#-0,1075019#-0,5387365#3,436988#1  
frame46 #-0,2404546#0,9352194#3,565843#-0,1485228#0,7980596#3,59673# 0,3213155#0,830325#3,054641#-0,4412385#0,8450968#3,908783#0,2954547#0,7706515#3,117148#-0,3878734#0,8005329#3,847835#0,1884951#0,6881937#3,311531#-0,3898838#0,5659055#3,818087#-0,01298467#0,7023183#3,484334#-0,2922951#0,6392721#3,705845#-0,0914037#0,4575018#3,5918#-0,1149574#0,3924141#3,554438#-0,0367051#0,3220235#3,50761#-0,1851117#0,3205383#3,590862#-0,2259514#0,002244124#3,129169#-0,1892284#-0,08668178#3,482608#-0,4333515#-0,2214916#2,999333#-0,05659106#-0,4997186#3,499768#-0,4638795#-0,2325869#2,932695#-0,106219#-0,5408513#3,441018#1  
frame47 #-0,2497596#0,9321328#3,575848#-0,1545657#0,7960595#3,603484# 0,2700414#0,8790451#3,0728#-0,5288107#0,9952955#3,966461#0,2508693#0,8181546#3,115416#-0,4767066#0,9261957#3,933523#0,1767187#0,6939294#3,301181#-0,3685561#0,7129205#3,873068#-0,01770516#0,7039257#3,484461#-0,2982555#0,6371668#3,712799#-0,09009182#0,4569179#3,593792#-0,1131971#0,3916516#3,555924#-0,03346579#0,3214568#3,507838#-0,1808399#0,3194993#3,591034#-0,2325665#0,007526394#3,145838#-0,1872796#-0,0872882#3,482634#-0,4504809#-0,2189414#3,045996#-0,05804281#-0,5023061#3,499287#-0,3975236#-0,2534552#3,006738#-0,1085841#-0,5436429#3,440975#1  
frame48 #-0,2530479#0,9299374#3,581279#-0,1591886#0,7938257#3,610696# 0,2065885#0,928548#3,065834#-0,5361275#1,026783#3,928008#0,1940992#0,8373411#3,104586#-0,4916896#0,9545946#3,890248#0,1683244#0,685708#3,292781#-0,3741826#0,8242908#3,842824#-0,02001009#0,7052193#3,483847#-0,3028089#0,6348812#3,7201#-0,08850006#0,4565818#3,595245#-0,1111514#0,3914339#3,556808#-0,02686982#0,3210697#3,508048#-0,178508#0,3201355#3,59002#-0,2285841#0,05480786#3,195249#-0,1813419#-0,08438441#3,474819#-0,4291373#-0,1940957#3,117884#-0,05948741#-0,5029272#3,491536#-0,4811645#-0,235459#3,059743#-0,1115146#-0,5442904#3,433396#1  
frame49 #-0,2542233#0,9280052#3,584951#-0,1597312#0,7928331#3,611106# 0,1378099#0,9253566#3,075874#-0,5499762#1,089102#3,873807#0,1361052#0,8407944#3,114225#-0,5129371#1,031455#3,869732#0,09657435#0,7274747#3,296212#-0,3754228#0,8224862#3,846628#-0,06989354#0,7412183#3,511918#-0,3033332#0,6338771#3,720522#-0,08337176#0,455325#3,594197#-0,1042406#0,3888974#3,555188#-0,0239239#0,3223859#3,507861#-0,1607639#0,3212137#3,580824#-0,2305932#0,05238891#3,200052#-0,1701666#-0,08347616#3,469888#-0,4434637#-0,221457#3,180006#-0,05948929#-0,5047704#3,487159#-0,4976162#-0,2631944#3,123714#-0,1136418#-0,5465078#3,430867#1  
frame50 #-0,2554064#0,9269313#3,587993#-0,1601307#0,792022#3,613065# 0,07664172#0,9981784#3,036654#-0,5748059#1,157382#3,803955#0,07516078#0,9068361#3,081041#-0,5108431#1,038476#3,827568#0,1299169#0,7281705#3,218356#-0,3798305#0,8252006#3,799595#0,005730317#0,7187181#3,430892#-0,2372712#0,6625254#3,693027#-0,073998#0,4531003#3,590604#-0,09472837#0,3845962#3,55241#-0,01860408#0,3220029#3,507551#-0,1484979#0,3214125#3,573674#-0,2550261#-0,007942894#3,242788#-0,1260431#-0,07966435#3,452471#-0,5437215#-0,3353161#3,248136#-0,03841477#-0,5039456#3,488203#-0,6024683#-0,377661#3,196636#-0,06219834#-0,5932715#3,531773#1  
frame51 #-0,2576252#0,9222069#3,58979#-0,1646599#0,7871693#3,615943# 0,01091586#0,9899906#3,071163#-0,5353038#1,128968#3,728901#0,02338005#0,8782028#3,113671#-0,507709#1,043903#3,755278#0,1000713#0,7298561#3,21334#-0,3841835#0,8234801#3,798241#0,002773563#0,7159588#3,430876#-0,240228#0,6597662#3,69301#-0,07253678#0,4504956#3,589543#-0,092731#0,3820559#3,550658#-0,01754165#0,3211321#3,509263#-0,1434698#0,3217095#3,563432#-0,3006373#-0,09135182#3,300108#-0,1325284#-0,0835214#3,458155#-0,5735967#-0,4056291#3,335926#-0,04064078#-0,5066682#3,493669#-0,6114984#-0,463915#3,306716#-0,07214385#-0,5997339#3,521166#1  
frame52 #-0,2455429#0,9254063#3,588367#-0,1587045#0,7885728#3,6107# -0,05228822#1,000672#3,133234#-0,511851#1,134231#3,63159#-0,02813398#0,8993921#3,151397#-0,4854504#1,017388#3,696937#0,07469574#0,7170577#3,217378#-0,3865784#0,8090833#3,817641#-0,02951714#0,7315977#3,438682#-0,2362274#0,7057942#3,722827#-0,06401656#0,4761773#3,582166#-0,08882318#0,416934#3,548079#-0,02879996#0,351714#3,484011#-0,1246849#0,3645008#3,58985#-0,2613454#-0,02105173#3,321075#-0,139508#-0,03167745#3,453128#-0,5324147#-0,3569366#3,362086#-0,04805058#-0,4550553#3,483453#-0,5544803#-0,4490966#3,400779#-0,1122119#-0,4981767#3,439335#1  
frame53 #-0,2467434#0,9252347#3,585973#-0,1618193#0,7878897#3,604482# -0,1061393#0,9332688#3,15782#-0,4848766#1,075166#3,564891#-0,06989405#0,8750626#3,163794#-0,476898#0,9954879#3,622895#0,04550183#0,702089#3,206467#-0,4055068#0,8090755#3,793739#-0,04227095#0,7225322#3,438338#-0,2428556#0,7070007#3,73105#-0,06616586#0,4731485#3,582465#-0,09303918#0,4080681#3,551806#-0,03392462#0,3405671#3,498609#-0,1302709#0,3607904#3,590176#-0,265718#-0,03263892#3,343519#-0,158156#-0,03717163#3,463256#-0,449913#-0,395775#3,473845#-0,05950709#-0,4603299#3,474867#-0,5150012#-0,4393724#3,431756#-0,1245953#-0,5039272#3,432778#1  
frame54 #-0,2479994#0,9273392#3,58735#-0,1632467#0,7897146#3,605204# -0,1420889#0,9292897#3,189452#-0,4645442#1,004836#3,513175#-0,1277259#0,8766623#3,187986#-0,4605722#0,9738969#3,549396#0,01947136#0,6968522#3,212872#-0,4548273#0,812712#3,757553#-0,04627628#0,7233427#3,443129#-0,2477415#0,7129127#3,743817#-0,07177895#0,4561752#3,584785#-0,09988433#0,3817884#3,55445#-0,04065849#0,3233916#3,508746#-0,1403385#0,3392745#3,583683#-0,09880301#-0,233183#3,551807#-0,2759279#-0,1601247#3,443105#-0,2840295#-0,5974288#3,677169#-0,05464995#-0,5321604#3,467072#-0,3796254#-0,5832224#3,643105#-0,08471842#-0,6300538#3,470744#1  
frame55 #-0,2945593#0,905076#3,595407#-0,1866036#0,7836506#3,618715# -0,1933474#0,9467521#3,229682#-0,4382136#0,9423127#3,471503#-0,1718611#0,8813571#3,230561#-0,4384997#0,9167636#3,511911#-0,03061073#0,6887351#3,215996#-0,4556808#0,7686476#3,731056#-0,07552462#0,7119235#3,464228#-0,2728538#0,7049178#3,765401#-0,08532988#0,4269148#3,593713#-0,1095967#0,3529273#3,561654#-0,05006706#0,2923654#3,533909#-0,1509459#0,3201725#3,578142#-0,1060956#-0,2664141#3,555984#-0,2480943#-0,06138042#3,430976#-0,40753#-0,5456887#3,674158#-0,07663792#-0,4601705#3,439399#-0,4244361#-0,6139057#3,702858#-0,1428097#-0,5041833#3,398648#1  
frame56 #-0,3103434#0,8718421#3,597442#-0,2134381#0,7382846#3,616815# -0,2070629#0,8900639#3,244317#-0,4317695#0,857784#3,435921#-0,202034#0,8343953#3,261472#-0,4285895#0,8240227#3,495805#-0,08935102#0,6876737#3,243276#-0,462954#0,7577903#3,681143#-0,09145297#0,5759487#3,471046#-0,2933848#0,6856461#3,742357#-0,1185152#0,461147#3,618172#-0,1439032#0,4001532#3,590888#-0,07951434#0,2820722#3,481317#-0,1652786#0,3090694#3,676272#-0,1567142#-0,2601047#3,543861#-0,2363905#-0,05739341#3,444924#-0,359086#-0,5734873#3,725574#-0,07549082#-0,4607808#3,444363#-0,3378983#-0,6353232#3,764436#-0,1399256#-0,5063765#3,402254#1  
frame57 #-0,3162261#0,8502073#3,604234#-0,2168502#0,723407#3,622273# -0,2223099#0,8280224#3,279763#-0,4066388#0,7821736#3,408384#-0,2068381#0,7613093#3,286352#-0,4034597#0,7484215#3,468252#-0,05046001#0,5711074#3,237356#-0,4659127#0,725204#3,656907#-0,0832569#0,5903364#3,447026#-0,2958855#0,6683415#3,738364#-0,1193354#0,4546466#3,617634#-0,1443599#0,3947709#3,589554#-0,0792175#0,2800797#3,480195#-0,1654444#0,2990609#3,670608#-0,1619023#-0,203889#3,55584#-0,2909713#-0,2390075#3,548274#-0,338055#-0,5583754#3,712852#-0,02537164#-0,5775932#3,452096#-0,4025353#-0,6039864#3,670511#-0,08985195#-0,6232042#3,409755#1  
frame58 #-0,2928549#0,8324997#3,503615#-0,1977043#0,7274487#3,575914# -0,2639666#0,7622799#3,309911#-0,4350922#0,7161075#3,403022#-0,2183167#0,7114582#3,30141#-0,4319112#0,6823355#3,462924#-0,07306457#0,5187052#3,234785#-0,4511237#0,6412964#3,658448#-0,08431395#0,5832719#3,436743#-0,2686296#0,6171761#3,721961#-0,1029914#0,4121327#3,578876#-0,1297064#0,3436319#3,553831#-0,07677092#0,245484#3,455238#-0,1460828#0,2371108#3,635398#-0,1222488#-0,2506275#3,584152#-0,2184272#-0,2398792#3,589607#-0,3350026#-0,5680398#3,714271#-0,03255361#-0,5864735#3,4531#-0,4013097#-0,6134437#3,67496#-0,09886067#-0,6318774#3,413789#1  
frame59 #-0,2993099#0,810084#3,576492#-0,2056709#0,694049#3,617092# -0,295044#0,7194942#3,316198#-0,4363386#0,6924926#3,39484#-0,2504683#0,6675739#3,308627#-0,4331572#0,658717#3,454749#-0,09851271#0,4700973#3,274953#-0,4394048#0,6165099#3,650415#-0,08408898#0,5861301#3,447289#-0,2765962#0,5837764#3,763139#-0,1055503#0,3861562#3,582796#-0,1322254#0,3196284#3,553384#-0,07728978#0,2376439#3,455245#-0,151833#0,2118777#3,618243#-0,1176042#-0,2485826#3,593034#-0,2214519#-0,2413822#3,593088#-0,3331868#-0,5670574#3,71617#-0,02421716#-0,6142486#3,452659#-0,3129351#-0,6141186#3,777305#-0,09202314#-0,6583496#3,414027#1  
frame60 #-0,2919928#0,7417787#3,613948#-0,1896846#0,5879086#3,593374# -0,328637#0,6782234#3,333377#-0,4202258#0,5765103#3,368351#-0,2841583#0,626416#3,325822#-0,4170514#0,5428081#3,42813#-0,128826#0,4308637#3,298712#-0,4227996#0,5002835#3,623303#-0,1255947#0,5634575#3,456388#-0,26061#0,477636#3,739421#-0,06591959#0,2618881#3,549385#-0,08898602#0,1900452#3,518987#-0,04600501#0,1553293#3,464237#-0,1059538#0,1219822#3,551114#-0,1119568#-0,2503738#3,606835#-0,2355429#-0,266142#3,609313#-0,2813333#-0,5721071#3,728336#-0,03018086#-0,592859#3,456111#-0,3505911#-0,6181785#3,694941#-0,09943869#-0,6389303#3,422717#1  
frame61 #-0,293233#0,7430764#3,618459#-0,1948358#0,5916949#3,599105# -0,3456308#0,6357665#3,332926#-0,4254281#0,5801538#3,374608#-0,3012013#0,5840164#3,325379#-0,4222572#0,5464889#3,43432#-0,1440738#0,3898497#3,30134#-0,4276752#0,5040314#3,629191#-0,1745332#0,5360506#3,462435#-0,2657611#0,4814223#3,745152#-0,07150893#0,2434957#3,545422#-0,09877758#0,160635#3,519562#-0,06347842#0,1318964#3,467456#-0,1106743#0,111788#3,551933#-0,1216471#-0,2870071#3,631091#-0,2966702#-0,2502598#3,619426#-0,2951539#-0,5699257#3,72593#-0,0561323#-0,593169#3,466146#-0,3684002#-0,6162427#3,70275#-0,1293786#-0,639486#3,442967#1  
frame62 #-0,3145262#0,7525143#3,640609#-0,2316229#0,6099846#3,635792# -0,3493184#0,6057584#3,347392#-0,4622552#0,5983234#3,411722#-0,3049342#0,5540612#3,339853#-0,4590876#0,5646929#3,471374#-0,1480232#0,3601622#3,315865#-0,4642392#0,5222899#3,666001#-0,1691988#0,5184178#3,47759#-0,3025483#0,499712#3,781839#-0,09304316#0,2302218#3,573735#-0,1149516#0,1473461#3,54243#-0,07438748#0,1132447#3,50635#-0,1402849#0,1034272#3,56939#-0,09952556#-0,2922028#3,653458#-0,2473051#-0,284084#3,65701#-0,2931446#-0,5698449#3,724594#-0,06260463#-0,5792369#3,465126#-0,3078163#-0,6286038#3,770592#-0,1333946#-0,6255443#3,435979#1  
frame63 #-0,303925#0,755508#3,718588#-0,2315447#0,6072388#3,63478# -0,3608567#0,5990612#3,357676#-0,4622033#0,5954574#3,411082#-0,3165463#0,5474498#3,35015#-0,459041#0,5618824#3,470634#-0,1597981#0,3537519#3,326202#-0,4639932#0,5195207#3,66508#-0,1898276#0,5198883#3,494806#-0,30247#0,4969662#3,780828#-0,1018602#0,22138#3,576351#-0,1278674#0,136871#3,548684#-0,1063591#0,100411#3,544564#-0,149025#0,107636#3,560434#-0,09719506#-0,2930755#3,65975#-0,257972#-0,2766628#3,65606#-0,2911717#-0,5586029#3,722615#-0,05995262#-0,5627365#3,462648#-0,3060388#-0,6214796#3,762531#-0,1319547#-0,6084821#3,436074#1  
frame64 #-0,3175012#0,7772059#3,715036#-0,2383617#0,6342513#3,634921# -0,390185#0,5520033#3,377908#-0,4690259#0,6224138#3,411341#-0,345924#0,5004495#3,37039#-0,465867#0,5888766#3,470827#-0,1892224#0,3068092#3,346462#-0,4707621#0,5465264#3,665229#-0,1926322#0,5175493#3,501249#-0,309287#0,5239787#3,780968#-0,1255888#0,2513852#3,594655#-0,1538006#0,1691921#3,570099#-0,1183831#0,1234796#3,538671#-0,1735055#0,1364587#3,593439#-0,0991427#-0,2730944#3,650382#-0,2808694#-0,255998#3,654011#-0,2905935#-0,5588889#3,722669#-0,06025843#-0,5676591#3,465592#-0,3150757#-0,612286#3,780804#-0,1324986#-0,6126802#3,438273#1  
frame65 #-0,2866604#0,6773345#3,684571#-0,2174126#0,5164545#3,618249# -0,4080169#0,5519844#3,387535#-0,4480938#0,5045121#3,394972#-0,3638322#0,5005196#3,380031#-0,4449404#0,4710328#3,454356#-0,2072491#0,3070256#3,356132#-0,449691#0,4287126#3,648625#-0,1893053#0,4998245#3,505594#-0,2883379#0,4061819#3,764297#-0,1243791#0,1921754#3,587366#-0,1556358#0,1260352#3,56413#-0,122588#0,1085666#3,530373#-0,1731008#0,0649382#3,588503#-0,1166081#-0,285691#3,663008#-0,3102107#-0,3124494#3,670845#-0,2824347#-0,5648022#3,728602#-0,05619887#-0,5772096#3,457855#-0,3105627#-0,618004#3,78981#-0,1288755#-0,6213877#3,430441#1  
frame66 #-0,2871176#0,6767253#3,683491#-0,2170471#0,5165604#3,618171# -0,4322854#0,5491681#3,397907#-0,4477532#0,5044795#3,395307#-0,388195#0,4978131#3,390418#-0,4446065#0,4710716#3,454564#-0,2317811#0,3045281#3,36656#-0,4491512#0,4287942#3,648642#-0,178952#0,4865525#3,498439#-0,2879725#0,4062878#3,764218#-0,1242785#0,1961148#3,589054#-0,1554224#0,1298293#3,565141#-0,1218735#0,1056252#3,522756#-0,172619#0,06535316#3,594217#-0,1280345#-0,2764113#3,664428#-0,3181784#-0,3097341#3,668952#-0,2821943#-0,5642291#3,727321#-0,05733097#-0,5754535#3,463286#-0,310855#-0,6175764#3,789302#-0,1295047#-0,6195962#3,43453#1  
frame67 #-0,2883615#0,6757597#3,68368#-0,2171415#0,5161699#3,618083# -0,443326#0,5675333#3,41035#-0,4478824#0,5038962#3,395799#-0,3993635#0,5163272#3,402883#-0,444745#0,4705852#3,454885#-0,2431913#0,3233409#3,379083#-0,4489965#0,428369#3,64869#-0,1792492#0,4828643#3,495323#-0,2880668#0,4058974#3,76413#-0,1322668#0,2104246#3,5962#-0,166635#0,1496678#3,575525#-0,1302064#0,1018054#3,511285#-0,1831141#0,06173501#3,630394#-0,1944709#-0,2769164#3,643754#-0,3265115#-0,3199287#3,667687#-0,2781928#-0,5664949#3,731703#-0,07048929#-0,6273761#3,465862#-0,3507827#-0,6102366#3,703527#0,00516807#-0,6287847#3,40544#1  
frame68 #-0,2916315#0,6739664#3,680706#-0,2179593#0,5134881#3,616504# -0,4775732#0,5683597#3,428243#-0,4487277#0,5010448#3,394716#-0,4337286#0,5172909#3,420795#-0,4455986#0,467823#3,453642#-0,2777584#0,3245543#3,397047#-0,4496062#0,4256581#3,647222#-0,1801492#0,4813191#3,494046#-0,2888847#0,4032155#3,762551#-0,140299#0,2345788#3,604184#-0,1757736#0,1810042#3,586006#-0,1367513#0,1020606#3,501028#-0,1839777#0,06598498#3,651051#-0,1128184#-0,2816977#3,677114#-0,3255696#-0,3178933#3,663093#-0,2666448#-0,5692856#3,743682#-0,07367486#-0,6263003#3,45938#-0,3392113#-0,6129252#3,71553#0,003730828#-0,6290531#3,40717#1  
frame69 #-0,2930875#0,670324#3,678631#-0,2238#0,5100113#3,616595# -0,4694071#0,2757528#3,448944#-0,4545991#0,4973792#3,395463#-0,4256901#0,2248327#3,441519#-0,451479#0,4642542#3,454218#-0,2803787#0,3270193#3,403009#-0,4552088#0,4221481#3,647505#-0,1800871#0,4749529#3,49169#-0,2947254#0,3997387#3,762642#-0,1421369#0,2350216#3,605828#-0,1765639#0,1802871#3,586539#-0,1374728#0,1011799#3,500233#-0,1850322#0,06547955#3,652826#-0,1114794#-0,2817323#3,677814#-0,3255397#-0,318049#3,662535#-0,2678598#-0,5701548#3,742102#-0,07268932#-0,6248417#3,45993#-0,339576#-0,614201#3,712761#-0,1444055#-0,668888#3,430589#1  
frame70 #-0,3071138#0,6604332#3,69792#-0,2341251#0,5054026#3,623955# -0,4684355#0,2616543#3,436615#-0,4649563#0,492569#3,403525#-0,4248525#0,2108902#3,429212#-0,4618458#0,4595455#3,4621#-0,2859533#0,3286122#3,411258#-0,4652755#0,4175032#3,65507#-0,1835319#0,4726007#3,490861#-0,3050505#0,3951299#3,770002#-0,1471249#0,2389912#3,609297#-0,1795339#0,1827909#3,588007#-0,1398511#0,1015221#3,496175#-0,186181#0,06580476#3,654731#-0,1132287#-0,2895425#3,673548#-0,3245576#-0,3179259#3,66025#-0,2737525#-0,5678787#3,738828#-0,07194746#-0,6283644#3,466524#-0,344744#-0,6123435#3,708623#0,001874175#-0,634725#3,414534#1  
frame71 #-0,3083511#0,653002#3,696679#-0,2399326#0,4941078#3,625305# -0,4719866#0,1638348#3,423751#-0,470794#0,4810772#3,405563#-0,4264563#0,2048421#3,418818#-0,4676929#0,4481526#3,463962#-0,2898654#0,3278641#3,41713#-0,4708295#0,4061731#3,656621#-0,1848625#0,4711993#3,492257#-0,310858#0,3838352#3,771352#-0,1325219#0,1287584#3,589881#-0,1585863#0,05298214#3,562192#-0,1180089#0,03717083#3,541732#-0,1848711#-0,001844701#3,569892#-0,1147285#-0,3368033#3,690171#-0,3087301#-0,2675322#3,654566#-0,2869594#-0,5522896#3,716124#-0,04639151#-0,5804119#3,458267#-0,3573025#-0,596791#3,684782#-0,1167346#-0,6249133#3,426925#1  
frame72 #-0,3076548#0,6534261#3,696469#-0,2393786#0,4954613#3,626475# -0,4865912#0,2758489#3,431782#-0,4702685#0,4822319#3,407425#-0,4432722#0,2253923#3,424424#-0,4671768#0,4494083#3,465645#-0,290997#0,3274042#3,41992#-0,4700234#0,4074914#3,657994#-0,1857723#0,4707848#3,493268#-0,310304#0,3851888#3,772522#-0,1297728#0,132882#3,589361#-0,1560124#0,05645808#3,561498#-0,1162085#0,04145925#3,544008#-0,1800886#0,007645907#3,564781#-0,1149354#-0,3299009#3,696136#-0,3447189#-0,341133#3,679971#-0,2879243#-0,5553955#3,717793#-0,07122381#-0,5770856#3,462487#-0,3583281#-0,6000146#3,68676#-0,1416275#-0,6217046#3,431454#1  
frame73 #-0,3076432#0,6535465#3,697495#-0,2421546#0,4927801#3,630246# -0,4901627#0,284068#3,4401#-0,4730732#0,4793476#3,411908#-0,4469767#0,2337663#3,432765#-0,4699911#0,4466247#3,46995#-0,2910391#0,3283068#3,422642#-0,4725353#0,4047734#3,661974#-0,1855223#0,471233#3,495468#-0,31308#0,3825076#3,776293#-0,1314468#0,1364213#3,589723#-0,1578758#0,06184153#3,560984#-0,1184028#0,04310055#3,544986#-0,1812931#0,01481293#3,561389#-0,1153595#-0,3269941#3,697778#-0,3098904#-0,2665024#3,651935#-0,2863449#-0,5629089#3,725279#-0,05835144#-0,5787141#3,457885#-0,3565232#-0,6074401#3,693757#-0,1285297#-0,6232454#3,426363#1  
frame74 #-0,3037401#0,6580679#3,697624#-0,2404899#0,4971066#3,632571# -0,4910265#0,2898908#3,440313#-0,4714373#0,4835059#3,414778#-0,447932#0,2396957#3,432993#-0,4683617#0,4508523#3,472697#-0,2896228#0,3300622#3,424693#-0,4706164#0,4090643#3,664439#-0,184462#0,4726054#3,498327#-0,3114153#0,386834#3,778619#-0,1309175#0,1391878#3,589771#-0,1576484#0,06394372#3,560896#-0,1185986#0,04566561#3,546035#-0,1815092#0,01703922#3,560697#-0,1951771#-0,3256021#3,675642#-0,3368818#-0,3631923#3,678801#-0,09226281#-0,6053461#3,539438#-0,06818558#-0,5747238#3,459149#-0,1648039#-0,605826#3,611366#-0,1385229#-0,6190431#3,42785#1  
