frame1 #0,08874635#0,8293604#3,283956#0,01679466#0,667968#3,302939# 0,05150445#0,526648#3,140204#0,1551045#0,3605315#3,170993#0,09364294#0,4814504#3,171478#0,06572323#0,3511158#3,133578#0,2200584#0,3458576#3,27874#-0,1408377#0,3592374#3,126142#0,1830183#0,5793844#3,430192#-0,1320319#0,5643048#3,235474#0,0004497748#0,3160831#3,315456#-0,002819203#0,2457061#3,321244#0,06458952#0,1742311#3,346224#-0,07718309#0,1674453#3,297989#0,05470494#-0,2453355#3,079988#-0,1221757#-0,2382318#3,29424#0,06037319#-0,5828032#2,93081#-0,03811923#-0,5819505#3,382474#0,1108935#-0,6342507#2,853361#-0,01483662#-0,6162195#3,268053#1  
frame38 #-0,2105029#0,936607#3,53593#-0,1257809#0,7826701#3,49457# -0,2762085#0,9004141#3,192503#-0,4054865#0,8380221#3,349221#-0,2025129#0,7685041#3,168535#-0,3912313#0,7571138#3,475066#-0,0488782#0,5577043#3,115931#-0,4174683#0,7537832#3,685117#-0,04075353#0,7076681#3,324975#-0,2321104#0,7176875#3,648507#-0,04718415#0,3903911#3,454227#-0,05442876#0,3058844#3,438167#-0,004386839#0,2706572#3,384622#-0,08531631#0,230294#3,474825#-0,2458486#-0,1757542#3,416377#-0,03578458#-0,2219903#3,493098#-0,3473431#-0,4822103#3,615555#0,01950904#-0,5796064#3,383269#-0,4276438#-0,5499192#3,65445#0,06781743#-0,6290257#3,331734#1  
frame39 #-0,2041546#0,8173318#3,549983#-0,1316196#0,6423883#3,517616# -0,264682#0,7676735#3,220451#-0,4220642#0,7975634#3,330455#-0,2527345#0,6995076#3,22007#-0,4428308#0,7102059#3,428804#-0,06380315#0,546877#3,121128#-0,3677339#0,7248853#3,624081#-0,02172881#0,5888433#3,335203#-0,2379492#0,5774057#3,671554#-0,02555897#0,3035404#3,428358#-0,02601976#0,2346434#3,399716#0,02571183#0,2155925#3,35241#-0,05005992#0,1467713#3,412693#-0,2341213#-0,1605523#3,418088#-0,03425192#-0,2595799#3,51572#-0,3170027#-0,4708124#3,622736#0,01679606#-0,5842138#3,361938#-0,38958#-0,5181743#3,578703#0,05920732#-0,6527553#3,289789#1  
frame40 #-0,2245417#0,8513352#3,568765#-0,1358291#0,6992016#3,53779# -0,2747303#0,7202324#3,25521#-0,4446862#0,7365323#3,274043#-0,2627695#0,6519905#3,254828#-0,4404673#0,6958583#3,358389#-0,07785244#0,5003257#3,147676#-0,4092664#0,6591672#3,563279#-0,03049392#0,5956278#3,339988#-0,2421587#0,634219#3,691727#-0,05334365#0,3289809#3,478178#-0,05899327#0,2539224#3,45622#-0,004999438#0,208857#3,394024#-0,09198522#0,1772778#3,492563#-0,2088627#-0,1942606#3,4499#-0,03489808#-0,2402758#3,51337#-0,2755974#-0,5046311#3,661644#0,01502919#-0,583556#3,357566#-0,3513552#-0,5755452#3,688054#-0,0588294#-0,6304473#3,316262#1  
frame41 #-0,2139657#0,8143546#3,568721#-0,1257081#0,6427273#3,52092# -0,2743981#0,6481537#3,289713#-0,4357793#0,6808796#3,259587#-0,2624429#0,5799437#3,289332#-0,4315624#0,6402246#3,343894#-0,1064907#0,464361#3,169415#-0,3979794#0,601732#3,546718#-0,0349971#0,5700772#3,34586#-0,2320377#0,5777446#3,674857#-0,04682952#0,2622836#3,457372#-0,05319629#0,1855612#3,434597#-0,002694511#0,1648669#3,400835#-0,08928773#0,1171444#3,448029#-0,2207066#-0,1909889#3,452183#-0,2088379#-0,2774963#3,525963#-0,2671445#-0,5129111#3,655774#-0,006966308#-0,588476#3,356071#-0,3346085#-0,5826602#3,683881#-0,08100068#-0,6348703#3,314599#1  
frame42 #-0,2188519#0,7810302#3,566932#-0,1372418#0,6245617#3,527568# -0,2774906#0,6110616#3,298571#-0,4481555#0,6623372#3,268256#-0,2655306#0,5428247#3,29819#-0,4439369#0,6216661#3,352596#-0,1089261#0,4338583#3,185165#-0,4085455#0,5834265#3,553957#-0,06036645#0,5680591#3,36268#-0,2435714#0,5595791#3,681505#-0,0464186#0,2563261#3,452491#-0,05141088#0,1796728#3,427798#0,002023416#0,1577191#3,401482#-0,09002133#0,1180331#3,423684#-0,09381779#-0,2708165#3,512491#-0,1442389#-0,2796726#3,543634#-0,2752466#-0,5209755#3,73907#-0,003094041#-0,5721232#3,343281#-0,230534#-0,6046766#3,739423#-0,07766247#-0,6190554#3,303114#1  
frame43 #-0,229143#0,7540514#3,578959#-0,1458187#0,5965353#3,532506# -0,2839316#0,5593182#3,312447#-0,4574224#0,6339225#3,275101#-0,2719823#0,4911421#3,312066#-0,4532076#0,5932876#3,359366#-0,112757#0,3793364#3,208235#-0,4162614#0,5552757#3,559419#-0,09695049#0,5286026#3,388969#-0,2521483#0,5315527#3,686443#-0,04477364#0,2371125#3,44759#-0,04819011#0,1628048#3,422398#0,003204478#0,1350464#3,416077#-0,08246151#0,1086756#3,404365#0,05362074#-0,2612653#3,559952#-0,1989579#-0,2678815#3,540501#-0,2253757#-0,485154#3,71395#-0,01998142#-0,5538648#3,366266#-0,1714348#-0,5175831#3,622058#-0,09577118#-0,6016508#3,329487#1  
frame44 #-0,232798#0,7492847#3,579421#-0,1479712#0,5869207#3,530748# -0,2839283#0,5133805#3,31824#-0,4600672#0,6239118#3,275017#-0,2720144#0,4454063#3,31786#-0,4558649#0,5833974#3,359033#-0,1127891#0,3336007#3,214034#-0,4177437#0,5455642#3,558065#-0,1015897#0,5231874#3,392416#-0,2543007#0,5219381#3,684685#-0,04613348#0,2286191#3,451151#-0,04901974#0,1546184#3,426727#-0,0004969274#0,1177414#3,449125#-0,07979755#0,09240757#3,394034#-0,0982396#-0,3087851#3,548852#-0,1755051#-0,2820785#3,550748#-0,1419933#-0,5785444#3,635082#-0,0151557#-0,5598204#3,360487#-0,09482734#-0,5931773#3,53552#-0,09054783#-0,6078278#3,323736#1  
frame45 #-0,2526407#0,7798936#3,58263#-0,1720924#0,6243675#3,553457# -0,3127926#0,4914258#3,341806#-0,4847166#0,6610175#3,29936#-0,3008875#0,423502#3,341427#-0,4805174#0,6205332#3,383313#-0,1416622#0,3116963#3,237618#-0,4411126#0,5829022#3,581207#-0,1407044#0,4905091#3,405096#-0,2784219#0,5593847#3,707395#-0,07230271#0,226165#3,463331#-0,07874244#0,1457657#3,439965#-0,04523439#0,1173827#3,424558#-0,113037#0,1028064#3,443745#-0,08852763#-0,3142539#3,559637#-0,1921287#-0,2857313#3,576379#-0,1463086#-0,5826247#3,641397#-0,01038595#-0,5594102#3,358596#-0,09916194#-0,5958638#3,541598#-0,0884027#-0,6070628#3,327177#1  
frame46 #-0,2460392#0,6969167#3,639181#-0,1665592#0,5037028#3,534555# -0,3352503#0,4666458#3,357226#-0,4795701#0,539991#3,281983#-0,323378#0,3989091#3,356847#-0,4753824#0,4996181#3,365705#-0,1641526#0,2871034#3,25304#-0,4349765#0,4621504#3,562672#-0,1219532#0,4708889#3,412348#-0,2728888#0,4387202#3,688492#-0,07648831#0,2010312#3,478671#-0,0807431#0,1359495#3,453504#-0,03947358#0,1078509#3,413278#-0,1041239#0,04504067#3,496826#-0,09358905#-0,3142914#3,568814#-0,2176225#-0,3414279#3,60118#-0,1593423#-0,5590504#3,693524#-0,009944234#-0,5591099#3,358695#-0,1151915#-0,5767587#3,593298#-0,08411007#-0,6071765#3,320021#1  
frame47 #-0,2434362#0,6890302#3,645969#-0,1672832#0,5038215#3,540464# -0,3681426#0,4527922#3,379773#-0,5244347#0,5007385#3,117439#-0,3563091#0,3852755#3,379395#-0,5202606#0,4604967#3,200889#-0,1970837#0,2734698#3,275591#-0,4788096#0,4232046#3,396864#-0,1394194#0,4465065#3,423688#-0,3173667#0,3998676#3,52229#-0,07894544#0,1300267#3,490561#-0,07551181#0,05767902#3,456506#-0,01765473#0,04008758#3,470544#-0,1144045#-0,01560774#3,420435#-0,0885112#-0,358101#3,592803#-0,2342663#-0,3481447#3,631681#-0,2090823#-0,5856619#3,709666#-0,02984552#-0,6178713#3,396263#-0,1560889#-0,5955547#3,613035#0,007829288#-0,6405447#3,316938#1  
frame48 #-0,2473507#0,6838074#3,648398#-0,171386#0,5039327#3,545743# -0,3845648#0,4500891#3,389091#-0,5268468#0,5003518#3,119803#-0,3727683#0,3827838#3,388715#-0,5226858#0,4602361#3,202992#-0,2135428#0,2709781#3,284914#-0,4801892#0,4231252#3,397946#-0,1477525#0,4394143#3,419088#-0,3194087#0,3998839#3,522969#-0,07906163#0,1288432#3,494209#-0,0776795#0,05618811#3,458915#-0,02041868#0,04044819#3,470078#-0,1179099#-0,01610974#3,432516#-0,1046494#-0,3472634#3,587179#-0,2528444#-0,3493661#3,631803#-0,1961412#-0,592934#3,694972#-0,03466949#-0,6064547#3,394793#-0,1441659#-0,6015422#3,597983#-0,0809776#-0,6511095#3,323566#1  
frame49 #-0,2488302#0,6704136#3,641914#-0,1776568#0,5059551#3,547439# -0,4049879#0,4442203#3,407322#-0,5337375#0,5019697#3,120597#-0,3932268#0,3771184#3,406947#-0,5295891#0,4619752#3,203535#-0,2340014#0,2653127#3,30315#-0,486168#0,4250295#3,397562#-0,1568442#0,4291602#3,419704#-0,3259881#0,4018751#3,522222#-0,07810697#0,127037#3,496885#-0,07686303#0,0529842#3,460186#-0,02066643#0,03757894#3,468869#-0,1150858#-0,01656575#3,436692#-0,1059634#-0,3480094#3,588238#-0,2610099#-0,3476834#3,629929#-0,2098966#-0,5908937#3,691596#-0,03862827#-0,6042046#3,397043#-0,1550954#-0,5996392#3,596496#-0,0844143#-0,6488886#3,32581#1  
frame50 #-0,2577462#0,6545912#3,645141#-0,1820241#0,5008068#3,550816# -0,4220107#0,4434386#3,42449#-0,4358064#0,2326207#3,112276#-0,4102841#0,3765323#3,424116#-0,4024613#0,2240963#3,165361#-0,2510586#0,2647267#3,320329#-0,302426#0,1985232#3,337684#-0,1646188#0,417375#3,42691#-0,3302366#0,3969924#3,523882#-0,08024588#0,1198096#3,503742#-0,07895414#0,04579948#3,465599#-0,02513467#0,02758943#3,476412#-0,1149504#-0,02011019#3,438975#-0,108475#-0,3584884#3,591459#-0,2668104#-0,3484873#3,629677#-0,2116836#-0,5903085#3,714412#-0,04079983#-0,6026664#3,397625#-0,1594961#-0,5983691#3,618085#-0,0851551#-0,6473051#3,32576#1  
frame51 #-0,2589186#0,649596#3,642033#-0,183898#0,4999999#3,55181# -0,4309942#0,4397068#3,433581#-0,4481123#0,2388118#3,124101#-0,4192985#0,3729764#3,433207#-0,413869#0,2277238#3,176118#-0,2612447#0,2591309#3,328428#-0,3111389#0,1944596#3,345244#-0,1742561#0,4105686#3,428334#-0,3321789#0,3961244#3,524349#-0,07897139#0,1188759#3,505298#-0,07868927#0,04472144#3,465842#-0,02557437#0,02718592#3,476429#-0,113382#-0,02057973#3,439362#-0,1078798#-0,3577968#3,591595#-0,2668703#-0,3483746#3,627342#-0,2005053#-0,5648252#3,710375#-0,03991146#-0,6015953#3,394902#-0,1505365#-0,579538#3,613912#-0,08519878#-0,6462221#3,323873#1  
frame52 #-0,2611518#0,6477839#3,640459#-0,1866247#0,4985137#3,551707# -0,4489488#0,435278#3,444265#-0,4583189#0,244145#3,137276#-0,4372819#0,3687128#3,443892#-0,4240901#0,2330616#3,189271#-0,2780565#0,2569071#3,340122#-0,3214037#0,1998116#3,35834#-0,1781871#0,406342#3,43364#-0,3351817#0,3944689#3,523729#-0,07929574#0,1169959#3,507296#-0,07870825#0,04306972#3,466129#-0,02604678#0,02330665#3,478907#-0,1124186#-0,02213788#3,437756#-0,110526#-0,3604677#3,592673#-0,282559#-0,3427657#3,621548#-0,2064265#-0,561814#3,713005#-0,04581288#-0,5911365#3,393876#-0,1566722#-0,5762308#3,616621#-0,08911207#-0,6356434#3,32178#1  
frame53 #-0,2621488#0,6450728#3,644892#-0,1875574#0,4971323#3,553745# -0,4557143#0,4337873#3,450255#-0,4793675#0,2380096#3,168058#-0,4440764#0,3673872#3,449884#-0,4451652#0,2269348#3,220012#-0,284851#0,2555815#3,346124#-0,3425582#0,1937106#3,38897#-0,1809471#0,4011703#3,439555#-0,3360724#0,393168#3,525315#-0,07939792#0,1146603#3,50829#-0,0788232#0,04095633#3,465083#-0,0272619#0,02201621#3,477298#-0,1117275#-0,02297381#3,436848#-0,1107179#-0,3601588#3,592858#-0,2831395#-0,3433394#3,617554#-0,2172693#-0,5889244#3,718567#-0,05506046#-0,6003807#3,390729#-0,16599#-0,5967979#3,622463#-0,09706353#-0,644645#3,31796#1  
frame54 #-0,2832281#0,683954#3,663224#-0,1956896#0,5408361#3,577949# -0,4576496#0,4333316#3,453259#-0,3551255#0,03283866#3,15452#-0,4459979#0,3668537#3,452888#-0,3403961#0,07652441#3,217209#-0,2883716#0,2527848#3,348118#-0,2962081#0,2075816#3,418399#-0,1860141#0,3976495#3,440319#-0,3443882#0,4366106#3,548542#-0,07974141#0,1183434#3,508875#-0,08133451#0,04263099#3,464753#-0,03291722#0,02145286#3,479471#-0,1130108#-0,01964553#3,430462#-0,1141096#-0,3606191#3,593204#-0,288205#-0,3354609#3,612868#-0,2163894#-0,5913864#3,718852#-0,0582661#-0,5945917#3,390723#-0,165097#-0,5991777#3,622782#-0,1057733#-0,6385867#3,321286#1  
frame55 #-0,2645206#0,6510493#3,65504#-0,1902598#0,5019451#3,567009# -0,4535601#0,4430224#3,460229#-0,3604872#0,04458514#3,156734#-0,4419367#0,3767052#3,459859#-0,3432194#0,07627451#3,214979#-0,2932749#0,2496415#3,349338#-0,291416#0,1713426#3,402847#-0,1922233#0,3955988#3,440161#-0,3389726#0,3978056#3,537637#-0,07899177#0,1183438#3,509789#-0,08137932#0,0426476#3,464694#-0,03360131#0,02080578#3,480746#-0,1110683#-0,01960278#3,425907#-0,1134029#-0,3596304#3,596045#-0,3180128#-0,3095655#3,614492#-0,2154345#-0,5932981#3,717763#-0,100897#-0,5991617#3,421926#-0,1647511#-0,5999467#3,62151#-0,0218285#-0,6307094#3,353878#1  
frame56 #-0,2649672#0,6496096#3,657151#-0,1905475#0,5016077#3,567387# -0,4527415#0,4458621#3,462045#-0,4702073#0,2535776#3,192069#-0,4411467#0,3797085#3,461676#-0,4361536#0,2425509#3,243798#-0,2945676#0,2492921#3,349658#-0,3339925#0,209471#3,412128#-0,1950645#0,3957244#3,440809#-0,3392605#0,397463#3,538015#-0,07992154#0,118993#3,511102#-0,0841317#0,04470716#3,465147#-0,03783249#0,02134005#3,48398#-0,1123141#-0,0180886#3,424129#-0,1129551#-0,3598442#3,596449#-0,2918147#-0,3284067#3,606448#-0,2145454#-0,5944277#3,717132#-0,06349507#-0,5911856#3,386451#-0,1641761#-0,6002715#3,620895#-0,111527#-0,635102#3,317811#1  
frame57 #-0,2887433#0,6970955#3,677146#-0,2090041#0,5535357#3,581829# -0,4508846#0,4477329#3,46385#-0,4676261#0,2440627#3,191372#-0,4392765#0,3815032#3,46348#-0,4345966#0,2380097#3,244534#-0,2944238#0,2478939#3,350257#-0,335508#0,2198505#3,417191#-0,1969076#0,3958265#3,440846#-0,3577116#0,4493562#3,552447#-0,08998738#0,1273545#3,518238#-0,09306142#0,0493297#3,469808#-0,0458006#0,02293571#3,489051#-0,1206033#-0,0134392#3,427884#-0,1134645#-0,3594511#3,597415#-0,3088891#-0,315949#3,611195#-0,2143191#-0,59523#3,716991#-0,1027634#-0,6158978#3,422139#-0,1640887#-0,6008737#3,620678#-0,01953627#-0,6388475#3,355975#1  
frame58 #-0,2669026#0,6571444#3,661826#-0,197908#0,5065764#3,565027# -0,4499263#0,4483011#3,465327#-0,4715337#0,2530431#3,196865#-0,4383463#0,382231#3,464958#-0,4375589#0,242042#3,248474#-0,2934834#0,247443#3,351391#-0,3356348#0,2090388#3,416483#-0,1997543#0,3974245#3,441838#-0,3466154#0,4023969#3,535645#-0,09070256#0,126669#3,518885#-0,09395183#0,04938282#3,469555#-0,04741951#0,02246973#3,489779#-0,1213806#-0,0133243#3,426615#-0,1134412#-0,3594415#3,596831#-0,2913235#-0,3257732#3,608796#-0,2148253#-0,5968977#3,713361#-0,06488809#-0,5924153#3,391155#-0,1647019#-0,6017008#3,617169#-0,1109284#-0,6363174#3,321395#1  
frame59 #-0,2657761#0,6553208#3,66519#-0,1963314#0,5074444#3,568263# -0,4481362#0,4501573#3,466926#-0,4709271#0,2508793#3,201515#-0,4365832#0,3842416#3,466558#-0,437014#0,2398983#3,253031#-0,2929107#0,2471864#3,352173#-0,3352749#0,206955#3,420766#-0,2002145#0,3976749#3,441948#-0,3450388#0,4032649#3,538881#-0,09011047#0,1269209#3,519058#-0,09600031#0,05169791#3,469391#-0,04995911#0,02279015#3,491573#-0,1231996#-0,01070569#3,422641#-0,1145516#-0,358718#3,597211#-0,2892001#-0,3222314#3,607533#-0,2163749#-0,5939682#3,717164#-0,06258951#-0,5882617#3,389056#-0,1664511#-0,5995226#3,621125#-0,1100973#-0,6319721#3,320393#1  
frame60 #-0,2647233#0,6540045#3,668537#-0,1949782#0,5029619#3,57182# -0,4465215#0,4516928#3,468906#-0,4709263#0,2510483#3,201645#-0,4349946#0,3859265#3,468539#-0,4370783#0,2400883#3,253061#-0,292046#0,2469969#3,353617#-0,3355342#0,2072082#3,420466#-0,2010812#0,3985817#3,442151#-0,3436857#0,3987825#3,542437#-0,08901078#0,1260759#3,518029#-0,0964279#0,05177992#3,46805#-0,05121699#0,02316274#3,488094#-0,1234359#-0,009807514#3,422075#-0,1137113#-0,3564467#3,597312#-0,2885643#-0,3209577#3,606156#-0,2187632#-0,5899332#3,717909#-0,06142384#-0,58619#3,387228#-0,1686652#-0,5966505#3,622244#-0,1106992#-0,6297097#3,319922#1  
