frame1 #0,02523457#0,9118304#3,204385#-0,01074276#0,7092271#3,263327# -0,005334325#0,348924#3,089776#-0,001786441#0,305915#3,046432#0,04237203#0,3701408#3,108898#-0,05087979#0,3484655#3,043268#0,1854911#0,4337914#3,180413#-0,1851593#0,4388478#3,097733#0,141335#0,6245062#3,319874#-0,1664238#0,5917911#3,190195#-0,03776792#0,3322417#3,274293#-0,03247643#0,2576397#3,254359#0,03334153#0,1937774#3,266481#-0,10515#0,1790555#3,234944#0,009620562#-0,2697318#3,0722#-0,1411674#-0,29176#3,213202#0,01151831#-0,602937#2,861741#-0,04457014#-0,5518434#2,925757#0,04563473#-0,647781#2,784446#-0,01045372#-0,5966874#2,848462#1  
frame38 #-0,1838514#0,9509801#3,429791#-0,07960171#0,8019861#3,414774# 0,03108224#0,9786969#2,846157#-0,3620518#1,131605#3,679061#0,05702252#0,8768798#2,878606#-0,3211915#1,093758#3,637968#0,1408469#0,7184243#2,986928#-0,2736239#0,836909#3,687771#0,0193754#0,7024465#3,246591#-0,1478432#0,7429911#3,598257#-0,009334583#0,4381796#3,374013#-0,0355901#0,3676471#3,351008#0,0209671#0,3280081#3,304761#-0,07104915#0,3029442#3,385413#-0,2475041#-0,02666828#3,13838#-0,02722008#-0,2550424#3,397871#-0,3663208#-0,2943095#3,242371#0,00525169#-0,6033673#3,306312#-0,4662661#-0,3283484#3,216882#-0,07480039#-0,6684334#3,313576#1  
frame39 #-0,1672472#0,9862441#3,41833#-0,08659453#0,8358365#3,414722# -0,07928344#0,968845#2,944166#-0,2977978#1,1102#3,481797#-0,06096809#0,8806859#2,948612#-0,3198305#1,041611#3,509331#0,08702599#0,6941209#2,975033#-0,3047658#0,8332694#3,681996#-0,01203001#0,662114#3,239305#-0,1546616#0,7771868#3,598273#-0,01672636#0,4966203#3,39779#-0,04576295#0,4263462#3,381334#-0,001130415#0,3633451#3,307495#-0,07126434#0,3445809#3,440224#-0,2568542#-0,1396403#3,239283#-0,006909624#-0,2504075#3,425426#-0,4700137#-0,484501#3,368689#-0,001512261#-0,5892255#3,302935#-0,5392394#-0,5210536#3,349453#-0,08338591#-0,6483599#3,344101#1  
frame40 #-0,1607943#0,9001504#3,474492#-0,09586885#0,7369318#3,436589# -0,2064235#0,8505793#3,069732#-0,3094075#0,8890109#3,373082#-0,1867777#0,7848353#3,062231#-0,3402061#0,828756#3,386695#-0,02087237#0,6111611#3,008818#-0,3409652#0,7591545#3,582109#-0,02511444#0,616608#3,229729#-0,1639359#0,6782821#3,62014#-0,03636875#0,4858941#3,405761#-0,0628776#0,4425699#3,392303#-0,01153595#0,3179229#3,24211#-0,05834884#0,2629308#3,495465#-0,2485522#-0,1772585#3,322235#-0,04148557#-0,2032983#3,412522#-0,2988653#-0,5466093#3,524882#-0,008184382#-0,6042441#3,320002#-0,3872163#-0,5928521#3,480673#-0,08769516#-0,6495392#3,295032#1  
frame41 #-0,1707827#0,8513268#3,459196#-0,1181144#0,6836515#3,407202# -0,2261196#0,7843583#3,117998#-0,3842921#0,8711652#3,382002#-0,2118052#0,6973603#3,087248#-0,415087#0,8109175#3,395613#-0,05916056#0,5408965#3,032249#-0,3576284#0,7166551#3,568957#-0,01269804#0,591751#3,240132#-0,1861815#0,6250018#3,590753#-0,03246452#0,4359578#3,394431#-0,05653623#0,3810052#3,375247#-0,001511925#0,2681454#3,2349#-0,05457768#0,213804#3,473748#-0,2487452#-0,1870373#3,347779#-0,06140167#-0,2256961#3,411878#-0,2586803#-0,559199#3,552628#-0,00675009#-0,5850248#3,316463#-0,3461513#-0,6039578#3,505357#0,03686081#-0,6444312#3,283842#1  
frame42 #-0,1759199#0,8364477#3,458821#-0,1210968#0,6684074#3,41855# -0,2653449#0,7381983#3,174339#-0,3872998#0,8556266#3,394036#-0,2486568#0,650692#3,146508#-0,4180795#0,7954088#3,40764#-0,1125599#0,5097876#3,058491#-0,3601978#0,7011902#3,58029#-0,01389422#0,589126#3,243049#-0,1891639#0,6097577#3,602102#0,002426408#0,2846413#3,36415#-0,0137328#0,2043376#3,33531#0,03529968#0,1948421#3,315631#-0,04479129#0,138979#3,337958#-0,2514578#-0,2018595#3,404095#-0,06748316#-0,2913142#3,422839#-0,2614601#-0,5777892#3,603831#-0,005370283#-0,583417#3,319753#-0,1891462#-0,5947602#3,523724#-0,07994221#-0,6319115#3,286414#1  
frame43 #-0,208452#0,7966582#3,468773#-0,1174704#0,6216701#3,422228# -0,270063#0,6413568#3,205777#-0,3836542#0,8087302#3,398225#-0,2583425#0,5611678#3,159344#-0,4144571#0,7484667#3,41184#-0,1235738#0,4580365#3,077425#-0,3562545#0,6542834#3,583957#-0,01776081#0,578267#3,249599#-0,1855375#0,5630203#3,605778#-0,001635119#0,2474373#3,370995#-0,01989016#0,1657139#3,344487#0,0282977#0,1681011#3,322872#-0,05219725#0,09219763#3,351838#-0,2498494#-0,2066006#3,409097#-0,1411466#-0,3274465#3,443146#-0,2597854#-0,5826021#3,609371#-0,00716345#-0,5811986#3,320581#-0,1880129#-0,5948603#3,527756#-0,08218526#-0,6293202#3,287394#1  
frame44 #-0,1965034#0,8419237#3,476029#-0,1598731#0,6740749#3,480471# -0,2786128#0,584278#3,251295#-0,4260561#0,8609609#3,45687#-0,2745676#0,4988563#3,213727#-0,4568608#0,8006941#3,470485#-0,1377167#0,4170277#3,08481#-0,3983845#0,7065425#3,64216#-0,03515559#0,5385222#3,262772#-0,2279402#0,6154252#3,664022#-0,05886694#0,3959158#3,435441#-0,08030359#0,3351731#3,410657#-0,01834441#0,2309777#3,269019#-0,08334374#0,1884211#3,490764#-0,2496216#-0,2105638#3,42119#-0,1572721#-0,263056#3,434249#-0,2596258#-0,5869315#3,622036#-0,007819635#-0,5789015#3,330569#-0,1875682#-0,5973327#3,539996#-0,08351164#-0,6272804#3,298516#1  
frame45 #-0,1777606#0,7325858#3,467767#-0,1304222#0,5532856#3,42714# -0,2833265#0,5732874#3,266742#-0,3966021#0,7400019#3,403972#-0,2792811#0,4878609#3,229171#-0,4274085#0,6797318#3,417588#-0,1433858#0,4034489#3,101662#-0,3686692#0,5856119#3,58882#-0,05195748#0,5362879#3,277296#-0,1984892#0,4946359#3,61069#-0,02782956#0,1936875#3,38252#-0,04910667#0,1175452#3,357947#-0,0133788#0,122539#3,351351#-0,072188#0,04478301#3,351715#-0,2630666#-0,229028#3,426551#-0,1847423#-0,3607036#3,4676#-0,2730942#-0,6058464#3,627682#-0,143217#-0,5834815#3,538913#-0,2008578#-0,6122024#3,545499#-0,07738223#-0,6047626#3,45391#1  
frame46 #-0,1799726#0,7292023#3,468052#-0,1316726#0,5495387#3,428578# -0,3127527#0,5427978#3,298615#-0,3978585#0,7360587#3,405844#-0,2898186#0,4605821#3,260739#-0,4286551#0,6758078#3,419456#-0,1537683#0,3764056#3,131985#-0,3696511#0,5817215#3,590241#-0,0803446#0,5282422#3,293132#-0,1997396#0,490889#3,612129#-0,02718941#0,192331#3,381935#-0,04904978#0,1158087#3,359299#-0,01484868#0,121016#3,353808#-0,07102184#0,04371219#3,352515#-0,2721874#-0,2272653#3,412799#-0,1848941#-0,3586078#3,473088#-0,2822779#-0,6043968#3,614181#-0,1515368#-0,5884023#3,545571#-0,2065927#-0,611681#3,535429#-0,08786621#-0,6096179#3,459089#1  
frame47 #-0,1841808#0,7192986#3,469243#-0,1332627#0,5448095#3,427833# -0,3238889#0,5237479#3,314699#-0,3994505#0,7311357#3,405527#-0,302721#0,439567#3,280332#-0,4302393#0,6709001#3,419135#-0,1669408#0,3548352#3,152096#-0,3709725#0,5768485#3,589476#-0,08510485#0,516942#3,29528#-0,2013298#0,4861597#3,611384#-0,03016948#0,1750764#3,384738#-0,05242846#0,09518692#3,363666#-0,0203248#0,1063012#3,359034#-0,07235757#0,02500552#3,356766#-0,2814299#-0,2387156#3,413197#-0,1995557#-0,3706391#3,481488#-0,06616232#-0,6229372#3,36785#-0,1565433#-0,5914534#3,554873#-0,0002026185#-0,6322099#3,322083#-0,09376883#-0,610711#3,467444#1  
frame48 #-0,2375703#0,7369496#3,496133#-0,1529911#0,572897#3,439398# -0,340738#0,5110133#3,329014#-0,4191125#0,608509#3,223876#-0,3182562#0,4277575#3,293323#-0,4498928#0,54829#3,237481#-0,1822523#0,3432571#3,164856#-0,3863884#0,4528706#3,405438#-0,1062#0,5003905#3,30355#-0,2210582#0,5142473#3,622949#-0,02850436#0,1777951#3,385115#-0,04882867#0,09565542#3,364665#-0,01765499#0,1057717#3,359622#-0,06583454#0,03045645#3,359684#-0,2527126#-0,2466523#3,454047#-0,2045307#-0,3617818#3,480444#0,003805196#-0,560287#3,348945#-0,1634533#-0,5907909#3,555566#0,0003736459#-0,6345285#3,31709#-0,09614609#-0,6115335#3,471855#1  
frame49 #-0,240012#0,7260508#3,498878#-0,1561209#0,5643399#3,440011# -0,3635038#0,505968#3,342065#-0,4169411#0,5890042#3,236138#-0,3417228#0,4223751#3,306797#-0,4477129#0,5288016#3,249738#-0,2058513#0,3378313#3,178416#-0,3842028#0,4333736#3,417719#-0,1122578#0,4889508#3,306304#-0,224188#0,5056902#3,623562#-0,02416639#0,1698559#3,387974#-0,04030868#0,08285387#3,367934#-0,01126013#0,09655705#3,359061#-0,0569628#0,01933713#3,367991#-0,2541388#-0,2488367#3,454675#-0,2209858#-0,3642991#3,481452#0,003057143#-0,5601487#3,348307#-0,1654607#-0,5900777#3,557364#0,002412653#-0,6287365#3,305408#-0,1014884#-0,608009#3,470379#1  
frame50 #-0,2689308#0,7762089#3,504134#-0,1860987#0,6208394#3,459305# -0,3697757#0,5079916#3,353046#-0,4416608#0,647723#3,2605#-0,3478413#0,4245145#3,317664#-0,4724244#0,5875365#3,274097#-0,2154908#0,3343673#3,185084#-0,4089581#0,4921743#3,441984#-0,1283019#0,4718177#3,313792#-0,2541657#0,5621896#3,642856#-0,0386668#0,2010769#3,403343#-0,05150695#0,1068209#3,380548#-0,01773661#0,09629327#3,370437#-0,06717534#0,05974929#3,374896#-0,2670322#-0,2828428#3,474413#-0,212345#-0,336267#3,470541#0,002738955#-0,5599601#3,347673#-0,167502#-0,5901885#3,558652#0,007535704#-0,6249782#3,2996#-0,1001029#-0,608739#3,474252#1  
frame51 #-0,2606145#0,6921038#3,499414#-0,1683883#0,5293901#3,440677# -0,3728156#0,5030413#3,363315#-0,4238957#0,5561637#3,24201#-0,3508503#0,4195905#3,327955#-0,4546514#0,4959929#3,255603#-0,2226243#0,3223562#3,190889#-0,3912478#0,400725#3,423343#-0,1366962#0,4642906#3,314058#-0,2364554#0,4707404#3,624228#-0,04552492#0,1440757#3,40805#-0,06422555#0,05926795#3,391026#-0,03743868#0,07806047#3,38262#-0,07507014#0,000956589#3,389721#-0,2727025#-0,2732522#3,46909#-0,240739#-0,3851088#3,487012#-5,098031E-05#-0,5407736#3,33636#-0,1685672#-0,5904773#3,558706#0,004520918#-0,6176401#3,311368#-0,1031227#-0,6061447#3,472288#1  
frame52 #-0,2931334#0,7490517#3,519171#-0,2028807#0,6001248#3,452388# -0,3773201#0,4997947#3,370434#-0,4583124#0,6267571#3,253878#-0,3553422#0,4163691#3,335085#-0,4890601#0,5666019#3,267468#-0,233655#0,3092347#3,191947#-0,4257402#0,4714597#3,435021#-0,1441596#0,4513766#3,311031#-0,2709478#0,5414751#3,635938#-0,04704495#0,1883625#3,400353#-0,05952788#0,09432359#3,380275#-0,03421795#0,08092352#3,379586#-0,07037265#0,04179443#3,372903#-0,2809908#-0,2623933#3,462795#-0,2418328#-0,339648#3,474401#0,002984545#-0,5157943#3,325345#-0,1688805#-0,5923473#3,560506#0,003638946#-0,6079637#3,316375#-0,2084627#-0,661678#3,570441#1  
