frame1 #0,2973264#1,029191#3,755317#0,3727775#0,8305663#3,777706# 0,380816#0,1726858#3,528738#0,3184658#0,6934365#3,506988#0,3919494#0,2361754#3,557699#0,2535512#0,7076464#3,568478#0,5346155#0,4611501#3,623409#0,05880775#0,7502762#3,765702#0,4805547#0,6648738#3,65161#0,2423202#0,68574#3,840342#0,3689201#0,4854025#3,773114#0,3340026#0,4261243#3,731132#0,3817732#0,3605978#3,691896#0,2745677#0,3699875#3,752521#0,417209#-0,2024903#3,696235#0,1389712#-0,1615205#3,827599#0,4791602#-0,5451934#3,71869#0,03232064#-0,501164#3,764179#0,4178533#-0,6272057#3,698033#-0,0268181#-0,5483508#3,691336#1  
frame38 #-0,3084242#0,7660224#3,756453#-0,1638831#0,6245697#3,759205# -0,01893625#0,3775684#3,690073#-0,3687242#0,6519293#3,810584#-0,06840293#0,354451#3,646021#-0,3848394#0,5957938#3,753253#-0,2909062#0,4432619#3,569682#-0,4331851#0,4273876#3,59435#-0,100992#0,4652458#3,644185#-0,2552445#0,4132514#3,682191#-0,08898902#0,216133#3,757502#-0,08929934#0,1382166#3,706084#-0,03492399#0,1185746#3,691658#-0,1303839#0,07914288#3,71105#-0,1087892#-0,3515522#3,861837#-0,06848845#-0,3028746#3,937899#-0,01332965#-0,6208642#3,706811#-0,4107731#-0,4887075#3,743785#0,03038982#-0,5559791#3,723865#-0,4335648#-0,5323968#3,663492#1  
frame39 #-0,3094127#0,7663547#3,756629#-0,1640711#0,6248571#3,759254# -0,02333228#0,383876#3,682037#-0,3582273#0,6536462#3,78827#-0,07287927#0,3607211#3,637913#-0,3741198#0,5975522#3,730318#-0,2946441#0,4492372#3,561879#-0,4217972#0,4292699#3,569561#-0,09130645#0,4612442#3,644407#-0,255408#0,4136147#3,682205#-0,0913258#0,2174467#3,772091#-0,09045938#0,1382783#3,72555#-0,03454366#0,1171618#3,713346#-0,1337408#0,07851248#3,733099#-0,2759872#-0,3001652#3,728887#-0,0716153#-0,2860991#3,971476#-0,02484625#-0,5875956#3,72011#-0,3961991#-0,4829373#3,750511#-0,04521056#-0,6320369#3,639238#-0,4165635#-0,5273786#3,669639#1  
frame40 #-0,3141584#0,763034#3,756138#-0,1647915#0,6244894#3,757736# -0,01638838#0,3910715#3,66029#-0,2953708#0,09228301#4,001712#-0,06605053#0,3678628#3,616063#-0,2472625#0,1434695#3,996563#-0,2900728#0,45728#3,539138#-0,2308505#0,2603478#3,860398#-0,08048387#0,4603658#3,645162#-0,256056#0,4133437#3,680603#-0,09154901#0,2185358#3,772234#-0,08843263#0,1405067#3,725209#-0,03063641#0,1180775#3,708783#-0,1314975#0,07924818#3,734746#-0,2755896#-0,3048737#3,731617#-0,05735874#-0,2980167#3,960473#-0,02540631#-0,5859743#3,720105#-0,3933724#-0,487686#3,746499#-0,04347764#-0,6305521#3,63838#-0,4114438#-0,5322638#3,664773#1  
frame41 #-0,3162827#0,7626435#3,757#-0,1654105#0,6242841#3,757625# -0,0001304001#0,3995378#3,644816#-0,3765323#0,09950874#3,985548#-0,0499443#0,3762581#3,600455#-0,3170439#0,1361879#3,975201#-0,2756114#0,4663319#3,522883#-0,240962#0,2603189#3,863625#-0,07396729#0,4565127#3,645922#-0,2566012#0,4131972#3,680471#-0,09255935#0,2279679#3,773455#-0,08865534#0,1546469#3,72603#-0,02775013#0,1192453#3,679048#-0,1288834#0,08470964#3,761666#-0,2236959#-0,2678731#3,732908#-0,05379272#-0,3020881#3,955204#-0,05803507#-0,5514965#3,76204#-0,3943194#-0,4905654#3,744641#-0,001689272#-0,6127841#3,708414#-0,4112417#-0,5350822#3,662693#1  
frame42 #-0,2581161#0,805356#3,739169#-0,1651744#0,6283121#3,758727# -0,5488685#0,4574753#3,538096#-0,4170046#0,1002094#3,932247#-0,4881131#0,4587497#3,502881#-0,3638493#0,1449384#3,942579#-0,2812437#0,4689603#3,489151#-0,2456158#0,2650496#3,864912#-0,06719264#0,456775#3,64573#-0,2562812#0,4174204#3,681518#-0,095043#0,242955#3,783353#-0,09154369#0,1685242#3,738201#-0,02982858#0,1234822#3,68696#-0,1330591#0,09707061#3,77794#-0,1239423#-0,2867178#3,793228#-0,06246638#-0,2822452#3,978631#-0,02839138#-0,5866923#3,735425#-0,3866037#-0,4841056#3,755307#0,01880685#-0,6359647#3,692581#-0,4029908#-0,5290468#3,673479#1  
frame43 #-0,2610511#0,7990362#3,739367#-0,1633282#0,6267222#3,765385# -0,5581793#0,4720686#3,522628#-0,54574#0,149127#3,934576#-0,4977549#0,4733361#3,487606#-0,4893706#0,1583475#3,894367#-0,2762173#0,4684149#3,479981#-0,3016662#0,2506548#3,858989#-0,05828329#0,448301#3,648485#-0,2543851#0,4159103#3,688034#-0,09354311#0,2411107#3,782067#-0,0901728#0,1668457#3,735671#-0,02854771#0,1226752#3,684331#-0,131497#0,09262505#3,773063#-0,1161534#-0,2826561#3,808571#-0,08987695#-0,3442582#3,920903#-0,02793033#-0,5876843#3,734434#-0,436964#-0,5280117#3,717143#0,02127975#-0,6360263#3,692611#-0,4545287#-0,5726331#3,635243#1  
frame44 #-0,2628246#0,7974826#3,740533#-0,162891#0,6262156#3,766559# -0,5683826#0,4993857#3,45123#-0,5892685#0,1822983#3,864503#-0,5054919#0,4793909#3,475799#-0,5142722#0,1817029#3,853884#-0,2676978#0,4754647#3,476636#-0,3109313#0,2499971#3,859812#-0,05415671#0,4403256#3,652039#-0,253929#0,4154216#3,689191#-0,1011892#0,2654801#3,788584#-0,1009979#0,2029518#3,744854#-0,03614732#0,1303462#3,666785#-0,1387659#0,1002151#3,814803#-0,2196752#-0,2635656#3,743259#-0,09548221#-0,3484246#3,926748#-0,07148558#-0,5340315#3,799676#-0,4412396#-0,5309456#3,717569#-0,01085864#-0,5970449#3,733245#-0,4573512#-0,5759517#3,634905#1  
frame45 #-0,2260644#0,7252207#3,773735#-0,1279347#0,5485898#3,788117# -0,5867047#0,5136429#3,440832#-0,575864#0,2027115#3,766873#-0,5207415#0,5053149#3,420237#-0,5055636#0,2079055#3,806512#-0,2601393#0,481775#3,469575#-0,3228274#0,2349667#3,885035#-0,05315202#0,4401801#3,654169#-0,2188584#0,3378709#3,7107#-0,07582433#0,2244511#3,796931#-0,08527636#0,1645339#3,751988#-0,0331287#0,1207056#3,671529#-0,1194692#0,04947543#3,808017#-0,2873238#-0,2638257#3,740919#-0,08494008#-0,3515506#3,959843#-0,04370731#-0,5622042#3,756621#-0,4208601#-0,5518921#3,751523#0,006479569#-0,6110984#3,716526#-0,4523915#-0,5960379#3,673568#1  
frame46 #-0,2575517#0,7931982#3,744015#-0,1592963#0,6289021#3,789689# -0,6017714#0,5454612#3,392108#-0,4808479#0,227566#3,785295#-0,5063905#0,5210845#3,391556#-0,4991763#0,2222275#3,777239#-0,2515382#0,4843689#3,46836#-0,3018481#0,2797031#3,877137#-0,04839146#0,4379414#3,658291#-0,25022#0,4181832#3,712271#-0,08870474#0,2342929#3,798779#-0,08934368#0,1661794#3,751827#-0,03395911#0,1222313#3,686655#-0,1473817#0,09506389#3,790196#-0,2869041#-0,2639656#3,741182#-0,08867297#-0,3091654#3,945081#-0,08486615#-0,5009003#3,789611#-0,427656#-0,508887#3,738191#-0,02007703#-0,5760676#3,743077#-0,4503483#-0,5535095#3,657089#1  
frame47 #-0,2578222#0,7900974#3,745262#-0,1539734#0,6295056#3,79248# -0,5914168#0,5496985#3,373353#-0,5885595#0,2497977#3,696934#-0,4991067#0,5313501#3,383537#-0,5044836#0,2440376#3,740057#-0,2450347#0,4898699#3,464621#-0,3258702#0,2694001#3,85249#-0,04662934#0,437474#3,660107#-0,2448971#0,4187868#3,715062#-0,08991969#0,2372927#3,80196#-0,09202389#0,1675872#3,754622#-0,03637197#0,1235569#3,695027#-0,146974#0,09568658#3,793905#-0,2931643#-0,2814939#3,744145#-0,09234053#-0,3023868#3,960173#-0,08814457#-0,4930941#3,845192#-0,4268842#-0,5061569#3,74742#-0,0355541#-0,5566959#3,770988#-0,4506495#-0,5512719#3,665485#1  
frame48 #-0,2560804#0,7864484#3,746331#-0,1488401#0,6321883#3,801907# -0,5381206#0,5650434#3,313471#-0,5774075#0,2718116#3,683357#-0,4502482#0,544234#3,342624#-0,508229#0,2523892#3,720323#-0,236066#0,4922304#3,456025#-0,3243561#0,2807273#3,849616#-0,04692661#0,4365168#3,662299#-0,2397637#0,4214694#3,72449#-0,08828296#0,2368782#3,802001#-0,0926003#0,1673456#3,754612#-0,03700605#0,1235072#3,695899#-0,14652#0,09567267#3,7936#-0,3320846#-0,3056273#3,743415#-0,09201425#-0,3023722#3,959945#-0,08807516#-0,4731814#3,842866#-0,4285232#-0,5056742#3,748215#-0,03778869#-0,5466576#3,774499#-0,4561904#-0,5509815#3,666298#1  
frame49 #-0,2524908#0,7955456#3,747267#-0,158007#0,6294393#3,797706# -0,546091#0,5702696#3,304596#-0,6427313#0,2781712#3,634548#-0,4555638#0,5490956#3,324994#-0,507019#0,2604778#3,70457#-0,2345279#0,4962402#3,454049#-0,3263245#0,276492#3,841365#-0,04869242#0,4370119#3,663962#-0,2489306#0,4187204#3,720289#-0,09958848#0,2580833#3,799387#-0,1027774#0,1925428#3,750561#-0,0419331#0,1342584#3,677453#-0,1457872#0,09681613#3,798185#-0,3185334#-0,2835096#3,743156#-0,1073243#-0,3316263#3,926494#-0,1071319#-0,4968135#3,83291#-0,4552554#-0,5264341#3,725817#-0,0410392#-0,5620368#3,768156#-0,4801134#-0,571961#3,642153#1  
frame50 #-0,2565707#0,7978882#3,75261#-0,1520758#0,6311382#3,791242# -0,5425813#0,5746899#3,298013#-0,6417331#0,2910852#3,557918#-0,4531051#0,5505409#3,320699#-0,5046493#0,2666067#3,675891#-0,2248803#0,5020867#3,449272#-0,3278213#0,2805272#3,823227#-0,04780168#0,4352949#3,666079#-0,2429994#0,4204193#3,713824#-0,1010787#0,258239#3,799972#-0,1030953#0,1918904#3,750484#-0,04462555#0,1331267#3,676327#-0,1452885#0,09282422#3,801806#-0,3101789#-0,2315968#3,743794#-0,09183361#-0,3222488#3,942476#-0,06618699#-0,5358702#3,775336#-0,4389131#-0,516423#3,734289#0,001301536#-0,6027682#3,722046#-0,4604983#-0,5618573#3,65018#1  
frame51 #-0,2551545#0,7998921#3,754755#-0,1511273#0,6321557#3,793034# -0,5435106#0,5783298#3,291489#-0,6415166#0,2899701#3,556718#-0,4514155#0,5556155#3,303167#-0,5057924#0,267363#3,66737#-0,2227591#0,5010272#3,447649#-0,3311152#0,273884#3,813128#-0,04780851#0,4345235#3,66715#-0,2163365#0,4348109#3,862157#-0,07742882#0,2621613#3,786015#-0,1040289#0,1904413#3,751342#-0,05014572#0,1332045#3,678601#-0,1447605#0,09186292#3,802777#-0,3069467#-0,2372048#3,744893#-0,06909426#-0,2918847#3,973652#-0,05214325#-0,5475829#3,777452#-0,4053555#-0,5026295#3,76353#0,001441839#-0,6025534#3,722238#-0,4720881#-0,549221#3,708577#1  
frame52 #-0,2546705#0,8008704#3,754731#-0,1512499#0,6322531#3,793052# -0,5408794#0,578216#3,295017#-0,6354944#0,2782193#3,566378#-0,4490344#0,5534324#3,305653#-0,5047941#0,2669074#3,660111#-0,2165415#0,5022587#3,445297#-0,331373#0,2741939#3,802943#-0,04689975#0,4326947#3,668835#-0,2173932#0,4344245#3,86094#-0,07791863#0,2636335#3,786112#-0,1042007#0,1917939#3,750948#-0,05127881#0,1361635#3,677087#-0,1434765#0,09380063#3,803273#-0,3471797#-0,2671999#3,737568#-0,07766625#-0,2956114#3,964835#-0,05720631#-0,5681862#3,761676#-0,4136486#-0,5094449#3,75772#0,003060669#-0,6066203#3,718245#-0,479788#-0,5560781#3,701744#1  
frame53 #-0,2515147#0,8034055#3,756557#-0,1488716#0,6321009#3,791375# -0,5843174#0,5891812#3,283355#-0,6349981#0,2747891#3,569885#-0,4489703#0,5544345#3,305321#-0,5349305#0,2674412#3,646294#-0,2161243#0,5052827#3,446357#-0,3621109#0,266453#3,759504#-0,04685964#0,4320184#3,669693#-0,2152737#0,4332479#3,857345#-0,0770422#0,2645161#3,785472#-0,103568#0,1925512#3,750326#-0,05186886#0,1381895#3,675308#-0,1407187#0,09470762#3,803864#-0,3452451#-0,2640631#3,736136#-0,08284108#-0,3048598#3,943008#-0,05436696#-0,5721245#3,761174#-0,427161#-0,5174012#3,745522#0,008353312#-0,6037483#3,715394#-0,4931655#-0,564095#3,689018#1  
frame54 #-0,2501243#0,8056359#3,759292#-0,1482583#0,6325409#3,791928# -0,5837358#0,5892417#3,282841#-0,6370679#0,2715825#3,586221#-0,4416497#0,5515613#3,316577#-0,534669#0,267387#3,645947#-0,20608#0,5061068#3,454418#-0,3614422#0,2667307#3,758775#-0,04733754#0,43158#3,670469#-0,2151752#0,4332876#3,857312#-0,1042808#0,3102364#3,852014#-0,1376899#0,2418231#3,829256#-0,09634425#0,1471174#3,755204#-0,1763057#0,1795835#3,911341#-0,3320124#-0,2491375#3,739624#-0,08644264#-0,2910155#3,94318#-0,03630424#-0,5720927#3,749418#-0,4286872#-0,504072#3,742602#0,01739297#-0,6207095#3,706947#-0,4937886#-0,5530123#3,686696#1  
frame55 #-0,2487965#0,8102496#3,758381#-0,1513378#0,6333411#3,787872# -0,5839257#0,5892034#3,283102#-0,5915905#0,2668501#3,611593#-0,4655227#0,5562573#3,326218#-0,5335602#0,2667697#3,644778#-0,224544#0,5028435#3,452082#-0,3594692#0,2665285#3,757524#-0,04730309#0,4311828#3,670506#-0,2232027#0,4362329#3,865051#-0,1061301#0,3076636#3,8394#-0,1385267#0,239375#3,814805#-0,09243296#0,1510865#3,74573#-0,1820341#0,1754013#3,882274#-0,236839#-0,2831304#3,777238#-0,08667225#-0,2880562#3,94141#-0,0309503#-0,5854744#3,739883#-0,4283629#-0,5025549#3,74301#0,03137352#-0,6259673#3,700759#-0,4935439#-0,5510351#3,686749#1  
frame56 #-0,2485304#0,809526#3,757694#-0,1498286#0,6335327#3,788221# -0,4854975#0,5858259#3,284362#-0,4715182#0,2625457#3,668356#-0,4756418#0,5569815#3,348074#-0,5264959#0,2592596#3,632797#-0,2247012#0,5027491#3,451965#-0,3580029#0,2685232#3,755641#-0,04645635#0,431567#3,67095#-0,2212576#0,4359486#3,863593#-0,1078369#0,307132#3,841402#-0,1416078#0,2389102#3,817969#-0,0982899#0,1527135#3,751999#-0,1864911#0,1756315#3,888628#-0,1640289#-0,3198461#3,851497#-0,0832876#-0,2876664#3,948943#-0,1065402#-0,5983762#3,66818#-0,4247904#-0,5010437#3,746203#-0,171515#-0,646617#3,61188#-0,4897652#-0,5492845#3,689903#1  
frame57 #-0,2465764#0,807331#3,75773#-0,14716#0,6333389#3,793588# -0,5860969#0,5875574#3,293962#-0,4773612#0,2639146#3,670649#-0,4749394#0,5523896#3,342004#-0,472928#0,2746031#3,671127#-0,2250786#0,5027761#3,452696#-0,3159232#0,26085#3,810004#-0,04678943#0,4308594#3,671998#-0,2194331#0,435364#3,86554#-0,1078475#0,2927587#3,853472#-0,1424394#0,2196743#3,83233#-0,0929375#0,153923#3,807357#-0,1884012#0,1747822#3,884397#-0,304601#-0,23663#3,748577#-0,08124897#-0,2869392#3,955286#-0,03248861#-0,582338#3,719657#-0,4218039#-0,4992977#3,74924#-0,09801432#-0,6308694#3,663871#-0,4873296#-0,5478292#3,693453#1  
frame58 #-0,244113#0,8091767#3,759371#-0,1467823#0,6330137#3,793084# -0,5806251#0,5860617#3,297068#-0,4791853#0,2647908#3,670859#-0,4771038#0,5530914#3,340868#-0,4745677#0,2628471#3,66781#-0,2265879#0,5032264#3,451015#-0,3161325#0,2606393#3,806144#-0,04796509#0,4319228#3,670834#-0,2186446#0,4345465#3,864136#-0,1083032#0,3030419#3,853493#-0,143303#0,2375682#3,832659#-0,1016797#0,1629084#3,776404#-0,1860103#0,1829996#3,897507#-0,3322594#-0,2790959#3,742645#-0,07946441#-0,2853172#3,974268#-0,0248611#-0,5931265#3,723814#-0,4155862#-0,4951421#3,758401#-0,09067346#-0,6417112#3,668327#-0,4813985#-0,5437269#3,702914#1  
frame59 #-0,2456776#0,8136709#3,757779#-0,1503275#0,6366504#3,792766# -0,5838844#0,5863303#3,299995#-0,5719694#0,28734#3,660997#-0,478004#0,5555735#3,338627#-0,5074367#0,265969#3,680087#-0,2280815#0,503631#3,450525#-0,3260428#0,2681021#3,801049#-0,04870242#0,4332121#3,67058#-0,2218808#0,437704#3,863019#-0,1103432#0,3109353#3,852671#-0,1440815#0,243883#3,831201#-0,1009298#0,1647362#3,77338#-0,1863508#0,1856457#3,898252#-0,3224756#-0,284124#3,746281#-0,0797841#-0,2842102#3,967185#-0,04680476#-0,5580049#3,777917#-0,4163321#-0,4960724#3,754912#0,004038883#-0,6065329#3,720252#-0,4812663#-0,5446045#3,699122#1  
frame60 #-0,2458605#0,8116276#3,761603#-0,1467045#0,6330042#3,788727# -0,565991#0,5826844#3,307031#-0,5958888#0,2677443#3,627923#-0,4792962#0,5555201#3,338341#-0,5110077#0,2667148#3,67296#-0,2286875#0,5038955#3,45001#-0,3290048#0,2681713#3,795046#-0,04904833#0,4341287#3,670709#-0,2178802#0,433531#3,857916#-0,1048131#0,2953367#3,844731#-0,1376592#0,2236294#3,821388#-0,09553941#0,162361#3,775515#-0,1829408#0,1730132#3,86598#-0,2379086#-0,2903505#3,778784#-0,08420376#-0,2860826#3,952986#-0,02824525#-0,5897526#3,745117#-0,4244946#-0,5008804#3,747014#0,03060204#-0,623488#3,695841#-0,489557#-0,5493061#3,690881#1  
frame61 #-0,2494294#0,8269941#3,762547#-0,154451#0,6448557#3,786876# -0,585067#0,5862422#3,301319#-0,5711985#0,2901866#3,646472#-0,4872419#0,5565187#3,338231#-0,5089813#0,2659477#3,670418#-0,2339444#0,5066543#3,445043#-0,3286798#0,2712045#3,79524#-0,05177262#0,447037#3,667329#-0,2258033#0,4454693#3,855627#-0,1061379#0,2982175#3,844045#-0,1380652#0,2253941#3,820453#-0,09328753#0,1642592#3,776176#-0,1842299#0,1766918#3,864401#-0,2383647#-0,3045728#3,784821#-0,0840157#-0,2865153#3,956172#-0,02175481#-0,5918776#3,734399#-0,4243445#-0,4998186#3,749082#0,03070003#-0,6317267#3,682379#-0,4885326#-0,5487955#3,692225#1  
frame62 #-0,2507452#0,8223285#3,764467#-0,1489277#0,6447859#3,792742# -0,5791595#0,5841128#3,317825#-0,6401364#0,2698224#3,616205#-0,4894764#0,5560789#3,339438#-0,5112566#0,2662207#3,660614#-0,235386#0,5071979#3,445848#-0,3297213#0,2719396#3,795663#-0,05269721#0,4473885#3,668149#-0,2203716#0,4453608#3,861271#-0,1047787#0,2968927#3,842833#-0,1378168#0,2248441#3,81995#-0,0929585#0,1642084#3,776064#-0,1838955#0,1768813#3,863573#-0,2739887#-0,2300388#3,74087#-0,0944688#-0,3068021#3,938989#-0,02876195#-0,5986263#3,732685#-0,4429323#-0,5152029#3,736173#0,04043982#-0,6177012#3,688821#-0,5093974#-0,5635324#3,681024#1  
frame63 #-0,2527274#0,8319668#3,763575#-0,1578561#0,6519848#3,796913# -0,5956155#0,5859089#3,314405#-0,6108716#0,2726384#3,624632#-0,492757#0,5549812#3,342543#-0,5111593#0,2664519#3,66083#-0,2370005#0,507683#3,446436#-0,332232#0,2726035#3,793137#-0,05341018#0,4496389#3,668978#-0,22923#0,4524947#3,865358#-0,1071461#0,2990971#3,844113#-0,1390028#0,226105#3,820261#-0,09052743#0,1686067#3,783188#-0,1887645#0,1823938#3,85921#-0,2374903#-0,2620503#3,752897#-0,09608451#-0,3067592#3,939152#-0,0446302#-0,5494586#3,769377#-0,4453802#-0,5152621#3,734838#-0,005769834#-0,5994266#3,713691#-0,5110441#-0,5639737#3,678684#1  
