frame1 #-0,1746036#0,930283#3,194835#-0,1795865#0,7240674#3,208007# -0,1464165#0,6430288#2,919606#-0,2207809#0,3839691#3,109968#-0,08284264#0,6057087#2,929954#-0,2120623#0,4465384#3,149345#0,04582449#0,5125297#3,021475#-0,3968923#0,3962363#3,306535#-0,001555011#0,6404436#3,18534#-0,3469012#0,5929781#3,241331#-0,1718002#0,3653053#3,219019#-0,1732957#0,2941673#3,206272#-0,09444207#0,2262043#3,196943#-0,2498478#0,2048448#3,209939#0,06834836#-0,2389684#3,285174#-0,425186#-0,2721697#3,268813#0,2009571#-0,5749817#3,27129#-0,6010483#-0,6241539#3,208492#0,2944319#-0,6595897#3,224797#-0,6545585#-0,6837997#3,149805#1  
frame38 #-0,1885706#0,814393#3,176069#-0,1826646#0,6155569#3,211335# -0,328568#0,3841516#2,842865#-0,193772#0,3586675#3,147787#-0,2396402#0,4080922#2,840547#-0,2579301#0,3560544#3,125131#-0,040693#0,43277#2,911603#-0,4077964#0,2875918#3,356543#-0,03313679#0,5214939#3,153846#-0,3563573#0,5092164#3,241607#-0,175893#0,2709481#3,218752#-0,1811143#0,2036746#3,198748#-0,1060052#0,1339953#3,188328#-0,2551524#0,1281776#3,200045#0,1329961#-0,2493806#3,208751#-0,5104356#-0,2591831#3,196525#0,2387432#-0,5512857#3,196591#-0,6062687#-0,5800958#3,192436#0,2159248#-0,5959924#3,116019#-0,629087#-0,6248026#3,111864#1  
frame39 #-0,1891178#0,8103102#3,168947#-0,1827903#0,6144454#3,21074# -0,327491#0,384082#2,845725#-0,2061131#0,3789984#3,053712#-0,2384765#0,4076152#2,84174#-0,2564194#0,3561391#3,126323#-0,04089996#0,4326499#2,91134#-0,4073385#0,2875612#3,357348#-0,03452196#0,5203133#3,154431#-0,354644#0,5079771#3,239456#-0,1754338#0,2703425#3,219029#-0,1805295#0,2030737#3,198692#-0,1059536#0,1339684#3,188294#-0,2535182#0,1276552#3,200192#0,1330154#-0,2493853#3,208691#-0,5093071#-0,2588867#3,196347#0,2385628#-0,5510371#3,19602#-0,6062092#-0,5787316#3,191576#0,2161665#-0,5958795#3,115157#-0,6286054#-0,623574#3,110712#1  
frame40 #-0,1893153#0,8093981#3,168808#-0,1831446#0,6113966#3,209883# -0,3257704#0,3783246#2,860846#-0,2060659#0,3807974#3,07192#-0,2376042#0,4012233#2,874969#-0,2547129#0,3597603#3,146591#-0,03821146#0,4292125#2,914348#-0,4006538#0,2966489#3,383794#-0,03496952#0,5197384#3,154605#-0,3545324#0,5066359#3,238685#-0,1757268#0,2689665#3,219041#-0,180862#0,2019184#3,198508#-0,1070282#0,1323347#3,188135#-0,2535081#0,127223#3,200122#0,1334228#-0,2492148#3,208102#-0,5092713#-0,2588712#3,196274#0,2393015#-0,5576632#3,199443#-0,6073155#-0,5802586#3,191652#0,2170741#-0,6025839#3,118452#-0,6295428#-0,6251793#3,11066#1  
frame41 #-0,1881937#0,8075321#3,168388#-0,1830695#0,6101804#3,209557# -0,3305404#0,3742395#2,870939#-0,1971659#0,3957506#3,167782#-0,2420678#0,3988113#2,87353#-0,2465645#0,3669206#3,131198#-0,04140789#0,4295817#2,914424#-0,3983232#0,3043156#3,364822#-0,03503593#0,5196301#3,154543#-0,3532283#0,5062038#3,237489#-0,1758271#0,2677065#3,219359#-0,1810276#0,2006236#3,198728#-0,1079286#0,131323#3,188656#-0,2531971#0,1264056#3,200275#0,1336018#-0,2492913#3,208008#-0,5090503#-0,2590595#3,196271#0,2393454#-0,557604#3,199633#-0,607289#-0,5804557#3,191853#0,2172891#-0,6025966#3,118516#-0,6293452#-0,6254484#3,110736#1  
frame42 #-0,186627#0,7883621#3,171376#-0,1838519#0,6073859#3,208938# -0,3315709#0,3728197#2,883902#-0,1975145#0,3953811#3,168329#-0,2441478#0,3992079#2,87706#-0,2471447#0,3666554#3,13237#-0,04430369#0,429605#2,91173#-0,3989272#0,3038571#3,366151#-0,0354876#0,5191332#3,154809#-0,3528671#0,504744#3,236129#-0,1754456#0,264686#3,219399#-0,1803558#0,1974672#3,198764#-0,1081559#0,1291871#3,189021#-0,2508211#0,1228975#3,200197#0,1339558#-0,2491864#3,208144#-0,5090626#-0,2591134#3,196281#0,2375308#-0,5539828#3,195895#-0,607298#-0,5803633#3,191692#0,2885596#-0,6385164#3,243935#-0,6290297#-0,625475#3,11039#1  
frame43 #-0,1775688#0,7985956#3,171693#-0,1804734#0,6108133#3,208696# -0,3186328#0,3810447#2,906169#-0,208266#0,4053436#3,195399#-0,2447718#0,4057707#2,898963#-0,2605704#0,3781221#3,16299#-0,04320096#0,4374745#2,913884#-0,4102767#0,3246316#3,401021#-0,02861478#0,5173624#3,158524#-0,3489448#0,5077753#3,234517#-0,1732478#0,2673884#3,220356#-0,1778837#0,2000301#3,199874#-0,1041183#0,131703#3,192989#-0,2496159#0,1249985#3,199904#0,1347665#-0,2479075#3,209496#-0,5078458#-0,2603258#3,195861#0,2403965#-0,5597839#3,200276#-0,6072032#-0,588223#3,194029#0,220263#-0,6049675#3,118591#-0,6273366#-0,6334065#3,112343#1  
frame44 #-0,1645302#0,8126386#3,18219#-0,1760517#0,615433#3,20743# -0,3232427#0,3967849#2,938514#-0,2055485#0,4092289#3,186797#-0,2420158#0,4200678#2,905099#-0,2610483#0,380413#3,162302#-0,04019482#0,4483361#2,912759#-0,4122037#0,3239625#3,399176#-0,02831711#0,5172154#3,157924#-0,3454637#0,5193285#3,242135#-0,170978#0,2695251#3,220459#-0,1764666#0,2017406#3,20053#-0,1030611#0,1326184#3,194012#-0,2484817#0,1280558#3,20048#0,1372629#-0,2482851#3,209737#-0,5057389#-0,2605235#3,19472#0,2513945#-0,6081204#3,238443#-0,6063362#-0,5881264#3,1946#0,311524#-0,6613434#3,251056#-0,6285935#-0,6334261#3,113374#1  
frame45 #-0,1619875#0,8112847#3,180258#-0,1687066#0,6172146#3,212028# -0,3102791#0,4256915#2,924901#-0,02141429#0,5093676#2,923588#-0,2455908#0,4302973#2,908448#-0,2623614#0,3915899#3,1653#-0,0451862#0,4701023#2,916645#-0,4174303#0,3278868#3,39837#-0,01272466#0,4904779#3,186935#-0,3432897#0,5231619#3,24303#-0,1723848#0,2703916#3,221757#-0,1763544#0,2028402#3,200911#-0,1032218#0,1324199#3,19439#-0,2495828#0,1308309#3,199841#0,137425#-0,2478604#3,210192#-0,4996771#-0,2597055#3,194325#0,2411438#-0,5544228#3,201636#-0,6052254#-0,5850821#3,1935#0,2271536#-0,5995442#3,118407#-0,6192157#-0,6302035#3,11027#1  
frame46 #-0,1162975#0,8388736#3,182498#-0,1320992#0,6649842#3,189276# -0,3277804#0,553729#2,947526#-0,4945324#0,06929263#3,236484#-0,2664064#0,5292435#2,959495#-0,4885195#0,1477824#3,263006#-0,02767085#0,5235053#2,918008#-0,470481#0,3832516#3,355751#0,009506449#0,498096#3,206313#-0,2961672#0,4898554#3,193853#-0,1485299#0,2797577#3,218081#-0,1506148#0,2048349#3,20191#-0,07521241#0,1373217#3,206515#-0,2268912#0,1311823#3,196377#0,1390529#-0,2455679#3,213557#-0,481474#-0,2697079#3,199036#0,2448178#-0,5638893#3,209174#-0,6048002#-0,584637#3,192822#0,2485398#-0,6104259#3,12568#-0,6010782#-0,6311737#3,109329#1  
frame47 #-0,1168794#0,8200459#3,189007#-0,1236594#0,6374416#3,177207# -0,2699515#0,548763#2,946979#-0,5055944#0,1350578#3,142138#-0,1879091#0,5742157#2,917794#-0,5072933#0,1911398#3,178858#0,04995527#0,5496637#2,990692#-0,476935#0,4049237#3,350012#0,02039058#0,5070181#3,21469#-0,297151#0,5015167#3,196111#-0,1392029#0,2868281#3,213232#-0,1379527#0,2174661#3,200238#-0,06414289#0,1472238#3,207517#-0,2163041#0,1405162#3,195242#0,1424802#-0,2439151#3,215593#-0,4687286#-0,2763044#3,203129#0,2456132#-0,568269#3,212168#-0,6034776#-0,5909177#3,192823#0,2508659#-0,6154433#3,129243#-0,5982249#-0,638092#3,109898#1  
frame48 #-0,09269528#0,8368492#3,184258#-0,1031428#0,6620134#3,188636# -0,2908104#0,6027223#2,959822#-0,518676#0,1963038#3,0581#-0,2251967#0,6070337#2,947793#-0,5061766#0,2578173#3,138487#0,0516753#0,6001406#2,957257#-0,4498588#0,4148699#3,270294#0,02258299#0,5160876#3,209996#-0,2872137#0,5389571#3,198649#-0,12363#0,3062727#3,214775#-0,1267915#0,2342266#3,203175#-0,05677935#0,1623509#3,211021#-0,2011285#0,1658153#3,196133#0,144261#-0,2419629#3,219664#-0,4517178#-0,2680922#3,205244#0,2456813#-0,5682935#3,212203#-0,600582#-0,5890581#3,192174#0,2489994#-0,6148658#3,128935#-0,5972638#-0,6356304#3,108906#1  
frame49 #-0,08435672#0,8245759#3,185336#-0,09251384#0,6366681#3,216951# -0,1703161#0,6769304#2,955872#-0,4499261#0,3222442#2,969265#-0,1045561#0,6812513#2,943816#-0,4692543#0,2487504#3,083874#0,09883473#0,6248901#2,997634#-0,4240841#0,400012#3,226755#0,06325945#0,5482073#3,260231#-0,2822021#0,535884#3,196352#-0,1091962#0,3163554#3,223841#-0,1047751#0,2549287#3,211626#-0,02925696#0,1803315#3,221318#-0,1874257#0,1758366#3,196094#0,1500498#-0,237226#3,226408#-0,4350019#-0,2588629#3,201922#0,2700063#-0,5809519#3,229327#-0,5957091#-0,5848271#3,190964#0,2859063#-0,6261085#3,147089#-0,5798091#-0,6299837#3,108726#1  
frame50 #-0,0003228439#0,8267869#3,088597#-0,02993391#0,6758152#3,227349# 0,03553408#0,7562048#2,983412#-0,2135968#0,5109131#2,783987#0,1016985#0,7605524#2,971283#-0,2383042#0,4441218#2,840957#0,2124223#0,6243066#3,088475#-0,2994956#0,3727755#3,035249#0,1124597#0,5540331#3,277739#-0,1593623#0,5446771#3,174667#-0,06669258#0,324553#3,229021#-0,07257412#0,2551296#3,212725#-0,01576737#0,1804395#3,238201#-0,132514#0,1854251#3,169542#0,1700367#-0,2038965#3,242788#-0,3978644#-0,2514657#3,189583#0,2650024#-0,5758121#3,230273#-0,595135#-0,5839006#3,192603#0,2957987#-0,6209773#3,152655#-0,5643387#-0,6290658#3,114985#1  
frame51 #0,05889948#0,8425874#3,152673#-0,01789932#0,6769196#3,214302# 0,2781553#0,8202796#3,065069#-0,03323479#0,4910133#2,917616#0,2971161#0,7310263#3,067808#-0,0361881#0,4712445#2,980328#0,3072357#0,5206292#3,157379#-0,1682881#0,3181766#2,982134#0,1471748#0,5478037#3,304287#-0,1551597#0,4959439#3,104102#-0,03452852#0,3206618#3,230207#-0,02273603#0,2500618#3,220954#0,04183798#0,1698767#3,261866#-0,07822257#0,163283#3,179413#0,2081979#-0,2375166#3,24478#-0,37393#-0,2895949#3,194791#0,2809236#-0,579456#3,243224#-0,6202807#-0,5962157#3,201124#0,3281924#-0,6243327#3,175131#-0,5730119#-0,6410924#3,13303#1  
frame52 #0,06041844#0,8149183#3,255748#-0,0003415329#0,6361247#3,226437# 0,3678087#0,8078882#3,078477#0,06025343#0,4948848#2,989863#0,3696983#0,7193158#3,099369#0,02747883#0,4397928#3,01065#0,327494#0,4995833#3,162406#-0,1475846#0,3174993#2,971059#0,1614562#0,5384263#3,29532#-0,1465851#0,494454#3,099586#-0,0265466#0,3115053#3,231405#-0,01860762#0,2449508#3,220458#0,04377213#0,1627339#3,259272#-0,07751168#0,1620236#3,178705#0,2093206#-0,2369762#3,244374#-0,3118023#-0,2521605#3,184155#0,2838078#-0,5745532#3,242366#-0,5881016#-0,5585443#3,197114#0,3296403#-0,6190979#3,17341#-0,5422692#-0,6030891#3,128158#1  
frame53 #0,09575456#0,7916416#3,254188#0,01431192#0,6207556#3,243416# 0,5472082#0,6111056#3,119114#0,1412372#0,3744075#3,003874#0,5084836#0,5573113#3,129098#0,1086373#0,3196092#3,024549#0,3473913#0,4396205#3,164622#-0,08057546#0,3165726#2,970746#0,1839322#0,5173669#3,300244#-0,08395412#0,4895768#3,098433#0,01182405#0,2855237#3,246905#0,02263349#0,2208903#3,23287#0,06607324#0,1514577#3,259099#-0,02825421#0,1519732#3,196183#0,2189253#-0,2356112#3,238303#-0,3085042#-0,2566576#3,184285#0,277098#-0,5682459#3,240734#-0,5907654#-0,5585051#3,199003#0,3286182#-0,6114662#3,175262#-0,5392452#-0,6017255#3,133531#1  
frame54 #0,09613995#0,7907005#3,2546#0,01950371#0,6162589#3,243188# 0,6045094#0,5274461#3,117313#0,188073#0,2844851#3,023356#0,5449938#0,5010099#3,131222#0,1222954#0,2786165#3,012781#0,3664471#0,4217016#3,186168#-0,07553549#0,3127847#2,977555#0,206219#0,4870222#3,31196#-0,07898863#0,4872356#3,100785#0,01312689#0,2834322#3,246538#0,02425452#0,2186446#3,232037#0,07488613#0,141897#3,260755#-0,02684639#0,1473251#3,192624#0,2342385#-0,2342924#3,233538#-0,305754#-0,2685193#3,184085#0,2781897#-0,5680723#3,23578#-0,5984467#-0,5595444#3,208845#0,3294616#-0,6113907#3,170153#-0,6654794#-0,6362913#3,173199#1  
frame55 #0,0970557#0,7917553#3,256303#0,03149012#0,6128997#3,243259# 0,6043538#0,4785992#3,147413#0,2257183#0,2270281#3,030493#0,5647963#0,4555821#3,148058#0,1362112#0,2367714#3,017566#0,3774256#0,4151759#3,213358#-0,06166263#0,3124208#2,974867#0,207332#0,4866361#3,312911#-0,07257006#0,4835184#3,101137#0,01790333#0,2776923#3,245421#0,02914604#0,2117579#3,23038#0,07940884#0,1343388#3,258694#-0,02326558#0,1431696#3,191769#0,2369703#-0,2337492#3,232333#-0,3037073#-0,2695318#3,182448#0,2798888#-0,5694053#3,233022#-0,5979304#-0,5596226#3,208878#0,3317611#-0,612875#3,16797#-0,6656524#-0,6352928#3,172247#1  
frame56 #0,1018721#0,7886593#3,2609#0,04322023#0,605893#3,243955# 0,6725935#0,4482771#3,155935#0,2551214#0,1802031#3,045931#0,59067#0,408572#3,164764#0,1702181#0,1917154#3,033592#0,3848683#0,3999237#3,23906#-0,0337418#0,3014667#2,987428#0,2120872#0,4812426#3,315841#-0,06169789#0,4765753#3,100619#0,0249648#0,2671009#3,244541#0,03625446#0,2002741#3,228857#0,08452789#0,1223831#3,257503#-0,01545845#0,1332907#3,189771#0,2441601#-0,2427902#3,230149#-0,2342785#-0,236026#3,164181#0,2789316#-0,567329#3,229299#-0,5425832#-0,511825#3,196756#0,3319995#-0,6108413#3,165245#-0,4895152#-0,5553373#3,132702#1  
frame57 #0,1354867#0,7578734#3,262245#0,0617223#0,5915595#3,243168# 0,6956556#0,3823143#3,15947#0,2164728#0,1171521#3,05426#0,6312757#0,3644473#3,171489#0,1616657#0,154902#3,040859#0,4098843#0,3504314#3,253781#-0,03774213#0,2862473#2,977404#0,236306#0,4545337#3,323421#-0,0325451#0,4560681#3,100626#0,03886708#0,2443382#3,244665#0,05089169#0,1756149#3,228201#0,09816433#0,0954497#3,257473#-0,0005594962#0,1105115#3,189121#0,2770885#-0,2568437#3,213215#-0,2749706#-0,2677938#3,172641#0,276105#-0,5662956#3,222033#-0,5816637#-0,5475665#3,203156#0,3308244#-0,6099326#3,159501#-0,5269443#-0,5912035#3,140623#1  
frame58 #0,1376847#0,7578638#3,262619#0,06655018#0,5907887#3,242986# 0,7196921#0,3891173#3,17268#0,2041206#0,1220933#2,999524#0,6318964#0,36274#3,172061#0,1718729#0,1534902#3,050176#0,4105677#0,3489938#3,254609#-0,03902596#0,2863074#2,977912#0,2399806#0,4485812#3,326095#-0,02784741#0,4557307#3,099498#0,04042616#0,2404342#3,24333#0,05280301#0,1708063#3,225863#0,0994712#0,09150646#3,255477#0,0008296359#0,1065992#3,186273#0,2788454#-0,2590953#3,212585#-0,2250465#-0,2387981#3,160416#0,2762524#-0,5652953#3,219706#-0,5385029#-0,5116851#3,194728#0,3316654#-0,6089501#3,157766#-0,4830899#-0,5553399#3,132789#1  
frame59 #0,1518778#0,7607775#3,269384#0,07101537#0,5903731#3,241397# 0,7224831#0,3890102#3,17318#0,1888458#0,1238367#3,057#0,6346231#0,3604412#3,174589#0,1064112#0,1610128#3,038025#0,4133921#0,3480708#3,257412#-0,03866604#0,285585#2,980813#0,2452909#0,4441935#3,327234#-0,02456991#0,4555739#3,099304#0,0406701#0,2399686#3,243344#0,05309037#0,1702622#3,22552#0,09963125#0,09035242#3,255289#0,0008361238#0,106158#3,18572#0,2792385#-0,2589415#3,21204#-0,2666098#-0,2618626#3,167758#0,2799234#-0,5722647#3,22188#-0,57256#-0,5438888#3,202509#0,3352044#-0,6161471#3,159964#-0,517279#-0,5877712#3,140594#1  
frame60 #0,1552639#0,7542114#3,271406#0,07314973#0,5873458#3,241227# 0,7212366#0,387093#3,176748#0,2315957#0,1382179#3,053664#0,6346157#0,3559851#3,186524#0,1665221#0,1569141#3,063455#0,4104665#0,3452785#3,268052#-0,03936772#0,2857156#2,980639#0,2473798#0,443127#3,328843#-0,02242209#0,4548644#3,098369#0,04277397#0,237151#3,244012#0,05547749#0,1676677#3,226029#0,1028483#0,08667008#3,256763#0,002793704#0,1035593#3,18568#0,2813601#-0,261791#3,211035#-0,2711999#-0,2674599#3,168437#0,2796606#-0,5732203#3,221949#-0,5786049#-0,5486562#3,203145#0,3352874#-0,6171191#3,160353#-0,5229781#-0,592555#3,141549#1  
frame61 #0,1568722#0,752681#3,271652#0,07420699#0,5868189#3,240607# 0,7218602#0,3876449#3,178486#0,2543088#0,1238995#3,067141#0,6357808#0,3565091#3,193272#0,1891167#0,1426298#3,076949#0,4327978#0,3329294#3,263272#-0,02326375#0,2692612#3,007462#0,2484651#0,4418712#3,329623#-0,01972132#0,4543842#3,09967#0,04292579#0,2361903#3,243769#0,05581766#0,1666208#3,225498#0,1028832#0,08500014#3,256462#0,003068925#0,10298#3,184933#0,2770023#-0,2640755#3,209496#-0,2311433#-0,2309085#3,15992#0,279508#-0,5730637#3,221197#-0,5396978#-0,5125427#3,193127#0,3352399#-0,6169959#3,159715#-0,4839659#-0,5564749#3,131645#1  
frame62 #0,1563503#0,7513781#3,272643#0,0740317#0,5863876#3,244562# 0,6850628#0,3772665#3,199416#0,2195545#0,1153439#3,058767#0,6057464#0,3597295#3,213547#0,1334596#0,1474867#3,046486#0,4146583#0,3371421#3,273198#-0,02690499#0,2702984#3,005236#0,2482191#0,4413533#3,332266#-0,0240449#0,4571212#3,102055#0,04165647#0,2354946#3,245521#0,05521199#0,1661467#3,225841#0,1021884#0,08381773#3,256826#0,001388337#0,1020331#3,184242#0,2739919#-0,2643457#3,209547#-0,2813593#-0,2690374#3,173275#0,2709052#-0,5690662#3,219469#-0,586162#-0,5559278#3,205558#0,3246576#-0,6578667#3,20611#-0,6593277#-0,6277909#3,170729#1  
frame63 #0,154842#0,7540321#3,273361#0,07363751#0,5877394#3,245347# 0,6849396#0,3775638#3,199446#0,2128736#0,1194748#3,058463#0,6123586#0,3609181#3,212051#0,1262361#0,1502625#3,044977#0,4131387#0,3376906#3,273611#-0,02722842#0,2688722#3,004854#0,247295#0,4419584#3,332721#-0,02699861#0,4580786#3,102727#0,03857954#0,2355068#3,245571#0,05148659#0,1657517#3,224522#0,09809992#0,08296206#3,254003#-0,004411949#0,1023233#3,182902#0,2732979#-0,2628678#3,209908#-0,2833775#-0,2715617#3,173941#0,2801876#-0,5755945#3,220526#-0,58966#-0,5576553#3,205137#0,3354823#-0,6195614#3,158204#-0,6620402#-0,6298045#3,169188#1  
frame64 #0,1507039#0,751819#3,268352#0,07167846#0,588511#3,248377# 0,6802545#0,3923106#3,178396#0,1461879#0,1329187#3,060355#0,6196485#0,3679825#3,199203#0,1018716#0,1489345#3,044502#0,407761#0,3409675#3,276222#-0,03378662#0,272218#3,004158#0,2442954#0,4429963#3,335286#-0,03120202#0,4602772#3,103638#0,03715155#0,2356306#3,24687#0,05099952#0,1660509#3,22481#0,09809684#0,08308998#3,254137#-0,005205122#0,1025479#3,182934#0,2711358#-0,2629838#3,209871#-0,2835879#-0,2719946#3,174072#0,2829484#-0,5768868#3,221861#-0,590036#-0,5584618#3,20546#0,3384298#-0,620666#3,159587#-0,66294#-0,6304562#3,1703#1  
frame65 #0,141905#0,7578962#3,262972#0,07055341#0,5893824#3,249251# 0,6845016#0,3953311#3,177675#0,2974135#0,08220675#3,089246#0,6242379#0,3719579#3,20018#0,1744218#0,1478981#3,050598#0,3993722#0,3475044#3,276738#-0,04277629#0,2739491#3,005311#0,2391397#0,4471498#3,338776#-0,03596086#0,46161#3,104824#0,03508191#0,2367937#3,248515#0,04973969#0,167287#3,225813#0,09698512#0,08445814#3,254984#-0,006074246#0,1033272#3,183863#0,2694767#-0,2609231#3,210191#-0,2825903#-0,268596#3,173762#0,284545#-0,5766733#3,2217#-0,5887781#-0,5559632#3,205197#0,3403488#-0,6204515#3,159739#-0,6612428#-0,6290741#3,171523#1  
frame66 #0,1335779#0,7658371#3,264267#0,06600863#0,5928599#3,250829# 0,6878767#0,3968795#3,176526#0,2838547#0,08866815#3,087101#0,6279291#0,3762012#3,20199#0,1664434#0,1518922#3,050919#0,3942068#0,3508445#3,276865#-0,04969481#0,2803973#3,00974#0,2347414#0,4512483#3,340285#-0,04021216#0,464914#3,107672#0,03107901#0,2381611#3,249749#0,04664609#0,1685439#3,226062#0,09501097#0,08544809#3,255364#-0,009528486#0,1044873#3,183574#0,2656451#-0,2601268#3,211531#-0,287189#-0,2738241#3,176472#0,2679633#-0,5654174#3,217888#-0,5947264#-0,560353#3,206886#0,323705#-0,6091241#3,155699#-0,6662453#-0,6336662#3,171382#1  
frame67 #0,1236412#0,777112#3,263438#0,06365691#0,5965531#3,249906# 0,6764277#0,395732#3,178666#0,1797774#0,1281731#3,057336#0,5926679#0,3773894#3,205139#0,1163941#0,1525883#3,050177#0,3951831#0,3514091#3,275819#-0,05491114#0,2833469#3,013128#0,2336401#0,4519078#3,340326#-0,04188707#0,4656679#3,108357#0,02808343#0,2398743#3,25059#0,04407715#0,1699139#3,226439#0,09279393#0,08648434#3,256489#-0,01233755#0,1054421#3,183507#0,264506#-0,2577154#3,211745#-0,2910101#-0,2765883#3,178491#0,2692938#-0,5648759#3,218104#-0,5992287#-0,5627426#3,208929#0,3248994#-0,6086963#3,155737#-0,669798#-0,6369526#3,173074#1  
frame68 #0,1236571#0,7705433#3,264182#0,06147479#0,594995#3,250804# 0,6751271#0,398403#3,178908#0,2340073#0,1430622#3,063119#0,6108747#0,387281#3,201319#0,1707276#0,1674376#3,055972#0,3936172#0,3544265#3,274262#-0,05303248#0,2788824#3,013367#0,2324082#0,4519736#3,339734#-0,04482339#0,4646713#3,107242#0,0261823#0,2400276#3,252146#0,04263267#0,1704129#3,227506#0,09166361#0,08682334#3,258337#-0,01383204#0,1052405#3,183898#0,2627916#-0,2567428#3,212274#-0,2907889#-0,2731957#3,179162#0,2732005#-0,5691053#3,219364#-0,5978098#-0,5611922#3,209069#0,3287204#-0,6129271#3,15684#-0,6686184#-0,6354401#3,173579#1  
frame69 #0,1191213#0,7725006#3,255348#0,06056313#0,5948672#3,251875# 0,6583908#0,4066672#3,178542#0,1616444#0,1393581#3,054426#0,5736434#0,3780482#3,201864#0,09823718#0,1637826#3,047265#0,3949492#0,355115#3,272314#-0,05617082#0,2815254#3,012525#0,2315501#0,4525682#3,339015#-0,0474737#0,4644606#3,107444#0,02356806#0,2409705#3,253477#0,03997194#0,1716509#3,228118#0,08919399#0,08809274#3,257983#-0,01745493#0,1069242#3,185318#0,2612871#-0,2538111#3,212738#-0,2389173#-0,2166157#3,171719#0,2719067#-0,5666083#3,223903#-0,5434723#-0,5087545#3,200065#0,3271095#-0,6105056#3,161053#-0,4882696#-0,5526518#3,137215#1  
frame70 #0,1158505#0,7737767#3,253419#0,05899406#0,5952116#3,251418# 0,6560783#0,4076705#3,179774#0,1614068#0,1394515#3,053758#0,5715947#0,3775411#3,202874#0,09787433#0,1639242#3,046582#0,3878545#0,3589917#3,274379#-0,07481058#0,2925447#3,009814#0,228173#0,4545766#3,336561#-0,04862157#0,4648344#3,107764#0,0224118#0,2410286#3,254183#0,03922575#0,1716749#3,2285#0,08856389#0,08837152#3,25861#-0,01802931#0,1068063#3,185684#0,2613275#-0,2522971#3,213382#-0,2835474#-0,2433568#3,178282#0,275676#-0,5692241#3,221887#-0,5813526#-0,5429686#3,207145#0,3307582#-0,6131465#3,158896#-0,5262704#-0,586891#3,144153#1  
