frame1 #-0,2288164#0,9877325#3,637737#-0,2434092#0,7626855#3,612787# 0,02260455#0,3776884#3,461206#-0,7578849#0,3322632#3,455375#0,01567189#0,427816#3,415238#-0,7264353#0,3149037#3,490913#-0,2364205#0,3808151#3,318951#-0,5415598#0,3937851#3,558452#-0,1370921#0,6101817#3,479515#-0,4533656#0,5811266#3,600466#-0,2538277#0,325734#3,465599#-0,2828483#0,2724762#3,378099#-0,2174111#0,2078623#3,305169#-0,3597342#0,1947875#3,377942#-0,1850509#-0,2630053#3,66627#-0,3059559#-0,2476969#3,113016#-0,264951#-0,5421716#3,655099#-0,3909661#-0,5789324#2,91763#-0,288206#-0,5871964#3,601377#-0,3361037#-0,6305384#2,878387#1  
frame37 #-0,357149#0,8623722#2,953356#-0,3110124#0,6812342#3,001186# -0,3450913#0,6516383#2,395679#-0,4560814#0,03296943#2,935539#-0,2795423#0,6445923#2,506604#-0,4600136#0,1096058#2,976051#-0,1919156#0,6180791#2,701967#-0,4718101#0,3395148#3,11066#-0,1878106#0,5331485#2,962633#-0,4462948#0,5778479#3,062875#-0,307469#0,3480579#3,022515#-0,3093285#0,2805057#3,024313#-0,2505387#0,213324#3,010029#-0,3702152#0,2240316#3,041859#-0,1991679#-0,2329331#3,25594#-0,3281148#-0,2464723#2,780947#-0,2405133#-0,5187113#3,517756#-0,3466647#-0,5777557#2,744782#-0,2695286#-0,5656694#3,443429#-0,3167591#-0,6536573#2,686604#1  
frame38 #-0,3596927#0,8642508#2,956654#-0,326042#0,6598243#3,013717# -0,348584#0,6532209#2,389731#-0,4437444#-0,04050335#2,93543#-0,2956264#0,6480454#2,486285#-0,4489297#0,04582012#2,967854#-0,1931853#0,619079#2,701847#-0,4644854#0,3047905#3,078181#-0,1812498#0,5403481#2,95984#-0,4476487#0,5789098#3,067132#-0,3086407#0,3492697#3,024945#-0,3094843#0,2843734#3,027517#-0,2492824#0,2154865#3,010554#-0,3690608#0,2269545#3,047623#-0,1986178#-0,2330067#3,255666#-0,3302934#-0,2487011#2,782032#-0,217674#-0,5130286#3,54306#-0,3463513#-0,5769995#2,744445#-0,2475605#-0,5597434#3,469126#-0,3167595#-0,6534445#2,686204#1  
frame39 #-0,3618307#0,8647733#2,961395#-0,3278641#0,6569955#3,016655# -0,3487394#0,6531656#2,389641#-0,4622805#0,04417712#3,026896#-0,2962015#0,6483733#2,485168#-0,468235#0,120297#3,061284#-0,193547#0,61967#2,701223#-0,4860984#0,3486567#3,177482#-0,1826514#0,539987#2,960934#-0,4482286#0,5792799#3,068058#-0,310022#0,3475796#3,028657#-0,309809#0,28387#3,030436#-0,2492865#0,2155008#3,01133#-0,3677576#0,2261084#3,052582#-0,1963256#-0,2328522#3,253409#-0,3334533#-0,2478258#2,792269#-0,2177542#-0,5126576#3,542234#-0,3470587#-0,5766785#2,744776#-0,2476116#-0,5592839#3,468554#-0,3168023#-0,6534722#2,685988#1  
frame40 #-0,3625264#0,8642485#2,9632#-0,3303453#0,6563575#3,020397# -0,3488885#0,6532109#2,389081#-0,482652#0,2055792#3,011017#-0,2797579#0,6438842#2,499577#-0,4866883#0,2529037#3,06133#-0,1950729#0,6204453#2,698341#-0,4987969#0,3948773#3,225289#-0,1836069#0,5420017#2,963035#-0,4509687#0,58059#3,073996#-0,3107943#0,3475237#3,030998#-0,3098829#0,2842786#3,032559#-0,248676#0,2162608#3,012953#-0,3673002#0,2261161#3,054063#-0,1937381#-0,229395#3,249301#-0,3337364#-0,2482657#2,792555#-0,2259848#-0,5160792#3,532117#-0,3497655#-0,5746527#2,745524#-0,2565939#-0,5626665#3,458759#-0,3167943#-0,6533461#2,685489#1  
frame41 #-0,3600487#0,87598#2,969857#-0,3275479#0,6759856#3,023772# -0,3475896#0,6527265#2,389417#-0,4749449#0,213581#3,016042#-0,2658777#0,641806#2,501329#-0,4819658#0,2607962#3,065229#-0,1946288#0,6206238#2,706052#-0,5030286#0,4024419#3,225793#-0,1839232#0,5419645#2,96344#-0,4578459#0,575266#3,075416#-0,3107481#0,3493105#3,033429#-0,3096446#0,2851476#3,03505#-0,2472859#0,2169649#3,015521#-0,3676908#0,2260592#3,056437#-0,1923038#-0,2290909#3,249632#-0,3348826#-0,2493742#2,793665#-0,2268032#-0,5102847#3,538504#-0,352011#-0,5711721#2,746798#-0,2569813#-0,5567762#3,46479#-0,3176254#-0,6515374#2,686729#1  
frame42 #-0,3611574#0,8731695#2,977072#-0,3260091#0,679808#3,024434# -0,3458182#0,6519988#2,389899#-0,4732156#0,2135089#3,012464#-0,2641222#0,6395505#2,506432#-0,4810391#0,2603523#3,061976#-0,1927233#0,622561#2,711713#-0,5045097#0,4008825#3,223501#-0,192167#0,5384424#2,97359#-0,4603744#0,5740457#3,075069#-0,3107663#0,3496449#3,034832#-0,309503#0,2847963#3,036991#-0,2469311#0,2170628#3,018143#-0,367748#0,2257523#3,057759#-0,1912585#-0,2282242#3,249308#-0,3350328#-0,2493165#2,794816#-0,226264#-0,5108073#3,53802#-0,3512852#-0,5681787#2,747449#-0,2543789#-0,5572701#3,463567#-0,3184497#-0,6489652#2,687228#1  
frame43 #-0,3632523#0,8709557#2,978874#-0,3258966#0,6804208#3,025767# -0,3429039#0,6512671#2,390471#-0,4727207#0,2143045#3,011775#-0,264098#0,6394489#2,506222#-0,4809875#0,2610164#3,06138#-0,1927145#0,6227263#2,711619#-0,5057877#0,4011521#3,223176#-0,1913683#0,5391423#2,975719#-0,4692152#0,5719124#3,08554#-0,3101766#0,3509814#3,03685#-0,3086764#0,285896#3,039205#-0,2443272#0,2179891#3,02134#-0,3676738#0,2257352#3,058728#-0,1874745#-0,229641#3,255652#-0,3350676#-0,2493069#2,79611#-0,2252146#-0,5148892#3,542528#-0,3519328#-0,5669408#2,749021#-0,2544474#-0,5613962#3,468638#-0,3194345#-0,6473389#2,688266#1  
frame44 #-0,3612298#0,8702716#2,981635#-0,3251085#0,6836897#3,029414# -0,3365259#0,6509484#2,39471#-0,4812212#0,2057191#3,015513#-0,2579174#0,6381403#2,52045#-0,4875313#0,254112#3,063761#-0,1876751#0,6227189#2,726332#-0,5064616#0,3992905#3,221477#-0,1869775#0,5421804#2,981459#-0,4695923#0,5705633#3,085216#-0,3076198#0,3515888#3,03991#-0,3053134#0,2857561#3,042543#-0,2376406#0,2174323#3,026619#-0,3655356#0,2245604#3,060478#-0,1858342#-0,2312469#3,259695#-0,3351063#-0,2493623#2,796292#-0,2256332#-0,5177974#3,54586#-0,3518399#-0,5665553#2,749619#-0,1664552#-0,5720358#3,569002#-0,319543#-0,6465781#2,688285#1  
frame45 #-0,3598241#0,8705402#2,983572#-0,3251489#0,6836467#3,02946# -0,3351853#0,65197#2,395819#-0,4823892#0,201382#3,021323#-0,256855#0,6399773#2,520666#-0,4886548#0,2510096#3,068295#-0,1862131#0,6235729#2,726291#-0,5074515#0,3998926#3,222178#-0,186033#0,5431097#2,982105#-0,4697285#0,5706748#3,085315#-0,3070101#0,352243#3,040954#-0,3043111#0,286534#3,044134#-0,2359084#0,2184046#3,029475#-0,3649073#0,2247175#3,061168#-0,1855468#-0,2305479#3,259931#-0,3348704#-0,2493372#2,796923#-0,2262361#-0,5179754#3,545883#-0,3525584#-0,566443#2,749517#-0,1685142#-0,5724889#3,56937#-0,3197019#-0,6463374#2,688353#1  
frame46 #-0,3593464#0,8716583#2,983462#-0,3233578#0,6880441#3,031628# -0,3333223#0,6524299#2,397468#-0,4798549#0,2066348#3,025398#-0,2561712#0,6428024#2,520839#-0,4873658#0,2557164#3,072758#-0,186214#0,6238194#2,726465#-0,5098984#0,402961#3,227795#-0,1870585#0,5432155#2,983663#-0,4711575#0,5715501#3,089005#-0,3055636#0,3533296#3,043325#-0,3028416#0,286974#3,046711#-0,2348976#0,2191866#3,031619#-0,3632722#0,2245316#3,063909#-0,1844015#-0,2310059#3,261062#-0,3345488#-0,2494744#2,797712#-0,2169284#-0,5140614#3,552824#-0,3519781#-0,5667901#2,749527#-0,1694522#-0,5733371#3,571171#-0,3196239#-0,6464821#2,688079#1  
frame47 #-0,3570869#0,8794051#2,994671#-0,3210778#0,6917301#3,038533# -0,3303059#0,6527832#2,399779#-0,4808225#0,208616#3,029174#-0,2553002#0,6439995#2,521869#-0,488642#0,257766#3,077179#-0,1851399#0,6240112#2,727388#-0,5121006#0,4052162#3,234152#-0,1887737#0,543748#2,988341#-0,4712477#0,5712643#3,089406#-0,3051844#0,3538181#3,045184#-0,3027009#0,2870897#3,047684#-0,2351755#0,2196582#3,032522#-0,3631818#0,2245762#3,064101#-0,1825703#-0,2333124#3,265897#-0,334325#-0,2494922#2,798335#-0,2186718#-0,5199407#3,554726#-0,3519246#-0,5662012#2,750317#-0,1592657#-0,5771359#3,57952#-0,3198712#-0,6457624#2,68852#1  
frame48 #-0,3548867#0,8790441#2,994397#-0,3211516#0,6902571#3,045222# -0,3258956#0,6532145#2,402167#-0,4861137#0,1758628#3,022403#-0,2512864#0,6461436#2,523194#-0,4925672#0,2324915#3,071708#-0,1843773#0,6247777#2,729748#-0,5119276#0,4023777#3,232575#-0,189033#0,5440184#2,989303#-0,471474#0,5711043#3,092467#-0,3040376#0,3540919#3,048469#-0,3017944#0,2873838#3,049589#-0,2346671#0,2200029#3,033075#-0,3621058#0,2245799#3,065871#-0,1819142#-0,233004#3,265877#-0,3331433#-0,2487822#2,804489#-0,2224914#-0,5217509#3,55286#-0,3512344#-0,5660231#2,750864#-0,2495983#-0,567767#3,477841#-0,3198623#-0,6456973#2,688552#1  
frame49 #-0,3539955#0,8802223#2,995903#-0,3205374#0,6914675#3,044867# -0,3214382#0,6538787#2,401887#-0,4838555#0,1788081#3,020283#-0,249339#0,64667#2,523474#-0,4909517#0,233652#3,070561#-0,1840537#0,6249613#2,730613#-0,5122404#0,3981835#3,234336#-0,1876472#0,5478505#2,991121#-0,4717031#0,5715255#3,093625#-0,3029399#0,356057#3,050151#-0,3007609#0,2893381#3,05118#-0,2330549#0,2224216#3,035227#-0,3616434#0,2255854#3,066903#-0,1819881#-0,2330726#3,266751#-0,3332021#-0,2497627#2,804044#-0,2252302#-0,5256861#3,550189#-0,3514653#-0,5660024#2,750536#-0,2520991#-0,5719059#3,474974#-0,3198121#-0,6458921#2,688266#1  
frame50 #-0,3512695#0,8801235#2,995338#-0,319443#0,6936079#3,048283# -0,319152#0,6542183#2,402153#-0,4785634#0,1764735#3,017923#-0,2490754#0,6466905#2,523002#-0,4869083#0,2314968#3,069377#-0,1838735#0,6257196#2,73035#-0,5119428#0,3965666#3,236675#-0,1873586#0,5481838#2,991446#-0,4712505#0,5713136#3,094141#-0,3014126#0,3568647#3,05291#-0,2994236#0,2898402#3,053086#-0,2317159#0,2231815#3,037078#-0,3604783#0,226032#3,068029#-0,1809529#-0,2329062#3,267038#-0,3332047#-0,2498261#2,803818#-0,2253908#-0,5263594#3,549914#-0,3514049#-0,5659514#2,750541#-0,1674592#-0,5751616#3,579076#-0,3198678#-0,6458234#2,68818#1  
frame51 #-0,3518227#0,8786787#2,996662#-0,3191735#0,6950914#3,051185# -0,3187477#0,6548771#2,401306#-0,4778402#0,1973201#3,025038#-0,2492015#0,6465119#2,521234#-0,4862881#0,2470402#3,07531#-0,184097#0,6264589#2,72879#-0,5116317#0,3962003#3,239054#-0,181172#0,5567085#2,992039#-0,4703777#0,570457#3,097791#-0,2994309#0,3590693#3,056154#-0,2972753#0,2920817#3,055732#-0,2286186#0,2254079#3,0396#-0,3588761#0,2270631#3,069819#-0,1796353#-0,2323248#3,267011#-0,3325274#-0,247183#2,803828#-0,2267292#-0,5256191#3,550129#-0,3517483#-0,565709#2,750568#-0,1692711#-0,5745549#3,577325#-0,3200465#-0,645524#2,688233#1  
