frame1 #0,03093647#0,9099268#3,54676#-0,02016742#0,7761341#3,638451# 0,08571914#0,1939813#3,543936#-0,2622756#0,264974#3,497639#0,128421#0,2645667#3,585323#-0,292409#0,3303169#3,55544#0,134911#0,5007878#3,527313#-0,2989031#0,5120286#3,583853#0,1310375#0,6782623#3,652511#-0,1737765#0,693196#3,558922#-0,04371465#0,4218254#3,631393#-0,03082522#0,3604927#3,577444#0,03595094#0,2866626#3,585168#-0,1012153#0,2933828#3,544512#0,0224259#-0,259039#3,650442#-0,1190223#-0,2526858#3,447953#-0,05740579#-0,5659948#3,623678#-0,1547685#-0,5596099#3,268888#-0,01741347#-0,6428388#3,576639#-0,1240126#-0,6078352#3,178227#1  
frame38 #-0,3856971#0,8230029#3,314459#-0,2690899#0,6453623#3,281332# -0,1778738#0,1582893#2,938448#-0,6460605#0,2701723#3,493654#-0,1349796#0,2383372#2,954031#-0,5565444#0,2597141#3,474473#-0,05638883#0,4289573#3,007471#-0,3205925#0,3312037#3,441205#-0,1337623#0,5987769#3,130537#-0,4227637#0,5680879#3,348975#-0,1404919#0,3345476#3,156101#-0,1499578#0,2861366#3,089656#-0,06726921#0,2527431#2,999097#-0,1818619#0,1666996#3,092952#-0,1355405#-0,1210308#2,767834#-0,169104#-0,2931968#3,059762#-0,1421934#-0,5038688#2,887115#-0,1002416#-0,599381#3,07458#-0,1939305#-0,5449036#2,824641#-0,1141736#-0,6750434#3,067407#1  
frame39 #-0,3915521#0,7823626#3,283234#-0,2440166#0,5668231#3,217479# -0,1820233#0,2137016#2,923187#-0,6893436#0,3113547#3,429844#-0,1390376#0,2938374#2,938416#-0,5992451#0,2935847#3,421601#-0,05703544#0,4831403#2,989952#-0,3655478#0,2895633#3,422255#-0,1678659#0,6199298#3,130778#-0,3976904#0,4895487#3,285121#-0,09733847#0,2872081#3,055047#-0,1056075#0,2476597#2,983737#-0,03867502#0,2565822#2,918126#-0,1276393#0,1351989#2,969089#-0,2557976#-0,009893984#2,637876#-0,1326728#-0,2972897#3,001821#-0,2624625#-0,3934199#2,75739#-0,09302424#-0,6010705#3,076885#-0,3181647#-0,4349717#2,698406#-0,1534001#-0,6794293#3,042207#1  
frame40 #-0,3801878#0,7625705#3,282189#-0,2256324#0,5437993#3,209402# -0,04742484#0,05857734#2,871453#-0,6796827#0,352595#3,321952#-0,004449989#0,1386929#2,886679#-0,6395097#0,3429044#3,342838#-0,01705401#0,4068167#2,991053#-0,4595811#0,2401688#3,386956#-0,1693464#0,6185197#3,128637#-0,3793062#0,4665248#3,277045#-0,07860938#0,3098717#3,095134#-0,08794025#0,2759507#3,034371#-0,0324094#0,2532856#2,925715#-0,08025788#0,1630702#3,034525#-0,2899396#0,1256815#2,587775#-0,1183335#-0,3090545#3,087187#-0,1145282#-0,1676991#2,86288#-0,08771023#-0,6102887#3,076511#-0,1143653#-0,2654365#2,901316#-0,1468149#-0,6767664#3,04092#1  
frame41 #-0,3543211#0,7192472#3,244004#-0,1892003#0,5183864#3,127653# -0,04992676#0,07950445#2,85867#-0,6750483#0,4056007#3,274161#0,005487443#0,1527219#2,867415#-0,6001592#0,3537887#3,288829#-0,009670451#0,421727#2,967801#-0,4316792#0,2319136#3,325482#-0,151962#0,6440506#3,096794#-0,3428741#0,441112#3,195296#-0,08267173#0,3113936#3,098847#-0,0886552#0,2744465#3,036777#-0,02962434#0,2333412#2,977141#-0,08941701#0,1646576#3,047078#-0,272676#0,29192#2,611234#-0,1091537#-0,2665263#3,049934#-0,1450083#-0,06713223#2,837087#-0,07138602#-0,6090258#3,063549#-0,1917865#-0,1088393#2,770343#-0,1311565#-0,6767546#3,031045#1  
frame42 #-0,3674744#0,7297366#3,256694#-0,1933192#0,5353652#3,13973# -0,05829248#0,09752796#2,799827#-0,6487998#0,4392166#3,201033#0,003953651#0,1652434#2,809582#-0,5978495#0,3824278#3,204158#-0,01281029#0,4225285#2,940257#-0,442023#0,2507741#3,264533#-0,1491362#0,6367268#3,092403#-0,346993#0,4580908#3,207373#-0,08371378#0,2758522#3,05462#-0,09826623#0,2341239#2,994762#-0,01097519#0,1396182#3,034899#-0,1132594#0,09794032#2,831917#-0,3625951#0,2784338#2,814387#-0,1123924#-0,27338#3,040734#-0,2194818#-0,09548855#3,000177#-0,06036407#-0,6395812#3,027495#-0,2020141#-0,1996128#3,005733#-0,1321223#-0,6780257#3,027913#1  
frame43 #-0,4106922#0,7702863#3,282606#-0,2247332#0,5954344#3,155905# -0,08323964#0,1538813#2,785625#-0,5927426#0,4903561#3,13611#-0,01027499#0,2042781#2,812546#-0,5473583#0,4097657#3,141933#-0,04098991#0,4595754#2,944683#-0,4191394#0,2575588#3,220275#-0,1737141#0,6764859#3,095988#-0,3784069#0,51816#3,223548#-0,08309352#0,2610695#2,999084#-0,09283283#0,2083965#2,927604#-0,004421754#0,1850821#2,912414#-0,1487021#0,1362228#2,883094#-0,3997279#0,3367141#2,825219#-0,1137405#-0,2664668#3,015805#-0,2015283#-0,05752583#2,99207#-0,08353763#-0,6300408#2,976267#-0,1884032#-0,1627989#2,992234#-0,1394239#-0,671541#2,91573#1  
frame44 #-0,3809103#0,7577997#3,256159#-0,192138#0,5823487#3,126012# -0,05800934#0,1479018#2,748246#-0,5396656#0,5298816#3,117618#0,007273044#0,1780119#2,807126#-0,5130584#0,4870136#3,095142#-0,01265344#0,4391585#2,928647#-0,3893582#0,2427276#3,181252#-0,1425556#0,6648987#3,066827#-0,3458118#0,5050743#3,193655#-0,01001162#0,2849392#3,049735#-0,007327436#0,2290731#2,988848#0,06185082#0,1990109#2,990919#-0,0167445#0,1442404#2,938039#-0,3188119#0,3117846#2,815274#-0,09792797#-0,2718809#2,988405#-0,194889#-0,04930963#2,981071#-0,09896594#-0,6313134#2,957616#-0,1819453#-0,1550324#2,980925#-0,146098#-0,6745461#2,890624#1  
frame45 #-0,2968033#0,5045391#2,649793#-0,1883721#0,2977644#2,633951# -0,05019818#0,09127399#2,691334#-0,4846555#0,535971#3,087259#-0,005489185#0,09499116#2,772606#-0,4588983#0,4753515#3,068025#0,09616989#0,2695281#2,83989#-0,3742609#0,2371181#2,955139#-0,07557055#0,4303985#2,755473#-0,3420458#0,22049#2,701594#-0,08910489#0,1645657#2,876952#-0,03818388#0,1092861#2,886821#0,06203798#0,1048074#2,961357#-0,06981868#0,02769178#2,921517#-0,2710744#0,3250301#2,7954#-0,08528179#-0,3974078#2,949083#-0,1750916#-0,03703979#2,950135#-0,1168713#-0,6290097#2,915131#-0,1672351#-0,1433469#2,951845#-0,0820558#-0,6987375#2,903502#1  
frame46 #-0,2536949#0,6012083#2,68059#-0,1090563#0,4772443#2,709487# 0,01405446#0,0315463#2,81873#-0,4676208#0,5991017#3,115131#0,01584368#0,09779148#2,797829#-0,441919#0,5386124#3,095938#0,02121134#0,296527#2,748797#-0,2744085#0,3288986#3,022979#-0,1500838#0,3614215#2,561177#-0,26273#0,39997#2,77713#-0,05409291#0,4156522#2,784823#-0,09384847#0,3816672#2,780629#-0,02437168#0,1117366#2,724979#-0,08650094#0,1687767#3,126596#-0,3454289#0,3709297#2,819484#-0,06796221#-0,2761335#2,91777#-0,1751771#-0,05480652#2,929074#-0,1223655#-0,6353222#2,91101#-0,24176#-0,1129742#2,901219#-0,09526803#-0,7001303#2,875319#1  
frame47 #-0,2593004#0,549961#2,63192#-0,1676157#0,3905501#2,72915# 0,05331637#0,009179503#2,864997#-0,446795#0,6160113#3,164287#0,03708002#0,0688266#2,833628#-0,4211457#0,5556458#3,145133#-0,01162905#0,2477679#2,753146#-0,3048256#0,3403249#3,049617#-0,2086432#0,2747273#2,58084#-0,3212894#0,3132758#2,796793#-0,08139324#0,3126194#2,820747#-0,1104834#0,264274#2,824076#-0,009609405#0,1022437#2,735931#-0,08492123#0,1371097#3,100489#-0,3175712#0,3923934#2,764978#-0,05252631#-0,2784714#2,876088#-0,161292#-0,03361339#2,896353#-0,125376#-0,6397773#2,904994#-0,220791#-0,1012029#2,874382#-0,1848751#-0,7073668#2,883024#1  
frame48 #-0,1976432#0,5518672#2,546574#-0,08337917#0,447915#2,731644# 0,1375323#0,06756493#2,867378#-0,3903105#0,5878763#3,209367#0,1211871#0,1269725#2,835964#-0,3647113#0,5276287#3,190251#0,07215134#0,3051952#2,755294#-0,3032751#0,4016505#3,04367#-0,1244067#0,3320922#2,583335#-0,2370529#0,3706406#2,799287#0,05625876#0,2178037#2,884951#0,03601152#0,1428633#2,898962#0,08212777#0,1052478#2,86999#0,01556345#0,1148947#2,960988#-0,2596469#0,3254568#2,737297#-0,02585091#-0,2790866#2,797232#-0,1660161#-0,03467172#2,888675#-0,124459#-0,6674993#2,876289#-0,2283023#-0,09890056#2,864492#-0,1541325#-0,6902159#2,94564#1  
frame49 #-0,1781776#0,6144429#2,282627#-0,09480906#0,5053518#2,466472# -0,1032478#0,2763855#2,801597#-0,2573236#0,4793523#2,866968#-0,06227223#0,2979494#2,720323#-0,2316957#0,4190372#2,84783#0,06065445#0,3626412#2,490065#-0,1408977#0,3601469#2,602487#-0,1358366#0,389529#2,318163#-0,2144239#0,5440598#2,504777#0,0166665#0,2944135#2,748741#-0,01627912#0,2303737#2,803343#0,004558702#0,1914103#2,815763#-0,02289649#0,2195432#2,849468#-0,3630315#0,3744781#2,70293#-0,0101715#-0,2300902#2,801853#-0,1639448#-0,03480363#2,880992#-0,1174771#-0,6134129#2,895177#-0,1519953#-0,1406503#2,889233#-0,1899571#-0,6713234#2,890297#1  
frame50 #-0,1574433#0,7003029#2,258405#-0,04278203#0,6061975#2,355839# -0,1678291#0,343509#2,790449#-0,2339797#0,4968915#2,814057#-0,1440604#0,3708875#2,704176#-0,2082931#0,4364379#2,794876#-0,07275417#0,453023#2,458925#-0,08914727#0,448756#2,554533#-0,08380956#0,4903747#2,207529#-0,1623969#0,6449054#2,394143#-0,01827745#0,3671713#2,65448#-0,07009349#0,308191#2,702894#-0,05554016#0,2336092#2,70839#-0,09210243#0,3014216#2,788437#-0,4486949#0,3754378#2,636277#-0,04011139#-0,2595329#2,867899#-0,2799188#-0,005274355#2,794255#-0,1268803#-0,6443633#2,904031#-0,356553#-0,05534401#2,776694#-0,1120613#-0,7209662#2,890261#1  
frame51 #-0,1920145#0,7248465#2,299791#-0,1368354#0,6110092#2,417986# 0,06950846#0,2094859#2,75229#-0,2891289#0,4816692#2,890613#0,03373811#0,268906#2,689112#-0,2633851#0,4210811#2,871389#-0,07357294#0,4471661#2,513154#-0,1830162#0,4530737#2,617136#-0,0307133#0,6090526#2,416384#-0,2564503#0,6497172#2,456291#-0,07491523#0,3984401#2,687949#-0,07762644#0,312626#2,705853#-0,03974563#0,2936387#2,735622#-0,123049#0,2691438#2,754446#-0,3825746#0,5323453#2,670551#-0,0385462#-0,2789411#2,8703#-0,1496778#0,07405204#2,838271#-0,1269495#-0,6445782#2,903657#-0,142197#-0,03281279#2,847666#-0,08397011#-0,7087845#2,885#1  
frame52 #-0,211764#0,7714274#2,24358#-0,1564705#0,6573541#2,362071# 0,06005029#0,1468723#2,767888#-0,2958485#0,5002326#2,836792#0,02870449#0,2185831#2,715059#-0,2700391#0,4394901#2,817518#-0,06533293#0,4337155#2,570161#-0,2021767#0,4981478#2,562411#-0,03877453#0,6330888#2,412202#-0,2760853#0,696062#2,400376#-0,09204277#0,4324063#2,674215#-0,08884543#0,3439167#2,698922#-0,03784389#0,3068715#2,731737#-0,1293536#0,3019881#2,745844#-0,3928618#0,5260288#2,671199#-0,04507044#-0,2448474#2,860804#-0,1495935#0,07414819#2,837356#-0,1294975#-0,645859#2,904521#-0,142909#-0,03333851#2,844168#-0,09714181#-0,7107648#2,871326#1  
frame53 #-0,2081472#0,7704291#2,237729#-0,1527445#0,6561305#2,356509# 0,04191234#0,1884278#2,732127#-0,2937254#0,5006822#2,831458#0,005645461#0,2581432#2,679688#-0,2678554#0,439797#2,81214#-0,1031552#0,4672891#2,535967#-0,1984113#0,4968188#2,556933#-0,05176196#0,6766942#2,380155#-0,2723593#0,6948385#2,394814#-0,09368525#0,436053#2,669973#-0,08817242#0,3483504#2,694874#-0,03798988#0,3238183#2,730693#-0,1252795#0,3055749#2,73168#-0,4065067#0,5167334#2,668165#-0,04569534#-0,2381678#2,856284#-0,1483757#0,07327052#2,836371#-0,1294968#-0,6456702#2,903993#-0,1392819#-0,03385712#2,849082#-0,08865672#-0,7126839#2,88836#1  
frame54 #-0,2070522#0,7668841#2,228016#-0,1515321#0,6523433#2,347115# 0,01652688#0,2432567#2,682669#-0,2470754#0,4892608#2,748384#-0,02449246#0,3076988#2,626737#-0,2211386#0,4282182#2,729015#-0,1475505#0,5010254#2,472542#-0,1372804#0,4688006#2,474298#-0,03521857#0,683404#2,386502#-0,271147#0,6910514#2,38542#-0,09666836#0,4371556#2,660738#-0,08697194#0,350239#2,685931#-0,03539179#0,3257996#2,729056#-0,1252732#0,3011248#2,7209#-0,4063272#0,5126719#2,6694#-0,04141471#-0,2386454#2,853165#-0,1485005#0,07305704#2,835939#-0,1297801#-0,6457018#2,903965#-0,1403615#-0,03473707#2,84668#-0,0948482#-0,7127347#2,876882#1  
frame55 #-0,1560721#0,7330533#2,211357#-0,1466349#0,6137813#2,336777# 0,03227763#0,2514047#2,68091#-0,2558338#0,4694688#2,773115#-0,01118878#0,3143954#2,625054#-0,2298312#0,4082716#2,753697#-0,141588#0,5033675#2,471096#-0,1291708#0,4602373#2,506614#-0,02453325#0,6578943#2,389367#-0,2662498#0,6524892#2,375082#-0,1067992#0,3930404#2,657542#-0,09566995#0,3049764#2,684379#-0,03807471#0,270508#2,71446#-0,1405298#0,2634231#2,735329#-0,3600341#0,5344342#2,683251#-0,03651383#-0,2642102#2,860064#-0,147868#0,0730995#2,834271#-0,1299814#-0,6448174#2,900727#-0,1431881#-0,006402992#2,782881#-0,09848936#-0,7160097#2,879979#1  
frame56 #-0,05265001#0,6910447#2,14283#-0,0828395#0,5819244#2,273182# -0,3076771#0,4275514#2,521648#-0,3746573#0,2414912#3,047046#-0,2693634#0,455085#2,469775#-0,206437#0,3059711#2,721869#-0,1544222#0,5376858#2,327777#-0,09554078#0,422295#2,500605#0,04234435#0,621764#2,327929#-0,1816644#0,5890729#2,313407#-0,08677737#0,3780144#2,609954#-0,07973408#0,2923573#2,646638#-0,03075008#0,1975335#2,661152#-0,1261823#0,2626925#2,772006#-0,3169412#0,4657173#2,783661#-0,03687073#-0,2614548#2,860697#-0,1295287#0,01097131#2,871366#-0,130877#-0,6447632#2,900382#-0,1174279#-0,07103397#2,824765#-0,1072254#-0,7171059#2,873167#1  
frame57 #-0,005952097#0,6256522#2,11832#-0,14875#0,5480827#2,278527# -0,3403099#0,3599978#2,561882#-0,3502467#0,2261905#3,037857#-0,3019888#0,3875368#2,509999#-0,2132034#0,2417733#2,786349#-0,1870253#0,4701535#2,367975#-0,09696901#0,3461972#2,562031#-0,02356616#0,5879223#2,333273#-0,2314476#0,5038059#2,393567#-0,05792253#0,3579119#2,671391#-0,03008498#0,2717302#2,71947#0,04196305#0,264723#2,740784#-0,07702412#0,2202627#2,788574#-0,1943391#0,6003956#2,67032#-0,036638#-0,2608266#2,860551#-0,07484937#0,1856735#2,825324#-0,1315136#-0,6444591#2,899788#-0,06201095#0,1012963#2,782839#-0,1186751#-0,7288362#2,857302#1  
frame58 #0,01751431#0,5179648#2,135925#-0,05221343#0,455123#2,277306# -0,3433732#0,3052757#2,559552#-0,2119838#0,1406537#2,761015#-0,305023#0,3328355#2,507629#-0,2102425#0,2090127#2,774536#-0,1899723#0,415515#2,36549#-0,1175193#0,3279146#2,546463#0,07297042#0,4949626#2,332052#-0,2581758#0,4558686#2,406465#-0,02294955#0,3068101#2,661185#-0,01753325#0,2255731#2,712927#0,08456419#0,2176148#2,789747#-0,1080176#0,1581753#2,770896#-0,1555594#0,5454518#2,701917#-0,03740463#-0,2573491#2,858418#-0,01234414#0,1010371#2,867594#-0,1309251#-0,6435235#2,898316#-0,02999419#-0,007252961#2,874878#-0,1309413#-0,7323014#2,862802#1  
frame59 #0,04562641#0,3795319#2,180273#-0,0564367#0,3856484#2,333063# -0,3756595#0,2452429#2,586167#-0,2445397#0,100345#2,817389#-0,3326552#0,2724094#2,537695#-0,2157388#0,16051#2,83805#-0,2036422#0,353909#2,405908#-0,1264738#0,255751#2,59812#0,06874715#0,425488#2,387809#-0,2623991#0,386394#2,462222#-0,03761744#0,2104221#2,707559#-0,03513354#0,1251348#2,753699#0,06621819#0,09337512#2,801886#-0,1297886#0,07500142#2,833455#-0,2565862#0,3490886#2,752812#-0,02287621#-0,3219162#2,863122#-0,06341776#-0,09329194#2,909511#-0,1306287#-0,6428671#2,89781#-0,07311621#-0,2029228#2,903044#-0,1320268#-0,7298039#2,857427#1  
frame60 #-0,2059724#0,3853442#2,440737#-0,156612#0,2506993#2,546373# -0,2094111#0,1472142#2,549444#-0,210734#-0,01717567#3,103659#-0,165946#0,1783898#2,503982#-0,2284068#0,02421439#3,049785#-0,03555062#0,2719164#2,381199#-0,2814251#0,1483846#2,901765#0,04186317#0,3258733#2,676749#-0,3625743#0,2514449#2,675532#-0,05901751#0,1030567#2,762379#-0,03287487#0,03818648#2,769064#0,1259709#0,01654823#2,823489#-0,1207801#-0,06201236#2,834514#-0,2007159#0,2620406#2,75898#-0,006560981#-0,4556794#2,860439#-0,0667402#-0,130871#2,912146#-0,1307283#-0,6428994#2,898069#-0,07493108#-0,2404146#2,922669#-0,09823231#-0,7166822#2,885703#1  
frame61 #-0,2006329#0,4706778#2,612666#-0,1736088#0,4764088#2,847702# -0,1510768#-0,03711943#2,574982#-0,2337344#-0,04004832#2,941631#-0,1126323#0,005623519#2,534638#-0,212756#0,01287413#2,982268#0,002701225#0,1338523#2,427202#-0,2810588#0,2118666#2,984477#-0,007360419#0,3494585#2,640092#-0,3795712#0,4771544#2,976861#-0,08604223#0,195097#2,874441#-0,1028983#0,1332203#2,847255#0,02165145#-0,01743518#2,740254#-0,1781159#0,04444633#2,944459#-0,2890924#0,2281239#2,836113#-0,03713883#-0,3578185#2,848207#-0,1435211#-0,1764072#2,953023#-0,1307319#-0,6442692#2,898399#-0,1412955#-0,2862637#2,940103#-0,104915#-0,7200248#2,881618#1  
frame62 #-0,1830612#0,4402429#2,60138#-0,156005#0,4459808#2,836771# -0,03633539#-0,1888548#2,417557#-0,2050846#-0,06819545#2,92825#0,002451025#-0,1374554#2,444829#-0,1862943#-0,01435992#2,968731#-0,051566#0,06270754#2,494852#-0,2615459#0,1814346#2,964643#0,01024344#0,3190305#2,629161#-0,3619674#0,4467264#2,96593#-0,04771319#0,1592689#2,854541#-0,05956423#0,09601726#2,828008#0,05133069#0,02216555#2,821126#-0,1235032#-0,003306395#2,824574#-0,130984#0,366281#2,679015#-0,02956788#-0,4003466#2,852317#-0,009804495#-0,07445002#2,857984#-0,1195677#-0,6879876#2,901673#-0,03217977#-0,1826472#2,865245#-0,1136489#-0,6442519#2,832753#1  
frame63 #-0,1778142#0,4258113#2,575366#-0,1507035#0,4315606#2,811336# -0,05025344#-0,2685691#2,52032#-0,2006846#-0,08212388#2,907793#-0,01585984#-0,2078772#2,525302#-0,1818921#-0,02828199#2,948279#-0,09790483#0,035524#2,470276#-0,2567592#0,1672885#2,941875#-0,04766661#0,2807776#2,603395#-0,3566658#0,4323061#2,940495#-0,06971011#0,2099932#2,846802#-0,09024535#0,1580297#2,82917#0,002765#-0,03692739#2,689524#-0,1069933#0,004260581#2,984127#-0,1675422#0,3315641#2,728533#-0,04995491#-0,3818676#2,847231#-0,0358876#-0,1457963#2,853031#-0,1338426#-0,6690265#2,903891#-0,05613127#-0,2536223#2,868847#-0,07367288#-0,7027023#2,859644#1  
frame64 #-0,1605859#0,4086181#2,545799#-0,1334225#0,4143789#2,782374# -0,03994766#-0,2943779#2,551504#-0,1822844#-0,1021401#2,875612#-0,02595967#-0,2006469#2,552864#-0,1634604#-0,04820828#2,916165#-0,1130715#0,06941631#2,529649#-0,2388133#0,1485339#2,911181#-0,03981777#0,2786332#2,61021#-0,3393849#0,4151244#2,911533#-0,05458769#0,2130085#2,831357#-0,07295439#0,1618587#2,812926#0,04023764#-0,02694926#2,659768#-0,09192233#0,01530397#2,975741#-0,1984188#0,2700321#2,794798#-0,0586134#-0,4666705#2,86178#-0,04963489#-0,1725359#2,889522#-0,1278578#-0,6442699#2,89838#-0,06997727#-0,2804153#2,906651#-0,1008224#-0,7153698#2,867425#1  
frame65 #-0,150787#0,4108641#2,545549#-0,1235716#0,4166358#2,782682# -0,4300458#-0,02631674#2,44559#-0,1289314#-0,1117195#2,92319#-0,3915669#0,03232407#2,445148#-0,1539934#-0,04611497#2,916945#-0,1883136#0,07009737#2,503422#-0,2291792#0,1506985#2,911757#-0,0428753#0,2930041#2,635145#-0,329534#0,4173813#2,911841#-0,04595713#0,1866801#2,834258#-0,06462304#0,1257164#2,816446#0,01679096#-0,06258961#2,687387#-0,09199096#-0,005369449#2,970884#-0,2175828#0,2334475#2,82874#-0,1066728#-0,4030274#2,874032#-0,05650353#-0,2261131#2,912364#-0,1258586#-0,6372682#2,896969#-0,06849168#-0,3363594#2,902554#-0,1111327#-0,7137491#2,870419#1  
frame66 #-0,140478#0,3917292#2,519109#-0,1132135#0,3975111#2,756788# -0,4166047#-0,09060998#2,470041#-0,4397891#0,09443524#2,743261#-0,3780993#-0,03192871#2,469599#-0,3823019#0,05809565#2,760611#-0,178997#0,0244125#2,526737#-0,2189001#0,1316703#2,886409#-0,04583185#0,2667108#2,626862#-0,3191759#0,3982567#2,885947#-0,05300517#0,09805331#2,757496#-0,07432926#0,03966012#2,726998#-0,005299568#-0,09964259#2,799689#-0,1224253#-0,02313873#2,632756#-0,2032006#0,2562587#2,757946#-0,1350965#-0,3270559#2,891441#-0,09488857#-0,1274904#2,604028#-0,1231868#-0,6411349#2,897434#-0,1545279#-0,173522#2,543002#-0,1397711#-0,7022612#2,95016#1  
frame67 #-0,1409308#0,3723208#2,493628#-0,113625#0,3781117#2,731756# -0,301183#-0,02415518#2,54108#-0,386908#-0,07652069#2,761819#-0,2626951#0,03449936#2,540638#-0,3206403#-0,0587506#2,776471#-0,05190202#0,03388013#2,540367#-0,2194264#0,1125132#2,861045#-0,03868073#0,2659231#2,629675#-0,3195873#0,3788571#2,860915#-0,08864214#0,04557805#2,693671#-0,1120982#-0,01059793#2,651496#-0,02960357#-0,08366324#2,560619#-0,1938405#-0,1143194#2,702129#-0,1165313#-0,4808998#2,548689#-0,1880322#-0,3731291#2,851595#0,05901196#-0,6086985#2,47767#-0,1202086#-0,6545503#2,88851#-0,0267687#-0,6777893#2,463873#-0,1580011#-0,6944573#2,949566#1  
frame68 #-0,1328046#0,3508057#2,436361#-0,105541#0,3565876#2,674153# -0,1841256#0,08457404#2,555288#-0,2809084#-0,1499181#2,903888#-0,1458175#0,1429546#2,554848#-0,2446549#-0,09353194#2,884336#0,06311372#0,1261736#2,548012#-0,2116132#0,09184524#2,803536#-0,05151373#0,2868153#2,647986#-0,3115034#0,3573332#2,803312#-0,01956289#0,08576888#2,642829#-0,0266693#0,03810976#2,596231#0,037781#-0,002046522#2,566621#-0,06193874#-0,03956405#2,59202#-0,03431155#-0,399132#2,512392#-0,1607238#-0,4895825#2,889828#0,05910605#-0,6611062#2,447948#-0,1120196#-0,6682308#2,888017#-0,01500282#-0,7017185#2,438647#-0,1557228#-0,6985335#2,950037#1  
frame69 #-0,1308292#0,3486519#2,438849#-0,1036125#0,3544239#2,676223# -0,2106301#-0,0246826#2,522887#-0,2596699#-0,1538758#2,950053#-0,1725221#0,03339289#2,522449#-0,2212453#-0,09827852#2,934001#0,03696725#0,04088451#2,525207#-0,2100122#0,09055182#2,805557#-0,05717783#0,290181#2,649785#-0,3095749#0,3551694#2,805382#-0,01002325#0,1189841#2,653356#-0,01625215#0,08565499#2,609421#0,05232419#0,03372008#2,624647#-0,04823781#0,02045453#2,555804#-0,02339464#-0,3525527#2,512303#-0,1550334#-0,4938357#2,897312#0,05651082#-0,6578765#2,446168#-0,1117844#-0,6658542#2,894635#-0,01022448#-0,7022397#2,434589#-0,1440996#-0,7136433#2,951448#1  
frame70 #-0,1302547#0,3480954#2,439871#-0,103011#0,3538731#2,677507# -0,2698468#0,1246036#2,6137#-0,2384044#-0,1086841#3,013898#-0,2316774#0,1827728#2,613261#-0,20019#-0,1375342#2,96342#-0,1634913#0,3736656#2,571892#-0,209365#0,08987978#2,806845#0,07030065#0,2149314#2,627702#-0,3089734#0,3546187#2,806666#-0,05975361#0,1615387#2,64813#-0,06708138#0,1414096#2,597793#0,03945665#0,03356561#2,555359#-0,1479169#0,08612329#2,563103#-0,02114185#-0,3652906#2,500592#-0,1614899#-0,3718465#2,851494#0,05454466#-0,6576322#2,444898#-0,08636358#-0,6673605#2,837369#-0,0108116#-0,7042091#2,432848#-0,113206#-0,7140121#2,75851#1  
frame71 #-0,1272648#0,3522512#2,437161#-0,09999314#0,3580348#2,675067# -0,2657074#0,1088631#2,594939#-0,1927091#-0,09090107#3,027739#-0,2275727#0,1669793#2,594501#-0,1968171#-0,1344426#2,959895#-0,1628851#0,3593461#2,553691#-0,2063027#0,09392306#2,804409#0,07643257#0,2157292#2,633914#-0,3059555#0,3587803#2,804226#-0,01806971#0,1490746#2,651595#-0,01706942#0,1154645#2,602607#0,09509202#0,02623149#2,5601#-0,07542969#0,0295126#2,588446#-0,01821314#-0,3600447#2,492975#-0,1725227#-0,4492769#2,918672#0,05253012#-0,6557343#2,445102#-0,116742#-0,6558204#2,893746#-0,009509291#-0,7045199#2,422094#-0,1541891#-0,7162331#2,933289#1  
frame72 #-0,2348579#0,8275421#2,765671#-0,1809113#0,645949#2,805761# -0,2381812#0,0716214#2,566117#-0,1595465#0,04306603#3,126016#-0,200069#0,1297033#2,565679#-0,2044708#0,1274199#3,016599#-0,1422402#0,3238726#2,52404#-0,2872778#0,3819884#2,935044#-0,1389407#0,5514235#2,658068#-0,3868738#0,6466945#2,93492#-0,05420725#0,2547816#2,724453#-0,06804195#0,1779995#2,675908#-0,001741735#0,1410906#2,638007#-0,1065656#0,09974833#2,67853#-0,01555836#-0,3463231#2,487442#-0,1685365#-0,3957013#2,898171#0,04963769#-0,6544741#2,445469#-0,08935869#-0,6875356#2,87101#-0,009522095#-0,7051993#2,421891#-0,1473815#-0,6862192#2,92811#1  
frame73 #-0,2233133#0,8303858#2,729926#-0,172465#0,6538861#2,783454# -0,1462894#0,07305966#2,425644#-0,1832258#-0,08041277#2,955353#-0,108203#0,1311024#2,425207#-0,2259945#0,107234#2,901292#-0,1487693#0,3325861#2,487702#-0,2782081#0,3882689#2,912858#-0,12546#0,552331#2,627012#-0,3784274#0,6546316#2,912613#-0,05342387#0,2559528#2,724162#-0,06763258#0,1778468#2,676807#-0,00103046#0,1391019#2,63712#-0,1049709#0,0958912#2,689792#-0,01575005#-0,3441145#2,483316#-0,1770182#-0,391212#2,925979#0,04710585#-0,6538937#2,445355#-0,100552#-0,6842448#2,904208#-0,01043597#-0,7061874#2,419625#-0,1653093#-0,6573266#2,946076#1  
