frame1 #0,05437703#0,9859587#3,541343#-0,008813371#0,8111289#3,577589# 0,001463138#0,6343861#3,30379#0,07535928#0,5346607#3,417273#0,04484278#0,5972574#3,339657#-0,01072431#0,5248849#3,44585#0,1749817#0,4858713#3,461557#-0,268975#0,4955574#3,54588#0,1643538#0,6784033#3,611875#-0,1399542#0,696725#3,508976#-0,01214313#0,4266647#3,584765#0,007828711#0,3586311#3,530241#0,07894392#0,2825665#3,544392#-0,05799468#0,2908112#3,496487#0,04681654#-0,2480531#3,602251#-0,1108758#-0,243249#3,239587#-0,03730755#-0,5774589#3,559047#-0,1287937#-0,6088777#3,172778#0,01460079#-0,644545#3,52049#-0,09609428#-0,6563596#3,085364#1  
frame38 #-0,264998#0,7297019#2,689994#-0,1414481#0,593757#2,668212# -0,2693751#0,1564097#2,268761#-0,4177663#0,6777043#3,092345#-0,2296387#0,1198735#2,309977#-0,3775112#0,6245261#3,105162#-0,08539157#0,137217#2,461365#-0,3242474#0,405932#2,9706#-0,1353065#0,3430823#2,572267#-0,2987532#0,4667271#2,737518#-0,03264728#0,2278443#2,896749#-0,06105129#0,130271#2,914663#-0,02581153#0,04183033#2,976637#-0,07617071#0,1027182#2,910708#-0,337301#-0,3764621#2,800204#-0,09160146#-0,3075784#2,951997#-0,279397#-0,8477956#3,21548#-0,1218751#-0,6423082#2,89235#-0,2372086#-0,8065832#3,136576#-0,07479896#-0,6855811#2,857524#1  
frame39 #-0,27774#0,5484579#2,597515#-0,1395385#0,5957137#2,668159# -0,2622815#0,3126393#2,168244#-0,4518172#0,7426002#3,01926#-0,2286806#0,2667087#2,205191#-0,411601#0,6894735#3,032065#-0,07036957#0,241462#2,338218#-0,3503439#0,4379389#2,97127#-0,1389242#0,3981801#2,505343#-0,2968436#0,4686838#2,737465#-0,01924781#0,2506787#2,888054#-0,04603731#0,1590766#2,907073#0,003753664#0,13112#2,912092#-0,07542375#0,1253793#2,927307#-0,1884807#-0,08923334#2,606376#-0,0715808#-0,2870425#2,924704#-0,1492534#-0,40854#2,878464#-0,1321954#-0,638109#2,884262#-0,1411089#-0,5065584#2,887594#-0,100236#-0,6927092#2,847821#1  
frame40 #-0,287581#0,3608391#2,696163#-0,1466849#0,416642#2,759988# -0,1408939#0,4818303#2,107153#-0,4596559#0,6496595#3,028399#-0,1255218#0,3943421#2,274581#-0,4195123#0,5966286#3,041181#-0,03346649#0,3168216#2,529915#-0,3724179#0,3315816#3,057739#0,00734854#0,3760918#2,817839#-0,30399#0,2896121#2,829294#-0,06584202#0,1967113#2,918994#-0,04554114#0,1415482#2,903696#0,08046439#0,08802179#2,902618#-0,12475#0,0408901#2,958726#-0,1702936#-0,09422792#2,618461#-0,03244992#-0,3511619#2,863135#-0,1311647#-0,4127337#2,889965#-0,1356441#-0,6345342#2,875346#-0,1314644#-0,51168#2,891853#-0,1102134#-0,696021#2,844961#1  
frame41 #-0,282636#0,4302391#2,588451#-0,1415994#0,4860976#2,652502# -0,06760544#0,5153836#2,221479#-0,3963458#0,5984247#3,156401#-0,1066481#0,4700018#2,252907#-0,3562705#0,5454841#3,169161#-0,0454432#0,2981157#2,464758#-0,3018966#0,4337249#2,95156#0,01243407#0,4455474#2,710353#-0,2989045#0,3590677#2,721807#-0,05194106#0,2786923#2,861634#-0,02779186#0,2091166#2,863887#0,07106542#0,1737415#2,918784#-0,0793368#0,1293444#2,890845#-0,1409622#-0,05977362#2,644408#-0,06260149#-0,1917282#2,866329#-0,1019286#-0,3775041#2,915261#-0,1371504#-0,6359572#2,871179#-0,1114913#-0,475919#2,908025#-0,1116695#-0,6990879#2,844066#1  
frame42 #-0,2443549#0,6378257#2,253961#-0,1369029#0,6115365#2,360589# -0,1133117#0,6792952#2,252669#-0,2665319#0,5313221#2,866249#-0,1523783#0,6338857#2,284116#-0,2406504#0,5329524#2,780926#-0,1080488#0,474906#2,509161#-0,1630062#0,537843#2,539446#0,01713054#0,5709863#2,41844#-0,294208#0,4845066#2,429895#-0,1380285#0,3581386#2,734285#-0,1287017#0,2686923#2,779509#-0,04554239#0,2575102#2,841296#-0,2096118#0,1858491#2,828637#-0,3197249#0,1027272#2,559576#-0,05259673#-0,29887#2,839546#-0,3592194#0,1792715#2,960267#-0,1374953#-0,6363913#2,863843#-0,3338824#0,08335143#2,952728#-0,1153045#-0,7041#2,84564#1  
frame43 #-0,215051#0,6984599#2,300568#-0,07532551#0,6713416#2,377843# -0,1481661#0,7540997#2,227718#-0,2353457#0,5344296#2,864885#-0,1872135#0,7087125#2,25915#-0,2019953#0,5501819#2,784078#-0,08898383#0,538439#2,45356#-0,1019442#0,5974386#2,55615#0,07870791#0,6307914#2,435695#-0,2326306#0,5443117#2,447149#-0,07769305#0,4582453#2,646684#-0,07051183#0,3836805#2,67087#0,005987117#0,2626769#2,659552#-0,1431567#0,274366#2,905198#-0,3318054#0,07852753#2,508666#-0,05731058#-0,2691366#2,843587#-0,4286421#0,1514181#2,899995#-0,1378254#-0,6356894#2,862206#-0,3954759#0,05757007#2,893511#-0,1195287#-0,7007207#2,832681#1  
frame44 #-0,2940258#0,6605182#2,414389#-0,154219#0,6333842#2,49182# -0,2170852#0,6142928#2,391306#-0,3217967#0,5083582#2,977128#-0,128415#0,6035134#2,409593#-0,2866069#0,5211186#2,896723#-0,06617443#0,4338152#2,619311#-0,1810373#0,5594001#2,669974#-0,04349056#0,6298351#2,480695#-0,311524#0,5063543#2,561126#-0,1194531#0,4246292#2,734805#-0,1092027#0,3552437#2,7555#-0,03791415#0,3485343#2,834989#-0,1624691#0,2505996#2,775784#-0,270033#0,1541972#2,504425#-0,05920609#-0,286869#2,842243#-0,3660376#0,1875727#2,89983#-0,1396389#-0,6334376#2,856288#-0,3406189#0,09122024#2,893432#-0,1217557#-0,6965835#2,822524#1  
frame45 #-0,24665#0,7899812#2,251205#-0,1643874#0,72692#2,363474# -0,2668045#0,6995608#2,295732#-0,3014635#0,562094#2,850539#-0,2054716#0,7131231#2,319879#-0,2739928#0,5847664#2,769593#-0,1314413#0,5474869#2,527928#-0,1915807#0,6527834#2,541224#-0,04851893#0,7135205#2,469316#-0,3216925#0,5998901#2,43278#-0,1445825#0,4776891#2,687115#-0,1253943#0,4001114#2,727777#-0,06106975#0,3880269#2,819437#-0,1763353#0,3026266#2,752957#-0,2692877#0,1560168#2,505588#-0,07074767#-0,2335165#2,832989#-0,3669268#0,1825039#2,900118#-0,1449546#-0,6325567#2,84988#-0,3413331#0,08604944#2,893636#-0,1220769#-0,6988729#2,826595#1  
frame46 #-0,2473177#0,7912613#2,24546#-0,1733979#0,7325081#2,364236# -0,2288782#0,7422026#2,292048#-0,3058134#0,5726745#2,795442#-0,1408768#0,7298698#2,31377#-0,2802075#0,5119898#2,780165#-0,1314417#0,5504306#2,523604#-0,1944622#0,5800519#2,552842#-0,05526303#0,7730679#2,429214#-0,330703#0,6054782#2,433542#-0,1460739#0,4859888#2,661961#-0,1238938#0,4118602#2,689753#-0,05818132#0,3910898#2,789226#-0,1674321#0,3075301#2,712017#-0,2707717#0,1566137#2,502928#-0,07171329#-0,2238373#2,826209#-0,3728434#0,1786654#2,89948#-0,1466494#-0,6318472#2,845615#-0,3465992#0,08182471#2,893284#-0,1247139#-0,7009624#2,829411#1  
frame47 #-0,2417633#0,7959601#2,23958#-0,1869768#0,7289818#2,363104# -0,2465737#0,729543#2,294481#-0,3108005#0,5381644#2,787416#-0,159704#0,7166084#2,321211#-0,2816211#0,4796271#2,76935#-0,1567098#0,5336568#2,527748#-0,1996496#0,5799606#2,552361#-0,07838731#0,7249918#2,460629#-0,3442819#0,6019519#2,43241#-0,1488617#0,441693#2,672979#-0,1259181#0,3587835#2,712497#-0,0375559#0,3061979#2,731642#-0,1897126#0,2879508#2,8063#-0,1782632#-0,04474306#2,558895#-0,06847557#-0,2512202#2,837892#-0,3799295#0,06093574#2,903613#-0,1492152#-0,6339476#2,842666#-0,3496264#-0,03496483#2,896556#-0,1318421#-0,7061273#2,83622#1  
frame48 #-0,2235633#0,7960052#2,234241#-0,2107041#0,7237405#2,364437# -0,1918724#0,7354287#2,214223#-0,4313593#0,4677814#3,162139#-0,1924005#0,6779612#2,281479#-0,2788176#0,4783763#2,7597#-0,1939847#0,5055586#2,497743#-0,192074#0,5268883#2,528111#-0,08573201#0,7272162#2,451855#-0,3680091#0,5967106#2,433743#-0,1474911#0,436645#2,667996#-0,125176#0,3562586#2,707517#-0,03673227#0,3031685#2,727045#-0,1843798#0,2829409#2,797044#-0,1799552#-0,04734236#2,558291#-0,06890023#-0,255352#2,836351#-0,3826257#0,05853647#2,905322#-0,1523394#-0,6359199#2,842219#-0,3518533#-0,03760935#2,898167#-0,1316542#-0,7075579#2,836256#1  
frame49 #-0,2244107#0,7413425#2,228271#-0,2367879#0,6792364#2,36268# -0,2613011#0,8300974#2,07163#-0,4386173#0,459061#3,155855#-0,1995571#0,6383888#2,278437#-0,2883894#0,4337173#2,784973#-0,2082512#0,4674215#2,495645#-0,194825#0,4602794#2,55263#-0,1083327#0,6891003#2,440634#-0,3940929#0,5522065#2,431986#-0,1633912#0,4277334#2,655763#-0,1404901#0,3545166#2,696459#-0,0524562#0,2950064#2,717882#-0,1908283#0,2821986#2,796958#-0,1821373#-0,06136823#2,553614#-0,07000496#-0,2534814#2,83498#-0,3841627#0,04444496#2,90028#-0,1534539#-0,6362318#2,843206#-0,3525853#-0,05172391#2,893652#-0,1319606#-0,7076486#2,835526#1  
frame50 #-0,2336187#0,7333186#2,207865#-0,2460093#0,6711447#2,342451# -0,2552344#0,763979#2,062423#-0,4610754#0,5352269#3,177966#-0,1891257#0,6639689#2,17168#-0,2827623#0,534465#2,673544#-0,1883702#0,496446#2,391375#-0,2002314#0,5668015#2,438438#-0,11869#0,679412#2,419169#-0,4033144#0,5441148#2,411757#-0,1818672#0,4057132#2,656117#-0,1596815#0,3321005#2,701505#-0,08334149#0,2952991#2,743208#-0,2185969#0,2551779#2,764197#-0,2029672#-0,05043986#2,550006#-0,06632122#-0,267677#2,832638#-0,4019504#0,05641975#2,897107#-0,1540524#-0,6370311#2,843536#-0,3687365#-0,0394064#2,890985#-0,1305467#-0,7061595#2,79379#1  
frame51 #-0,237567#0,6107562#2,214245#-0,1941364#0,5554262#2,346418# -0,3152204#0,6795921#2,062263#-0,4562766#0,461478#3,124052#-0,2492204#0,6647838#2,067106#-0,2947724#0,4091003#2,816952#-0,06273372#0,5567331#2,130473#-0,1741692#0,4167396#2,595546#-0,06671476#0,5635471#2,423857#-0,3118238#0,5479339#2,529481#-0,1010593#0,3554598#2,689049#-0,08776979#0,2900006#2,744995#-0,01867397#0,3037535#2,829471#-0,1266788#0,2009201#2,769521#-0,07177198#0,1334368#2,449741#-0,06258295#-0,2850172#2,833218#-0,2715012#0,2394212#2,795768#-0,1548557#-0,6386983#2,843876#-0,2581641#0,1387517#2,801881#-0,1671681#-0,7183683#2,80745#1  
frame52 #-0,3331353#0,5515014#2,545914#-0,224098#0,4272892#2,620301# -0,3103591#0,5372714#2,095543#-0,4468777#0,3991666#3,070296#-0,1894769#0,4886555#2,187603#-0,3564532#0,3436254#2,842242#-0,05495277#0,4060513#2,414822#-0,2691742#0,3509239#2,60667#-0,06725129#0,3845139#2,70697#-0,3417853#0,4197969#2,803364#-0,1477306#0,2201212#2,774591#-0,14179#0,163554#2,787942#-0,0255464#0,1191623#2,865064#-0,2220367#0,09260293#2,777813#-0,05397584#-0,1342489#2,534662#-0,06254642#-0,2857983#2,83294#-0,2534184#-0,02841669#2,880217#-0,1552062#-0,6391677#2,842449#-0,2374404#-0,1289726#2,875642#-0,1799939#-0,7043686#2,787777#1  
frame53 #-0,3334795#0,5573137#2,547969#-0,307629#0,3912748#2,59239# -0,2589986#0,3531358#2,158511#-0,3675681#0,2247258#3,066682#-0,2070914#0,3406412#2,229229#-0,3473899#0,2324146#2,816509#-0,0513698#0,3031576#2,455828#-0,3524585#0,3146755#2,578222#-0,04250008#0,34054#2,747214#-0,4253164#0,3837825#2,775452#-0,1482463#0,1395101#2,758284#-0,1193739#0,07624263#2,774044#0,0338239#0,04544583#2,794721#-0,1915097#-0,02861214#2,825369#-0,237156#-0,1315373#2,533911#-0,03174818#-0,4012539#2,843562#-0,4374224#-0,02526786#2,881046#-0,1559693#-0,6389194#2,841225#-0,3960253#-0,1189873#2,876961#-0,1440608#-0,7137595#2,840254#1  
frame54 #-0,3928863#0,5146768#2,600071#-0,3132477#0,344107#2,533906# -0,3154405#0,268233#2,2721#-0,2670403#0,06686638#3,050036#-0,2543254#0,2457657#2,306108#-0,2971065#0,1169211#3,019646#-0,0709801#0,1783637#2,422555#-0,387305#0,2670852#2,942903#-0,09355822#0,3099025#2,640097#-0,4309351#0,3366147#2,716968#-0,1308337#0,1221729#2,757209#-0,09770334#0,05554523#2,786852#0,02792791#0,04109553#2,795343#-0,1234947#-0,03932922#2,870986#-0,2254893#-0,1754305#2,551214#-0,0506476#-0,4366032#2,829464#-0,4265336#-0,06874832#2,89984#-0,1587626#-0,6387872#2,842942#-0,384055#-0,1620813#2,89235#-0,138479#-0,7103995#2,827591#1  
frame55 #-0,4080058#0,4444143#2,606544#-0,326872#0,2730241#2,552038# -0,3130203#0,05249681#2,379339#-0,2402809#0,06862292#3,046231#-0,2605315#0,06454222#2,417373#-0,2830272#0,1115438#3,020207#-0,1030649#0,1006785#2,545887#-0,4112663#0,2403065#2,956548#-0,1253964#0,3455625#2,648427#-0,4445594#0,2655318#2,735101#-0,1299244#0,1180097#2,75475#-0,09073413#0,05782928#2,782113#0,03916767#0,04208485#2,781154#-0,1088516#-0,02090153#2,870229#-0,2079442#-0,1845647#2,542893#-0,07704428#-0,3431633#2,841943#-0,4095616#-0,07757835#2,892617#-0,1588886#-0,6387945#2,842923#-0,3686028#-0,1719054#2,886195#-0,1381901#-0,7105361#2,827935#1  
frame56 #-0,3812907#0,7050104#3,018128#-0,2997606#0,532783#2,96353# -0,2143785#-0,1627696#2,540205#-0,2871648#-0,02044471#2,934748#-0,1881245#-0,1032408#2,554598#-0,3231991#0,05850746#2,94159#-0,1093622#0,07534578#2,612203#-0,4313018#0,295364#2,976542#-0,121449#0,3449298#2,658549#-0,417448#0,5252907#3,146593#-0,1201064#0,1614049#2,881803#-0,1056314#0,08073326#2,858335#0,007117045#0,01934708#2,833592#-0,157646#0,0006945849#2,845654#-0,1871928#-0,1350207#2,500107#-0,07756724#-0,3372358#2,843256#-0,3893811#-0,02773143#2,850878#-0,1585887#-0,6379572#2,843017#-0,3534276#-0,1250279#2,851051#-0,1392653#-0,7106083#2,827972#1  
frame57 #-0,3365279#0,6312777#3,026932#-0,2593403#0,482006#2,892631# -0,1207486#-0,2054668#2,622291#-0,1702627#0,08632433#2,658422#-0,1348335#-0,1316028#2,614865#-0,2181749#0,1285062#2,684194#-0,1770882#0,0899891#2,607006#-0,3563273#0,3257124#2,822243#-0,1308537#0,3489389#2,699092#-0,3770277#0,4745137#3,075693#-0,126885#0,1757954#2,787907#-0,1214222#0,111911#2,757622#-0,02882006#0,04790373#2,790266#-0,1615824#0,03519371#2,668161#-0,2086106#-0,1640207#2,483573#-0,07966416#-0,3367934#2,843215#-0,4113215#-0,05645408#2,835336#-0,1637238#-0,6525184#2,845526#-0,3708183#-0,1522844#2,837671#-0,1188197#-0,7068989#2,814824#1  
frame58 #-0,3207318#0,6060427#2,988577#-0,2474483#0,4476069#2,854537# -0,08445572#-0,2203539#2,613971#-0,2687129#0,07215001#2,610836#-0,05629057#-0,1594282#2,604058#-0,2697741#0,0683035#2,623464#-0,1530113#0,08577633#2,62273#-0,3545736#0,2587507#2,809535#-0,1313336#0,3491811#2,706517#-0,3651357#0,4401146#3,037599#-0,1413978#0,174325#2,781809#-0,1433204#0,1158041#2,752604#-0,08104395#0,00105096#2,807585#-0,1847533#0,08630415#2,639786#-0,062865#-0,2102434#2,450858#-0,08567917#-0,3400634#2,845178#-0,293508#-0,07624105#2,776056#-0,1640415#-0,6564694#2,846248#-0,2697443#-0,1766704#2,788916#-0,1112848#-0,6977634#2,808558#1  
frame59 #-0,338763#0,6497736#3,001694#-0,2560197#0,4811593#2,92033# -0,06774034#-0,2031521#2,572644#-0,07385825#-0,05388147#2,640653#-0,08798532#-0,1136192#2,58399#-0,2010847#0,0876767#2,744977#-0,1545511#0,1420776#2,62656#-0,3422205#0,2762595#2,892694#-0,1338238#0,3474709#2,713058#-0,373707#0,473667#3,103393#-0,1603545#0,1473556#2,817043#-0,1627059#0,07997537#2,787582#-0,08531108#-0,01696208#2,821378#-0,2033294#0,03592413#2,692456#0,06685361#-0,2655017#2,528062#-0,1299756#-0,3650159#2,843991#-0,1638891#-0,1314414#2,853436#-0,1657761#-0,6887558#2,849181#-0,1628236#-0,2358996#2,856738#-0,1197909#-0,6417669#2,808621#1  
frame60 #-0,3222691#0,6001037#2,952773#-0,2518503#0,4091672#2,800744# -0,09419236#-0,2117106#2,572228#-0,2306296#-0,03672518#2,609779#-0,1244457#-0,1243655#2,578252#-0,2495877#-0,01184237#2,627651#-0,2128945#0,1309971#2,61021#-0,3546627#0,1963672#2,779661#-0,1483458#0,3546858#2,726094#-0,3695377#0,4016749#2,983807#-0,1863961#0,09230361#2,773339#-0,192154#0,02850525#2,755265#-0,1279999#-0,04434892#2,791155#-0,2373922#-0,01926079#2,700418#0,1144141#-0,2682789#2,546265#-0,1284578#-0,3720539#2,846479#-0,1163688#-0,1341953#2,871746#-0,1603734#-0,695908#2,854949#-0,1246722#-0,2386608#2,870666#-0,1335175#-0,6409616#2,80741#1  
frame61 #-0,3288287#0,6286391#2,967049#-0,2359172#0,4767701#2,851814# -0,2795839#-0,1743398#2,607154#-0,1909469#-0,03982391#2,662013#-0,3099078#-0,08679093#2,613192#-0,2210436#0,03459285#2,703521#-0,158998#0,1379092#2,61218#-0,3113337#0,2578431#2,842387#-0,1514247#0,3513977#2,724524#-0,3536046#0,4692778#3,034876#-0,1767275#0,09161282#2,777328#-0,1835215#0,0227691#2,757851#-0,1209843#-0,04823639#2,777288#-0,2224341#-0,02112947#2,72304#0,1031061#-0,3019478#2,544455#-0,1622751#-0,344182#2,845401#0,1547903#-0,5915025#2,375708#-0,1561102#-0,6230168#2,843576#0,0985478#-0,6073506#2,463125#-0,224857#-0,6651746#2,800487#1  
frame62 #-0,3556168#0,6553513#2,974739#-0,2334283#0,5158657#2,879702# -0,2186383#-0,1360696#2,603728#-0,2051791#-0,005205795#2,685914#-0,2490081#-0,04838815#2,609775#-0,2310893#0,07029916#2,728387#-0,1432101#0,1394129#2,614551#-0,3088199#0,296814#2,870156#-0,1750003#0,3573565#2,732236#-0,3511157#0,5083734#3,062765#-0,172984#0,08962033#2,770959#-0,1779885#0,007729104#2,73698#-0,1410008#-0,05654896#2,717509#-0,2077048#-0,03268328#2,713724#0,1986818#-0,08707976#2,488334#-0,1759442#-0,3509508#2,851484#0,04038424#-0,4793713#2,480552#-0,1307445#-0,5757563#2,833983#-0,03200968#-0,5208818#2,442788#-0,1535212#-0,6593736#2,842906#1  
frame63 #-0,3592393#0,7183138#2,999691#-0,2489533#0,5653479#2,914258# -0,2417798#-0,1608741#2,60692#-0,2249925#0,04146657#2,720143#-0,2722652#-0,072859#2,61299#-0,2498089#0,1175658#2,762602#-0,1539617#0,120393#2,618363#-0,3242584#0,3458636#2,904345#-0,1937472#0,3596591#2,740313#-0,3666407#0,5578555#3,097321#-0,2159366#0,1685231#2,784408#-0,2304634#0,09302382#2,74957#-0,1932696#0,02023262#2,686625#-0,2627431#0,04028336#2,764928#0,146301#-0,1029514#2,495039#-0,1913811#-0,4067427#2,848659#0,09622854#-0,5374656#2,436771#-0,1364897#-0,5824866#2,834295#0,00172621#-0,581988#2,451625#-0,1546322#-0,6579701#2,841745#1  
frame64 #-0,3933191#0,6946794#2,95637#-0,2527008#0,561484#2,903348# -0,1704244#-0,09664996#2,611373#-0,2284813#0,03675883#2,708695#-0,2010026#-0,008367017#2,617462#-0,2533454#0,1129837#2,751212#-0,08310977#0,180586#2,624056#-0,3279376#0,3416583#2,893144#-0,2007822#0,3616917#2,741716#-0,3703882#0,5539916#3,086411#-0,2056044#0,1802297#2,789081#-0,2134818#0,1107646#2,760907#-0,170807#0,0295078#2,66165#-0,229724#0,03627877#2,819632#0,127116#-0,08526333#2,404083#-0,1929856#-0,4060755#2,852286#0,06918132#-0,518933#2,40555#-0,1636198#-0,6335132#2,842677#-0,00755965#-0,582426#2,439382#-0,2366624#-0,6741938#2,805573#1  
frame65 #-0,4012237#0,697482#2,953271#-0,2664041#0,5594735#2,887349# -0,2118739#-0,01780464#2,632279#-0,2421093#0,03450246#2,692521#-0,2424884#0,07058316#2,638375#-0,2669872#0,1107639#2,735056#-0,1930736#0,3333986#2,704546#-0,3416209#0,3395482#2,877049#-0,2954678#0,5542694#2,854967#-0,3840914#0,5519812#3,070411#-0,2023834#0,2054041#2,77633#-0,2108042#0,1383444#2,748492#-0,1853511#0,09911048#2,647603#-0,2179324#0,05613427#2,800736#0,09276022#-0,07389614#2,403183#-0,1954703#-0,4021067#2,854461#0,01654827#-0,503317#2,427385#-0,17531#-0,6487371#2,854109#-0,04961872#-0,5816191#2,449198#-0,2056763#-0,7128164#2,885302#1  
frame66 #-0,4066439#0,7054367#2,936417#-0,2714305#0,5676289#2,870266# -0,2550723#0,0109079#2,623#-0,2472389#0,04299483#2,67563#-0,2856692#0,09924498#2,629093#-0,2720979#0,1192061#2,718141#-0,2205475#0,3585294#2,694776#-0,3466746#0,34784#2,860067#-0,3056556#0,5796993#2,856969#-0,3891178#0,5601366#3,053329#-0,1585241#0,2647893#2,749004#-0,1579424#0,2006712#2,720449#-0,1186056#0,1507628#2,599653#-0,1523402#0,1071376#2,781836#-0,08481787#-0,2680549#2,545946#-0,2042#-0,4015575#2,859278#-0,05328398#-0,6386077#2,462733#-0,1788014#-0,651819#2,855706#-0,1469579#-0,684061#2,452761#-0,2083615#-0,7159715#2,88713#1  
frame67 #-0,4200391#0,7450809#3,004335#-0,2844215#0,6072922#2,937428# -0,2616883#0,01392491#2,631763#-0,2778141#0,1961639#2,631063#-0,2923198#0,102362#2,637862#-0,3049932#0,2660112#2,682284#-0,2180753#0,3614303#2,69151#-0,3865307#0,4755529#2,850358#-0,3071288#0,5879205#2,842028#-0,4021089#0,5997999#3,120491#-0,145644#0,2612281#2,757562#-0,1398279#0,1898623#2,724327#-0,09989814#0,1661607#2,673116#-0,134218#0,129622#2,740843#-0,107637#-0,2663945#2,592608#-0,2154455#-0,4205777#2,863319#-0,06589049#-0,6408014#2,458934#-0,1848271#-0,6543631#2,861587#-0,154257#-0,6899632#2,433484#-0,2143032#-0,7183965#2,892748#1  
frame68 #-0,3860711#0,794531#2,999039#-0,2771023#0,5901355#2,904576# -0,2572772#0,01075043#2,631818#-0,2685731#0,1716102#2,611284#-0,2879533#0,09931615#2,637926#-0,2971271#0,243398#2,659068#-0,2097087#0,3587213#2,681627#-0,3827891#0,4587614#2,816858#-0,3016855#0,5931443#2,814155#-0,3947897#0,5826433#3,087638#-0,1435172#0,2602697#2,757723#-0,1380688#0,1890501#2,724391#-0,1054788#0,1757392#2,725424#-0,1402332#0,1507667#2,70594#-0,1024377#-0,2928873#2,551766#-0,2187708#-0,361461#2,850549#-0,08469139#-0,6516863#2,45333#-0,07232505#-0,6357978#2,513956#-0,15378#-0,6921422#2,432189#-0,1613531#-0,6869618#2,533662#1  
frame69 #-0,3810887#0,815707#2,982242#-0,2916093#0,6462833#2,896279# -0,2641261#0,005589604#2,638154#-0,275924#0,1954079#2,619325#-0,2950664#0,09491804#2,644314#-0,3031517#0,2675785#2,667682#-0,2030569#0,3516581#2,67341#-0,3848349#0,4840904#2,827211#-0,2929706#0,596915#2,781538#-0,4092967#0,638791#3,079341#-0,1369775#0,2881253#2,751282#-0,1295911#0,212883#2,717629#-0,1008616#0,1869932#2,720176#-0,1365166#0,1925776#2,692173#-0,1087208#-0,2938442#2,550917#-0,21802#-0,3184946#2,843524#-0,08595041#-0,6543872#2,454306#-0,06732245#-0,5870891#2,502751#-0,1537378#-0,6980927#2,423122#-0,126691#-0,651975#2,445128#1  
frame70 #-0,3838419#0,8435105#2,931206#-0,2938945#0,668143#2,872537# -0,2635329#0,0070059#2,638111#-0,2729506#0,2008554#2,607226#-0,2945781#0,09663718#2,644293#-0,2998128#0,2735633#2,655337#-0,1949679#0,3398573#2,662308#-0,3803995#0,4916872#2,814147#-0,280688#0,5942944#2,743809#-0,4115819#0,6606507#3,0556#-0,1379131#0,2939705#2,744076#-0,1299669#0,2160832#2,712566#-0,1004489#0,1898687#2,709034#-0,136999#0,1923578#2,691183#-0,1407147#-0,300333#2,549078#-0,226438#-0,3189571#2,842837#-0,09277575#-0,6513473#2,462237#-0,07440819#-0,5877154#2,501651#-0,1501873#-0,7002275#2,427563#-0,1307471#-0,6704065#2,469129#1  
frame71 #-0,3978428#0,9288706#2,898316#-0,3085653#0,7533215#2,853377# -0,2103134#0,07495768#2,533849#-0,2853107#0,2777723#2,589103#-0,2074403#0,1428443#2,551718#-0,3124448#0,3514015#2,63713#-0,3312038#0,3863868#2,605584#-0,393847#0,5722891#2,795748#-0,2631662#0,5876127#2,702357#-0,4262527#0,7458292#3,03644#-0,1940074#0,3047064#2,761458#-0,1936999#0,2125829#2,73673#-0,1549271#0,1626353#2,728479#-0,2116918#0,1647031#2,721248#-0,1506127#-0,3022444#2,548835#-0,3583223#-0,3243425#2,902044#-0,1019374#-0,6445767#2,474606#-0,2057322#-0,5932393#2,56025#-0,1516095#-0,701142#2,42857#-0,2092567#-0,6850567#2,508435#1  
frame72 #-0,3813634#0,9244711#2,85516#-0,2910166#0,748808#2,81075# -0,1404497#-0,03748598#2,520287#-0,2674561#0,2724018#2,545894#-0,192591#0,1127123#2,54295#-0,2946526#0,3461702#2,593977#-0,3210818#0,3556996#2,587282#-0,3762423#0,5674757#2,75276#-0,2514495#0,5778562#2,670256#-0,408704#0,7413157#2,993812#-0,2117345#0,35168#2,760842#-0,2185901#0,2705749#2,744641#-0,1664806#0,1879707#2,706955#-0,2513646#0,2342598#2,767618#-0,1614096#-0,3001443#2,546917#-0,4132551#-0,2430456#2,968764#-0,1036891#-0,6436105#2,47554#-0,2604442#-0,5123315#2,626523#-0,1529713#-0,7022139#2,429277#-0,3352539#-0,5578904#2,595619#1  
frame73 #-0,3609481#0,9186572#2,806978#-0,2764251#0,7398074#2,775741# -0,3713841#0,119041#2,674685#-0,251209#0,258776#2,507625#-0,3563506#0,17733#2,641471#-0,278744#0,3332964#2,556006#-0,3112504#0,3521971#2,556391#-0,3613487#0,5568575#2,715714#-0,2260499#0,5728447#2,636419#-0,3941124#0,732315#2,958804#-0,1868771#0,2940817#2,747334#-0,191703#0,2027064#2,735697#-0,1510588#0,1537656#2,714298#-0,2181381#0,150245#2,746139#-0,1706319#-0,3045214#2,539783#-0,3732172#-0,3342346#2,940118#-0,103206#-0,6446877#2,476325#-0,09917897#-0,5246618#2,621073#-0,1520077#-0,7048121#2,431933#-0,09479903#-0,6033599#2,548437#1  
