frame1 #0,1158008#1,008511#3,607574#0,08958396#0,8293385#3,622163# 0,1010686#0,6646855#3,486281#-0,1201589#0,3067557#3,503024#0,1493243#0,6317806#3,493074#-0,129058#0,3602372#3,525784#0,2940913#0,5330658#3,52745#-0,1557553#0,5206817#3,60806#0,2557484#0,6699913#3,659317#-0,03530023#0,7172915#3,573934#0,08322877#0,4535875#3,634875#0,09327001#0,3812031#3,60381#0,159322#0,3017429#3,617795#0,02835012#0,3230281#3,579891#0,1386301#-0,1997337#3,662392#0,003491242#-0,2359173#3,345569#0,06605229#-0,5743284#3,626122#-0,04092471#-0,5482667#3,292915#0,03588747#-0,5865285#3,516207#-0,02686593#-0,6232095#3,241954#1  
frame38 #-0,21913#0,8438038#3,504137#-0,1137177#0,6333005#3,420156# -0,07815005#0,1997126#3,15362#-0,4184701#0,7000958#3,383303#-0,03139347#0,2765698#3,170874#-0,4053348#0,573384#3,388614#0,01497204#0,4713784#3,174448#-0,2856726#0,3919852#3,533574#-0,04793435#0,6842742#3,34738#-0,256135#0,5488008#3,439908#-0,01766156#0,4078562#3,30652#-0,02944997#0,382075#3,244187#0,03104675#0,3648301#3,125187#-0,0351839#0,2440091#3,244663#0,1118728#-0,1587811#3,153762#-0,01335253#-0,2552253#3,244514#0,1241307#-0,5250828#3,328547#-0,02150947#-0,5942788#3,2237#0,04701893#-0,5731592#3,282005#-0,07304703#-0,6488144#3,215677#1  
frame39 #-0,2249237#0,8280416#3,500603#-0,1229805#0,6165325#3,407497# -0,07151009#0,2260112#3,154529#-0,3943128#0,6492736#3,361655#-0,02455001#0,3029676#3,171896#-0,3834829#0,5604343#3,341175#0,01975749#0,4977835#3,17917#-0,3402923#0,3649027#3,479591#-0,05347168#0,6865985#3,348573#-0,2653977#0,5320327#3,427249#-0,03236826#0,3834531#3,273017#-0,04670493#0,3611447#3,208565#0,01407188#0,3514975#3,11955#-0,06124078#0,2510783#3,192139#0,06151314#-0,2020827#3,088358#-0,0222881#-0,2387144#3,237895#0,07380492#-0,5693976#3,263683#-0,02874269#-0,5992651#3,2133#-0,01283904#-0,6154634#3,233138#-0,07895724#-0,6561013#3,217595#1  
frame40 #-0,2322417#0,8392718#3,488835#-0,1209391#0,6432598#3,361508# -0,05573982#0,2051839#3,127264#-0,3950184#0,6993827#3,249716#-0,008698497#0,2823263#3,144725#-0,3788917#0,6228636#3,294587#0,02677507#0,4790405#3,162399#-0,3305117#0,3933062#3,443362#-0,054988#0,6873977#3,342054#-0,2633564#0,5587599#3,38126#-0,03921317#0,4191971#3,315296#-0,04301705#0,3936806#3,260353#0,06707831#0,23565#3,309499#-0,04747516#0,2133621#3,054875#0,00923501#-0,4230833#3,283061#-0,02040864#-0,2432119#3,23254#0,02230933#-0,8137828#3,471314#-0,02908337#-0,6020941#3,197119#-0,00473756#-0,762139#3,386078#-0,07382161#-0,6639219#3,198359#1  
frame41 #-0,2477923#0,8304085#3,521258#-0,1323883#0,6205454#3,445551# -0,1173078#0,2125258#3,095312#-0,2809145#0,6553411#3,432161#-0,06999294#0,2900623#3,112845#-0,3276922#0,6195505#3,360825#-0,0279933#0,4850703#3,123585#-0,3449132#0,3519525#3,405881#-0,06245075#0,6862971#3,327985#-0,2748055#0,5360456#3,465303#0,02072605#0,3761548#3,34171#0,01536805#0,3370801#3,279491#0,1225662#0,2536452#3,291978#0,02399387#0,1983109#3,125721#0,03081581#-0,3716936#3,267964#-0,01612499#-0,2586537#3,207602#0,04389013#-0,7623931#3,456194#-0,05707099#-0,6280764#3,162529#0,02597344#-0,7320847#3,35832#-0,00683441#-0,6842333#3,147256#1  
frame42 #-0,2389939#0,8114046#3,418299#-0,1204246#0,603738#3,336498# -0,1464601#0,2476816#2,738427#-0,2680349#0,6431931#3,317706#-0,1525228#0,2631254#2,829857#-0,3150215#0,6072426#3,246052#-0,09859414#0,4944774#2,976011#-0,3315278#0,3367328#3,28026#-0,05621076#0,6686455#3,208097#-0,2628419#0,5192382#3,35625#0,004639803#0,247401#3,278989#-0,006460717#0,1801855#3,224672#0,06362686#0,1653455#3,206153#-0,04766548#0,08768099#3,211256#0,03366788#-0,3683103#3,258705#-0,008721143#-0,3224114#3,181048#0,04674221#-0,7590098#3,446922#-0,07705968#-0,6156834#3,159181#0,01191141#-0,7255616#3,354039#-0,05007841#-0,676108#3,11908#1  
frame43 #-0,2802434#0,8290319#3,477331#-0,1346528#0,6747394#3,335954# -0,1637747#0,4192269#2,706555#-0,2822196#0,7142831#3,317178#-0,1024922#0,4081481#2,735694#-0,3292568#0,6782939#3,245446#-0,08817184#0,5773479#2,962254#-0,3457946#0,4076315#3,279658#-0,07043889#0,7396469#3,207553#-0,27707#0,5902396#3,355706#-0,003302503#0,2766963#3,277004#-0,01249216#0,1996351#3,22226#0,05783005#0,1768114#3,212471#-0,0537858#0,1135821#3,196393#0,04682311#-0,3601894#3,221725#-0,01645973#-0,2949193#3,14912#0,0598975#-0,7508888#3,40991#-0,07861805#-0,6133181#3,14863#0,01521561#-0,7173078#3,320919#-0,05809095#-0,6835099#3,122456#1  
frame44 #-0,3299072#0,781082#3,552477#-0,1843165#0,6267895#3,411086# -0,1596402#0,4526359#2,759721#-0,2209002#0,6448436#3,454227#-0,09423272#0,4405358#2,776504#-0,267832#0,6089351#3,382656#-0,07072805#0,5186835#3,050457#-0,2700331#0,3389696#3,432137#-0,1201027#0,691697#3,282685#-0,3267338#0,5422897#3,430837#-0,006500836#0,2708562#3,277872#-0,01405748#0,1996655#3,220277#0,08608791#0,205356#3,180943#-0,07901911#0,101179#3,197313#0,05336339#-0,3667526#3,197416#-0,006528474#-0,3002752#3,126363#0,0664377#-0,757452#3,385592#-0,0793719#-0,6136522#3,135409#0,01635458#-0,7207453#3,300197#-0,1327598#-0,655394#3,073467#1  
frame45 #-0,2390514#0,5604427#3,061099#-0,09346073#0,4061503#2,919733# -0,1717512#0,4976936#2,289511#-0,2153086#0,611606#3,386785#-0,06658284#0,4213377#2,471433#-0,2623685#0,5755994#3,315019#-0,05530502#0,3526148#2,749193#-0,2518129#0,3459556#3,182684#0,06892201#0,3634#3,017299#-0,235878#0,3216505#2,939484#-0,02539218#0,1951041#3,134661#0,003141532#0,1260855#3,137058#0,123125#0,09835762#3,157108#-0,07956162#0,04573205#3,195401#0,05432364#-0,3796011#3,18662#0,01749925#-0,3455413#3,095027#0,06739795#-0,7703006#3,374813#-0,08007091#-0,6145467#3,135198#0,01678594#-0,7289256#3,291301#-0,06561409#-0,6913036#3,128557#1  
frame46 #-0,1844933#0,6140897#2,630363#-0,09181515#0,4591274#2,585501# -0,2089184#0,5856317#2,248262#-0,2102087#0,6271878#3,29832#-0,1467728#0,5619274#2,303175#-0,2573825#0,5910941#3,226379#-0,1050173#0,4709446#2,571626#-0,2181999#0,4274482#3,025328#0,0705676#0,416377#2,683067#-0,1709528#0,4363414#2,784267#0,00586009#0,2577306#2,994618#0,01108399#0,1722803#3,054674#0,08460482#0,141544#3,063817#-0,03696335#0,1320052#3,158158#0,04242185#-0,3891981#3,178501#0,004088975#-0,2762194#3,103914#0,05549617#-0,7798976#3,366645#-0,07655484#-0,6163021#3,129547#0,003808621#-0,7338756#3,285498#-0,09633131#-0,7003119#3,095605#1  
frame47 #-0,1772183#0,6198373#2,694161#-0,08433#0,4645236#2,649277# -0,2274032#0,6702724#2,21991#-0,2227128#0,5713019#3,400526#-0,1381811#0,6421002#2,270575#-0,2698708#0,5352203#3,328609#-0,08483916#0,5181251#2,522135#-0,2058537#0,4561955#3,089454#0,07805275#0,4217732#2,746843#-0,1634676#0,4417376#2,848043#0,05072307#0,2691007#3,038762#0,06362365#0,184478#3,095444#0,1296735#0,1710636#3,116023#0,02770525#0,1408599#3,162833#-0,05159874#-0,1977988#3,116948#0,002603842#-0,267279#3,104553#-0,03910238#-0,571227#3,295531#-0,07632166#-0,6169753#3,129907#-0,0678052#-0,6229945#3,205742#-0,09597012#-0,7020727#3,096474#1  
frame48 #-0,2042853#0,7063665#2,628678#-0,1109719#0,5503421#2,583767# -0,1055194#0,7501202#2,160861#-0,234518#0,6115174#3,349408#-0,09100817#0,708076#2,240461#-0,2818448#0,5753067#3,277234#-0,04747456#0,5819433#2,493486#-0,2325767#0,5420418#3,024449#0,05141087#0,5075917#2,681333#-0,1901095#0,5275562#2,782533#0,01030078#0,348624#2,953684#0,01980205#0,2639596#3,004679#0,08115729#0,2491522#3,03564#-0,0126198#0,2154056#3,063697#-0,02398799#-0,1414291#3,109199#0,007337388#-0,2619025#3,101532#-0,01146607#-0,5156212#3,288195#-0,07842217#-0,6190296#3,130558#-0,04963119#-0,5875958#3,216793#-0,0991624#-0,7034661#3,094311#1  
frame49 #-0,2235078#0,7155153#2,701874#-0,1300811#0,5593013#2,656986# -0,3140273#0,7050057#2,261932#-0,2484941#0,5354933#3,419564#-0,292386#0,7162996#2,260598#-0,2957596#0,4993293#3,347484#-0,05450161#0,6657692#2,399022#-0,2516121#0,5509758#3,097216#-0,06509762#0,5597768#2,598372#-0,2092187#0,5365154#2,855752#-0,02096209#0,3410495#2,973051#-0,03223071#0,2611785#3,017936#0,012844#0,257209#3,04566#-0,06069399#0,2145377#3,049075#-0,02386979#-0,1466286#3,099325#0,008954306#-0,2633961#3,096062#-0,01132271#-0,5215726#3,278755#-0,07852869#-0,6201422#3,13017#-0,04943948#-0,6028301#3,217211#-0,1261374#-0,6962365#3,100199#1  
frame50 #-0,2243045#0,7162736#2,697841#-0,1307209#0,5597975#2,652977# -0,3463455#0,6709692#2,280849#-0,3234713#0,5181918#3,393145#-0,3027099#0,7181342#2,255332#-0,29973#0,4904023#3,307045#-0,0696205#0,673007#2,392723#-0,2572786#0,5390326#3,056239#-0,06685494#0,5581281#2,60487#-0,2098585#0,5370116#2,851743#-0,07775325#0,3657712#2,955709#-0,1022928#0,2938496#2,998374#-0,05911772#0,2818611#3,059697#-0,1375183#0,2351257#3,027336#-0,02455224#-0,1380169#3,089596#0,009793562#-0,2639182#3,091622#-0,0119812#-0,513677#3,269441#-0,07918423#-0,6204071#3,126716#-0,05228852#-0,5986009#3,213681#-0,1307231#-0,6933603#3,094244#1  
frame51 #-0,217221#0,7529506#2,577815#-0,1234292#0,5961263#2,53293# -0,3125813#0,7070009#2,259447#-0,2172091#0,4672065#3,116369#-0,3234926#0,7166517#2,262995#-0,1719805#0,3948658#3,079015#-0,07776155#0,7106995#2,327412#-0,07313171#0,3756172#2,839829#-0,05599235#0,6215331#2,534745#-0,2025668#0,5733404#2,731696#-0,03228425#0,4086175#2,890368#-0,03353431#0,3278307#2,940243#0,008372106#0,3237215#3,009582#-0,05017999#0,256548#2,981365#-0,02283035#-0,1398412#3,085485#0,009247796#-0,26436#3,088961#-0,01023844#-0,5161245#3,265664#-0,07908367#-0,6214116#3,125422#-0,05247905#-0,6014382#3,21089#-0,09339234#-0,6820456#3,17747#1  
frame52 #-0,2634495#0,8022513#2,545957#-0,1693768#0,6449572#2,501029# -0,4210742#0,7472858#2,242625#-0,2285851#0,4588494#3,128782#-0,3571858#0,7287753#2,252237#-0,1983346#0,4510977#3,043386#-0,1655204#0,6732439#2,295299#-0,1075832#0,4278424#2,801423#-0,0435932#0,6684534#2,483728#-0,2485144#0,6221713#2,699795#-0,06438659#0,4510915#2,867679#-0,06041549#0,3682928#2,918907#0,0002711263#0,3483957#2,995503#-0,08588429#0,2975355#2,968014#-0,02209225#-0,1410702#3,084661#0,006293029#-0,2387039#3,080379#-0,009479726#-0,5179691#3,265157#-0,0791427#-0,6204774#3,122802#-0,05572079#-0,590792#3,196314#-0,1035793#-0,706165#3,087152#1  
frame53 #-0,2577497#0,7704604#2,552707#-0,1632713#0,612488#2,507736# -0,3725781#0,7171457#2,246307#-0,2419946#0,3735913#3,054969#-0,3041588#0,7152814#2,239771#-0,1881457#0,4170269#3,054549#-0,09890099#0,7096884#2,234402#-0,09512247#0,4015382#2,811905#-0,05404237#0,6608768#2,477846#-0,2424089#0,5897021#2,706502#-0,06491674#0,438772#2,858663#-0,05929168#0,3569602#2,906604#-0,002032677#0,3467704#2,990978#-0,07589012#0,2695094#2,947923#-0,0180271#-0,142392#3,082626#0,01229202#-0,2626581#3,082547#-0,005392833#-0,5199404#3,263461#-0,07868786#-0,6209685#3,123323#-0,05309962#-0,5960017#3,198286#-0,1058332#-0,6803638#3,172921#1  
frame54 #-0,280361#0,7550365#2,524663#-0,1856261#0,5966353#2,479659# -0,3893591#0,7216232#2,239139#-0,1848621#0,391941#3,104963#-0,3233031#0,7090641#2,233984#-0,1700449#0,4124803#3,040501#-0,1251353#0,6713868#2,232765#-0,05995883#0,3823175#2,805969#-0,07882248#0,6100792#2,476738#-0,2200575#0,5005236#2,673429#-0,07958684#0,4385934#2,864079#-0,0619784#0,3567333#2,917808#-0,01021064#0,3561757#2,992296#-0,07904345#0,2820065#2,967218#-0,01260655#-0,1205412#3,080303#0,01282591#-0,2568355#3,078655#4,846696E-05#-0,4987102#3,261465#-0,07818513#-0,6213929#3,123043#-0,05048021#-0,5785081#3,201872#-0,1021459#-0,6806033#3,175328#1  
frame55 #-0,3085092#0,7172047#2,554321#-0,2134706#0,5582957#2,509288# -0,3835273#0,6650885#2,217922#-0,1772889#0,3875957#3,125528#-0,3174384#0,6519082#2,221509#-0,1660815#0,4120426#3,06156#-0,1191715#0,6123672#2,246519#-0,04738007#0,3816101#2,830839#-0,09214111#0,5389782#2,528308#-0,2227568#0,4540415#2,714348#-0,07042415#0,4048761#2,912025#-0,04452327#0,326159#2,972225#-0,003004671#0,3403338#3,000458#-0,06568041#0,2850583#3,004603#0,02405028#-0,1451992#3,117569#0,01565164#-0,2639376#3,078324#0,03672443#-0,5239404#3,299033#-0,07801741#-0,621657#3,122708#-0,0254286#-0,5929796#3,235549#-0,09553111#-0,6850172#3,173648#1  
frame56 #-0,3064101#0,6441088#2,623795#-0,2110781#0,4847094#2,578738# -0,21819#0,5872163#2,228563#-0,3236457#0,3334795#3,398896#-0,3031578#0,5748366#2,234293#-0,1851309#0,3354548#3,125896#-0,1070423#0,527985#2,268967#-0,04071526#0,3077835#2,90872#-0,08761561#0,4556371#2,560532#-0,2203643#0,3804551#2,783798#-0,0827287#0,2884866#2,941836#-0,07419942#0,2049828#2,992846#-0,02903844#0,1811699#3,019477#-0,1008094#0,1908847#3,020406#-0,03541162#-0,3256018#3,09962#0,01793072#-0,2656036#3,077832#-0,0223373#-0,7163013#3,287687#-0,07808723#-0,6218638#3,12286#-0,07438495#-0,6729945#3,197648#-0,09429798#-0,6841674#3,175671#1  
frame57 #-0,2591985#0,5121799#2,809443#-0,1261085#0,3714654#2,850552# -0,1957984#0,4775076#2,274452#-0,2705574#0,1675985#3,382305#-0,1554901#0,4334013#2,389067#-0,2011763#0,1945382#3,287846#-0,01790506#0,3768285#2,63314#0,04425436#0,1945395#3,18065#0,009897677#0,3551723#2,932543#-0,1353947#0,2672111#3,055612#0,01303123#0,1316455#3,039802#0,02655242#0,05582622#3,044322#0,1050923#0,06116806#3,04459#-0,02162493#-0,01229258#3,07977#-0,03551594#-0,3257481#3,099143#0,1308806#-0,3983821#3,086538#-0,02244162#-0,7164475#3,287327#-0,0795498#-0,6207989#3,12195#-0,0747792#-0,6742107#3,196672#-0,09430779#-0,6860662#3,171782#1  
frame58 #-0,222895#0,478343#2,818855#-0,1226506#0,3120097#2,936959# -0,2016901#0,3122487#2,341123#-0,2659118#0,1582958#3,39124#-0,1501393#0,3108853#2,416242#-0,2146195#0,1781633#3,316586#0,004513185#0,3067949#2,65576#0,04771222#0,1350839#3,267132#0,03609543#0,3435851#2,95257#-0,1319368#0,2077554#3,142019#0,008136883#0,07338653#3,067195#0,01441972#0,00480964#3,064125#0,09944412#0,01152194#3,071536#-0,03259429#-0,08709097#3,08805#0,02468911#-0,2587663#3,06362#0,02178369#-0,4680093#3,080306#0,03776343#-0,6494658#3,251878#-0,07956918#-0,6207275#3,121876#-0,06706537#-0,6691869#3,21582#-0,08977485#-0,6859685#3,172529#1  
frame59 #-0,3009004#0,6128727#3,068916#-0,2145568#0,5830747#3,262124# -0,1576056#0,3608815#2,731399#-0,3536076#0,42093#3,72455#-0,0967616#0,3546415#2,763125#-0,3053953#0,4423307#3,649424#-0,04894939#0,4744908#3,018061#-0,04419394#0,4061489#3,592283#-0,05072345#0,6124001#3,281661#-0,223843#0,4788205#3,467184#-0,04085122#0,2469759#3,169338#-0,03709724#0,177641#3,123805#0,0264515#0,163379#3,112841#-0,06022756#0,09956092#3,100038#0,0005187807#-0,2515174#3,071708#0,01487155#-0,406536#3,071994#0,01317933#-0,629852#3,253115#-0,08253278#-0,6164812#3,118461#-0,06194579#-0,6421176#3,169947#-0,1054206#-0,6955594#3,105537#1  
frame60 #-0,305672#0,5971416#3,037117#-0,1847079#0,5659402#3,214829# -0,1475971#0,07270961#2,563137#-0,3237587#0,4037955#3,677233#-0,1040916#0,2730378#2,764516#-0,2755244#0,4251931#3,602101#-0,03212371#0,4197435#2,997563#-0,01434502#0,3890144#3,544973#-0,02087453#0,5952656#3,234366#-0,1939941#0,461686#3,419889#-0,02201463#0,2110717#3,161144#-0,0198428#0,1337847#3,12064#0,04231968#0,1205389#3,100383#-0,04743916#0,05670983#3,11828#-0,004413454#-0,25205#3,072844#-0,001416598#-0,3817545#3,081183#0,00866087#-0,6427495#3,261074#-0,1207237#-0,6643176#3,142923#-0,05443905#-0,6398821#3,167515#-0,06761729#-0,6396757#3,083474#1  
frame61 #-0,2911359#0,5761108#3,01327#-0,1757112#0,5561618#3,196007# -0,1311722#0,08165508#2,750989#-0,314762#0,3940171#3,65853#-0,1252622#0,1536633#2,809537#-0,2661076#0,4153565#3,583282#-0,1095879#0,3598166#3,001499#-0,005348332#0,379236#3,52623#-0,1182839#0,5579391#3,216431#-0,1849974#0,4519076#3,401067#-0,01130331#0,1971877#3,131256#-0,01809726#0,1161389#3,102689#0,02816355#0,1186796#3,091525#-0,03647113#0,04545142#3,099303#-0,01181399#-0,251704#3,074339#-0,01439989#-0,4581955#3,082931#0,001260335#-0,6424035#3,262648#-0,09971082#-0,617719#3,1267#-0,05785129#-0,6427414#3,166302#-0,08681224#-0,6966007#3,102381#1  
frame62 #-0,2948807#0,5770135#3,010137#-0,178297#0,5565878#3,192827# -0,1530109#0,08177017#2,861946#-0,3173479#0,3944431#3,655345#-0,1109293#0,136122#2,863743#-0,2686506#0,4157766#3,580086#-0,1248346#0,3752118#3,008208#-0,007934194#0,379662#3,523047#-0,1128363#0,577166#3,21875#-0,1875833#0,4523336#3,397887#-0,06697959#0,1806835#3,081318#-0,08484282#0,1033839#3,045445#-0,04440578#0,09301429#3,04744#-0,1086158#0,03795582#3,01782#-0,01743719#-0,2542932#3,076323#-0,0295759#-0,3713233#3,088661#-0,004362873#-0,6449927#3,264628#-0,1138764#-0,6683416#3,139686#-0,06617232#-0,6711448#3,173973#-0,05795994#-0,6367962#3,0865#1  
frame63 #-0,2739281#0,5725491#2,985812#-0,1524884#0,5505617#3,1664# -0,1409862#0,09576298#2,842559#-0,2915393#0,388417#3,628923#-0,0900748#0,1127279#2,885591#-0,2427955#0,409744#3,553652#-0,09853487#0,3623419#3,008985#0,01787438#0,3736359#3,496623#-0,07748081#0,579915#3,199625#-0,1617746#0,4463075#3,37146#0,009794462#0,1825385#3,075076#0,002971571#0,1032403#3,037643#0,05235761#0,1024315#3,040982#-0,02192817#0,0318718#3,011866#-0,02301992#-0,2562534#3,080737#-0,03092739#-0,3701547#3,088936#-0,009945597#-0,6469529#3,269046#-0,1132548#-0,6678404#3,138669#-0,06349495#-0,6461719#3,169493#-0,06162119#-0,6301188#3,084888#1  
frame64 #-0,2154151#0,5927261#3,000615#-0,09575208#0,5710182#3,182674# -0,1125992#0,09557735#2,879981#-0,2348029#0,4088735#3,645205#-0,08369847#0,1550907#2,899077#-0,1861532#0,4302136#3,56996#-0,09969196#0,4072137#3,015914#0,07461078#0,3940924#3,512903#-0,02073611#0,6016247#3,217838#-0,1050383#0,466764#3,387734#-0,03418605#0,2470597#3,066151#-0,0636269#0,1863963#3,02886#-0,03285908#0,1548233#3,069151#-0,08391148#0,09245768#2,933763#-0,03013518#-0,2780641#3,087537#-0,1436392#-0,3044799#3,029766#-0,01751528#-0,6551841#3,268342#-0,09863433#-0,617985#3,123314#-0,07410374#-0,6662297#3,171158#-0,1810404#-0,6614584#3,092098#1  
frame65 #-0,309638#0,7151335#3,212507#-0,228822#0,5564283#3,233288# -0,1273777#0,01757502#2,836115#-0,3678728#0,3942835#3,695787#-0,1417861#0,1083202#2,8518#-0,3193862#0,4156462#3,620586#-0,1884263#0,3649052#2,946268#-0,05845916#0,3795024#3,563495#-0,1451717#0,5840318#3,130795#-0,2381082#0,452174#3,438348#-0,07243537#0,1885035#3,079917#-0,08337943#0,1084912#3,037186#-0,03738318#0,09334598#3,016536#-0,1084571#0,05921083#3,027597#-0,02568478#-0,3313781#3,088118#-0,1478672#-0,3495406#3,033999#-0,01261045#-0,7220776#3,276411#-0,09743073#-0,6175832#3,121705#-0,06639694#-0,6849161#3,184124#-0,1770799#-0,6686503#3,094873#1  
frame66 #-0,3040125#0,712#3,200718#-0,2230205#0,5529492#3,221595# -0,01190696#0,0300501#2,83599#-0,3620713#0,3908044#3,684054#-0,03020886#0,1203358#2,850442#-0,3136861#0,4121812#3,60888#-0,04138789#0,3671518#2,980692#-0,05265767#0,3760234#3,551775#-0,1477515#0,5890557#3,12666#-0,2323067#0,448695#3,426655#-0,07439919#0,2083268#3,058777#-0,08845299#0,1376935#3,012785#-0,05809213#0,1400204#2,967632#-0,104185#0,06747188#3,022193#-0,1146581#-0,2835415#3,188752#0,02677692#-0,2599542#2,797551#-0,1015838#-0,6742409#3,377018#-0,06553162#-0,5819112#3,043569#-0,09295432#-0,6735422#3,263644#-0,1464313#-0,6326938#3,01803#1  
frame67 #-0,2940949#0,7033042#3,179892#-0,2129287#0,5439113#3,200859# -0,1229015#0,08748806#2,794308#-0,3519794#0,3817665#3,663272#-0,1412105#0,1778088#2,808766#-0,3036999#0,4031579#3,588127#-0,04421127#0,3779026#2,977638#-0,04256581#0,3669854#3,53101#-0,149749#0,6048232#3,114772#-0,2222149#0,4396571#3,405919#-0,07722139#0,2310612#3,063445#-0,09415746#0,1694569#3,027057#-0,0563971#0,1508285#3,011335#-0,1041291#0,09763588#3,002535#-0,114877#-0,3541446#3,166289#0,0665836#-0,304414#2,80111#-0,1018027#-0,7448441#3,354525#-0,07717126#-0,565875#3,088381#-0,09448722#-0,7027098#3,249021#-0,09523939#-0,6581411#3,126968#1  
frame68 #-0,2716943#0,7080551#3,153536#-0,1903638#0,5483395#3,174589# -0,09452973#0,08083007#2,80317#-0,3294146#0,3861947#3,636962#-0,1128452#0,1711826#2,817632#-0,2812151#0,4075972#3,561839#-0,05482839#0,3959001#2,975913#-0,02000087#0,3714137#3,504713#-0,1599518#0,6268852#3,104861#-0,1996499#0,4440853#3,379649#-0,05654953#0,2792649#3,083639#-0,07314453#0,2153563#3,057212#-0,0203872#0,1415866#3,079116#-0,06415381#0,1063724#2,966112#-0,1767768#-0,1261306#2,790613#-0,0009855777#-0,2570264#3,127675#0,02239791#-0,4582634#2,701157#-0,1143262#-0,5463516#3,110043#-0,03256479#-0,5294922#2,672611#-0,1938963#-0,6009995#3,088468#1  
frame69 #-0,2818212#0,7639974#3,139335#-0,2003297#0,6039656#3,160476# -0,140673#0,080088#2,825765#-0,3393805#0,4418209#3,62281#-0,1589948#0,1704718#2,840233#-0,2912592#0,4632342#3,547708#-0,05120121#0,3938516#2,969121#-0,02996683#0,4270398#3,490574#-0,1567941#0,627116#3,092436#-0,2096159#0,4997114#3,365536#-0,07219782#0,3018268#3,064315#-0,08953884#0,2343602#3,03667#-0,06633055#0,212713#2,98692#-0,09682066#0,1837789#3,044623#-0,1782435#-0,1332732#2,78631#-0,01066424#-0,2103502#3,095388#0,009212494#-0,5175486#2,674894#-0,1178722#-0,6144217#3,141143#-0,04393253#-0,6121659#2,642279#-0,1984961#-0,6672235#3,120623#1  
frame70 #-0,3111293#0,9677061#3,218201#-0,2346141#0,7974574#3,216172# -0,1503465#0,09501632#2,816823#-0,2427715#0,1558043#3,325509#-0,1686749#0,1854328#2,831296#-0,1501911#0,399597#3,395376#-0,04375888#0,4023647#2,955953#-0,06425126#0,6205316#3,546206#-0,1587688#0,6348425#3,070974#-0,2439003#0,6932032#3,421232#-0,1211084#0,3376563#3,15301#-0,1424294#0,2401029#3,134088#-0,1072685#0,207922#3,095795#-0,168455#0,2170512#3,162837#-0,1567773#-0,1445596#2,781377#-0,007625773#-0,2037201#3,102337#0,01084504#-0,5385202#2,664447#-0,1095993#-0,6263006#3,121838#-0,03670815#-0,6378021#2,636569#-0,1931494#-0,6764436#3,105843#1  
frame71 #-0,3015543#0,9689915#3,196535#-0,2255308#0,8001199#3,203141# -0,04027488#0,1639527#2,826314#-0,2428787#0,1567622#3,326961#-0,05860898#0,2543973#2,840791#-0,1462045#0,4002763#3,388963#-0,1975242#0,4308906#2,927477#-0,05516798#0,6231941#3,533128#-0,155947#0,6380963#3,043105#-0,234817#0,6958656#3,408201#-0,1097444#0,3500377#3,092827#-0,1322493#0,2544511#3,067489#-0,1147828#0,2308838#3,039393#-0,1416708#0,2270275#3,082554#-0,1054825#-0,1677609#2,768269#0,2012888#-0,1341496#2,824009#0,009754755#-0,5807521#2,652745#-0,07910441#-0,3424246#3,059669#-0,04341853#-0,6766144#2,625522#-0,09678361#-0,4512726#3,087987#1  
frame72 #-0,2732092#0,9683532#3,129837#-0,1956275#0,7972031#3,125957# -0,2888165#0,1960123#2,773108#-0,2376734#0,2555676#3,261868#-0,3071647#0,2865261#2,787596#-0,1455891#0,4212278#3,297829#-0,2030894#0,433437#2,893692#-0,02526461#0,6202773#3,455861#-0,1480427#0,6306085#2,988613#-0,2049136#0,6929489#3,331017#-0,07246499#0,295734#3,013379#-0,09152842#0,1969407#2,985942#-0,07847892#0,1928991#2,983031#-0,09890815#0,1715391#2,981177#-0,01603664#-0,2944964#2,731839#-0,1473222#-0,3562644#3,137339#0,02610097#-0,6331645#2,636702#-0,09231748#-0,6737431#3,108818#-0,03000237#-0,6880997#2,592369#-0,1567416#-0,6646606#3,162511#1  
frame73 #-0,2413273#0,9306281#3,083927#-0,172353#0,727134#3,071805# -0,3431798#0,2049485#2,810383#-0,2927524#0,1880781#3,266102#-0,3257215#0,2714217#2,816116#-0,1641988#0,3577682#3,280882#-0,205938#0,4286669#2,871983#-0,00199011#0,5502082#3,40168#-0,1367109#0,6253892#2,94726#-0,1816391#0,6228798#3,276865#-0,06212943#0,263037#2,971259#-0,08479033#0,1648313#2,9486#-0,07837012#0,1731573#2,936548#-0,08719635#0,130779#2,954222#0,005357596#-0,2545647#2,745927#-0,1645438#-0,3093882#3,169412#0,02922533#-0,6334351#2,636166#-0,1062464#-0,6268918#3,128027#-0,02468164#-0,6914857#2,592165#-0,141565#-0,7035127#3,130103#1  
frame74 #-0,2273393#0,928952#3,034548#-0,1630497#0,7228813#3,044569# -0,289295#0,2174595#2,889454#-0,2834492#0,1838254#3,23881#-0,2741781#0,2840816#2,881266#-0,1546663#0,3537876#3,253741#-0,1967548#0,4494343#2,809864#0,007313144#0,5459555#3,374407#-0,1246111#0,6195059#2,918967#-0,1723359#0,6186271#3,249629#-0,05330681#0,2607797#2,955508#-0,07602204#0,1628068#2,934315#-0,06975916#0,1714203#2,920262#-0,07711154#0,1254854#2,940608#0,007309362#-0,2539831#2,745878#-0,151913#-0,4146039#3,144257#0,03057095#-0,632926#2,635444#-0,1044728#-0,6260307#3,125929#-0,02181931#-0,6933557#2,593666#-0,1896059#-0,676137#3,116201#1  
