frame1 #0,07099064#1,016027#3,717865#0,08558809#0,8111131#3,71882# -0,00943891#0,6336491#3,515002#-0,1740248#0,2029171#3,658092#0,05694063#0,6016511#3,510093#-0,1570875#0,2545171#3,663595#0,2519316#0,5392913#3,541327#-0,1488606#0,4887277#3,82686#0,2341067#0,7042757#3,689494#-0,07596505#0,7221221#3,721637#0,08420233#0,4426646#3,733761#0,0792706#0,3733443#3,692786#0,1480295#0,2995309#3,681001#0,008497216#0,3075618#3,691882#0,1511107#-0,2526256#3,754906#0,01212259#-0,2423699#3,539829#0,06339528#-0,5852659#3,720594#-0,02784322#-0,5761407#3,369948#0,1147554#-0,6421194#3,69056#-0,03479047#-0,6136891#3,298692#1  
frame38 #-0,2509773#0,5157528#2,829733#-0,1173715#0,3942556#2,905932# -0,0349327#0,4085231#2,550601#-0,3851013#0,5215772#3,313026#0,01251075#0,3582182#2,570526#-0,3156627#0,5125455#3,329614#0,1582497#0,277436#2,815244#-0,2395051#0,2738868#3,20663#0,05099875#0,3433051#3,010403#-0,2539462#0,2420291#2,949681#-0,01293738#0,1208834#3,147819#0,02253306#0,04538113#3,160943#0,1265471#0,03807103#3,197937#-0,03617797#-0,06027897#3,202224#-0,1616503#0,3031935#3,156511#0,08844706#-0,4304653#3,149313#-0,1220805#-0,02829367#3,371558#-0,05666754#-0,5961179#3,185265#-0,1161759#-0,1353457#3,345893#-0,03092455#-0,6613832#3,119937#1  
frame39 #-0,259843#0,5028051#3,22927#-0,2039589#0,4669601#3,433394# -0,06314978#0,4883492#2,920233#-0,3748102#0,5039469#3,294361#-0,01537646#0,4376946#2,940296#-0,3048888#0,4948524#3,311064#0,03260367#0,402876#3,233844#-0,1812353#0,2367159#3,335426#-0,03558868#0,4160096#3,537864#-0,3405336#0,3147336#3,477143#-0,04711267#0,1249242#3,283914#-0,01570298#0,08082259#3,21653#0,07160076#0,05664191#3,178861#-0,04670745#-0,01047384#3,185364#-0,2217295#0,3207361#3,156006#0,04320128#-0,3948683#3,178119#-0,1817446#-0,01422873#3,373532#-0,05901315#-0,5982965#3,186593#-0,1649028#-0,1209395#3,347198#-0,05800818#-0,6602095#3,11233#1  
frame40 #-0,2957798#0,5290571#3,260631#-0,2549505#0,5307021#3,473641# -0,159992#0,5513598#2,305693#-0,4265075#0,5683304#3,334368#-0,03823173#0,460475#2,981812#-0,3561324#0,5591769#3,35118#-0,00267709#0,4392696#3,279795#-0,2315592#0,3001309#3,375135#-0,08658026#0,4797516#3,578112#-0,3915252#0,3784756#3,51739#-0,09701759#0,2129896#3,277137#-0,06769465#0,1792561#3,202747#0,03282114#0,1421302#3,176879#-0,1128429#0,1124668#3,144572#-0,3380257#0,2824436#3,145015#0,01461693#-0,2894165#3,177803#-0,2976502#-0,05579308#3,364867#-0,06007966#-0,5993496#3,186926#-0,2605572#-0,1583937#3,339104#-0,06305268#-0,6763136#3,127178#1  
frame41 #-0,2535388#0,6743479#3,324137#-0,2049077#0,5230756#3,38603# -0,1272587#0,4848187#2,870337#-0,3762883#0,5604844#3,246732#-0,07923429#0,4338978#2,890505#-0,3059993#0,5513421#3,263523#-0,01529364#0,4164335#3,183321#-0,1817554#0,2926214#3,287655#-0,03653748#0,4721251#3,490501#-0,3414824#0,3708491#3,429779#-0,06754708#0,1357662#3,274541#-0,03774587#0,07848664#3,210151#0,06237331#0,03816124#3,209734#-0,08470582#-0,02257192#3,150388#-0,3232097#0,1259306#3,161978#0,03394395#-0,3966812#3,196403#-0,2828557#-0,2121262#3,381657#-0,06066848#-0,6007612#3,185612#-0,2393826#-0,3088112#3,34477#-0,05534172#-0,6525077#3,103028#1  
frame42 #-0,2194998#0,6713777#3,239723#-0,171023#0,5205851#3,301204# -0,0847976#0,377337#2,826158#-0,342236#0,5577841#3,161852#-0,03682861#0,3264749#2,846303#-0,2720283#0,5486523#3,178623#0,03801219#0,3226055#3,136528#-0,1480991#0,2902429#3,202935#-0,002652705#0,4696347#3,405674#-0,3075976#0,3683586#3,344953#-0,08127178#0,2167435#3,203629#-0,06203527#0,1791233#3,14232#0,02846389#0,09813678#2,998487#-0,07607606#0,001232045#3,157482#-0,2802127#0,09129505#3,232593#0,0426947#-0,3034383#2,921264#-0,2398794#-0,2465884#3,452085#-0,04275948#-0,6282836#3,146717#-0,2050284#-0,3382662#3,397224#-0,03944029#-0,6845106#3,066861#1  
frame43 #-0,2350514#0,6659303#3,219049#-0,1867844#0,5157903#3,279936# -0,1318145#0,2393752#2,855813#-0,3578384#0,5527883#3,140463#-0,08389786#0,1885687#2,875936#-0,2877074#0,5436665#3,157216#0,03167164#0,319073#3,116624#-0,1640792#0,2855551#3,181722#-0,01841419#0,4648398#3,384407#-0,3233591#0,3635638#3,323685#-0,1261077#0,1989654#3,167852#-0,1118683#0,1602753#3,104784#-0,02830122#0,07868194#2,966128#-0,1392342#-0,004949808#3,117249#-0,3687448#-0,03867985#2,788588#0,1306416#-0,2520802#2,953151#-0,3284314#-0,3763963#3,007856#-0,03463891#-0,5634506#3,154261#-0,325725#-0,4341345#2,92914#-0,03193247#-0,6211888#3,075545#1  
frame44 #-0,1805075#0,713721#3,203304#-0,1325039#0,5644004#3,263449# -0,04799249#0,1493434#2,884302#-0,3033739#0,6016018#3,12383#-0,05585377#0,2330191#2,929935#-0,2335308#0,5925175#3,140515#-0,07943761#0,4840463#3,080343#-0,1095228#0,3340301#3,164907#0,03586639#0,5134499#3,367919#-0,2690786#0,4121739#3,307198#-0,02935541#0,2524454#3,212413#-0,00491734#0,2080305#3,1564#0,09023096#0,1503727#3,081542#-0,03880558#0,094579#3,173373#-0,05501087#-0,1939098#2,863398#-0,01554961#-0,2973622#3,189765#0,09711345#-0,5204282#2,786833#-0,053365#-0,5862919#3,18544#0,03668466#-0,5997111#2,735525#-0,04569635#-0,6341603#3,100856#1  
frame45 #-0,2801325#0,914921#3,197568#-0,1832669#0,780288#3,239099# 0,009975618#0,2230411#2,909871#-0,3539934#0,8172969#3,09957#-0,01216049#0,3040315#2,955392#-0,2842143#0,8082209#3,116239#-0,07856883#0,5470027#3,105444#-0,1604969#0,550021#3,140748#-0,01489668#0,7293375#3,34357#-0,3198416#0,6280615#3,282848#-0,06786145#0,309573#3,147173#-0,04035637#0,2322448#3,081823#0,05017292#0,2104183#3,033953#-0,09460007#0,1149209#3,086336#0,03209143#-0,286303#2,824313#-0,09888249#-0,3364367#3,224763#0,05481598#-0,6227657#2,723252#-0,04559325#-0,6393731#3,181028#0,01219669#-0,6796506#2,675477#-0,03705834#-0,6857454#3,09659#1  
frame46 #-0,2257861#0,9065007#3,078258#-0,1333715#0,7703515#3,119984# -0,2414098#0,2050762#3,007254#-0,3035945#0,8066492#2,980696#-0,2072482#0,2533858#2,96939#-0,2340254#0,7976005#2,997314#-0,1047633#0,3983147#2,869243#-0,1113826#0,5404672#3,022285#-0,07040315#0,6149715#2,984953#-0,2699462#0,618125#3,163733#0,0007854737#0,2729182#3,089544#-0,008308451#0,1717329#3,046675#0,04959296#0,1431067#2,992636#-0,04237007#0,08624905#3,084176#0,0585564#-0,2589923#2,821523#-0,1037076#-0,3049521#3,239622#0,07273395#-0,6130259#2,737509#-0,05482233#-0,6096389#3,185218#0,01883854#-0,6841573#2,682777#-0,1012007#-0,6588463#3,231163#1  
frame47 #-0,1835016#0,8833076#2,999935#-0,09405927#0,7481399#3,051001# -0,2401817#0,2126599#2,933142#-0,2637883#0,7837011#2,911667#-0,199564#0,2565381#2,896959#-0,1944111#0,7746773#2,92824#-0,07771096#0,3881727#2,80191#-0,07287973#0,518652#2,953783#-0,02226998#0,5948398#2,910512#-0,2306339#0,5959134#3,094749#-0,007699762#0,2990306#3,078903#-0,02615796#0,2155366#3,046096#0,04202263#0,1496247#2,985199#-0,06959262#0,1334625#3,109614#0,05954678#-0,2580902#2,82093#-0,1030243#-0,3052871#3,240284#0,07501487#-0,6119443#2,741331#-0,05288986#-0,6065286#3,185443#0,02342929#-0,6866475#2,689912#-0,0998791#-0,6549638#3,231123#1  
frame48 #-0,1631905#0,880751#2,958744#-0,0773005#0,7378247#3,003469# -0,2444177#0,2228105#2,901422#-0,246581#0,7726581#2,864344#-0,1977167#0,2625391#2,868628#-0,1773548#0,763654#2,880881#-0,05761375#0,3817247#2,783713#-0,05692288#0,5087295#2,9069#-0,003192959#0,5895835#2,885062#-0,2138752#0,5855982#3,047218#-0,01224251#0,3004605#3,075755#-0,02589141#0,2142424#3,046491#0,03524963#0,1477757#2,997137#-0,06856012#0,1342047#3,106987#0,06332868#-0,2546998#2,819271#-0,1046687#-0,2975695#3,240094#0,07611079#-0,6093481#2,74413#-0,05036521#-0,5985341#3,204601#0,02459512#-0,6871386#2,691011#-0,1059062#-0,6585463#3,279961#1  
frame49 #-0,06027124#0,8831689#2,877361#-0,02414263#0,6999813#2,938797# -0,2451502#0,2215411#2,759141#-0,4271059#0,5963612#3,225461#-0,1826792#0,249799#2,747936#-0,3578825#0,5873574#3,241997#0,004733693#0,3345727#2,72786#-0,2494317#0,4183089#3,199848#0,0675635#0,5620169#2,826854#-0,1770929#0,5922766#3,091182#0,01698324#0,3059676#3,030397#-0,01395461#0,2191322#3,029644#0,03837978#0,1529544#2,998536#-0,05523089#0,1527908#3,059182#0,07277519#-0,2413009#2,812388#-0,09518617#-0,2869017#3,23709#0,07660857#-0,6086175#2,745448#-0,0240534#-0,618451#3,313294#0,02480589#-0,6871958#2,69139#-0,07267122#-0,6778529#3,342089#1  
frame50 #-0,0137016#0,8596004#2,846488#0,004475123#0,6589657#2,897758# -0,2175534#0,2102804#2,658988#-0,5448607#0,2519532#3,1911#-0,1302347#0,2428933#2,666893#-0,4674067#0,298555#3,155608#0,1317212#0,3407321#2,704172#-0,3163978#0,4245533#3,079897#0,1316068#0,5303354#2,814915#-0,1804815#0,5744601#3,029604#0,0318671#0,304566#2,997591#0,01625268#0,2272733#2,984089#0,08460315#0,1514691#2,961964#-0,05093496#0,1476733#3,044225#0,07673192#-0,2406209#2,80894#-0,08303291#-0,2829968#3,233806#0,07642305#-0,6080574#2,744858#-0,01042608#-0,5839056#3,366412#0,02566783#-0,687294#2,690665#-0,03792844#-0,6432431#3,41575#1  
frame51 #0,02156843#0,827141#2,821649#0,02290843#0,6404412#2,893414# -0,09092762#0,2176962#2,580683#-0,6389917#0,258758#2,942838#-0,003657697#0,2285145#2,621971#-0,5743529#0,2900247#2,943299#0,1954072#0,3140315#2,718754#-0,3921076#0,3889463#2,949421#0,1725489#0,5015331#2,831306#-0,1572783#0,5424582#2,966169#0,03250243#0,2876238#2,992653#0,02106083#0,2120634#2,981028#0,09196325#0,1317965#2,964984#-0,04904399#0,1282064#3,024227#0,07842727#-0,2569938#2,786786#-0,07406814#-0,2731622#3,231038#0,07626052#-0,6078596#2,744329#-0,008087439#-0,5623507#3,376912#0,02632001#-0,6867651#2,68735#-0,03815725#-0,6330733#3,458209#1  
frame52 #0,04206008#0,8135151#2,822137#0,03836657#0,6167155#2,896326# 0,04480672#0,155385#2,55359#-0,6350029#0,310737#2,636687#0,114821#0,1771767#2,617151#-0,5602729#0,3174194#2,69823#0,2302268#0,2870329#2,763046#-0,331339#0,416623#2,839341#0,1953765#0,4954559#2,858491#-0,1291438#0,5182867#2,927404#0,02979095#0,2680963#2,991546#0,02185684#0,1925968#2,981481#0,09424631#0,1124878#2,97321#-0,05366647#0,1184635#3,017481#0,07754481#-0,2572512#2,780265#-0,06664957#-0,2709367#3,231752#0,07663655#-0,608169#2,742787#-0,005484278#-0,560674#3,395712#0,02628452#-0,6872575#2,683198#-0,0236263#-0,6132578#3,315842#1  
frame53 #0,0547948#0,7926986#2,827785#0,04622534#0,5982142#2,907443# 0,1451874#0,118798#2,579179#-0,5779942#0,3628383#2,415717#0,1882429#0,1727908#2,647202#-0,4197736#0,3597941#2,554558#0,2732698#0,2699589#2,822178#-0,2928825#0,420741#2,719481#0,2125799#0,462739#2,892179#-0,1259206#0,51059#2,922847#0,02592658#0,2520221#2,992334#0,01935992#0,1779847#2,983366#0,09475768#0,09432179#2,979537#-0,06468639#0,1057259#3,011572#0,07632905#-0,2576789#2,772794#-0,06310335#-0,2667263#3,235314#0,07746463#-0,6076731#2,739754#-0,002864384#-0,5467987#3,397395#0,02713716#-0,6872599#2,680627#-0,01188549#-0,5988294#3,315576#1  
frame54 #0,05867013#0,77784#2,845111#0,03316702#0,5802971#2,931319# 0,1935637#0,04734215#2,62189#-0,3726382#0,4045209#2,313492#0,211232#0,1104998#2,656644#-0,2695694#0,3856963#2,476964#0,294508#0,2584037#2,877474#-0,2573383#0,4074952#2,736326#0,2106015#0,4607365#2,925778#-0,1191631#0,4956381#2,923812#0,01964309#0,2303064#2,998281#0,01663427#0,1569347#2,989009#0,09577818#0,07753699#2,991303#-0,06838247#0,08954069#3,004595#0,07561245#-0,2596104#2,76866#-0,06119259#-0,2653206#3,236829#0,07741757#-0,6071555#2,736382#-0,002091154#-0,5457714#3,399269#0,0271385#-0,687413#2,678741#-0,002179471#-0,5964687#3,316078#1  
frame55 #0,0575932#0,7797052#2,897666#0,0245113#0,5867775#2,939067# 0,2247155#0,04036051#2,805586#-0,07517521#0,4476824#2,302413#0,2338124#0,1067616#2,828397#-0,07731141#0,4019918#2,35645#0,2912505#0,274065#2,998589#-0,1479371#0,4035074#2,613481#0,2094994#0,4674155#2,981575#-0,1506667#0,460946#2,913873#0,01615055#0,2300512#2,998078#0,01783107#0,156803#2,99092#0,1065058#0,07736848#3,000402#-0,06877922#0,08438119#3,003754#0,07336994#-0,2658009#2,762175#-0,06610724#-0,2682051#3,242403#0,07400055#-0,6097549#2,731088#-0,002946718#-0,5452053#3,399305#0,02845075#-0,6882015#2,676842#0,01350357#-0,5952978#3,317343#1  
frame56 #0,04634416#0,7733603#2,907673#0,04649971#0,5829971#2,921022# 0,2281821#0,03531014#2,836938#0,02530127#0,4786505#2,336453#0,2296656#0,09978081#2,866079#0,01203606#0,4417205#2,395343#0,2924403#0,2839881#3,035151#-0,09221236#0,4123331#2,666692#0,2088665#0,4665784#2,984632#-0,1278503#0,4788845#2,96243#0,02078233#0,222458#2,999116#0,01828121#0,145064#2,996749#0,1030666#0,06659788#3,009887#-0,07149711#0,07331866#3,007386#0,07205225#-0,2678387#2,761561#-0,06809097#-0,2695977#3,243121#0,07220852#-0,6130197#2,727689#-0,005936256#-0,5444114#3,398636#0,02968939#-0,688773#2,674193#-0,0004581227#-0,5966689#3,316477#1  
frame57 #0,03257931#0,7787914#2,953207#0,01710099#0,5754711#3,009257# 0,2320223#0,0320278#2,9906#-0,01630891#0,5557357#2,330245#0,2320714#0,09701823#3,018416#-0,02956043#0,5188438#2,389075#0,2549547#0,2932557#3,140838#-0,1183899#0,4715053#2,663121#0,1887044#0,4544443#3,032181#-0,131244#0,4825847#2,968324#0,005711908#0,2191502#3,045748#0,008987173#0,1470765#3,030653#0,0894777#0,0704386#3,04125#-0,07355864#0,07476532#3,019235#0,07187614#-0,2682275#2,762777#-0,085964#-0,3125179#3,286048#0,07128235#-0,61712#2,72508#-0,01755971#-0,583971#3,440456#0,0311308#-0,689467#2,670794#-9,628758E-05#-0,6318983#3,357212#1  
frame58 #0,03816739#0,7804059#2,964015#0,01944485#0,5810014#3,024192# 0,2823754#0,1065054#2,969634#0,1353452#0,4530019#2,833333#0,2315357#0,1003559#3,018779#0,07594107#0,3800811#2,813969#0,2525409#0,2905558#3,14249#-0,1475487#0,3018202#2,853418#0,1930566#0,467293#3,038883#-0,1331576#0,4813721#2,978639#0,009048551#0,221792#3,048788#0,01186496#0,1505291#3,03755#0,09270922#0,07540925#3,049611#-0,07093163#0,07628039#3,024981#0,07140826#-0,2690117#2,765053#-0,08684082#-0,3030651#3,278908#0,07031208#-0,6156541#2,725056#-0,01319949#-0,5530545#3,407619#0,0320727#-0,6893474#2,670365#0,003269842#-0,6005075#3,323773#1  
