frame1 #0,01015014#0,9490258#3,354161#-0,00324358#0,7757543#3,457644# -0,03779841#0,5152422#3,171166#-0,2436889#0,1130977#3,341006#0,01552166#0,5065663#3,21101#-0,2370721#0,1994694#3,382158#0,1754819#0,4805387#3,344265#-0,2300741#0,4436167#3,516599#0,171575#0,6598747#3,462723#-0,1640796#0,6856566#3,437276#-0,007989557#0,4129052#3,473063#-0,004688547#0,3453882#3,42856#0,07058063#0,2642059#3,419893#-0,08046392#0,2758078#3,42223#0,06989718#-0,2564878#3,514182#-0,09541876#-0,2598784#3,229805#0,007047806#-0,5902203#3,491258#-0,09636378#-0,5966367#3,116755#-0,02271122#-0,610953#3,376998#-0,08778188#-0,6447281#3,024668#1  
frame38 #-0,2965448#0,6309094#2,179914#-0,1861646#0,4959269#2,322207# -0,2522001#0,7370973#1,886586#-0,3959066#0,4800002#2,945714#-0,2349506#0,6960285#1,966208#-0,3610888#0,4797885#2,888133#-0,183202#0,5728223#2,219677#-0,2873563#0,494938#2,639588#-0,02863255#0,4565159#2,37593#-0,2531054#0,5183561#2,397716#-0,0537577#0,269907#2,663845#-0,03837381#0,1921332#2,71385#0,02316441#0,1476256#2,738692#-0,06913232#0,1733711#2,767532#0,002098609#-0,2061248#2,559134#-0,06195768#-0,25111#2,770986#0,1846288#-0,4759762#2,719032#-0,1464273#-0,627368#2,802653#0,08258636#-0,530741#2,752517#-0,2031993#-0,6877282#2,835413#1  
frame39 #-0,2595744#0,6693205#2,187589#-0,1916726#0,5065442#2,330063# -0,4129589#0,7930147#2,011769#-0,3990055#0,5192866#2,938841#-0,2970479#0,7486603#2,029618#-0,3653958#0,4791441#2,896203#-0,1259727#0,5988606#2,197286#-0,2929137#0,5055215#2,647802#-0,03414059#0,4671332#2,383786#-0,2586134#0,5289735#2,405572#-0,0829829#0,3125145#2,617265#-0,07127662#0,2400928#2,653826#-0,01396563#0,1890068#2,676601#-0,09780088#0,2233811#2,705402#0,001562185#-0,2096853#2,562263#-0,05623576#-0,2469394#2,769083#0,18356#-0,4884751#2,717962#-0,1457723#-0,627551#2,801963#0,07900216#-0,5402209#2,749203#-0,2000321#-0,6898119#2,835845#1  
frame40 #-0,2264071#0,7030749#2,23279#-0,1877288#0,5447747#2,388679# -0,4127552#0,7718519#2,046173#-0,4384176#0,4268021#3,200879#-0,3475168#0,767781#2,02836#-0,3740796#0,4710866#2,94287#-0,1740024#0,6300016#2,205048#-0,289021#0,5437171#2,70681#-0,1110069#0,5227786#2,394078#-0,2546696#0,5672039#2,464188#-0,07229711#0,3087654#2,626974#-0,0686939#0,2382032#2,659164#-0,01604486#0,1867927#2,67382#-0,09076262#0,2255336#2,713388#-0,003474898#-0,211278#2,547826#-0,05379451#-0,2435693#2,76811#0,1785229#-0,4900678#2,703512#-0,145799#-0,6275243#2,801839#0,07646091#-0,5422455#2,742257#-0,1874477#-0,7116428#2,754303#1  
frame41 #-0,1700928#0,6791778#2,246878#-0,1313599#0,5206543#2,403201# -0,4209116#0,7829916#2,036619#-0,4317043#0,4210538#3,187084#-0,3558982#0,7783945#2,018294#-0,3424664#0,4541499#2,948887#-0,1626498#0,6647262#2,190556#-0,2326012#0,5196315#2,721032#-0,05463803#0,4986582#2,408601#-0,1983008#0,5430835#2,478711#-0,08713612#0,3072596#2,653917#-0,1020593#0,2386165#2,690856#-0,06493586#0,2154839#2,70481#-0,1369098#0,2129783#2,726932#-0,1434041#-0,01196133#2,386672#-0,05400994#-0,2419674#2,766564#0,04545487#-0,2708638#2,569003#-0,1457776#-0,6274915#2,801644#-0,003404763#-0,3622729#2,630981#-0,1879144#-0,7095507#2,751459#1  
frame42 #-0,2519903#0,740732#2,17946#-0,2131767#0,581878#2,33627# -0,4396159#0,8000037#2,026723#-0,4316463#0,4202206#3,186317#-0,3758092#0,792751#2,005226#-0,2688074#0,4074726#2,713211#-0,1737184#0,7149294#2,131185#-0,1694378#0,4220003#2,472369#-0,08826057#0,6326327#2,407206#-0,2801176#0,6043072#2,41178#-0,127886#0,3514216#2,621105#-0,1077015#0,2799094#2,655338#-0,05369678#0,2688442#2,685611#-0,1402481#0,228803#2,690194#-0,1385179#0,0008459985#2,40452#-0,05229997#-0,237547#2,765447#0,04589257#-0,2703212#2,567936#-0,1429788#-0,6230586#2,799288#-0,003142212#-0,3613883#2,630048#-0,2010122#-0,6812071#2,859783#1 
frame43 #-0,2643065#0,7444659#2,132897#-0,2253773#0,5851389#2,290339# -0,440688#0,7981735#2,024029#-0,4152221#0,3990233#3,142124#-0,3760907#0,7924744#2,004182#-0,2540559#0,4348207#2,647645#-0,1720362#0,7082066#2,126029#-0,1598455#0,4718364#2,407821#-0,1202774#0,6406636#2,338153#-0,2923181#0,6075681#2,365849#-0,1388145#0,3641509#2,618968#-0,1231568#0,294134#2,661931#-0,0821935#0,2953237#2,701653#-0,152386#0,2436473#2,692611#-0,128925#-0,00158266#2,419057#-0,05247983#-0,2365919#2,765701#0,05307282#-0,2803724#2,574916#-0,1438142#-0,623233#2,798989#0,001812134#-0,3705158#2,636624#-0,2018564#-0,6866688#2,822697#1  
frame44 #-0,2651501#0,7438627#2,126046#-0,2260654#0,5838996#2,284307# -0,4409577#0,7699656#1,997896#-0,4306431#0,4111376#3,166562#-0,3751312#0,7820166#1,985806#-0,2549503#0,4414576#2,643418#-0,1750018#0,6946334#2,102551#-0,1592441#0,4740186#2,404308#-0,1184964#0,6504723#2,319724#-0,2930063#0,6063288#2,359816#-0,138717#0,3610555#2,593738#-0,12061#0,289877#2,634248#-0,07220984#0,2762918#2,660313#-0,1488562#0,2468704#2,660761#-0,1024093#-0,2381002#2,754883#-0,05203573#-0,2358907#2,765581#0,07414389#-0,6096299#2,930424#-0,1448006#-0,6239763#2,79898#-0,03622205#-0,6370141#2,889502#-0,2160136#-0,6769854#2,862703#1  
frame45 #-0,3010471#0,7502327#2,031765#-0,2254033#0,617757#2,200722# -0,4207094#0,7058735#1,959485#-0,4510754#0,411519#3,187584#-0,3764502#0,7557579#1,945179#-0,2604902#0,4508559#2,63463#-0,2025976#0,667262#2,009638#-0,1637335#0,4854566#2,396858#-0,1194354#0,6871892#2,220485#-0,2923442#0,6401862#2,276231#-0,1412037#0,3776859#2,550003#-0,1234673#0,2993287#2,606135#-0,06554581#0,255915#2,609146#-0,1543653#0,260576#2,675759#-0,1270759#-0,245445#2,749578#-0,05284336#-0,2364263#2,766344#0,04240008#-0,6262661#2,936972#-0,1464936#-0,6243445#2,799593#-0,0659914#-0,6492848#2,888205#-0,2062151#-0,6739694#2,844067#1  
frame46 #-0,3033022#0,6925762#1,996745#-0,2394814#0,6206698#2,195707# -0,3989356#0,6504134#1,950416#-0,4482577#0,3923249#3,167116#-0,3533961#0,6966819#1,929318#-0,2590143#0,4511396#2,632556#-0,1664232#0,5658437#2,032324#-0,1620538#0,486264#2,395403#-0,1335136#0,690102#2,21547#-0,3064223#0,6430991#2,271216#-0,1590446#0,3680032#2,558298#-0,1426789#0,2880253#2,613452#-0,1056732#0,263469#2,644227#-0,1762156#0,2534024#2,656353#-0,1826352#-0,2439849#2,763027#-0,05537729#-0,2400629#2,767899#-0,01876661#-0,6423116#2,950281#-0,1495079#-0,6252244#2,800724#-0,1160959#-0,6609645#2,879382#-0,2058424#-0,6849791#2,837699#1  
frame47 #-0,2611527#0,6180898#1,984626#-0,2290664#0,5563302#2,194618# -0,3450056#0,585956#1,912899#-0,5236149#0,3598166#3,239476#-0,2993848#0,632307#1,891763#-0,2520677#0,3914402#2,69456#-0,1045496#0,5691932#1,920174#-0,1408928#0,3963338#2,460741#-0,1230986#0,6257624#2,214382#-0,2928985#0,500017#2,366951#-0,1244789#0,3097424#2,575233#-0,1024027#0,2314924#2,632363#-0,04694552#0,2200628#2,667946#-0,1356999#0,1860908#2,670814#-0,1177717#-0,2945257#2,768117#-0,05778449#-0,2410643#2,768448#0,05081101#-0,6707836#2,945637#-0,1516034#-0,6259784#2,800456#-0,05909343#-0,6707534#2,892855#-0,2054108#-0,6889622#2,835933#1  
frame48 #-0,2285495#0,4967004#1,993006#-0,167561#0,4493341#2,201569# -0,3269644#0,5786426#1,860378#-0,3194888#0,3394255#2,802429#-0,2779299#0,5345672#1,878016#-0,2584#0,3406956#2,733197#-0,09461794#0,4696245#1,945395#-0,1355675#0,317782#2,505451#-0,06159317#0,5187663#2,221333#-0,3071653#0,4723093#2,389119#-0,08685962#0,2621823#2,577982#-0,07856517#0,1957831#2,638692#-0,005711414#0,1883693#2,724128#-0,1225983#0,12647#2,672235#-0,05286902#-0,4193434#2,814751#-0,05926952#-0,2464935#2,769631#0,1291288#-0,6981333#2,970539#-0,1522512#-0,6265188#2,79992#0,01706415#-0,6888734#2,92296#-0,2055812#-0,6898361#2,835855#1  
frame49 #-0,2853705#0,4665629#2,384354#-0,1852372#0,3446746#2,517096# -0,108708#0,4056246#1,934457#-0,4970935#0,3896048#3,191268#-0,1470842#0,3456573#1,99377#-0,4424899#0,3916709#3,116694#-0,1902999#0,4426016#2,260179#-0,2887927#0,2788572#2,935434#-0,07926932#0,4141068#2,536859#-0,3268863#0,3636786#2,707824#-0,1123694#0,1700605#2,701712#-0,1101925#0,1112837#2,717203#0,001876373#0,09486531#2,817281#-0,188823#0,02370804#2,6998#-0,07253902#-0,4388037#3,024639#-0,04068376#-0,3277957#2,790751#0,1094588#-0,7175936#3,18046#-0,1517385#-0,6266621#2,798209#0,03152577#-0,7054588#3,0871#-0,2009973#-0,6890348#2,841144#1  
frame50 #-0,2966249#0,4499901#2,409287#-0,1782272#0,2843368#2,328824# -0,2108687#0,1391796#2,011937#-0,4732157#0,3823244#3,066512#-0,154659#0,153973#2,045789#-0,4187097#0,3864392#2,992022#0,01396983#0,1983532#2,161883#-0,3426859#0,2899773#2,762739#-0,07225932#0,3537691#2,348587#-0,3198763#0,3033408#2,519552#-0,063229#0,08825466#2,692561#-0,04655062#0,01788197#2,750516#0,06521881#0,03636842#2,799049#-0,1282141#-0,06152555#2,795074#-0,07256074#-0,457075#3,026857#-0,03036953#-0,4441509#2,756076#0,1094371#-0,7358648#3,182718#-0,1518511#-0,6269863#2,797414#0,03121117#-0,7197265#3,090463#-0,1664653#-0,7236178#2,756083#1  
frame51 #-0,3364624#0,4237604#2,44561#-0,2349183#0,2592967#2,389178# -0,1529044#0,04381696#2,070287#-0,46643#0,2977689#3,127546#-0,1240796#0,0621122#2,128169#-0,4121261#0,3010422#3,052927#-0,03760517#0,1169979#2,316331#-0,3526347#0,2148489#2,815599#-0,1439795#0,282623#2,388367#-0,3765674#0,2783007#2,579907#-0,04999369#0,09069294#2,675191#-0,01766541#0,02780961#2,708293#0,06868762#0,01310716#2,706789#-0,04334752#-0,02213398#2,794861#-0,07417096#-0,47496#3,031059#-0,09590885#-0,4136425#2,759712#0,1078269#-0,7537497#3,186961#-0,1519142#-0,6269606#2,79728#0,03149645#-0,7321903#3,094447#-0,1796308#-0,7234524#2,763371#1  
frame52 #-0,3584075#0,3953567#2,456741#-0,2536449#0,2330041#2,416427# -0,1458302#-0,1878404#2,287688#-0,5073675#0,3052092#3,137879#-0,1284552#-0,1315366#2,319856#-0,4531035#0,3084801#3,063315#-0,07633007#0,03737447#2,430838#-0,3764056#0,1917907#2,843811#-0,1019893#0,2999691#2,513233#-0,395294#0,2520081#2,607155#-0,08697744#0,1358838#2,661159#-0,05373269#0,08476298#2,695466#0,07421913#0,06776015#2,677911#-0,08741404#0,03348247#2,835672#-0,04304077#-0,4191399#3,015405#-0,07569259#-0,3567519#2,754853#0,1389571#-0,6979297#3,171388#-0,1527268#-0,6275544#2,797503#0,05487137#-0,6914794#3,083664#-0,2198828#-0,6868665#2,870724#1  
frame53 #-0,3322445#0,6687863#2,814206#-0,2252182#0,5084442#2,77428# -0,1760734#-0,2002829#2,442954#-0,5490699#0,5472945#3,029462#-0,1510411#-0,1409779#2,462108#-0,498465#0,5275792#3,068972#-0,07594426#0,03693715#2,534039#-0,3466502#0,4684336#3,201969#-0,09585162#0,3075663#2,536531#-0,3668674#0,5274482#2,965008#-0,1614465#0,4359386#2,788596#-0,1802824#0,40819#2,781814#-0,03254519#0,1276508#2,548244#-0,09586936#0,1707907#2,979561#-0,05898091#-0,4274781#3,002594#-0,09269632#-0,2766561#2,779617#0,1230169#-0,706268#3,158593#-0,1519975#-0,6270717#2,797472#0,04032037#-0,6964766#3,06983#-0,2189049#-0,6840094#2,86641#1  
frame54 #-0,346496#0,5991352#2,885205#-0,2432674#0,439677#2,806838# -0,1760261#-0,1869896#2,522786#-0,5671188#0,4785342#3,0621#-0,1196547#-0,1605574#2,550034#-0,5165126#0,4588132#3,101636#-0,0816205#0,03663421#2,54754#-0,3646938#0,3996502#3,234675#-0,09942302#0,3071409#2,546581#-0,3849165#0,458681#2,997566#-0,0375912#0,1879154#2,792022#-0,025757#0,1192621#2,780187#0,09454487#0,04956046#2,727899#-0,06436279#0,06861713#2,817046#-0,07252079#-0,4360488#2,995622#-0,1003549#-0,3270175#2,78258#0,1094771#-0,7148386#3,151697#-0,1557057#-0,6290179#2,797876#0,02840062#-0,7023644#3,061776#-0,2141876#-0,6825144#2,859957#1  
frame55 #-0,350377#0,5972975#2,891278#-0,246151#0,4384754#2,80988# -0,1616602#-0,1898172#2,522269#-0,4942377#0,6522236#2,995633#-0,09639204#-0,1757826#2,535753#-0,4625674#0,5887648#3,052622#-0,08042146#0,03195691#2,551901#-0,3675568#0,3983885#3,238007#-0,09934521#0,3041875#2,574545#-0,3878001#0,4574794#3,000609#-0,08103005#0,1563113#2,752281#-0,07744392#0,09040801#2,725574#0,03785574#0,004421275#2,600403#-0,09895633#-0,008036914#2,794082#-0,107776#-0,3280934#2,749733#-0,1028934#-0,3389247#2,789039#0,1212269#-0,4995586#2,852975#-0,1551465#-0,6280034#2,7981#0,01607676#-0,5609657#2,849227#-0,2312699#-0,6897125#2,757857#1  
frame56 #-0,356307#0,6095508#2,887773#-0,2866051#0,4281068#2,852613# -0,1088746#-0,2125747#2,49638#-0,5237269#0,6419011#3,031638#-0,07115883#-0,1585458#2,51344#-0,4947746#0,578363#3,090618#-0,1689007#0,09714983#2,51199#-0,407918#0,3877486#3,281971#-0,1027193#0,3116498#2,610456#-0,4282542#0,4471108#3,043341#-0,1509829#0,164225#2,834407#-0,1535936#0,1024411#2,814747#-0,02862163#-0,03490337#2,664284#-0,1689056#-0,02870609#2,92211#-0,1246524#-0,414084#2,727658#-0,1052002#-0,3775715#2,795837#0,1034698#-0,5107502#2,846401#-0,1551019#-0,6266589#2,798932#-0,001973532#-0,5720512#2,844657#-0,2290026#-0,6871521#2,752779#1  
frame57 #-0,3927809#0,6605946#2,935233#-0,3422452#0,4862865#2,962526# -0,07135984#-0,1485369#2,484705#-0,5799522#0,7001493#3,141913#-0,02601077#-0,07988055#2,526052#-0,5508537#0,6365941#3,200802#-0,2179004#0,1021919#2,468262#-0,4635581#0,4459283#3,391884#-0,09233755#0,314172#2,616905#-0,4838943#0,5052905#3,153255#-0,1779383#0,2462241#2,886402#-0,1752491#0,188874#2,856001#-0,01381647#0,02445172#2,659256#-0,1754258#0,06610677#2,935965#-0,161157#-0,2955863#2,831704#-0,1181802#-0,4565025#2,806899#0,02676301#-0,5615125#2,980298#-0,1587109#-0,6261393#2,803072#-0,06549187#-0,6126218#2,919012#-0,2335875#-0,6870331#2,75907#1  
frame58 #-0,3900698#0,6599741#2,926126#-0,3366429#0,4844895#2,948133# -0,02900945#-0,1330033#2,510932#-0,57435#0,6983523#3,12752#0,01126899#-0,06449458#2,557451#-0,5452514#0,634797#3,186409#-0,1871557#0,1069934#2,491834#-0,4579558#0,4441313#3,377491#-0,06947109#0,3274875#2,632902#-0,4782921#0,5034935#3,138861#-0,1704702#0,2159913#2,881187#-0,1656242#0,1493499#2,85107#-0,0101854#-0,01245092#2,674045#-0,1753944#0,01738767#2,938793#-0,1734866#-0,3275776#2,841507#-0,1310491#-0,5197953#2,849615#0,02295012#-0,5785043#2,981531#-0,1587355#-0,6258971#2,80312#-0,07746139#-0,6225963#2,928122#-0,231567#-0,6850625#2,753665#1  
frame59 #-0,3751355#0,6660663#2,899679#-0,3213346#0,4907367#2,921797# -0,02550273#-0,145154#2,509816#-0,5590417#0,7045994#3,101184#0,01477571#-0,07664531#2,556336#-0,5299432#0,6410442#3,160073#-0,1780217#0,1037394#2,49675#-0,4426475#0,4503785#3,351155#-0,06857234#0,3296975#2,635267#-0,4629838#0,5097407#3,112525#-0,1580699#0,2032993#2,866464#-0,1542938#0,1370742#2,83794#-0,008252277#-0,01449235#2,673122#-0,1718966#0,0144717#2,92929#-0,132136#-0,419607#2,796174#-0,1284681#-0,530614#2,843333#-0,008597116#-0,4454772#2,413669#-0,1675948#-0,6314019#2,810035#-0,0612825#-0,5091562#2,377643#-0,2244753#-0,6781583#2,862065#1  
frame60 #-0,385203#0,6956953#2,822481#-0,3309269#0,5197942#2,844497# -0,1740757#-0,1399281#2,386163#-0,5686767#0,7337554#3,023636#-0,2005864#-0,08650146#2,41887#-0,5395609#0,6701566#3,082651#-0,1736238#0,104002#2,497822#-0,4522137#0,4793602#3,274139#-0,05116993#0,3246267#2,634375#-0,472576#0,5387982#3,035226#-0,2220454#0,2095525#2,714206#-0,224104#0,1568122#2,661649#-0,1065169#0,05669336#2,581501#-0,2831507#0,05801183#2,633677#-0,2006629#-0,2982296#2,409971#-0,05174395#-0,2108241#2,802778#-0,01092327#-0,5072238#2,38687#-0,1598935#-0,5814201#2,796651#-0,07960242#-0,5845952#2,3393#-0,203271#-0,6599978#2,843167#1  
frame61 #-0,434248#0,7536365#2,906548#-0,3110219#0,5476198#2,827496# -0,1645446#-0,1428497#2,38113#-0,5487844#0,7616104#3,006507#-0,191046#-0,08944179#2,413827#-0,5196636#0,6979986#3,06556#-0,1549476#0,09376661#2,507941#-0,4323009#0,5071629#3,257188#-0,04978168#0,3268146#2,636666#-0,4526711#0,5666238#3,018224#-0,1654774#0,2300404#2,703167#-0,1636605#0,1714508#2,650516#-0,04547629#0,08128676#2,586191#-0,2094824#0,07125973#2,620203#-0,14164#-0,2784866#2,430432#-0,0462575#-0,2264949#2,813933#-0,03173179#-0,5673969#2,359816#-0,1632399#-0,6249236#2,808761#-0,1057449#-0,645283#2,305873#-0,2185518#-0,6797246#2,854133#1  
frame62 #-0,4278011#0,7713228#2,88517#-0,3031962#0,5617433#2,810568# -0,1160522#0,1023761#2,458472#-0,5411293#0,7761267#2,988849#-0,142543#0,1557628#2,491156#-0,5119396#0,7123404#3,048408#-0,1780133#0,4224721#2,567456#-0,4243707#0,5209813#3,24158#-0,2612858#0,5832762#2,723482#-0,4448453#0,5807473#3,001296#-0,1302368#0,2479246#2,675188#-0,1279319#0,1810731#2,627606#-0,07592306#0,1653176#2,576274#-0,1357711#0,1114337#2,632733#-0,119896#-0,2814006#2,429654#-0,03838062#-0,2193029#2,815686#-0,05668418#-0,6207809#2,332412#-0,1662347#-0,6155495#2,801277#-0,1237229#-0,6935412#2,287883#-0,2289102#-0,6868194#2,873967#1  
frame63 #-0,4050717#0,7933846#2,847224#-0,2826642#0,5838996#2,788882# -0,1108086#0,09643079#2,453517#-0,2935811#0,371835#2,897685#-0,1372895#0,1497975#2,486188#-0,3211203#0,414587#2,974923#-0,1792878#0,4183127#2,556404#-0,4037378#0,5428427#3,221161#-0,2516507#0,5860188#2,702859#-0,4243134#0,6029035#2,97961#-0,1159544#0,2546702#2,667211#-0,1176178#0,1847626#2,62352#-0,06942201#0,1679947#2,576#-0,1287943#0,1167777#2,629903#-0,1119193#-0,2892814#2,426873#-0,007606893#-0,2111166#2,822997#-0,06875022#-0,6380484#2,32348#-0,1577244#-0,600827#2,80107#-0,1222312#-0,69754#2,282676#-0,2229331#-0,6807373#2,865286#1  
frame64 #-0,4036846#0,8468414#2,834378#-0,3022063#0,6780452#2,796346# -0,08600333#0,07417311#2,439671#-0,3141826#0,4626763#2,905449#-0,1124751#0,1275214#2,472331#-0,3414317#0,5061809#2,982911#-0,1854593#0,3931421#2,529779#-0,4231792#0,6366948#3,229864#-0,229177#0,5880581#2,656993#-0,4438554#0,6970492#2,987074#-0,1235384#0,2682922#2,684927#-0,124271#0,1867647#2,644132#-0,06725687#0,1731156#2,646731#-0,1422669#0,1097474#2,630909#-0,09231302#-0,2493917#2,428661#-0,03783171#-0,2575712#2,72011#-0,06865267#-0,6430497#2,321823#-0,1430581#-0,6484432#2,799672#-0,1205067#-0,702283#2,277995#-0,2270077#-0,6842594#2,866425#1  
frame65 #-0,3828307#0,8380635#2,800592#-0,2834792#0,6628342#2,763727# -0,07290237#0,04480109#2,434356#-0,2950097#0,4466928#2,872172#-0,09936577#0,09813246#2,467006#-0,3223434#0,4903118#2,950121#-0,1941109#0,3608568#2,504679#-0,4043443#0,621169#3,198578#-0,2160106#0,5804315#2,633646#-0,4251283#0,6818382#2,954456#-0,1190805#0,2502345#2,715074#-0,121299#0,1560375#2,695054#-0,05577787#0,1387806#2,686412#-0,1541078#0,07011796#2,687408#-0,08075058#-0,2458264#2,437358#-0,008642584#-0,2963532#2,717786#-0,06668879#-0,6468688#2,321933#-0,1199689#-0,6861595#2,800707#-0,1189191#-0,7047516#2,277593#-0,2246666#-0,6842015#2,862022#1  
frame66 #-0,379235#0,8945913#2,747742#-0,2740875#0,7272878#2,726522# -0,06395407#0,0369193#2,416553#-0,2851592#0,5103515#2,834233#-0,09040914#0,09023389#2,449193#-0,3125797#0,5540879#2,912687#-0,1909006#0,3528883#2,480942#-0,3948411#0,6852971#3,162718#-0,1971778#0,5762237#2,601136#-0,4157367#0,7462918#2,917251#-0,1181544#0,2592121#2,713443#-0,1213443#0,1613291#2,694002#-0,05504566#0,1382388#2,686993#-0,1558611#0,07637659#2,685982#-0,07680561#-0,2441065#2,44088#-0,001015306#-0,2882422#2,712907#-0,06214336#-0,646793#2,325893#-0,1136373#-0,6791308#2,797754#-0,11297#-0,7066575#2,281871#-0,2121581#-0,6764839#2,838287#1  
frame67 #-0,3544806#0,8853774#2,70946#-0,2539461#0,7151648#2,691406# -0,06583285#0,005998995#2,387363#-0,2645507#0,49742#2,79837#-0,09227969#0,05929694#2,419992#-0,2920595#0,5412754#2,877339#-0,1870417#0,3261012#2,443759#-0,3745857#0,6728414#3,128979#-0,1750787#0,5594886#2,553351#-0,3955952#0,7341688#2,882134#-0,1323448#0,2712871#2,707147#-0,1476901#0,1805308#2,690295#-0,1066736#0,125962#2,665104#-0,1711351#0,0979077#2,70535#-0,05486638#-0,2895451#2,431714#-0,2221904#-0,310413#2,838853#-0,05717466#-0,6449435#2,329988#-0,1797604#-0,6447328#2,809218#-0,1072792#-0,7055856#2,285893#-0,2330439#-0,69866#2,857931#1  
frame68 #-0,3237354#0,8830687#2,662597#-0,2246719#0,711323#2,642584# -0,06014223#0,00208234#2,371749#-0,2348503#0,4928407#2,748841#-0,08658087#0,0553638#2,404369#-0,2624395#0,5368041#2,828285#-0,1815702#0,3235714#2,428552#-0,345207#0,6686944#3,081407#-0,1524765#0,5583566#2,529034#-0,366321#0,730327#2,833312#-0,1338849#0,2744067#2,697271#-0,149327#0,1820394#2,686001#-0,1067907#0,1259603#2,664934#-0,1736891#0,1012266#2,702896#-0,05549996#-0,2922088#2,429355#-0,2108799#-0,3683912#2,835164#-0,05520835#-0,6443065#2,332822#-0,1726934#-0,6770389#2,814272#-0,1054104#-0,7060254#2,28688#-0,2450462#-0,6774533#2,866621#1  
frame69 #-0,2957855#0,8800197#2,628815#-0,2102554#0,7012049#2,612511# -0,2426658#0,1259678#2,443316#-0,220027#0,4820189#2,718183#-0,2690932#0,1792266#2,475922#-0,2476928#0,5260851#2,79808#-0,1604954#0,3204107#2,37685#-0,3306902#0,6582839#3,052593#-0,1206572#0,5449348#2,489373#-0,3519045#0,7202089#2,803239#-0,129731#0,2970034#2,665142#-0,1485681#0,2109895#2,656523#-0,1001447#0,1417788#2,63322#-0,1779946#0,1237447#2,693519#-0,05872734#-0,3255878#2,410724#-0,2115974#-0,36913#2,836751#-0,05372838#-0,6441851#2,332947#-0,1564144#-0,6723313#2,840409#-0,1047342#-0,7063931#2,287259#-0,2366868#-0,6805946#2,877456#1  
frame70 #-0,2701521#0,8611342#2,585721#-0,1797588#0,6864523#2,570617# -0,2939817#0,1451504#2,550642#-0,1706902#0,2697855#2,267911#-0,2537704#0,1909196#2,497737#-0,1860482#0,3188424#2,348177#-0,1331367#0,3282271#2,353897#-0,2321222#0,4660131#2,603849#-0,09908485#0,5352835#2,471533#-0,3214079#0,7054563#2,761345#-0,1247726#0,282667#2,660484#-0,145683#0,1952574#2,655217#-0,09948038#0,1236081#2,634237#-0,1775208#0,1143357#2,693929#-0,05926075#-0,307993#2,405593#-0,2135872#-0,3617831#2,840246#-0,05220513#-0,6433469#2,333201#-0,1433355#-0,6558191#2,873823#-0,1047975#-0,7070476#2,28655#-0,2257543#-0,6420325#2,902279#1  
frame71 #-0,2304577#0,8470697#2,554923#-0,1547116#0,6686612#2,549091# -0,2947673#0,1136776#2,342964#-0,1115868#0,12605#2,16667#-0,2482727#0,1660374#2,336268#-0,1269438#0,175083#2,246778#-0,1087888#0,3231168#2,331044#-0,1730148#0,322182#2,501962#-0,06655889#0,5174149#2,443773#-0,2621641#0,5612595#2,659238#-0,08567505#0,2486767#2,613865#-0,1039782#0,1599653#2,603744#-0,05065634#0,1114902#2,568993#-0,1469508#0,09667637#2,648021#-0,05582349#-0,2991949#2,404108#-0,2152922#-0,3388317#2,843009#-0,05065824#-0,6419044#2,331363#-0,139652#-0,6240669#2,899713#-0,1043772#-0,7082951#2,28265#-0,2023948#-0,6801791#2,984267#1  
frame72 #-0,1583255#0,8382443#2,476404#-0,1227917#0,6478351#2,516799# -0,3752021#0,146263#2,446342#-0,1735331#0,3230058#2,168732#-0,3009572#0,1882448#2,408944#-0,1721311#0,3277792#2,238942#-0,07822265#0,3141901#2,311599#-0,167925#0,3420994#2,464421#-0,03259051#0,5038047#2,42169#-0,2656038#0,5576981#2,653543#-0,0829462#0,2488739#2,610216#-0,1018941#0,161047#2,600759#-0,04720679#0,1111902#2,569545#-0,1474498#0,09608804#2,641684#-0,05188646#-0,2843837#2,394355#-0,2131936#-0,3213114#2,840829#-0,04734381#-0,6396657#2,330321#-0,1391439#-0,6029862#2,906606#-0,1025345#-0,708601#2,278933#-0,1883587#-0,6769195#2,986292#1  
frame73 #-0,12074#0,8183724#2,446664#-0,1077263#0,6341392#2,504671# -0,3539227#0,1585996#2,369652#-0,3895659#0,1650543#2,945109#-0,2678403#0,1921577#2,347306#-0,3611307#0,2263325#2,882072#-0,009593021#0,2928321#2,295099#-0,2738539#0,2934118#2,688517#-0,004579675#0,4860281#2,408336#-0,2683156#0,5400493#2,622015#-0,08052711#0,2491839#2,60038#-0,09746025#0,164527#2,593433#-0,0406469#0,1093807#2,568259#-0,1487996#0,09682135#2,633532#-0,04700853#-0,2772963#2,387567#-0,2066296#-0,3033377#2,83049#-0,04341084#-0,6359707#2,327497#-0,1145705#-0,5798056#2,891053#-0,1034919#-0,7091676#2,273563#-0,1929681#-0,5917068#2,951059#1  
